Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2021/12/26,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/02/01,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/02/10,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/02/14,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/02/15,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/02/20,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/03/07,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/03/15,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/05/18,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/05/21,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/05/26,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/06/06,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/06/10,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/06/13,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/06/26,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/06/28,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/07/07,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/08/09,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/08/21,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/08/22,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/08/26,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/09/06,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/09/13,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/09/25,10,AVYAN,31.96,316.0,347.6,316.0,347.6,327.20,212.00,316.00,"69,366.00",49,31.6,31.6,10.0,10.0,5.87,,,347.60,316.00
2022/09/27,9,AVYAN,38.88,354.5,368.7,354.5,368.7,355.33,60.00,347.60,"21,319.80",17,21.1,14.2,6.07,4.01,3.63,,,368.70,316.00
2022/09/28,9,AVYAN,39.57,376.0,398.9,376.0,398.9,386.74,41.00,368.70,"15,856.40",5,30.2,22.9,8.19,6.09,3.05,,,398.90,316.00
2022/09/29,9,AVYAN,39.74,406.8,438.7,406.8,438.7,423.00,50.00,398.90,"21,150.00",5,39.8,31.9,9.98,7.84,3.58,,,438.70,316.00
2022/10/09,9,AVYAN,42.08,447.4,456.3,447.4,456.3,447.57,30.00,438.70,"13,427.00",4,17.6,8.9,4.01,1.99,1.91,,,456.30,316.00
2022/10/10,10,AVYAN,46.16,465.4,501.9,465.4,501.9,480.87,90.00,456.30,"43,278.60",11,45.6,36.5,9.99,7.84,4.19,,,501.90,316.00
2022/10/11,10,AVYAN,41.93,511.0,552.0,511.0,552.0,535.00,60.00,501.90,"32,100.00",6,50.1,41.0,9.98,8.02,3.08,,,552.00,316.00
2022/10/12,10,AVYAN,40.26,563.0,607.2,563.0,607.2,584.38,70.00,552.00,"40,906.90",9,55.2,44.2,10.0,7.85,3.76,,,607.20,316.00
2022/10/13,9,AVYAN,38.93,619.3,667.9,619.3,667.9,644.00,50.00,607.20,"32,200.00",5,60.7,48.6,10.0,7.85,3.58,,,667.90,316.00
2022/10/16,9,AVYAN,45.05,681.2,734.6,681.2,734.6,733.93,"1,944.00",667.90,"1,426,751.40",57,66.70,53.4,9.99,7.84,0.09,,,734.60,316.00
2022/10/17,9,AVYAN,43.35,749.0,808.0,749.0,808.0,807.10,"3,780.00",734.60,"3,050,852.00",201,73.4,59.0,9.99,7.88,0.11,,,808.00,316.00
2022/10/19,9,AVYAN,41.25,824.1,888.8,824.1,888.8,887.93,"6,990.00",808.00,"6,206,619.00",545,80.8,64.7,10.0,7.85,0.1,,,888.80,316.00
2022/10/20,9,AVYAN,40.1,906.5,963.0,820.2,830.2,871.90,"42,382.00",888.80,"36,952,901.00","3,453",-58.6,142.8,-6.59,17.41,-5.02,,,963.00,316.00
2022/10/23,9,AVYAN,35.88,830.0,830.0,764.4,767.1,776.85,"16,958.00",830.20,"13,173,753.10","1,125",-63.1,65.6,-7.6,8.58,-1.27,,,963.00,316.00
2022/10/31,9,AVYAN,31.35,782.4,782.4,730.0,731.0,740.57,"10,764.00",767.10,"7,971,486.00",721,-36.1,52.4,-4.71,7.18,-1.31,,,963.00,316.00
2022/11/01,12,AVYAN,68.62,1091.0,1170.0,1075.0,1129.5,"1,136.57","18,265.00","1,089.00","20,759,363.30",337,40.50,95.00,3.72,8.84,-0.63,771.17,715.41,"1,170.00",550.00
2022/11/02,9,AVYAN,34.6,777.0,800.0,750.0,785.0,784.42,"6,290.00",778.00,"4,933,983.50",387,7.0,50.0,0.9,6.67,0.07,,,963.00,316.00
2022/11/03,9,AVYAN,34.64,780.0,785.0,755.0,759.0,761.70,"3,880.00",785.00,"2,955,399.00",237,-26.00,30.00,-3.31,3.97,-0.36,,,963.00,316.00
2022/11/06,9,AVYAN,39.77,759.0,786.0,744.0,783.0,769.90,"11,612.00",759.00,"8,940,070.10",372,24.0,42.0,3.16,5.65,1.67,,,963.00,316.00
