Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,14,BARUN,30.69,359.0,365.1,351.0,357.64,358.00,-0.36,0.0,357.63,"42,812.00",355.57,"15,310,786.60",204,2.07,14.1,0.58,4.02,0.0,589.00,296.10,,
2025/08/26,13,BARUN,29.55,363.9,363.9,355.1,356.33,358.00,-1.67,0.0,357.93,"26,685.00",357.64,"9,551,283.20",117,-1.31,8.8,-0.37,2.48,-0.45,589.00,296.10,,
2025/08/27,13,BARUN,33.16,350.0,367.0,350.0,364.08,365.90,-1.82,0.0,363.51,"46,788.00",356.33,"17,007,913.80",202,7.75,17.0,2.17,4.86,0.16,589.00,296.10,,
2025/08/28,12,BARUN,33.64,370.0,370.0,356.8,357.29,358.00,-0.71,0.0,361.80,"55,432.00",364.08,"20,055,505.60",246,-6.79,13.2,-1.86,3.7,-1.26,589.00,296.10,,
2025/08/31,12,BARUN,32.87,357.0,360.0,351.0,351.56,351.10,0.46,0.0,354.10,"41,907.00",357.29,"14,839,256.90",202,-5.73,9.0,-1.6,2.56,-0.72,589.00,296.10,,
2025/09/01,13,BARUN,33.76,348.0,359.9,346.0,349.24,349.80,-0.56,0.0,348.59,"58,359.00",351.56,"20,343,435.20",196,-2.32,13.9,-0.66,4.02,0.19,589.00,296.10,,
2025/09/02,13,BARUN,24.72,352.0,354.0,343.0,343.26,344.00,-0.74,0.0,344.54,"30,393.00",349.24,"10,471,619.40",188,-5.98,11.0,-1.71,3.21,-0.37,589.00,296.10,,
2025/09/03,13,BARUN,21.52,345.0,345.0,333.0,334.0,333.50,0.5,0.0,337.61,"36,573.00",343.26,"12,347,505.20",245,-9.26,12.0,-2.7,3.6,-1.08,589.00,296.10,,
2025/09/04,13,BARUN,20.96,340.0,340.0,328.1,330.66,331.00,-0.34,0.0,330.43,"40,126.00",334.00,"13,259,006.80",251,-3.34,11.9,-1.0,3.63,0.07,589.00,296.10,,
2025/09/07,13,BARUN,22.48,328.0,331.8,325.6,327.5,329.00,-1.5,0.0,328.59,"28,502.00",330.66,"9,365,594.60",168,-3.16,6.2,-0.96,1.9,-0.33,589.00,296.10,,
2025/09/08,13,BARUN,30.76,328.0,328.9,315.0,315.7,315.40,0.3,0.0,319.14,"58,850.00",327.50,"18,781,565.60",262,-11.8,13.9,-3.6,4.41,-1.09,589.00,296.10,,
2025/09/18,10,BARUN,24.53,309.4,310.0,298.0,298.0,298.00,0.0,0.0,307.21,"4,220.00",315.70,"1,296,440.00",18,-17.7,12.0,-5.61,4.03,-3.09,589.00,296.10,,
2025/09/21,13,BARUN,40.21,292.1,325.0,292.1,320.56,323.00,-2.44,-0.01,316.68,"79,574.00",298.00,"25,199,668.50",401,22.56,32.90,7.57,11.26,1.21,589.00,292.10,,
2025/09/23,13,BARUN,40.68,326.0,336.0,325.0,333.0,333.00,0.0,0.0,332.01,"50,717.00",320.56,"16,838,330.10",273,12.44,11.0,3.88,3.38,0.3,589.00,292.10,,
2025/09/24,12,BARUN,37.3,333.0,335.0,326.5,327.0,327.00,0.0,0.0,328.59,"23,042.00",333.00,"7,571,362.80",146,-6.00,8.5,-1.8,2.6,-0.49,589.00,292.10,,
2025/09/25,13,BARUN,33.23,321.1,332.0,321.1,324.0,324.00,0.0,0.0,326.47,"18,462.00",327.00,"6,027,289.90",104,-3.0,10.9,-0.92,3.39,-0.76,589.00,292.10,438.68,445.93
2025/07/30,13,BARUN,31.96,398.0,409.0,393.1,398.31,398.00,0.31,0.0,402.27,"202,949.00",397.15,"81,640,940.60",853,1.16,15.9,0.29,4.04,-1.0,589.00,296.10,,
2025/07/31,13,BARUN,34.36,400.0,403.8,388.0,389.39,389.00,0.39,0.0,393.97,"103,878.00",398.31,"40,924,326.60",584,-8.92,15.8,-2.24,4.07,-1.17,589.00,296.10,,
2025/08/03,13,BARUN,32.58,383.0,388.8,376.0,377.17,377.00,0.17,0.0,382.26,"94,736.00",389.39,"36,213,904.70",566,-12.22,12.8,-3.14,3.4,-1.35,589.00,296.10,,
2025/08/04,13,BARUN,32.72,375.0,383.9,368.0,374.73,375.00,-0.27,0.0,374.07,"100,911.00",377.17,"37,748,031.00",554,-2.44,15.9,-0.65,4.32,0.18,589.00,296.10,,
2025/08/05,13,BARUN,34.21,378.0,380.0,361.0,362.53,366.00,-3.47,-0.01,367.95,"91,324.00",374.73,"33,602,431.00",485,-12.2,19.0,-3.26,5.26,-1.49,589.00,296.10,,
2025/08/06,13,BARUN,29.11,362.6,367.0,355.0,356.54,355.00,1.54,0.0,361.25,"73,727.00",362.53,"26,634,164.10",365,-5.99,12.00,-1.65,3.38,-1.32,589.00,296.10,,
2025/08/07,13,BARUN,42.3,363.6,392.1,363.0,391.41,392.00,-0.59,0.0,383.19,"252,997.00",356.54,"96,945,083.60","1,187",34.87,29.1,9.78,8.02,2.1,589.00,296.10,,
2025/08/11,13,BARUN,40.37,399.0,407.1,379.4,381.72,380.00,1.72,0.0,389.62,"96,404.00",391.41,"37,561,332.81",572,-9.69,27.7,-2.48,7.3,-2.07,589.00,296.10,,
2025/08/12,13,BARUN,40.6,389.3,389.3,366.1,370.98,374.90,-3.92,-0.01,372.83,"133,205.00",381.72,"49,662,292.10",595,-10.74,23.2,-2.81,6.34,-0.5,589.00,296.10,,
2025/08/13,12,BARUN,41.47,378.0,389.9,367.6,378.32,381.00,-2.68,-0.01,379.70,"94,905.00",370.98,"36,035,532.80",439,7.34,22.3,1.98,6.07,-0.37,589.00,296.10,,
2025/08/14,13,BARUN,30.14,385.0,385.8,372.0,377.82,378.00,-0.18,0.0,376.33,"50,776.00",378.32,"19,108,325.20",287,-0.5,13.8,-0.13,3.71,0.4,589.00,296.10,,
2025/08/17,12,BARUN,30.44,379.0,385.3,366.0,367.05,366.00,1.05,0.0,372.59,"92,414.00",377.82,"34,432,147.10",364,-10.77,19.3,-2.85,5.27,-1.51,589.00,296.10,,
2025/08/18,15,BARUN,31.13,374.0,379.3,364.7,370.59,372.00,-1.41,0.0,370.54,"61,525.00",367.05,"22,797,403.20",304,3.54,14.6,0.96,4.0,0.01,589.00,296.10,,
2025/08/19,12,BARUN,34.21,378.0,378.0,366.1,367.81,369.00,-1.19,0.0,370.12,"68,083.00",370.59,"25,198,664.30",264,-2.78,11.9,-0.75,3.25,-0.63,589.00,296.10,,
2025/08/20,13,BARUN,29.67,365.5,372.7,365.5,368.75,368.60,0.15,0.0,369.10,"40,547.00",367.81,"14,965,813.40",192,0.94,7.2,0.26,1.97,-0.09,589.00,296.10,,
2025/08/21,13,BARUN,28.34,376.0,376.0,363.0,363.91,365.00,-1.09,0.0,364.91,"45,896.00",368.75,"16,747,923.80",222,-4.84,13.0,-1.31,3.58,-0.27,589.00,296.10,,
2025/07/07,12,BARUN,34.28,426.1,448.0,421.5,425.87,430.00,-4.13,-0.01,433.85,"411,469.00",434.75,"178,514,607.10","1,313",-8.88,26.5,-2.04,6.29,-1.87,589.00,290.00,,
2025/07/08,12,BARUN,32.83,434.0,435.0,414.0,425.76,422.00,3.76,0.01,423.16,"212,330.00",425.87,"89,849,636.20",698,-0.11,21.0,-0.03,5.07,0.61,589.00,290.00,,
2025/07/09,12,BARUN,37.58,430.0,458.9,430.0,452.2,453.20,-1.0,0.0,447.90,"330,706.00",425.76,"148,121,604.20","1,547",26.44,28.9,6.21,6.72,0.95,589.00,290.00,,
2025/07/10,13,BARUN,37.64,444.0,461.0,440.0,443.5,449.00,-5.5,-0.01,448.22,"350,012.00",452.20,"156,881,914.30","1,162",-8.7,21.0,-1.92,4.77,-1.06,589.00,292.00,,
2025/07/13,13,BARUN,30.82,452.3,461.0,422.0,425.32,425.30,0.02,0.0,430.68,"290,839.00",443.50,"125,258,207.40","1,086",-18.18,39.0,-4.1,9.24,-1.26,589.00,296.00,,
2025/07/14,13,BARUN,32.0,418.0,430.0,414.0,416.7,425.00,-8.3,-0.02,419.11,"239,551.00",425.32,"100,399,156.10",885,-8.62,16.00,-2.03,3.86,-0.58,589.00,296.00,,
2025/07/15,13,BARUN,30.09,409.0,435.0,409.0,424.72,422.00,2.72,0.01,428.92,"243,869.00",416.70,"104,599,828.80",757,8.02,26.00,1.92,6.36,-0.99,589.00,296.00,,
2025/07/16,13,BARUN,26.39,433.0,433.0,415.5,418.13,417.20,0.93,0.0,419.58,"199,925.00",424.72,"83,883,849.00",822,-6.59,17.5,-1.55,4.21,-0.35,589.00,296.10,,
2025/07/17,12,BARUN,29.18,409.8,449.8,409.8,420.95,420.00,0.95,0.0,423.68,"285,721.00",418.13,"121,055,021.10","1,159",2.82,40.00,0.67,9.76,-0.65,589.00,296.10,,
2025/07/20,12,BARUN,28.92,429.0,429.0,411.0,413.07,411.00,2.07,0.01,419.09,"243,151.00",420.95,"101,900,981.50",924,-7.88,18.0,-1.87,4.38,-1.46,589.00,296.10,,
2025/07/21,13,BARUN,24.79,413.0,419.0,401.8,404.61,405.00,-0.39,0.0,407.48,"186,381.00",413.07,"75,945,771.90",847,-8.46,17.2,-2.05,4.28,-0.71,589.00,296.10,,
2025/07/22,13,BARUN,27.41,400.0,416.0,400.0,405.63,406.00,-0.37,0.0,407.45,"186,485.00",404.61,"75,982,862.30",953,1.02,16.0,0.25,4.0,-0.45,589.00,296.10,,
2025/07/23,13,BARUN,30.19,406.0,418.1,401.0,413.87,413.00,0.87,0.0,412.52,"160,793.00",405.63,"66,329,980.00",685,8.24,17.10,2.03,4.26,0.33,589.00,296.10,,
2025/07/24,13,BARUN,30.24,421.0,421.0,410.7,412.68,412.00,0.68,0.0,414.69,"130,223.00",413.87,"54,001,559.90",584,-1.19,10.3,-0.29,2.51,-0.49,589.00,296.10,,
2025/07/27,13,BARUN,30.27,418.0,419.0,405.0,405.64,405.10,0.54,0.0,410.15,"183,596.00",412.68,"75,302,778.10",726,-7.04,14.0,-1.71,3.46,-1.11,589.00,296.10,,
2025/07/28,13,BARUN,29.8,405.0,411.9,400.0,403.13,404.00,-0.87,0.0,403.26,"161,779.00",405.64,"65,238,931.30",667,-2.51,11.9,-0.62,2.98,-0.03,589.00,296.10,,
2025/06/12,13,BARUN,44.2,325.0,346.0,324.0,335.7,336.00,-0.3,0.0,334.87,"360,344.00",323.79,"120,669,209.80","1,208",11.91,22.0,3.68,6.79,0.25,589.00,279.30,,
2025/06/15,13,BARUN,47.88,335.0,369.2,335.0,368.74,369.20,-0.46,0.0,357.30,"405,386.00",335.70,"144,846,404.80","1,786",33.04,34.2,9.84,10.21,3.1,589.00,290.00,,
2025/06/16,13,BARUN,48.19,373.0,395.0,358.2,374.79,375.90,-1.11,0.0,378.75,"404,153.00",368.74,"153,074,459.10","1,794",6.05,36.8,1.64,10.27,-1.06,589.00,290.00,,
2025/06/17,13,BARUN,45.06,374.0,381.0,361.0,366.7,367.90,-1.2,0.0,366.11,"150,066.00",374.79,"54,940,973.20",773,-8.09,20.0,-2.16,5.54,0.16,589.00,290.00,,
2025/06/18,13,BARUN,45.8,374.0,392.0,361.0,387.92,390.00,-2.08,-0.01,376.93,"271,048.00",366.70,"102,167,381.40","1,018",21.22,31.0,5.79,8.59,2.83,589.00,290.00,,
2025/06/19,13,BARUN,43.2,388.1,393.0,368.0,371.75,373.00,-1.25,0.0,379.97,"182,248.00",387.92,"69,247,879.80",782,-16.17,25.00,-4.17,6.79,-2.21,589.00,290.00,,
2025/06/22,13,BARUN,38.67,372.0,384.0,360.1,363.27,369.00,-5.73,-0.02,370.67,"220,660.00",371.75,"81,792,213.70",781,-8.48,23.90,-2.28,6.64,-2.04,589.00,290.00,,
2025/06/23,13,BARUN,39.49,370.0,385.0,360.6,382.42,383.00,-0.58,0.0,374.90,"155,833.00",363.27,"58,421,589.00",594,19.15,24.40,5.27,6.77,1.97,589.00,290.00,,
2025/06/24,13,BARUN,36.08,390.0,390.0,368.0,370.54,374.80,-4.26,-0.01,375.58,"101,960.00",382.42,"38,293,805.10",463,-11.88,22.00,-3.11,5.98,-1.36,589.00,290.00,,
2025/06/25,13,BARUN,32.49,377.9,377.9,366.0,368.95,370.10,-1.15,0.0,368.98,"100,504.00",370.54,"37,083,834.20",350,-1.59,11.9,-0.43,3.25,-0.01,589.00,290.00,,
2025/06/26,13,BARUN,33.23,321.1,332.0,321.1,324.0,324.00,0.0,0.0,326.47,"18,462.00",327.00,"6,027,289.90",104,-3.0,10.9,-0.92,3.39,-0.76,589.00,292.10,438.68,445.93
2025/06/29,13,BARUN,44.87,409.8,432.4,407.0,417.75,413.60,4.15,0.01,422.49,"482,013.00",401.88,"203,645,044.80","2,253",15.87,25.4,3.95,6.24,-1.13,589.00,290.00,,
2025/06/30,13,BARUN,43.53,410.0,416.9,401.8,412.48,411.20,1.28,0.0,408.25,"394,714.00",417.75,"161,142,798.60","1,486",-5.27,15.10,-1.26,3.76,1.03,589.00,290.00,,
2025/07/01,13,BARUN,41.0,420.0,450.8,415.0,447.18,450.00,-2.82,-0.01,436.59,"499,222.00",412.48,"217,955,728.60","1,962",34.70,35.8,8.41,8.63,2.37,589.00,290.00,,
2025/07/02,13,BARUN,42.49,450.0,470.0,437.0,459.52,458.00,1.52,0.0,456.76,"323,119.00",447.18,"147,586,761.60","1,442",12.34,33.0,2.76,7.55,0.6,589.00,290.00,,
2025/07/03,13,BARUN,43.58,450.4,473.0,439.0,445.87,440.00,5.87,0.01,452.54,"394,434.00",459.52,"178,496,821.30","1,356",-13.65,34.0,-2.97,7.74,-1.5,589.00,290.00,,
2025/05/18,12,BARUN,30.2,529.2,550.0,529.2,532.96,530.00,2.96,0.01,541.99,"112,491.00",539.89,"60,969,263.10",383,-6.93,20.8,-1.28,3.93,-1.69,589.00,230.30,,
2025/05/19,13,BARUN,33.51,542.0,548.9,532.0,538.36,535.10,3.26,0.01,541.02,"109,982.00",532.96,"59,502,937.40",406,5.4,16.90,1.01,3.18,-0.49,589.00,230.30,,
2025/05/20,12,BARUN,41.42,528.0,549.0,528.0,539.77,540.00,-0.23,0.0,542.57,"120,516.00",538.36,"65,387,802.30",376,1.41,21.0,0.26,3.98,-0.52,589.00,230.30,,
2025/05/21,13,BARUN,33.23,321.1,332.0,321.1,324.0,324.00,0.0,0.0,326.47,"18,462.00",327.00,"6,027,289.90",104,-3.0,10.9,-0.92,3.39,-0.76,589.00,292.10,438.68,445.93
2025/05/22,12,BARUN,28.68,538.0,539.0,514.1,516.13,515.00,1.13,0.0,520.78,"174,507.00",530.49,"90,880,470.80",852,-14.36,24.90,-2.71,4.84,-0.9,589.00,230.30,,
2025/05/25,12,BARUN,29.37,525.0,525.0,507.0,512.44,512.00,0.44,0.0,512.86,"87,986.00",516.13,"45,124,445.40",372,-3.69,18.0,-0.71,3.55,-0.08,589.00,230.30,,
2025/05/26,13,BARUN,27.04,522.0,531.9,508.1,509.5,508.10,1.4,0.0,511.65,"55,659.00",512.44,"28,477,668.00",376,-2.94,23.8,-0.57,4.68,-0.42,589.00,230.30,,
2025/05/27,14,BARUN,29.3,509.6,520.0,505.3,510.59,512.90,-2.31,0.0,512.22,"59,476.00",509.50,"30,464,534.90",263,1.09,14.7,0.21,2.91,-0.32,589.00,230.30,,
2025/05/28,13,BARUN,33.17,518.9,523.8,514.0,518.95,519.00,-0.05,0.0,518.45,"91,686.00",510.59,"47,534,856.70",578,8.36,9.8,1.64,1.91,0.1,589.00,230.30,,
2025/06/02,12,BARUN,38.53,529.0,529.0,508.1,510.42,508.10,2.32,0.0,514.78,"107,780.00",518.95,"55,482,855.10",683,-8.53,20.90,-1.64,4.11,-0.85,589.00,230.30,,
2025/06/03,13,BARUN,34.92,500.4,516.0,490.5,492.48,490.90,1.58,0.0,498.79,"122,344.00",510.42,"61,023,989.00",833,-17.94,25.5,-3.51,5.2,-1.28,589.00,230.30,,
2025/06/04,13,BARUN,34.88,493.0,502.0,479.0,480.72,481.00,-0.28,0.0,487.97,"412,294.00",492.48,"201,187,895.40","2,078",-11.76,23.0,-2.39,4.8,-1.51,589.00,230.30,,
2025/06/05,13,BARUN,32.51,296.1,319.3,296.1,319.28,319.30,-0.02,0.0,316.42,"437,031.00",290.36,"138,286,726.70","1,886",28.92,23.2,9.96,7.84,0.89,589.00,230.30,,
2025/06/08,14,BARUN,27.5,319.0,324.0,309.0,316.47,316.00,0.47,0.0,314.25,"114,441.00",319.28,"35,962,530.40",631,-2.81,15.0,-0.88,4.85,0.7,589.00,230.30,,
2025/06/09,13,BARUN,28.49,322.7,322.7,308.7,309.85,308.70,1.15,0.0,313.05,"157,808.00",316.47,"49,401,148.30",635,-6.62,14.0,-2.09,4.54,-1.03,589.00,230.30,,
2025/06/10,12,BARUN,25.24,316.0,316.0,304.0,309.94,309.50,0.44,0.0,311.53,"137,293.00",309.85,"42,770,213.40",491,0.09,12.0,0.03,3.95,-0.51,589.00,231.00,,
2024/08/12,13,BARUN,58.01,393.0,400.0,384.0,390.0,390.00,0.0,0.0,390.96,"184,407.00",393.00,"72,094,852.20",729,-3.0,16.00,-0.76,4.17,-0.24,422.00,191.10,,
2024/09/09,12,BARUN,38.41,350.0,354.0,341.0,342.0,342.00,0.0,0.0,345.66,"28,258.00",350.00,"9,767,694.50",190,-8.00,13.0,-2.29,3.81,-1.07,431.20,191.10,,
2024/10/07,12,BARUN,-,358.0,370.0,355.0,357.0,357.00,0.0,0.0,360.02,"17,271.00",358.00,"6,217,828.80",113,-1.00,15.00,-0.28,4.23,-0.84,431.20,191.10,,
2024/11/10,13,BARUN,-,392.0,400.0,392.0,397.9,397.90,0.0,0.0,396.60,"141,978.00",392.00,"56,307,884.10",331,5.9,8.00,1.51,2.04,0.33,431.20,191.10,,
2024/12/04,12,BARUN,37.8,458.0,464.0,447.9,448.0,448.00,0.0,0.0,455.87,"93,116.00",457.00,"42,448,882.20",537,-9.0,16.1,-1.97,3.59,-1.76,472.00,202.30,,
2025/01/01,12,BARUN,29.85,391.0,393.4,385.1,393.0,393.00,0.0,0.0,390.10,"34,264.00",386.00,"13,366,414.00",138,7.0,8.3,1.81,2.16,0.74,472.00,211.00,,
2025/01/27,13,BARUN,41.41,471.8,478.9,455.7,457.0,457.00,0.0,0.0,468.08,"240,606.00",465.00,"112,623,384.00",945,-8.00,23.20,-1.72,5.09,-2.42,478.90,211.00,,
2025/02/24,13,BARUN,27.75,458.7,479.4,458.7,469.5,469.50,0.0,0.0,472.03,"84,184.00",468.00,"39,737,307.90",429,1.50,20.70,0.32,4.51,-0.54,524.00,211.00,,
2025/03/23,12,BARUN,25.36,490.6,512.0,490.6,503.46,504.00,-0.54,0.0,505.08,"129,509.00",500.56,"65,411,852.40",590,2.9,21.4,0.58,4.36,-0.32,550.00,211.00,,
2025/04/20,13,BARUN,39.01,556.0,561.0,547.2,556.74,555.00,1.74,0.0,554.84,"259,021.00",556.90,"143,714,195.40",597,-0.16,13.8,-0.03,2.52,0.34,573.80,211.00,,
2025/05/15,12,BARUN,36.18,523.0,560.0,520.0,539.89,543.90,-4.01,-0.01,530.70,"101,666.00",525.20,"53,954,130.70",360,14.69,40.0,2.8,7.69,1.7,589.00,226.10,,
2025/06/11,13,BARUN,28.46,316.1,339.0,308.0,323.79,319.90,3.89,0.01,322.33,"266,879.00",309.94,"86,023,141.10",782,13.85,31.00,4.47,10.06,0.45,589.00,251.00,,
2025/07/06,13,BARUN,34.11,454.7,455.0,433.0,434.75,433.50,1.25,0.0,441.11,"332,394.00",445.87,"146,622,528.00","1,341",-11.12,22.0,-2.49,5.08,-1.46,589.00,290.00,,
2025/07/29,13,BARUN,37.4,408.0,409.9,396.4,397.15,397.00,0.15,0.0,401.21,"175,052.00",403.13,"70,232,415.40",824,-5.98,13.50,-1.48,3.41,-1.02,589.00,296.10,,
2025/08/24,13,BARUN,32.06,369.8,369.8,354.0,355.57,358.00,-2.43,-0.01,358.57,"62,759.00",363.91,"22,503,598.70",297,-8.34,15.8,-2.29,4.46,-0.84,589.00,296.10,,
2025/04/21,12,BARUN,38.76,545.7,574.0,545.7,560.37,560.00,0.37,0.0,563.82,"229,878.00",556.74,"129,610,724.20",645,3.63,28.3,0.65,5.19,-0.62,574.00,211.00,,
