Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025/08/26,23,BNL,30.69,16500.0,16500.0,16170.1,16170.1,"16,170.10",0.0,0.0,"16,335.05",20.00,"16,500.00","326,701.00",2,-329.9,329.9,-2.0,2.04,-1.02,"22,500.00","14,900.00"
2025/08/27,23,BNL,33.07,16400.0,16410.0,16400.0,16410.0,"16,410.00",0.0,0.0,"16,405.00",20.00,"16,170.10","328,100.00",2,239.90,10.0,1.48,0.06,0.03,"22,500.00","14,900.00"
2025/08/28,22,BNL,31.1,16084.0,16084.0,16082.0,16082.0,"16,082.00",0.0,0.0,"16,083.00",32.00,"16,410.00","514,656.00",3,-328.0,2.0,-2.0,0.01,-0.01,"22,500.00","14,900.00"
2025/09/03,23,BNL,31.91,16400.0,16400.0,16075.0,16075.0,"16,075.00",0.0,0.0,"16,140.00",50.00,"16,082.00","807,000.00",3,-7.0,325.0,-0.04,2.02,-0.4,"22,500.00","14,900.00"
2025/09/07,23,BNL,29.98,15754.0,15754.0,15753.5,15753.75,"15,753.50",0.25,0.0,"15,753.75",20.00,"16,075.00","315,075.00",2,-321.25,0.5,-2.0,0.0,0.0,"22,500.00","14,900.00"
2025/09/21,23,BNL,31.86,15800.0,15800.0,15800.0,15800.0,"15,800.00",0.0,0.0,"15,800.00",10.00,"15,753.75","158,000.00",1,46.25,0.00,0.29,0.0,0.0,"22,500.00","14,900.00"
2025/09/23,23,BNL,32.11,15800.0,15800.0,15700.0,15700.0,"15,700.00",0.0,0.0,"15,750.00",20.00,"15,800.00","315,000.00",2,-100.00,100.0,-0.63,0.64,-0.32,"22,500.00","14,900.00"
2025/07/31,22,BNL,28.93,16700.0,17000.0,16700.0,17000.0,"17,000.00",0.0,0.0,"16,850.00",20.00,"16,980.50","337,000.00",2,19.5,300.0,0.11,1.8,0.88,"22,500.00","14,900.00"
2025/08/03,22,BNL,28.51,16666.0,16666.0,16666.0,16666.0,"16,666.00",0.0,0.0,"16,666.00",25.00,"17,000.00","416,650.00",2,-334.0,0.0,-1.96,0.0,0.0,"22,500.00","14,900.00"
2025/08/04,22,BNL,28.28,16999.3,17099.0,16999.3,17049.15,"17,099.00",-49.85,0.0,"17,049.15",20.00,"16,666.00","340,983.00",2,383.15,99.7,2.3,0.59,0.0,"22,500.00","14,900.00"
2025/08/05,22,BNL,32.68,17275.0,17275.0,16929.5,16929.5,"16,929.50",0.0,0.0,"17,102.25",20.00,"17,049.15","342,045.00",2,-119.65,345.5,-0.7,2.04,-1.02,"22,500.00","14,900.00"
2025/08/06,22,BNL,32.49,17200.0,17200.0,17200.0,17200.0,"17,200.00",0.0,0.0,"17,200.00",10.00,"16,929.50","172,000.00",1,270.50,0.00,1.6,0.0,0.0,"22,500.00","14,900.00"
2025/08/11,23,BNL,40.64,17400.0,17400.0,17100.0,17400.0,"17,400.00",0.0,0.0,"17,183.28",180.00,"17,200.00","3,092,990.00",6,200.0,300.0,1.16,1.75,1.25,"22,500.00","14,900.00"
2025/08/12,22,BNL,23.12,17052.0,17052.0,16711.0,16711.0,"16,711.00",0.0,0.0,"16,881.50",20.00,"17,400.00","337,630.00",2,-689.0,341.0,-3.96,2.04,-1.02,"22,500.00","14,900.00"
2025/08/18,24,BNL,25.85,16711.0,16711.0,16500.0,16500.0,"16,500.00",0.0,0.0,"16,605.50",20.00,"16,711.00","332,110.00",2,-211.0,211.0,-1.26,1.28,-0.64,"22,500.00","14,900.00"
2025/07/07,21,BNL,38.05,16000.4,16000.4,15800.0,15800.05,"15,800.00",0.05,0.0,"15,920.16",50.00,"16,320.00","796,008.00",5,-519.95,200.4,-3.19,1.27,-0.76,"22,500.00","14,900.00"
2025/07/08,21,BNL,39.76,16000.0,16000.0,16000.0,16000.0,"16,000.00",0.0,0.0,"16,000.00",10.00,"15,800.05","160,000.00",1,199.95,0.0,1.27,0.0,0.0,"22,500.00","14,900.00"
2025/07/09,21,BNL,49.43,16316.8,16412.0,16085.1,16085.4,"16,085.10",0.3,0.0,"16,265.25",80.00,"16,000.00","1,301,220.00",8,85.4,326.9,0.53,2.03,-1.12,"22,500.00","14,900.00"
