Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,18,CBBL,58.79,1725.0,1775.0,1718.0,1759.0,"1,742.18","28,934.00","1,725.00","50,408,277.30",473,34.0,57.0,1.97,3.32,0.96,"2,065.20","1,123.00",,
2021/10/31,17,CBBL,60.28,1794.0,1794.0,1770.0,1784.0,"1,786.72","56,738.00","1,759.00","101,375,180.70",550,25.00,24.00,1.42,1.36,-0.15,"2,065.20","1,133.00",,
2021/11/01,16,CBBL,54.01,1818.0,1818.0,1750.0,1765.0,"1,766.26","25,099.00","1,784.00","44,331,307.90",441,-19.0,68.0,-1.07,3.89,-0.07,"2,065.20","1,133.00",,
2021/11/02,17,CBBL,54.56,1779.0,1779.0,1748.0,1768.0,"1,762.26","14,950.00","1,765.00","26,345,732.80",241,3.0,31.0,0.17,1.77,0.32,"2,065.20","1,133.00",,
2021/11/03,16,CBBL,52.36,1786.0,1797.0,1765.0,1780.0,"1,780.10","21,222.00","1,768.00","37,777,256.30",307,12.0,32.0,0.68,1.81,-0.01,"2,065.20","1,133.00",,
2021/11/08,17,CBBL,48.28,1767.0,1792.2,1752.0,1760.0,"1,767.10","10,754.00","1,780.00","19,003,360.10",210,-20.0,40.2,-1.12,2.29,-0.4,"2,065.20","1,133.00",,
2021/11/09,16,CBBL,46.78,1755.0,1755.0,1711.0,1718.0,"1,725.49","23,902.00","1,760.00","41,242,663.80",363,-42.0,44.0,-2.39,2.57,-0.44,"2,065.20","1,133.00",,
2021/11/11,17,CBBL,41.98,1700.0,1715.0,1680.0,1684.0,"1,690.59","14,651.00","1,718.00","24,768,885.40",350,-34.0,35.0,-1.98,2.08,-0.39,"2,065.20","1,133.00",,
2021/11/14,27,CBBL,64.72,983.0,997.0,975.0,990.3,989.28,"22,625.00",984.00,"22,382,359.00",345,6.30,22.00,0.64,2.26,0.1,"1,025.00",800.00,850.30,866.23
2021/11/15,16,CBBL,48.1,1754.0,1788.0,1715.0,1727.0,"1,723.07","41,074.00","1,720.00","70,773,548.60",431,7.00,73.00,0.41,4.26,0.23,"2,065.20","1,133.00",,
2021/11/16,16,CBBL,60.95,1761.5,1761.5,1725.0,1745.0,"1,734.69","27,130.00","1,727.00","47,062,085.50",344,18.00,36.50,1.04,2.12,0.59,"2,065.20","1,133.00",,
2021/11/17,17,CBBL,60.67,1760.0,1770.0,1749.0,1755.0,"1,757.75","25,222.00","1,745.00","44,333,879.50",325,10.00,21.00,0.57,1.2,-0.16,"2,065.20","1,133.00",,
2021/11/18,16,CBBL,64.79,1790.1,1850.0,1720.0,1761.0,"1,771.78","97,600.00","1,755.00","172,925,777.10","1,463",6.0,130.0,0.34,7.56,-0.61,"2,065.20","1,133.00",,
2021/11/21,17,CBBL,48.72,1796.2,1796.2,1743.0,1748.0,"1,751.28","23,560.00","1,761.00","41,260,255.80",376,-13.0,53.2,-0.74,3.05,-0.19,"2,065.20","1,133.00",,
2021/11/22,17,CBBL,41.51,1760.0,1760.0,1728.0,1730.0,"1,741.82","19,181.00","1,748.00","33,409,834.80",307,-18.0,32.0,-1.03,1.85,-0.68,"2,065.20","1,133.00",,
2021/11/23,16,CBBL,41.16,1740.0,1749.0,1710.0,1720.0,"1,720.12","18,005.00","1,730.00","30,970,802.70",308,-10.0,39.0,-0.58,2.28,-0.01,"2,065.20","1,133.00",,
2021/11/24,16,CBBL,41.76,1705.0,1721.0,1690.0,1712.0,"1,701.56","13,621.00","1,720.00","23,176,882.80",278,-8.00,31.0,-0.47,1.83,0.61,"2,065.20","1,133.00",,
2021/11/25,17,CBBL,43.76,1713.0,1716.0,1670.0,1685.0,"1,689.19","24,833.00","1,712.00","41,947,571.20",436,-27.0,46.0,-1.58,2.75,-0.25,"2,065.20","1,133.00",,
2021/11/28,16,CBBL,40.33,1670.0,1684.9,1640.1,1644.5,"1,654.25","24,775.00","1,685.00","40,984,155.70",477,-40.5,44.8,-2.4,2.73,-0.59,"2,065.20","1,133.00",,
2021/11/29,16,CBBL,37.7,1620.0,1672.0,1612.0,1628.0,"1,635.04","15,874.00","1,644.50","25,954,626.90",337,-16.5,60.0,-1.0,3.72,-0.43,"2,065.20","1,133.00",,
2021/11/30,18,CBBL,38.23,1628.0,1640.0,1615.0,1626.9,"1,622.37","14,477.00","1,628.00","23,487,068.30",243,-1.1,25.0,-0.07,1.55,0.28,"2,065.20","1,133.00",,
2021/12/01,16,CBBL,41.03,1649.0,1649.0,1627.0,1628.0,"1,631.57","7,590.00","1,626.90","12,383,629.80",157,1.1,22.0,0.07,1.35,-0.22,"2,065.20","1,133.00",,
2021/12/02,17,CBBL,44.22,1635.0,1650.0,1600.0,1600.5,"1,610.71","14,545.00","1,628.00","23,427,742.20",296,-27.5,50.0,-1.69,3.13,-0.64,"2,065.20","1,133.00",,
2021/12/05,17,CBBL,43.34,1602.0,1602.0,1565.0,1573.0,"1,582.26","20,486.00","1,600.50","32,414,211.50",349,-27.5,37.0,-1.72,2.36,-0.59,"2,065.20","1,133.00",,
2021/12/06,16,CBBL,44.85,1560.0,1575.0,1499.9,1573.0,"1,543.47","21,457.00","1,573.00","33,118,242.00",442,0.0,75.10,0.0,5.01,1.88,"2,065.20","1,133.00",,
2021/12/07,17,CBBL,40.06,1585.0,1600.0,1545.0,1545.0,"1,567.87","15,386.00","1,573.00","24,123,190.90",338,-28.0,55.00,-1.78,3.56,-1.48,"2,065.20","1,133.00",,
2021/12/08,17,CBBL,35.86,1536.0,1556.0,1511.0,1515.0,"1,528.38","9,245.00","1,545.00","14,129,888.90",239,-30.0,45.00,-1.94,2.98,-0.88,"2,065.20","1,133.00",,
2021/12/09,17,CBBL,37.28,1520.0,1520.0,1495.0,1515.0,"1,512.74","11,536.00","1,515.00","17,450,933.50",255,0.0,25.0,0.0,1.67,0.15,"2,065.20","1,133.00",,
2021/12/12,16,CBBL,34.27,1520.0,1520.0,1475.0,1476.0,"1,486.30","13,642.00","1,515.00","20,276,083.50",305,-39.00,45.00,-2.57,3.05,-0.7,"2,065.20","1,133.00",,
2021/12/13,16,CBBL,38.11,1475.1,1475.1,1390.0,1405.0,"1,427.90","27,220.00","1,476.00","38,867,520.70",547,-71.00,85.10,-4.81,6.12,-1.63,"2,065.20","1,133.00",,
2021/12/14,16,CBBL,44.24,1420.0,1510.0,1420.0,1510.0,"1,474.62","11,990.00","1,405.00","17,680,743.60",243,105.00,90.00,7.47,6.34,2.34,"2,065.20","1,133.00",,
2021/12/15,17,CBBL,49.19,1539.0,1630.0,1500.0,1544.0,"1,551.40","26,892.00","1,510.00","41,720,157.60",570,34.0,130.0,2.25,8.67,-0.48,"2,065.20","1,133.00",,
2021/12/16,17,CBBL,46.25,1544.0,1544.0,1511.0,1530.0,"1,530.02","9,374.00","1,544.00","14,342,450.50",241,-14.0,33.0,-0.91,2.18,0.0,"2,065.20","1,133.00",,
2021/12/20,17,CBBL,48.9,1560.6,1560.6,1511.0,1550.0,"1,539.63","22,541.00","1,530.00","34,704,840.60",382,20.0,49.6,1.31,3.28,0.67,"2,065.20","1,133.00",,
2021/12/21,17,CBBL,55.32,1581.0,1581.0,1560.0,1574.9,"1,569.16","37,154.00","1,550.00","58,300,486.90",853,24.9,21.00,1.61,1.35,0.36,"2,065.20","1,133.00",,
2021/12/22,17,CBBL,39.92,1264.8,1290.0,1240.0,1275.0,"1,275.13","34,267.00","1,240.08","43,694,937.00",766,34.92,50.0,2.82,4.03,-0.01,"2,065.20","1,133.00",,
2021/12/23,17,CBBL,38.07,1289.0,1300.0,1275.0,1276.0,"1,282.73","16,036.00","1,275.00","20,569,887.70",391,1.0,25.0,0.08,1.96,-0.53,"2,065.20","1,133.00",,
2021/12/26,27,CBBL,64.72,983.0,997.0,975.0,990.3,989.28,"22,625.00",984.00,"22,382,359.00",345,6.30,22.00,0.64,2.26,0.1,"1,025.00",800.00,850.30,866.23
2021/12/27,17,CBBL,36.29,1290.0,1292.0,1260.0,1263.0,"1,278.84","15,837.00","1,280.00","20,253,007.50",412,-17.0,32.00,-1.33,2.54,-1.25,"2,065.20","1,133.00",,
2021/12/28,17,CBBL,43.99,1260.0,1270.0,1250.0,1254.0,"1,253.01","7,426.00","1,263.00","9,304,871.10",203,-9.0,20.0,-0.71,1.6,0.08,"2,065.20","1,133.00",,
2021/12/29,16,CBBL,43.87,1270.0,1270.0,1245.0,1250.0,"1,250.87","6,148.00","1,254.00","7,690,341.90",179,-4.0,25.00,-0.32,2.01,-0.07,"2,065.20","1,133.00",,
2022/01/02,17,CBBL,48.6,1270.0,1275.0,1250.0,1269.8,"1,263.15","9,042.00","1,250.00","11,421,404.20",215,19.80,25.00,1.58,2.0,0.52,"2,065.20","1,170.00",,
2022/01/03,16,CBBL,55.71,1290.0,1295.0,1275.0,1289.9,"1,288.30","15,366.00","1,269.80","19,796,032.90",345,20.1,20.00,1.58,1.57,0.12,"2,065.20","1,170.00",,
2022/01/04,17,CBBL,54.08,1280.0,1299.0,1271.5,1284.0,"1,290.55","13,741.00","1,289.90","17,733,411.30",268,-5.9,27.50,-0.46,2.16,-0.51,"2,065.20","1,170.00",,
2022/01/05,17,CBBL,52.78,1295.0,1295.0,1255.0,1255.1,"1,268.19","15,261.00","1,284.00","19,353,837.20",332,-28.9,40.0,-2.25,3.19,-1.04,"2,065.20","1,170.00",,
2022/01/06,17,CBBL,51.2,1256.0,1268.0,1248.0,1250.0,"1,254.77","14,433.00","1,255.10","18,110,114.60",326,-5.10,20.00,-0.41,1.6,-0.38,"2,065.20","1,170.00",,
2022/01/09,17,CBBL,56.83,1274.0,1295.0,1268.0,1285.0,"1,281.44","24,085.00","1,250.00","30,863,584.30",412,35.0,27.00,2.8,2.13,0.28,"2,065.20","1,206.00",,
2022/01/10,16,CBBL,62.18,1295.0,1315.0,1285.0,1310.0,"1,302.53","26,131.00","1,285.00","34,036,541.50",403,25.0,30.00,1.95,2.33,0.57,"2,065.20","1,206.00",,
2022/01/11,17,CBBL,67.41,1310.0,1380.0,1301.0,1350.0,"1,343.58","41,926.00","1,310.00","56,330,830.00",515,40.0,79.00,3.05,6.07,0.48,"2,065.20","1,215.00",,
2022/01/12,16,CBBL,66.34,1375.0,1375.0,1325.0,1340.0,"1,350.56","39,380.00","1,350.00","53,184,940.50",506,-10.0,50.00,-0.74,3.77,-0.79,"2,065.20","1,215.00",,
2022/01/13,16,CBBL,69.45,1340.0,1380.0,1325.0,1378.0,"1,343.86","93,595.00","1,340.00","125,778,942.60",442,38.0,55.0,2.84,4.15,2.48,"2,065.20","1,240.00",,
2022/01/16,16,CBBL,65.97,1405.0,1458.0,1390.0,1401.0,"1,411.94","25,726.00","1,378.00","36,323,599.80",482,23.0,68.0,1.67,4.89,-0.78,"2,065.20","1,240.00",,
2022/01/17,16,CBBL,67.46,1424.0,1424.0,1385.0,1400.0,"1,397.89","25,187.00","1,401.00","35,208,544.00",471,-1.0,39.0,-0.07,2.82,0.15,"2,065.20","1,240.00",,
2022/01/18,17,CBBL,66.66,1400.0,1405.0,1370.0,1376.0,"1,389.15","17,150.00","1,400.00","23,823,981.60",361,-24.0,35.0,-1.71,2.55,-0.96,"2,065.20","1,240.00",,
2022/01/19,18,CBBL,59.71,1382.0,1390.0,1355.0,1369.9,"1,373.36","13,418.00","1,376.00","18,427,732.00",279,-6.1,35.0,-0.44,2.58,-0.25,"2,065.20","1,240.00",,
2022/01/20,17,CBBL,48.48,1370.0,1380.0,1355.0,1378.0,"1,368.73","14,267.00","1,369.90","19,527,613.30",260,8.1,25.0,0.59,1.85,0.67,"2,065.20","1,240.00",,
2022/01/23,17,CBBL,50.91,1405.0,1433.0,1370.0,1379.0,"1,385.27","18,222.00","1,378.00","25,242,367.20",390,1.0,63.00,0.07,4.6,-0.45,"2,065.20","1,240.00",,
2022/01/24,17,CBBL,50.14,1406.5,1406.5,1330.0,1335.0,"1,344.65","22,677.00","1,379.00","30,492,680.70",541,-44.0,76.5,-3.19,5.75,-0.72,"2,065.20","1,240.00",,
2022/01/25,18,CBBL,46.78,1361.7,1361.7,1308.0,1340.0,"1,335.61","18,858.00","1,335.00","25,186,901.60",399,5.0,53.70,0.37,4.11,0.33,"2,065.20","1,240.00",,
2022/01/26,18,CBBL,43.27,1340.0,1340.0,1310.0,1320.0,"1,321.04","14,055.00","1,340.00","18,567,204.20",335,-20.0,30.0,-1.49,2.29,-0.08,"2,065.20","1,240.00",,
