Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2021/12/26,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/02/01,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/02/10,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/02/14,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/02/15,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/02/20,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/03/07,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/03/15,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/05/18,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/05/21,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/05/26,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/06/06,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/06/10,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
2022/06/13,28,CCBD88,50.82,1075.2,1096.7,1075.2,1096.7,"1,093.12",60.00,"1,097.10","65,587.00",2,-0.40,21.50,-0.04,2.0,0.33,"1,018.11",983.49,"1,150.00",869.00
