Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,31,CHCL,31.84,514.0,514.0,505.0,506.26,507.00,-0.74,0.0,506.82,"32,131.00",505.90,"16,284,671.30",259,0.36,9.0,0.07,1.78,-0.11,647.00,469.70,,
2025/08/26,30,CHCL,29.63,506.8,511.0,506.0,508.27,508.00,0.27,0.0,508.37,"12,023.00",506.26,"6,112,093.60",154,2.01,5.0,0.4,0.99,-0.02,621.00,469.70,,
2025/08/27,32,CHCL,35.91,518.4,518.5,509.0,517.78,518.00,-0.22,0.0,515.43,"25,894.00",508.27,"13,346,562.90",212,9.51,9.5,1.87,1.87,0.45,621.00,469.70,,
2025/08/28,31,CHCL,36.84,519.0,525.0,509.9,510.16,510.10,0.06,0.0,512.61,"45,569.00",517.78,"23,359,321.00",320,-7.62,15.1,-1.47,2.96,-0.48,620.00,469.70,,
2025/08/31,30,CHCL,36.11,510.0,516.9,504.0,506.07,508.00,-1.93,0.0,505.90,"36,802.00",510.16,"18,618,180.30",322,-4.09,12.9,-0.8,2.56,0.03,610.00,469.70,,
2025/09/01,30,CHCL,38.69,516.1,516.1,500.0,508.22,506.10,2.12,0.0,504.08,"40,378.00",506.07,"20,353,713.50",250,2.15,16.1,0.42,3.22,0.81,610.00,469.70,,
2025/09/02,31,CHCL,33.5,518.3,518.3,502.0,504.71,504.40,0.31,0.0,505.09,"29,145.00",508.22,"14,720,776.00",217,-3.51,16.3,-0.69,3.25,-0.07,610.00,469.70,,
2025/09/03,33,CHCL,32.32,501.0,507.9,501.0,504.28,504.00,0.28,0.0,503.72,"33,681.00",504.71,"16,965,765.10",186,-0.43,6.9,-0.09,1.38,0.11,610.00,469.70,,
2025/09/04,31,CHCL,35.58,502.0,511.0,499.0,503.2,503.00,0.2,0.0,502.52,"49,479.00",504.28,"24,864,362.70",290,-1.08,12.0,-0.21,2.4,0.13,610.00,469.70,,
2025/09/07,34,CHCL,33.56,493.2,503.0,493.2,501.49,501.70,-0.21,0.0,500.40,"35,260.00",503.20,"17,644,236.40",217,-1.71,9.8,-0.34,1.99,0.22,610.00,469.70,,
2025/09/08,30,CHCL,30.18,491.5,505.0,491.5,497.36,498.90,-1.54,0.0,498.23,"27,390.00",501.49,"13,646,413.80",175,-4.13,13.5,-0.82,2.75,-0.17,610.00,469.70,,
2025/09/18,26,CHCL,20.59,488.0,490.0,456.0,464.0,464.00,0.0,0.0,471.73,"10,795.00",497.36,"5,092,344.40",57,-33.36,34.0,-6.71,7.46,-1.67,610.00,456.00,,
2025/09/21,33,CHCL,34.43,460.0,500.0,458.1,491.68,493.00,-1.32,0.0,485.76,"85,259.00",464.00,"41,415,285.10",602,27.68,41.90,5.97,9.15,1.2,610.00,456.00,,
2025/09/23,33,CHCL,40.85,500.0,504.0,490.0,502.2,502.20,0.0,0.0,498.19,"41,659.00",491.68,"20,754,113.80",275,10.52,14.0,2.14,2.86,0.8,610.00,456.00,,
2025/09/24,30,CHCL,31.15,505.0,505.0,495.1,496.0,496.00,0.0,0.0,499.57,"18,374.00",502.20,"9,179,168.90",160,-6.20,9.9,-1.23,2.0,-0.72,610.00,456.00,,
2025/09/25,31,CHCL,33.17,487.0,501.0,487.0,497.0,497.00,0.0,0.0,498.63,"11,872.00",496.00,"5,919,702.40",105,1.0,14.0,0.2,2.87,-0.33,610.00,456.00,513.35,516.94
2025/07/30,28,CHCL,31.94,563.9,563.9,544.1,544.93,545.00,-0.07,0.0,547.85,"124,042.00",554.55,"67,956,550.10",621,-9.62,19.8,-1.73,3.64,-0.54,697.00,469.70,,
2025/07/31,30,CHCL,31.64,545.0,548.9,535.0,537.2,536.10,1.1,0.0,540.97,"121,812.00",544.93,"65,896,188.60",692,-7.73,13.9,-1.42,2.6,-0.7,697.00,469.70,,
2025/08/03,31,CHCL,29.84,537.0,550.0,535.0,538.36,538.50,-0.14,0.0,541.11,"108,426.00",537.20,"58,670,170.30",620,1.16,15.0,0.22,2.8,-0.51,697.00,469.70,,
