Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,24,CHDC,56.0,905.0,949.0,887.0,949.0,915.38,"27,491.00",910.00,"25,164,776.30",417,39.0,62.0,4.29,6.99,3.54,"1,415.00",416.00,,
2021/10/31,24,CHDC,64.65,930.1,979.0,920.0,974.0,956.99,"20,249.00",949.00,"19,378,008.80",370,25.00,59.00,2.63,6.41,1.75,"1,415.00",416.00,,
2021/11/01,22,CHDC,64.9,990.0,990.0,930.0,930.0,947.39,"32,439.00",974.00,"30,732,309.50",409,-44.0,60.0,-4.52,6.45,-1.87,"1,415.00",416.00,,
2021/11/02,23,CHDC,68.83,912.0,945.0,894.0,943.6,922.60,"21,303.00",930.00,"19,654,192.00",296,13.6,51.0,1.46,5.7,2.23,"1,415.00",416.00,,
2021/11/03,23,CHDC,52.49,962.0,975.0,935.0,942.0,951.26,"14,059.00",943.60,"13,373,756.20",234,-1.6,40.0,-0.17,4.28,-0.98,"1,415.00",416.00,,
2021/11/08,23,CHDC,49.77,935.0,960.0,925.0,935.0,940.70,"7,419.00",942.00,"6,979,087.90",192,-7.0,35.0,-0.74,3.78,-0.61,"1,415.00",416.00,,
2021/11/09,22,CHDC,52.72,937.0,937.0,863.1,875.4,893.46,"28,640.00",935.00,"25,588,817.00",412,-59.6,73.9,-6.37,8.56,-2.06,"1,415.00",416.00,,
2021/11/11,23,CHDC,38.67,857.9,889.0,843.0,850.0,858.88,"15,791.00",875.40,"13,562,511.00",266,-25.4,46.0,-2.9,5.46,-1.04,"1,415.00",416.00,,
2021/11/14,32,CHDC,61.8,1410.0,1440.0,1387.0,1406.1,"1,404.54","109,258.00","1,391.00","153,457,284.00",908,15.10,53.00,1.09,3.82,0.11,"1,440.00",627.00,952.27,958.98
2021/11/15,22,CHDC,38.05,850.0,879.0,850.0,868.8,868.51,"15,253.00",850.00,"13,247,333.00",289,18.80,29.00,2.21,3.41,0.03,"1,415.00",416.00,,
2021/11/16,22,CHDC,53.55,886.1,907.0,869.0,907.0,889.63,"20,374.00",868.80,"18,125,294.20",363,38.20,38.00,4.4,4.37,1.92,"1,415.00",416.00,,
2021/11/17,23,CHDC,59.14,912.0,965.0,905.0,923.0,933.09,"22,227.00",907.00,"20,739,693.10",392,16.00,60.00,1.76,6.63,-1.09,"1,415.00",416.00,,
2021/11/18,22,CHDC,54.51,905.1,926.0,892.0,906.0,904.85,"21,455.00",923.00,"19,413,613.90",297,-17.0,34.0,-1.84,3.81,0.13,"1,415.00",416.00,,
2021/11/21,23,CHDC,44.34,898.0,910.0,888.1,900.0,898.46,"11,221.00",906.00,"10,081,606.50",314,-6.0,21.9,-0.66,2.47,0.17,"1,415.00",416.00,,
2021/11/22,24,CHDC,43.18,886.0,918.0,886.0,903.1,904.87,"15,065.00",900.00,"13,631,864.60",320,3.1,32.0,0.34,3.61,-0.2,"1,415.00",416.00,,
2021/11/23,23,CHDC,41.24,885.2,900.0,875.0,885.0,881.56,"17,337.00",903.10,"15,283,631.00",247,-18.1,25.0,-2.0,2.86,0.39,"1,415.00",416.00,,
2021/11/24,22,CHDC,40.22,875.0,890.0,860.0,881.0,876.66,"9,812.00",885.00,"8,601,767.00",248,-4.00,30.0,-0.45,3.49,0.49,"1,415.00",416.00,,
2021/11/25,23,CHDC,38.56,880.0,897.0,872.0,884.0,885.39,"5,221.00",881.00,"4,622,634.20",185,3.0,25.0,0.34,2.87,-0.16,"1,415.00",416.00,,
