Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,37,CLI,35.5,470.0,482.2,470.0,475.74,475.30,0.44,0.0,473.72,"16,206.00",474.67,"7,677,123.10",334,1.07,12.2,0.23,2.6,0.42,774.90,448.20,,
2025/08/26,37,CLI,31.48,477.9,478.0,471.5,475.64,477.00,-1.36,0.0,474.62,"8,212.00",475.74,"3,897,546.70",224,-0.1,6.5,-0.02,1.38,0.22,774.90,448.20,,
2025/08/27,39,CLI,37.17,477.0,483.0,473.0,481.0,482.50,-1.5,0.0,478.75,"17,738.00",475.64,"8,492,142.10",372,5.36,10.0,1.13,2.11,0.47,774.90,448.20,,
2025/08/28,38,CLI,35.88,490.6,490.6,471.1,473.22,474.00,-0.78,0.0,479.55,"20,473.00",481.00,"9,817,811.00",395,-7.78,19.5,-1.62,4.14,-1.34,774.90,448.20,,
2025/08/31,36,CLI,33.41,468.0,475.0,468.0,472.19,473.00,-0.81,0.0,472.13,"14,040.00",473.22,"6,628,694.60",361,-1.03,7.0,-0.22,1.5,0.01,774.90,448.20,,
2025/09/01,37,CLI,31.14,470.0,473.0,466.7,470.57,471.00,-0.43,0.0,469.90,"8,486.00",472.19,"3,987,552.00",319,-1.62,6.3,-0.34,1.35,0.14,774.90,448.20,,
2025/09/02,38,CLI,33.86,468.0,470.0,468.0,469.34,469.90,-0.56,0.0,469.12,"17,077.00",470.57,"8,011,165.70",339,-1.23,2.0,-0.26,0.43,0.05,774.90,448.20,,
2025/09/03,39,CLI,29.05,465.0,473.0,465.0,467.83,468.20,-0.37,0.0,467.70,"11,181.00",469.34,"5,229,325.30",318,-1.51,8.0,-0.32,1.72,0.03,774.90,448.20,,
2025/09/04,38,CLI,34.36,467.83,467.83,461.4,462.95,464.00,-1.05,0.0,463.33,"28,983.00",467.83,"13,428,689.40",371,-4.88,6.43,-1.04,1.39,-0.08,774.90,448.20,,
2025/09/07,41,CLI,28.36,460.1,465.0,460.0,460.92,461.00,-0.08,0.0,461.42,"12,299.00",462.95,"5,675,025.60",356,-2.03,5.0,-0.44,1.09,-0.11,774.90,448.20,,
2025/09/08,38,CLI,31.22,458.5,461.0,454.0,455.07,455.00,0.07,0.0,456.87,"21,810.00",460.92,"9,964,243.90",323,-5.85,7.0,-1.27,1.54,-0.39,774.90,448.20,,
2025/09/18,32,CLI,19.76,447.0,447.0,412.0,412.0,412.00,0.0,0.0,417.44,"3,632.00",455.07,"1,516,126.90",50,-43.07,35.0,-9.46,8.5,-1.32,774.90,412.00,,
2025/09/21,39,CLI,33.97,412.0,450.0,411.0,444.12,444.00,0.12,0.0,432.85,"40,268.00",412.00,"17,430,184.40",703,32.12,39.00,7.8,9.49,2.54,774.90,411.00,,
2025/09/23,40,CLI,37.19,444.0,461.9,442.0,456.7,456.70,0.0,0.0,456.59,"15,528.00",444.12,"7,089,852.40",362,12.58,19.9,2.83,4.5,0.03,774.90,411.00,,
2025/09/24,36,CLI,40.26,448.0,483.9,448.0,468.0,468.00,0.0,0.0,463.17,"16,446.00",456.70,"7,617,298.90",341,11.30,35.9,2.47,8.01,1.03,774.90,411.00,,
2025/09/25,37,CLI,36.36,459.0,468.0,451.0,467.8,467.80,0.0,0.0,459.81,"14,296.00",468.00,"6,573,408.20",194,-0.2,17.0,-0.04,3.77,1.71,774.90,411.00,481.73,553.54
2025/07/30,34,CLI,31.55,521.0,527.0,509.0,510.47,509.00,1.47,0.0,514.98,"42,873.00",520.98,"22,078,635.60",634,-10.51,18.0,-2.02,3.54,-0.88,774.90,448.20,,
2025/07/31,37,CLI,33.67,511.0,512.0,500.0,501.33,501.90,-0.57,0.0,504.52,"68,061.00",510.47,"34,338,408.20",886,-9.14,12.0,-1.79,2.4,-0.64,774.90,448.20,,
2025/08/03,37,CLI,31.26,502.0,503.0,491.0,492.46,493.50,-1.04,0.0,494.51,"54,212.00",501.33,"26,808,141.60",875,-8.87,12.0,-1.77,2.44,-0.42,774.90,448.20,,
2025/08/04,38,CLI,28.68,490.0,499.0,488.0,495.12,497.00,-1.88,0.0,491.86,"35,568.00",492.46,"17,494,303.20",668,2.66,11.0,0.54,2.25,0.66,774.90,448.20,,
2025/08/05,39,CLI,29.42,500.0,500.0,486.0,486.58,486.50,0.08,0.0,490.10,"27,125.00",495.12,"13,294,007.90",538,-8.54,14.0,-1.72,2.88,-0.72,774.90,448.20,,
2025/08/06,39,CLI,25.85,483.0,490.0,480.2,485.23,485.00,0.23,0.0,484.77,"20,709.00",486.58,"10,039,106.80",457,-1.35,9.80,-0.28,2.04,0.09,774.90,448.20,,
