Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,38,CMF2,39.22,10.07,10.39,10.07,10.23,10.39,-0.16,-0.02,10.30,"27,150.00",10.26,"279,643.00",13,-0.03,0.32,-0.29,3.18,-0.68,10.86,9.00,,
2025/08/26,38,CMF2,38.77,10.23,10.35,10.15,10.27,10.27,0.0,0.0,10.31,"18,200.00",10.23,"187,713.00",10,0.04,0.2,0.39,1.97,-0.43,10.86,9.00,,
2025/08/27,40,CMF2,27.6,10.1,10.3,10.1,10.3,10.30,0.0,0.0,10.22,240.00,10.27,"2,452.00",2,0.03,0.2,0.29,1.98,0.81,10.86,9.00,,
2025/08/28,39,CMF2,31.05,10.1,10.3,10.1,10.14,10.14,0.0,0.0,10.16,"17,595.00",10.30,"178,790.90",9,-0.16,0.2,-1.55,1.98,-0.21,10.86,9.00,,
2025/08/31,37,CMF2,26.66,9.94,10.13,9.18,9.36,9.36,0.0,0.0,9.60,"28,200.00",10.14,"270,838.00",23,-0.78,0.95,-7.69,10.35,-2.61,10.86,9.00,,
2025/09/01,38,CMF2,27.32,9.53,9.54,9.35,9.4,9.40,0.0,0.0,9.51,"28,795.00",9.36,"273,826.50",11,0.04,0.19,0.43,2.03,-1.17,10.86,9.00,,
2025/09/02,39,CMF2,18.18,9.35,9.35,9.35,9.35,9.35,0.0,0.0,9.35,600.00,9.40,"5,610.00",2,-0.05,0.0,-0.53,0.0,0.0,10.86,9.00,,
2025/09/03,40,CMF2,28.27,9.3,9.7,9.3,9.54,9.70,-0.16,-0.02,9.62,"21,365.00",9.35,"205,624.25",6,0.19,0.4,2.03,4.3,-0.88,10.86,9.00,,
2025/09/04,39,CMF2,19.03,9.73,9.92,9.73,9.92,9.92,0.0,0.0,9.76,600.00,9.54,"5,857.00",2,0.38,0.19,3.98,1.95,1.6,10.86,9.00,,
2025/09/07,42,CMF2,43.09,9.73,9.92,9.71,9.72,9.72,0.0,0.0,9.73,"31,210.00",9.92,"303,622.30",13,-0.2,0.21,-2.02,2.16,-0.09,10.86,9.00,,
2025/09/08,39,CMF2,38.79,9.53,9.53,9.53,9.53,9.53,0.0,0.0,9.53,"10,400.00",9.72,"99,112.00",2,-0.19,0.0,-1.95,0.0,0.0,10.86,9.00,,
2025/09/18,33,CMF2,24.97,9.34,9.34,9.34,9.34,9.34,0.0,0.0,9.34,"3,000.00",9.53,"28,020.00",1,-0.19,0.0,-1.99,0.0,0.0,10.86,9.00,,
2025/09/21,40,CMF2,27.12,9.17,9.17,8.64,8.64,8.64,0.0,0.0,8.92,"61,300.00",9.34,"546,952.00",14,-0.7,0.53,-7.49,6.13,-3.27,10.86,8.64,,
2025/09/23,41,CMF2,20.24,8.81,8.98,8.81,8.82,8.82,0.0,0.0,8.91,"1,700.00",8.64,"15,149.00",3,0.18,0.17,2.08,1.93,-1.03,10.86,8.64,,
2025/09/24,37,CMF2,35.64,8.99,9.52,8.99,9.52,9.52,0.0,0.0,9.20,"22,920.00",8.82,"210,848.00",10,0.70,0.53,7.94,5.9,3.37,10.86,8.64,,
2025/09/25,38,CMF2,32.81,9.33,9.5,9.33,9.5,9.50,0.0,0.0,9.50,"10,190.00",9.52,"96,772.70",2,-0.02,0.17,-0.21,1.82,0.03,10.86,8.64,9.63,9.57
2025/07/30,35,CMF2,34.16,9.66,9.93,9.66,9.93,9.93,0.0,0.0,9.71,"2,100.00",9.75,"20,390.00",8,0.18,0.27,1.85,2.8,2.22,10.86,9.00,,
2025/07/31,38,CMF2,43.02,9.75,10.1,9.75,10.1,10.10,0.0,0.0,10.02,"5,870.00",9.93,"58,838.00",12,0.17,0.35,1.71,3.59,0.76,10.86,9.00,,
