Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,43,DDBL,40.32,915.0,941.0,904.1,909.95,911.50,-1.55,0.0,913.73,"28,248.00",901.72,"25,810,943.70",223,8.23,36.9,0.91,4.08,-0.42,"1,085.00",759.00,,
2025/08/26,43,DDBL,32.72,915.0,915.0,900.0,901.73,907.00,-5.27,-0.01,904.74,"6,268.00",909.95,"5,670,941.30",83,-8.22,15.0,-0.9,1.67,-0.33,"1,072.50",759.00,,
2025/08/27,45,DDBL,38.3,903.0,914.0,903.0,913.26,913.00,0.26,0.0,909.28,"12,508.00",901.73,"11,373,309.40",125,11.53,11.0,1.28,1.22,0.44,"1,072.50",759.00,,
2025/08/28,44,DDBL,38.95,913.0,913.0,890.1,892.68,893.00,-0.32,0.0,900.28,"29,669.00",913.26,"26,710,476.70",335,-20.58,22.9,-2.25,2.57,-0.85,"1,072.50",759.00,,
2025/08/31,42,DDBL,29.21,885.1,900.0,881.0,883.07,887.00,-3.93,0.0,889.96,"11,244.00",892.68,"10,006,737.70",155,-9.61,19.0,-1.08,2.16,-0.78,"1,072.50",759.00,,
2025/09/01,43,DDBL,25.85,876.0,890.0,876.0,884.68,882.50,2.18,0.0,884.25,"5,286.00",883.07,"4,674,128.60",53,1.61,14.0,0.18,1.6,0.05,"1,072.50",759.00,,
2025/09/02,44,DDBL,29.25,878.2,891.0,873.0,880.71,887.00,-6.29,-0.01,879.03,"8,787.00",884.68,"7,723,997.20",116,-3.97,18.0,-0.45,2.06,0.19,"1,072.50",759.00,,
2025/09/03,45,DDBL,24.23,870.5,880.0,870.5,871.39,871.10,0.29,0.0,872.87,"5,443.00",880.71,"4,751,017.60",65,-9.32,9.5,-1.06,1.09,-0.17,"1,029.00",759.00,,
2025/09/04,44,DDBL,29.67,868.0,888.0,865.0,871.88,865.10,6.78,0.01,870.59,"11,543.00",871.39,"10,049,255.20",98,0.49,23.0,0.06,2.66,0.15,"1,015.00",759.00,,
2025/09/07,47,DDBL,28.63,858.1,882.0,858.1,866.8,869.00,-2.2,0.0,869.28,"5,386.00",871.88,"4,681,933.50",67,-5.08,23.9,-0.58,2.79,-0.29,"1,015.00",759.00,,
2025/09/08,44,DDBL,29.16,861.1,869.0,855.0,861.27,861.00,0.27,0.0,862.71,"7,329.00",866.80,"6,322,772.00",79,-5.53,14.0,-0.64,1.64,-0.17,"1,015.00",759.00,,
2025/09/18,38,DDBL,18.8,844.1,844.1,812.0,812.0,812.00,0.0,0.0,830.76,370.00,861.27,"307,380.00",7,-49.27,32.1,-5.72,3.95,-2.31,"1,010.00",759.00,,
2025/09/21,45,DDBL,30.84,812.0,847.0,802.0,842.58,841.00,1.58,0.0,832.39,"10,877.00",812.00,"9,053,907.30",159,30.58,45.00,3.77,5.61,1.21,"1,010.00",759.00,,
2025/09/23,46,DDBL,37.72,840.0,867.8,840.0,867.8,867.80,0.0,0.0,855.17,"5,679.00",842.58,"4,856,485.70",99,25.22,27.8,2.99,3.31,1.46,"1,010.00",759.00,,
2025/09/24,42,DDBL,30.98,854.7,860.0,850.0,852.0,852.00,0.0,0.0,852.98,"6,591.00",867.80,"5,621,992.40",88,-15.80,10.0,-1.82,1.18,-0.12,"1,010.00",759.00,,
2025/09/25,43,DDBL,37.56,855.0,861.0,850.0,858.0,858.00,0.0,0.0,854.19,"9,779.00",852.00,"8,353,168.60",71,6.0,11.0,0.7,1.29,0.44,"1,010.00",759.00,835.13,827.49
2025/07/30,40,DDBL,37.2,992.0,996.0,946.0,955.0,946.00,9.0,0.01,970.30,"59,962.00",992.08,"58,180,877.90",501,-37.08,50.0,-3.74,5.29,-1.6,"1,099.00",759.00,,
2025/07/31,43,DDBL,34.88,965.0,975.0,931.0,943.27,940.00,3.27,0.0,951.05,"50,265.00",955.00,"47,804,700.40",405,-11.73,44.0,-1.23,4.73,-0.83,"1,099.00",759.00,,
2025/08/03,43,DDBL,32.18,943.2,981.0,910.0,913.8,916.00,-2.2,0.0,924.01,"55,538.00",943.27,"51,317,522.60",397,-29.47,71.0,-3.12,7.8,-1.12,"1,099.00",759.00,,
2025/08/04,44,DDBL,29.91,928.0,932.0,898.0,915.17,915.00,0.17,0.0,911.49,"41,178.00",913.80,"37,533,414.80",271,1.37,34.0,0.15,3.79,0.4,"1,099.00",759.00,,
2025/08/05,45,DDBL,29.84,928.0,928.0,905.0,917.24,915.10,2.14,0.0,916.11,"25,491.00",915.17,"23,352,589.00",197,2.07,23.0,0.23,2.54,0.12,"1,099.00",759.00,,
2025/08/06,45,DDBL,25.79,906.1,933.0,902.1,920.75,923.00,-2.25,0.0,918.73,"17,569.00",917.24,"16,141,193.20",181,3.51,30.90,0.38,3.43,0.22,"1,099.00",759.00,,
2025/08/07,42,DDBL,24.54,920.1,935.0,920.1,926.16,931.80,-5.64,-0.01,928.89,"13,473.00",920.75,"12,514,905.60",135,5.41,14.9,0.59,1.62,-0.29,"1,099.00",759.00,,
2025/08/11,45,DDBL,29.14,927.0,944.0,909.5,911.4,919.00,-7.6,-0.01,921.70,"25,625.00",926.16,"23,618,594.50",170,-14.76,34.5,-1.59,3.79,-1.13,"1,099.00",759.00,,
2025/08/12,44,DDBL,28.47,922.0,922.0,903.6,907.06,905.00,2.06,0.0,905.43,"37,888.00",911.40,"34,304,928.90",142,-4.34,18.4,-0.48,2.04,0.18,"1,099.00",759.00,,
2025/08/13,38,DDBL,21.64,910.0,927.9,900.0,908.64,908.00,0.64,0.0,911.35,"11,228.00",907.06,"10,232,643.60",105,1.58,27.9,0.17,3.1,-0.3,"1,099.00",759.00,,
2025/08/14,41,DDBL,20.08,908.0,914.0,904.0,911.18,907.50,3.68,0.0,909.15,"3,041.00",908.64,"2,764,736.60",56,2.54,10.0,0.28,1.11,0.22,"1,099.00",759.00,,
2025/08/17,41,DDBL,23.81,920.0,920.0,901.0,906.14,910.00,-3.86,0.0,908.81,"15,120.00",911.18,"13,741,229.70",122,-5.04,19.0,-0.55,2.11,-0.29,"1,099.00",759.00,,
2025/08/18,45,DDBL,21.89,902.0,917.6,898.0,903.51,908.50,-4.99,-0.01,902.93,"13,384.00",906.14,"12,084,759.60",112,-2.63,19.6,-0.29,2.18,0.06,"1,099.00",759.00,,
2025/08/19,41,DDBL,20.13,903.51,920.0,900.0,902.05,912.00,-9.95,-0.01,905.53,"7,740.00",903.51,"7,008,822.80",82,-1.46,20.0,-0.16,2.22,-0.39,"1,085.00",759.00,,
2025/08/20,45,DDBL,26.26,910.0,913.9,898.0,899.47,905.00,-5.53,-0.01,903.78,"9,975.00",902.05,"9,015,244.50",81,-2.58,15.9,-0.29,1.77,-0.48,"1,085.00",759.00,,
2025/08/21,43,DDBL,29.1,900.0,901.1,889.0,894.29,893.00,1.29,0.0,893.74,"12,738.00",899.47,"11,384,442.10",113,-5.18,12.1,-0.58,1.36,0.06,"1,085.00",759.00,,
2025/07/07,40,DDBL,35.48,815.0,819.9,806.0,808.97,810.00,-1.03,0.0,812.03,"12,160.00",815.77,"9,874,258.00",82,-6.8,13.9,-0.83,1.72,-0.38,"1,099.00",759.00,,
2025/07/08,41,DDBL,37.35,809.0,825.0,804.0,821.87,824.70,-2.83,0.0,817.61,"14,637.00",808.97,"11,967,325.10",120,12.9,21.0,1.59,2.61,0.52,"1,099.00",759.00,,
2025/07/09,40,DDBL,43.65,818.0,833.0,816.0,829.44,832.90,-3.46,0.0,827.74,"17,148.00",821.87,"14,194,074.30",167,7.57,17.0,0.92,2.08,0.21,"1,099.00",759.00,,
2025/07/10,42,DDBL,49.89,839.0,848.0,832.0,841.55,845.00,-3.45,0.0,839.24,"34,328.00",829.44,"28,809,283.80",254,12.11,16.0,1.46,1.92,0.28,"1,099.00",759.00,,
2025/07/13,41,DDBL,50.35,858.3,892.0,858.3,873.66,878.90,-5.24,-0.01,874.51,"56,642.00",841.55,"49,533,890.40",444,32.11,33.7,3.82,3.93,-0.1,"1,099.00",759.00,,
2025/07/14,43,DDBL,48.75,856.2,894.0,856.2,861.05,861.00,0.05,0.0,860.26,"60,408.00",873.66,"51,966,864.60",198,-12.61,37.80,-1.44,4.41,0.09,"1,099.00",759.00,,
2025/07/15,42,DDBL,43.2,843.9,895.4,843.9,866.69,876.00,-9.31,-0.01,870.05,"31,058.00",861.05,"27,022,041.20",215,5.64,51.50,0.66,6.1,-0.39,"1,099.00",759.00,,
2025/07/16,43,DDBL,47.64,849.4,896.0,849.4,882.25,883.00,-0.75,0.0,885.22,"58,218.00",866.69,"51,535,479.80",325,15.56,46.6,1.8,5.49,-0.34,"1,099.00",759.00,,
2025/07/17,41,DDBL,46.54,864.7,914.9,864.7,904.0,904.00,0.0,0.0,904.75,"46,301.00",882.25,"41,890,625.30",345,21.75,50.20,2.47,5.81,-0.08,"1,099.00",759.00,,
2025/07/20,42,DDBL,43.92,909.0,938.0,901.0,919.02,915.00,4.02,0.0,923.23,"66,222.00",904.00,"61,138,232.90",502,15.02,37.0,1.66,4.11,-0.46,"1,099.00",759.00,,
2025/07/21,43,DDBL,42.81,919.0,946.6,907.0,942.32,946.60,-4.28,0.0,930.87,"54,060.00",919.02,"50,322,636.30",391,23.3,39.6,2.54,4.37,1.22,"1,099.00",759.00,,
2025/07/22,41,DDBL,46.97,953.0,980.0,953.0,975.87,975.00,0.87,0.0,970.06,"76,898.00",942.32,"74,595,318.70",511,33.55,27.0,3.56,2.83,0.6,"1,099.00",759.00,,
2025/07/23,41,DDBL,44.95,986.0,995.0,952.3,971.1,980.00,-8.9,-0.01,968.52,"58,529.00",975.87,"56,686,630.00",505,-4.77,42.70,-0.49,4.48,0.27,"1,099.00",759.00,,
2025/07/24,42,DDBL,44.59,963.0,986.0,961.0,971.4,975.00,-3.6,0.0,971.57,"57,145.00",971.10,"55,520,164.30",356,0.3,25.0,0.03,2.6,-0.02,"1,099.00",759.00,,
2025/07/27,43,DDBL,46.43,971.0,1007.0,970.0,986.64,988.00,-1.36,0.0,992.49,"110,451.00",971.40,"109,621,395.60",663,15.24,37.0,1.57,3.81,-0.59,"1,099.00",759.00,,
2025/07/28,43,DDBL,41.62,992.1,996.9,971.3,984.96,988.00,-3.04,0.0,983.25,"70,865.00",986.64,"69,678,152.20",494,-1.68,25.6,-0.17,2.64,0.17,"1,099.00",759.00,,
2025/06/12,42,DDBL,38.3,790.3,803.8,790.3,795.9,797.00,-1.1,0.0,796.12,"6,463.00",800.48,"5,145,352.80",62,-4.58,13.5,-0.57,1.71,-0.03,"1,099.00",759.00,,
2025/06/15,43,DDBL,33.62,789.0,805.0,789.0,795.51,798.50,-2.99,0.0,797.39,"7,206.00",795.90,"5,746,008.10",62,-0.39,16.0,-0.05,2.03,-0.24,"1,099.00",759.00,,
2025/06/16,44,DDBL,35.29,799.9,806.0,798.0,804.71,804.70,0.01,0.0,801.92,"8,136.00",795.51,"6,524,399.20",66,9.2,8.0,1.16,1.0,0.35,"1,099.00",759.00,,
2025/06/17,41,DDBL,36.21,800.2,818.0,799.0,809.72,811.00,-1.28,0.0,810.52,"11,229.00",804.71,"9,101,381.50",137,5.01,19.0,0.62,2.38,-0.1,"1,099.00",759.00,,
2025/06/18,42,DDBL,28.63,800.0,810.0,800.0,800.48,800.00,0.48,0.0,801.69,"6,296.00",809.72,"5,047,443.10",85,-9.24,10.0,-1.14,1.25,-0.15,"1,099.00",759.00,,
2025/06/19,43,DDBL,22.61,789.1,797.0,789.1,791.96,793.00,-1.04,0.0,791.67,"4,526.00",800.48,"3,583,100.50",72,-8.52,7.90,-1.06,1.0,0.04,"1,099.00",759.00,,
2025/06/22,44,DDBL,30.01,782.0,788.0,782.0,784.87,784.00,0.87,0.0,784.57,"4,184.00",791.96,"3,282,641.60",72,-7.09,6.00,-0.9,0.77,0.04,"1,099.00",759.00,,
2025/06/23,45,DDBL,25.0,785.2,790.0,780.0,782.11,782.00,0.11,0.0,782.75,"3,398.00",784.87,"2,659,787.70",57,-2.76,10.00,-0.35,1.28,-0.08,"1,099.00",759.00,,
2025/06/24,44,DDBL,20.78,788.0,793.0,784.0,785.67,784.00,1.67,0.0,787.34,"1,784.00",782.11,"1,404,620.90",38,3.56,9.00,0.46,1.15,-0.21,"1,099.00",759.00,,
2025/06/25,40,DDBL,31.63,781.0,788.0,775.0,780.1,779.80,0.3,0.0,778.88,"5,396.00",785.67,"4,202,817.50",72,-5.57,13.0,-0.71,1.68,0.16,"1,099.00",759.00,,
2025/06/26,43,DDBL,37.56,855.0,861.0,850.0,858.0,858.00,0.0,0.0,854.19,"9,779.00",852.00,"8,353,168.60",71,6.0,11.0,0.7,1.29,0.44,"1,010.00",759.00,835.13,827.49
2025/06/29,45,DDBL,42.92,776.0,800.7,776.0,798.99,795.00,3.99,0.01,793.96,"12,277.00",778.71,"9,747,386.30",119,20.28,24.7,2.6,3.18,0.63,"1,099.00",759.00,,
2025/06/30,42,DDBL,44.66,805.0,809.0,795.0,805.41,806.80,-1.39,0.0,804.33,"12,615.00",798.99,"10,146,584.80",103,6.42,14.00,0.8,1.76,0.13,"1,099.00",759.00,,
2025/07/01,41,DDBL,47.16,806.0,825.0,801.1,817.35,818.00,-0.65,0.0,814.22,"18,062.00",805.41,"14,706,445.40",170,11.94,23.9,1.48,2.98,0.38,"1,099.00",759.00,,
2025/07/02,42,DDBL,47.1,818.0,833.0,809.0,815.72,809.00,6.72,0.01,819.76,"27,634.00",817.35,"22,653,208.70",158,-1.63,24.0,-0.2,2.97,-0.5,"1,099.00",759.00,,
2025/07/03,43,DDBL,41.99,815.0,820.0,811.1,815.22,816.00,-0.78,0.0,815.93,"8,852.00",815.72,"7,222,586.80",114,-0.5,8.9,-0.06,1.1,-0.09,"1,099.00",759.00,,
2025/05/18,40,DDBL,36.89,783.0,794.0,773.1,782.96,781.00,1.96,0.0,784.83,"12,249.00",772.34,"9,613,349.30",127,10.62,20.9,1.38,2.7,-0.24,"1,099.00",713.00,,
2025/05/19,45,DDBL,33.41,780.0,790.0,780.0,783.81,788.00,-4.19,-0.01,783.39,"4,508.00",782.96,"3,531,536.20",64,0.85,10.00,0.11,1.28,0.05,"1,099.00",713.00,,
2025/05/20,41,DDBL,43.97,781.0,799.0,780.1,795.64,799.00,-3.36,0.0,790.88,"8,020.00",783.81,"6,342,858.50",68,11.83,18.9,1.51,2.42,0.6,"1,099.00",713.00,,
2025/05/21,43,DDBL,37.56,855.0,861.0,850.0,858.0,858.00,0.0,0.0,854.19,"9,779.00",852.00,"8,353,168.60",71,6.0,11.0,0.7,1.29,0.44,"1,010.00",759.00,835.13,827.49
2025/05/22,41,DDBL,47.35,802.0,831.0,791.3,821.1,825.00,-3.9,0.0,810.67,"28,958.00",786.43,"23,475,463.90",305,34.67,39.70,4.41,5.02,1.27,"1,099.00",713.00,,
