Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,45,DLBS,25.21,1471.2,1530.0,1469.1,1470.01,"1,470.00",0.01,0.0,"1,476.18","1,241.00","1,471.20","1,831,933.80",49,-1.19,60.9,-0.08,4.15,-0.42,"2,250.00","1,202.60",,
2025/08/26,45,DLBS,25.16,1469.2,1495.0,1440.0,1452.65,"1,465.00",-12.35,-0.01,"1,456.12",834.00,"1,470.01","1,214,407.20",29,-17.36,55.0,-1.18,3.82,-0.24,"2,250.00","1,226.10",,
2025/08/27,47,DLBS,28.65,1424.0,1478.0,1424.0,1460.98,"1,469.80",-8.82,-0.01,"1,451.92","1,252.00","1,452.65","1,817,809.50",27,8.33,54.0,0.57,3.79,0.62,"2,250.00","1,226.10",,
2025/08/28,46,DLBS,29.57,1440.0,1579.0,1427.0,1433.49,"1,430.00",3.49,0.0,"1,446.78","1,889.00","1,460.98","2,732,971.10",62,-27.49,152.0,-1.88,10.65,-0.93,"2,250.00","1,226.10",,
2025/08/31,44,DLBS,28.08,1433.49,1491.0,1404.9,1419.25,"1,468.80",-49.55,-0.03,"1,423.25","1,322.00","1,433.49","1,881,534.30",47,-14.24,86.1,-0.99,6.13,-0.28,"2,250.00","1,226.10",,
2025/09/01,45,DLBS,28.71,1447.0,1447.6,1399.1,1439.9,"1,439.90",0.0,0.0,"1,426.68",749.00,"1,419.25","1,068,581.70",25,20.65,48.5,1.45,3.47,0.92,"2,250.00","1,226.10",,
2025/09/02,46,DLBS,43.75,1468.0,1497.3,1412.1,1470.0,"1,470.00",0.0,0.0,"1,475.57","2,415.00","1,439.90","3,563,490.90",60,30.1,85.2,2.09,6.03,-0.38,"2,250.00","1,229.90",,
2025/09/03,47,DLBS,35.46,1499.4,1499.4,1388.1,1443.55,"1,430.00",13.55,0.01,"1,430.04","1,390.00","1,470.00","1,987,760.50",49,-26.45,111.3,-1.8,8.02,0.94,"2,250.00","1,236.00",,
2025/09/04,46,DLBS,32.29,1416.0,1500.0,1415.0,1415.41,"1,415.00",0.41,0.0,"1,448.80",962.00,"1,443.55","1,393,745.90",41,-28.14,85.0,-1.95,6.01,-2.36,"2,250.00","1,236.00",,
2025/09/07,49,DLBS,32.7,1400.0,1428.0,1395.0,1421.5,"1,420.00",1.5,0.0,"1,412.83",466.00,"1,415.41","658,378.00",27,6.09,33.0,0.43,2.37,0.61,"2,250.00","1,236.00",,
2025/09/08,46,DLBS,38.64,1395.0,1422.9,1341.0,1412.0,"1,410.00",2.0,0.0,"1,381.59","3,997.00","1,421.50","5,522,224.70",51,-9.5,81.9,-0.67,6.11,2.15,"2,250.00","1,236.00",,
2025/09/21,47,DLBS,35.29,1409.0,1420.0,1356.2,1408.67,"1,395.00",13.67,0.01,"1,394.34","1,458.00","1,412.00","2,032,948.10",57,-3.33,63.80,-0.24,4.7,1.02,"2,250.00","1,236.00",,
2025/09/23,48,DLBS,31.85,1410.0,1435.0,1381.1,1390.0,"1,390.00",0.0,0.0,"1,401.76","1,271.00","1,408.67","1,781,640.20",28,-18.67,53.9,-1.33,3.9,-0.85,"2,250.00","1,236.00",,
2025/09/24,44,DLBS,29.08,1390.0,1417.8,1382.0,1397.9,"1,397.90",0.0,0.0,"1,401.39",466.00,"1,390.00","653,049.00",21,7.90,35.8,0.57,2.59,-0.25,"2,250.00","1,236.00",,
2025/09/25,45,DLBS,37.08,1371.0,1422.9,1371.0,1422.9,"1,422.90",0.0,0.0,"1,412.78","1,476.00","1,397.90","2,085,267.00",25,25.0,51.9,1.79,3.79,0.71,"2,250.00","1,236.00","1,493.02","1,573.94"
2025/07/30,42,DLBS,34.9,1610.8,1670.0,1545.0,1549.59,"1,545.00",4.59,0.0,"1,573.35","4,488.00","1,610.33","7,061,174.70",100,-60.74,125.0,-3.77,8.09,-1.53,"2,250.00","1,200.10",,
2025/07/31,45,DLBS,29.72,1549.59,1550.0,1531.4,1538.66,"1,536.00",2.66,0.0,"1,532.20",951.00,"1,549.59","1,457,123.60",52,-10.93,18.6,-0.71,1.21,0.42,"2,250.00","1,200.10",,
2025/08/03,45,DLBS,31.22,1538.66,1594.9,1500.0,1529.0,"1,594.90",-65.9,-0.04,"1,516.50","2,613.00","1,538.66","3,962,625.60",77,-9.66,94.9,-0.63,6.33,0.82,"2,250.00","1,200.10",,
2025/08/04,46,DLBS,28.18,1559.5,1588.0,1486.0,1538.18,"1,539.70",-1.52,0.0,"1,509.32","1,120.00","1,529.00","1,690,443.30",58,9.18,102.0,0.6,6.86,1.88,"2,250.00","1,200.10",,
2025/08/05,47,DLBS,33.97,1538.18,1610.0,1480.0,1564.12,"1,576.00",-11.88,-0.01,"1,534.13","3,124.00","1,538.18","4,792,613.00",85,25.94,130.0,1.69,8.78,1.92,"2,250.00","1,200.10",,
