Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,55,FOWAD,39.59,1162.9,1198.0,1135.0,1151.21,"1,146.60",4.61,0.0,"1,153.05","6,840.00","1,141.00","7,886,829.10",117,10.21,63.0,0.89,5.55,-0.16,"1,698.00","1,059.30",,
2025/08/26,55,FOWAD,36.54,1140.0,1160.0,1128.5,1131.63,"1,136.00",-4.37,0.0,"1,135.25","4,270.00","1,151.21","4,847,510.40",84,-19.58,31.5,-1.7,2.79,-0.32,"1,618.00","1,059.30",,
2025/08/27,57,FOWAD,37.68,1131.63,1163.0,1131.0,1159.61,"1,159.00",0.61,0.0,"1,152.79","2,747.00","1,131.63","3,166,703.80",60,27.98,32.0,2.47,2.83,0.59,"1,618.00","1,059.30",,
2025/08/28,58,FOWAD,35.36,1160.0,1180.0,1135.0,1135.04,"1,135.10",-0.06,0.0,"1,141.33","2,888.00","1,159.61","3,296,159.80",54,-24.57,45.0,-2.12,3.96,-0.55,"1,570.00","1,059.30",,
2025/08/31,54,FOWAD,35.13,1115.0,1155.1,1115.0,1134.16,"1,140.00",-5.84,-0.01,"1,130.54","3,405.00","1,135.04","3,849,490.00",59,-0.88,40.1,-0.08,3.6,0.32,"1,570.00","1,059.30",,
2025/09/01,56,FOWAD,33.2,1149.5,1155.0,1127.0,1139.87,"1,140.00",-0.13,0.0,"1,135.06","2,049.00","1,134.16","2,325,739.20",55,5.71,28.0,0.5,2.48,0.42,"1,570.00","1,059.30",,
2025/09/02,56,FOWAD,36.48,1136.0,1150.0,1115.0,1132.37,"1,135.80",-3.43,0.0,"1,125.26","2,764.00","1,139.87","3,110,227.60",64,-7.5,35.0,-0.66,3.14,0.63,"1,570.00","1,059.30",,
2025/09/03,58,FOWAD,33.32,1155.0,1155.0,1110.1,1118.68,"1,127.00",-8.32,-0.01,"1,118.17","3,820.00","1,132.37","4,271,425.40",106,-13.69,44.9,-1.21,4.04,0.05,"1,570.00","1,059.30",,
2025/09/04,58,FOWAD,32.17,1118.68,1122.0,1100.0,1113.47,"1,111.00",2.47,0.0,"1,107.57","2,492.00","1,118.68","2,760,071.30",58,-5.21,22.0,-0.47,2.0,0.53,"1,570.00","1,059.30",,
2025/09/07,61,FOWAD,33.01,1135.0,1135.0,1112.0,1121.67,"1,121.00",0.67,0.0,"1,120.03","2,250.00","1,113.47","2,520,056.60",40,8.2,23.0,0.74,2.07,0.15,"1,570.00","1,059.30",,
