Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025/09/21,59,GBBLPO,21.01,200.0,200.0,200.0,200.0,200.00,0.0,0.0,200.00,"19,710.00",202.20,"3,942,000.00",1,-2.2,0.00,-1.09,0.0,0.0,218.00,193.40
2025/07/13,56,GBBLPO,38.26,197.3,197.3,197.3,197.3,197.30,0.0,0.0,197.30,"65,000.00",201.30,"12,824,500.00",2,-4.0,0.0,-1.99,0.0,0.0,218.00,197.30
2025/07/14,60,GBBLPO,32.02,193.4,193.4,193.4,193.4,193.40,0.0,0.0,193.40,"27,375.00",197.30,"5,294,325.00",3,-3.9,0.00,-1.98,0.0,0.0,218.00,193.40
2025/07/16,60,GBBLPO,33.83,197.2,201.1,197.2,198.31,201.10,-2.79,-0.01,198.31,"15,330.00",193.40,"3,040,158.00",2,4.91,3.9,2.54,1.98,0.0,218.00,193.40
2025/07/17,54,GBBLPO,37.46,202.2,202.2,202.2,202.2,202.20,0.0,0.0,202.20,"5,475.00",198.31,"1,107,045.00",1,3.89,0.00,1.96,0.0,0.0,218.00,193.40
2025/06/16,60,GBBLPO,21.58,213.7,213.7,213.7,213.7,213.70,0.0,0.0,213.70,"10,950.00",218.00,"2,340,015.00",1,-4.3,0.0,-1.97,0.0,0.0,218.00,205.00
2025/06/19,59,GBBLPO,19.3,209.5,209.5,209.5,209.5,209.50,0.0,0.0,209.50,"5,000.00",213.70,"1,047,500.00",1,-4.2,0.00,-1.97,0.0,0.0,218.00,205.00
2025/06/24,61,GBBLPO,23.4,205.4,205.4,205.4,205.4,205.40,0.0,0.0,205.40,"14,000.00",209.50,"2,875,600.00",2,-4.10,0.00,-1.96,0.0,0.0,218.00,205.00
2025/06/25,57,GBBLPO,24.09,201.3,201.3,201.3,201.3,201.30,0.0,0.0,201.30,"20,000.00",205.40,"4,026,000.00",1,-4.1,0.0,-2.0,0.0,0.0,218.00,201.30
2025/04/01,57,GBBLPO,25.92,205.0,205.0,205.0,205.0,205.00,0.0,0.0,205.00,"10,000.00",205.00,"2,050,000.00",1,0.00,0.00,0.0,0.0,0.0,205.00,205.00
2025/04/16,59,GBBLPO,42.84,218.0,218.0,218.0,218.0,218.00,0.0,0.0,218.00,"40,000.00",218.00,"8,720,000.00",2,0.0,0.0,0.0,0.0,0.0,218.00,205.00
2025/02/16,57,GBBLPO,32.31,205.0,205.0,205.0,205.0,205.00,0.0,0.0,205.00,"10,950.00",205.00,"2,244,750.00",6,0.0,0.0,0.0,0.0,0.0,205.00,205.00
2025/01/05,61,GBBLPO,34.6,205.0,205.0,205.0,205.0,205.00,0.0,0.0,205.00,"43,000.00",205.00,"8,815,000.00",1,0.0,0.0,0.0,0.0,0.0,205.00,205.00
2025/01/22,58,GBBLPO,35.18,205.0,205.0,205.0,205.0,205.00,0.0,0.0,205.00,"34,251.00",205.00,"7,021,455.00",1,0.0,0.0,0.0,0.0,0.0,205.00,205.00
2025/01/26,58,GBBLPO,37.47,205.0,205.0,205.0,205.0,205.00,0.0,0.0,205.00,"54,750.00",205.00,"11,223,750.00",1,0.00,0.00,0.0,0.0,0.0,205.00,205.00
2024/11/11,55,GBBLPO,-,205.0,205.0,205.0,205.0,205.00,0.0,0.0,205.00,"200,000.00",205.00,"41,000,000.00",1,0.0,0.0,0.0,0.0,0.0,206.00,205.00
