Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/11/15,40,GBIMEP,47.16,162.0,162.0,162.0,162.0,162.00,"24,514.00",162.00,"3,971,268.00",2,0.00,0.00,0.0,0.0,0.0,171.00,147.00
2021/11/23,41,GBIMEP,36.62,162.0,162.0,162.0,162.0,162.00,"6,823.00",162.00,"1,105,326.00",3,0.0,0.0,0.0,0.0,0.0,171.00,147.00
2021/11/28,40,GBIMEP,43.5,162.0,162.0,162.0,162.0,162.00,"17,269.00",162.00,"2,797,578.00",1,0.0,0.0,0.0,0.0,0.0,171.00,147.00
2022/04/20,44,GBIMEP,34.89,165.0,165.0,165.0,165.0,165.00,"14,107.00",165.00,"2,327,655.00",1,0.0,0.0,0.0,0.0,0.0,171.00,150.00
2022/04/24,43,GBIMEP,40.03,165.0,165.0,165.0,165.0,165.00,"67,363.00",165.00,"11,114,895.00",2,0.00,0.00,0.0,0.0,0.0,171.00,150.00
2022/05/02,42,GBIMEP,30.45,161.7,161.7,161.7,161.7,161.70,"21,763.00",165.00,"3,519,077.10",1,-3.3,0.0,-2.0,0.0,0.0,171.00,150.00
2022/05/05,44,GBIMEP,25.14,161.7,161.7,161.7,161.7,161.70,"9,091.00",161.70,"1,470,014.70",1,0.0,0.0,0.0,0.0,0.0,171.00,153.00
2022/05/10,42,GBIMEP,30.39,161.7,161.7,161.7,161.7,161.70,"61,752.00",161.70,"9,985,298.40",1,0.0,0.0,0.0,0.0,0.0,171.00,153.00
2022/05/20,40,GBIMEP,25.32,161.7,161.7,161.7,161.7,161.70,"10,000.00",161.70,"1,617,000.00",1,0.0,0.0,0.0,0.0,0.0,171.00,153.00
2022/06/07,44,GBIMEP,25.15,161.7,161.7,161.7,161.7,115.00,"7,740.00",161.70,"890,100.00",2,0.0,0.0,0.0,0.0,28.88,171.00,153.00
2022/06/15,44,GBIMEP,39.13,160.0,160.0,160.0,160.0,160.00,"100,000.00",161.70,"16,000,000.00",1,-1.7,0.00,-1.05,0.0,0.0,171.00,153.00
2022/12/12,49,GBIMEP,30.53,121.0,121.0,121.0,121.0,121.00,"30,000.00",121.00,"3,630,000.00",1,0.0,0.0,0.0,0.0,0.0,165.00,121.00
2022/12/14,50,GBIMEP,26.91,121.0,121.0,121.0,121.0,121.00,"27,298.00",121.00,"3,303,058.00",1,0.0,0.0,0.0,0.0,0.0,165.00,121.00
