Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2023/06/18,56,GBLBSP,52.41,564.0,564.0,564.0,564.0,564.00,0.0,0.0,378.00,"274,982.00",564.00,"103,943,196.00",1,0.0,0.00,0.0,0.0,32.98,564.00,564.00
2022/06/28,42,GBLBSP,26.3,564.0,564.0,564.0,564.0,564.00,0.0,0.0,440.00,400.00,564.00,"176,000.00",2,0.0,0.0,0.0,0.0,21.99,634.00,564.00
2022/04/05,42,GBLBSP,35.25,564.0,564.0,564.0,564.0,564.00,0.0,0.0,350.83,"12,000.00",564.00,"4,210,000.00",3,0.0,0.00,0.0,0.0,37.8,634.00,187.00
2022/02/16,43,GBLBSP,50.46,564.0,564.0,564.0,564.0,564.00,0.0,0.0,564.00,"1,272.00",564.00,"717,408.00",6,0.0,0.0,0.0,0.0,0.0,634.00,187.00
2021/08/10,43,GBLBSP,65.98,634.0,634.0,634.0,634.0,634.00,0.0,0.0,634.00,159.00,634.00,"100,806.00",1,0.0,0.0,0.0,0.0,0.0,634.00,187.00
2021/09/02,44,GBLBSP,56.26,634.0,634.0,634.0,634.0,634.00,0.0,0.0,301.05,"1,100.00",634.00,"331,155.00",1,0.0,0.0,0.0,0.0,52.52,634.00,187.00
2021/07/22,44,GBLBSP,64.48,634.0,634.0,634.0,634.0,634.00,0.0,0.0,634.00,"1,372.00",634.00,"869,848.00",4,0.0,0.00,0.0,0.0,0.0,634.00,187.00
2021/04/26,40,GBLBSP,49.99,187.0,187.0,187.0,187.0,187.00,0.0,0.0,287.95,"3,700.00",187.00,"1,065,400.00",3,0.0,0.0,0.0,0.0,-53.98,211.00,187.00
2020/12/28,41,GBLBSP,52.5,192.0,211.0,192.0,187.0,187.00,0.0,0.0,199.67,"3,194.00",187.00,"637,748.00",3,0.0,19.0,0.0,9.9,-6.78,211.00,192.00
2019/12/08,33,GBLBSP,43.17,187.0,187.0,187.0,187.0,187.00,0.0,0.0,187.00,"25,000.00",0.00,"4,675,000.00",1,187.0,0.0,0.0,0.0,0.0,187.00,0.00
