Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,59,GBLBS,35.35,797.3,813.0,775.1,789.91,791.00,-1.09,0.0,787.05,"9,153.00",781.84,"7,203,881.60",131,8.07,37.9,1.03,4.89,0.36,987.00,667.10,,
2025/08/26,60,GBLBS,34.32,775.1,799.0,775.1,780.21,779.10,1.11,0.0,783.54,"8,000.00",789.91,"6,268,288.00",113,-9.7,23.9,-1.23,3.08,-0.43,987.00,667.10,,
2025/08/27,62,GBLBS,36.19,780.0,793.9,780.0,791.02,793.90,-2.88,0.0,787.10,"9,117.00",780.21,"7,175,991.40",111,10.81,13.9,1.39,1.78,0.5,987.00,667.10,,
2025/08/28,64,GBLBS,35.08,783.0,789.0,776.0,776.51,777.00,-0.49,0.0,780.51,"8,015.00",791.02,"6,255,797.60",137,-14.51,13.0,-1.83,1.68,-0.52,987.00,667.10,,
2025/08/31,60,GBLBS,34.43,791.9,791.9,764.5,765.87,768.00,-2.13,0.0,770.59,"8,461.00",776.51,"6,519,979.50",107,-10.64,27.4,-1.37,3.58,-0.62,987.00,667.10,,
2025/09/01,62,GBLBS,30.54,760.0,774.0,760.0,771.81,773.00,-1.19,0.0,768.08,"2,250.00",765.87,"1,728,181.40",43,5.94,14.0,0.78,1.84,0.48,987.00,667.10,,
2025/09/02,62,GBLBS,36.0,780.0,780.0,767.0,767.62,767.00,0.62,0.0,768.95,"7,933.00",771.81,"6,100,055.90",77,-4.19,13.0,-0.54,1.69,-0.17,987.00,667.10,,
2025/09/03,66,GBLBS,31.51,765.0,773.0,762.0,763.46,763.20,0.26,0.0,765.38,"2,942.00",767.62,"2,251,754.50",67,-4.16,11.0,-0.54,1.44,-0.25,987.00,667.10,,
2025/09/04,64,GBLBS,34.3,756.0,770.0,755.1,768.12,770.00,-1.88,0.0,760.21,"4,572.00",763.46,"3,475,668.50",78,4.66,14.9,0.61,1.97,1.03,987.00,667.10,,
2025/09/07,67,GBLBS,35.11,782.0,783.1,757.2,759.8,759.10,0.7,0.0,763.90,"5,003.00",768.12,"3,821,772.50",51,-8.32,25.9,-1.08,3.42,-0.54,987.00,667.10,,
2025/09/08,62,GBLBS,33.46,774.0,774.0,746.2,753.93,756.00,-2.07,0.0,753.50,"4,835.00",759.80,"3,643,187.90",58,-5.87,27.8,-0.77,3.73,0.06,987.00,667.10,,
2025/09/18,48,GBLBS,21.91,738.9,738.9,724.2,724.2,724.20,0.0,0.0,734.00,30.00,753.93,"22,020.00",2,-29.73,14.7,-3.94,2.03,-1.35,987.00,667.10,,
2025/09/21,65,GBLBS,34.06,710.0,748.7,710.0,745.27,745.00,0.27,0.0,734.31,"9,433.00",724.20,"6,926,731.70",105,21.07,38.70,2.91,5.45,1.47,987.00,667.10,,
2025/09/23,63,GBLBS,37.5,746.0,775.0,746.0,760.1,760.10,0.0,0.0,759.19,"3,484.00",745.27,"2,645,006.30",61,14.83,29.0,1.99,3.89,0.12,987.00,667.10,,
2025/09/24,58,GBLBS,32.43,760.1,765.0,745.0,747.0,747.00,0.0,0.0,749.37,"5,350.00",760.10,"4,009,118.30",63,-13.10,20.0,-1.72,2.68,-0.32,987.00,667.10,,
2025/09/25,62,GBLBS,32.64,742.0,760.0,742.0,754.0,754.00,0.0,0.0,755.30,"1,922.00",747.00,"1,451,688.00",29,7.0,18.0,0.94,2.43,-0.17,987.00,667.10,811.98,818.80
2025/07/30,60,GBLBS,35.04,925.0,930.5,890.0,890.7,890.00,0.7,0.0,907.98,"27,439.00",925.75,"24,913,963.70",261,-35.05,40.5,-3.79,4.55,-1.94,987.00,667.10,,
2025/07/31,60,GBLBS,33.3,908.5,908.5,880.0,883.46,885.00,-1.54,0.0,890.86,"16,573.00",890.70,"14,764,194.50",191,-7.24,28.5,-0.81,3.24,-0.84,987.00,667.10,,
2025/08/03,61,GBLBS,31.71,873.2,886.0,855.0,856.34,855.10,1.24,0.0,863.99,"20,185.00",883.46,"17,439,671.00",238,-27.12,31.0,-3.07,3.63,-0.89,987.00,667.10,,
2025/08/04,62,GBLBS,29.83,860.1,867.0,836.0,861.49,866.50,-5.01,-0.01,849.40,"15,064.00",856.34,"12,795,294.80",183,5.15,31.0,0.6,3.71,1.4,987.00,667.10,,
2025/08/05,64,GBLBS,30.75,866.9,885.0,835.0,852.07,850.00,2.07,0.0,860.09,"13,779.00",861.49,"11,851,152.50",184,-9.42,50.0,-1.09,5.99,-0.94,987.00,667.10,,
2025/08/06,63,GBLBS,27.91,850.0,874.9,850.0,865.98,867.00,-1.02,0.0,866.13,"13,379.00",852.07,"11,587,967.60",120,13.91,24.90,1.63,2.93,-0.02,987.00,667.10,,
2025/08/07,61,GBLBS,23.86,860.6,869.0,858.0,858.8,859.00,-0.2,0.0,861.79,"9,048.00",865.98,"7,797,517.20",105,-7.18,11.0,-0.83,1.28,-0.35,987.00,667.10,,
2025/08/11,63,GBLBS,24.19,860.0,860.0,840.0,841.69,840.00,1.69,0.0,848.22,"8,101.00",858.80,"6,871,460.10",100,-17.11,20.0,-1.99,2.38,-0.78,987.00,667.10,,
2025/08/12,63,GBLBS,21.75,842.0,842.0,831.0,836.17,838.50,-2.33,0.0,836.94,"5,938.00",841.69,"4,969,775.50",61,-5.52,11.0,-0.66,1.32,-0.09,987.00,667.10,,
2025/08/13,57,GBLBS,21.96,850.0,852.8,825.0,827.39,827.00,0.39,0.0,829.52,"5,105.00",836.17,"4,234,706.70",62,-8.78,27.8,-1.05,3.37,-0.26,987.00,667.10,,
2025/08/14,59,GBLBS,26.3,843.0,876.0,815.0,816.33,819.00,-2.67,0.0,821.41,"9,882.00",827.39,"8,117,126.70",131,-11.06,61.0,-1.34,7.48,-0.62,987.00,667.10,,
2025/08/17,57,GBLBS,27.61,825.0,825.0,800.0,800.3,805.90,-5.6,-0.01,808.47,"12,457.00",816.33,"10,071,060.20",166,-16.03,25.0,-1.96,3.13,-1.02,987.00,667.10,,
2025/08/18,64,GBLBS,23.61,800.1,812.0,800.1,806.53,805.70,0.83,0.0,807.49,"5,255.00",800.30,"4,243,373.30",67,6.23,11.9,0.78,1.49,-0.12,987.00,667.10,,
