Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2021/12/26,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/02/01,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/02/10,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/02/14,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/02/15,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/02/20,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/03/07,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/03/15,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/05/18,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/05/21,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/05/26,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/06/06,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/06/10,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/06/13,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/06/26,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/06/28,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/07/07,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/08/09,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/08/21,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
2022/08/22,65,GIBF1,72.94,8.95,10.03,8.85,10.03,9.26,"161,700.00",9.12,"1,497,454.00",75,0.91,1.18,9.98,13.33,7.67,8.48,8.32,10.03,7.20
