Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,66,GLH,31.59,261.0,266.5,261.0,265.89,266.50,-0.61,0.0,263.39,"28,197.00",263.07,"7,426,695.30",168,2.82,5.5,1.07,2.11,0.94,313.00,223.80,,
2025/08/26,67,GLH,28.84,269.0,269.0,264.0,265.3,265.20,0.1,0.0,265.39,"11,488.00",265.89,"3,048,778.10",86,-0.59,5.0,-0.22,1.89,-0.03,313.00,223.80,,
2025/08/27,69,GLH,39.48,263.1,274.0,261.0,272.28,274.00,-1.72,-0.01,270.36,"43,219.00",265.30,"11,684,777.30",228,6.98,13.0,2.63,4.98,0.7,313.00,223.80,,
2025/08/28,71,GLH,39.65,272.0,280.0,267.0,268.24,267.00,1.24,0.0,271.78,"62,349.00",272.28,"16,945,031.70",272,-4.04,13.0,-1.48,4.87,-1.32,313.00,223.80,,
2025/08/31,67,GLH,39.58,265.8,269.0,265.0,266.6,268.00,-1.4,-0.01,266.37,"37,289.00",268.24,"9,932,692.75",162,-1.64,4.0,-0.61,1.51,0.09,313.00,223.80,,
2025/09/01,69,GLH,35.21,263.2,268.0,262.1,265.16,266.00,-0.84,0.0,264.24,"34,015.00",266.60,"8,988,178.20",162,-1.44,5.9,-0.54,2.25,0.35,313.00,223.80,,
2025/09/02,69,GLH,32.14,268.0,268.0,262.2,262.77,262.60,0.17,0.0,263.67,"22,119.00",265.16,"5,832,122.80",154,-2.39,5.8,-0.9,2.21,-0.34,313.00,223.80,,
2025/09/03,73,GLH,26.07,265.4,265.4,261.0,261.13,261.10,0.03,0.0,262.03,"28,537.00",262.77,"7,477,609.40",159,-1.64,4.4,-0.62,1.69,-0.35,313.00,223.80,,
2025/09/04,71,GLH,30.88,260.9,262.0,256.0,258.76,259.00,-0.24,0.0,258.22,"47,718.00",261.13,"12,321,747.20",233,-2.37,6.0,-0.91,2.34,0.21,313.00,223.80,,
2025/09/07,74,GLH,25.93,258.0,261.9,257.0,257.46,257.20,0.26,0.0,258.46,"21,426.00",258.76,"5,537,868.80",161,-1.3,4.9,-0.5,1.91,-0.39,313.00,223.80,,
2025/09/08,69,GLH,30.26,260.0,260.0,249.9,250.93,250.50,0.43,0.0,251.67,"54,580.00",257.46,"13,736,239.60",232,-6.53,10.1,-2.54,4.04,-0.3,313.00,223.80,,
2025/09/18,55,GLH,21.81,246.0,246.1,232.0,232.0,232.00,0.0,0.0,236.80,"4,833.00",250.93,"1,144,454.30",19,-18.93,14.1,-7.54,6.08,-2.07,306.30,223.80,,
2025/09/21,72,GLH,42.07,227.4,255.0,227.4,253.02,254.00,-0.98,0.0,244.13,"71,076.00",232.00,"17,351,944.20",357,21.02,27.60,9.06,12.14,3.51,306.30,223.80,,
2025/09/23,70,GLH,40.06,255.7,263.2,255.1,261.0,261.00,0.0,0.0,259.19,"35,891.00",253.02,"9,302,621.40",196,7.98,8.1,3.15,3.18,0.69,306.30,223.80,,
2025/09/24,65,GLH,36.85,264.0,264.0,255.0,258.0,258.00,0.0,0.0,258.17,"14,206.00",261.00,"3,667,559.30",119,-3.00,9.0,-1.15,3.53,-0.07,306.30,223.80,,
2025/09/25,69,GLH,42.47,261.0,277.5,258.7,272.5,272.50,0.0,0.0,271.52,"211,469.00",258.00,"57,417,598.80",790,14.5,18.8,5.62,7.27,0.36,306.30,223.80,263.78,260.53
2025/07/30,67,GLH,33.18,301.9,301.9,286.2,286.75,286.20,0.55,0.0,290.74,"148,968.00",296.01,"43,310,703.60",611,-9.26,15.7,-3.13,5.49,-1.39,336.00,223.80,,
2025/07/31,67,GLH,32.97,286.0,290.0,279.0,280.58,279.00,1.58,0.01,283.33,"150,696.00",286.75,"42,697,337.20",635,-6.17,11.0,-2.15,3.94,-0.98,336.00,223.80,,
2025/08/03,68,GLH,31.69,282.0,282.0,271.1,272.24,272.00,0.24,0.0,275.45,"166,481.00",280.58,"45,857,067.60",689,-8.34,10.9,-2.97,4.02,-1.18,336.00,223.80,,
2025/08/04,69,GLH,28.76,271.0,281.0,271.0,278.49,278.00,0.49,0.0,275.20,"99,889.00",272.24,"27,489,782.40",515,6.25,10.0,2.3,3.69,1.18,336.00,223.80,,
