Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2022/03/16,50,GLICLP,49.74,382.0,382.0,382.0,382.0,382.00,0.0,0.0,382.00,"46,118.00",382.00,"17,617,076.00",1,0.0,0.0,0.0,0.0,0.0,494.00,334.00
2021/11/02,51,GLICLP,68.35,334.0,334.0,334.0,334.0,334.00,0.0,0.0,334.00,"122,067.00",334.00,"40,770,378.00",8,0.0,0.0,0.0,0.0,0.0,494.00,334.00
2021/11/03,51,GLICLP,40.53,334.0,334.0,334.0,334.0,334.00,0.0,0.0,334.00,"1,917.00",334.00,"640,278.00",1,0.0,0.0,0.0,0.0,0.0,494.00,334.00
2021/11/08,51,GLICLP,43.83,334.0,334.0,334.0,334.0,334.00,0.0,0.0,334.00,"10,439.00",334.00,"3,486,626.00",2,0.0,0.0,0.0,0.0,0.0,494.00,334.00
2021/07/07,51,GLICLP,59.31,494.0,494.0,494.0,494.0,494.00,0.0,0.0,494.00,"15,000.00",494.00,"7,410,000.00",1,0.0,0.00,0.0,0.0,0.0,494.00,494.00
2021/06/13,50,GLICLP,70.63,494.0,494.0,494.0,494.0,494.00,0.0,0.0,494.00,"25,000.00",494.06,"12,350,000.00",1,-0.06,0.0,-0.01,0.0,0.0,494.00,494.00
2018/01/16,35,GLICLP,-,520.0,520.0,520.0,520.0,520.00,0.0,0.0,520.00,"24,750.00",520.00,"12,870,000.00",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/11/13,36,GLICLP,-,517.0,300.0,300.0,300.0,300.00,0.0,0.0,300.00,"374,755.00",517.00,"112,426,496.00",3,-217.0,0.00,0.0,0.0,0.0,0.0,0.0
2017/08/30,33,GLICLP,-,517.0,300.0,300.0,300.0,300.00,0.0,0.0,300.00,"162,642.00",517.00,"48,792,600.00",1,-217.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/08/17,36,GLICLP,-,517.0,300.0,300.0,300.0,300.00,0.0,0.0,300.00,"45,597.00",517.00,"13,679,100.00",1,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/08/22,35,GLICLP,-,517.0,0.0,0.0,0.0,0.00,0.0,0.0,300.00,"66,500.00",517.00,"19,950,000.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/06/18,33,GLICLP,-,615.0,615.0,615.0,615.0,615.00,0.0,0.0,615.00,"10,000.00",615.00,"6,150,000.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/06/28,29,GLICLP,-,615.0,603.0,569.0,569.0,569.00,0.0,0.0,585.75,800.00,615.00,"468,600.00",4,-46.0,34.0,0.0,5.98,-2.94,0.0,0.0
2017/07/02,33,GLICLP,-,569.0,558.0,527.0,527.0,527.00,0.0,0.0,532.72,"8,525.00",569.00,"4,541,475.00",5,-42.0,31.0,0.0,5.88,-1.09,0.0,0.0
2017/07/06,31,GLICLP,-,527.0,517.0,517.0,517.0,517.00,0.0,0.0,517.00,112.00,527.00,"57,904.00",1,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/10/29,36,GLICLP,-,517.0,300.0,300.0,300.0,300.00,0.0,0.0,300.00,"138,539.00",517.00,"41,561,700.00",2,-217.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/05/31,30,GLICLP,-,615.0,615.0,615.0,615.0,615.00,0.0,0.0,615.00,200.00,615.00,"123,000.00",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/06/04,31,GLICLP,-,615.0,615.0,615.0,615.0,615.00,0.0,0.0,615.00,"18,105.00",615.00,"11,134,575.00",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
