Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2024/07/08,73,GRDBLP,54.21,277.0,277.0,277.0,277.0,277.00,0.0,0.0,277.00,"10,340.00",277.00,"2,864,180.00",1,0.0,0.0,0.0,0.0,0.0,277.00,178.00
2024/01/08,74,GRDBLP,52.62,178.0,178.0,178.0,178.0,178.00,0.0,0.0,178.00,"5,190.00",178.00,"923,820.00",2,0.0,0.00,0.0,0.0,0.0,178.00,153.00
2023/01/12,64,GRDBLP,41.08,153.0,153.0,153.0,153.0,153.00,0.0,0.0,153.00,"5,000.00",153.00,"765,000.00",2,0.0,0.0,0.0,0.0,0.0,177.00,135.00
2022/09/02,49,GRDBLP,17.43,135.0,135.0,135.0,135.0,135.00,0.0,0.0,135.00,"1,000.00",135.00,"135,000.00",1,0.0,0.0,0.0,0.0,0.0,187.00,135.00
2022/07/22,51,GRDBLP,23.64,135.0,135.0,135.0,135.0,135.00,0.0,0.0,135.00,"1,000.00",135.00,"135,000.00",1,0.0,0.0,0.0,0.0,0.0,187.00,135.00
2022/06/08,55,GRDBLP,25.51,135.0,135.0,135.0,135.0,135.00,0.0,0.0,135.00,"5,000.00",135.00,"675,000.00",2,0.0,0.00,0.0,0.0,0.0,187.00,100.00
2022/02/27,53,GRDBLP,45.47,177.0,177.0,177.0,177.0,177.00,0.0,0.0,177.00,"2,500.00",177.00,"442,500.00",1,0.0,0.00,0.0,0.0,0.0,187.00,100.00
2021/09/12,56,GRDBLP,55.57,187.0,187.0,187.0,187.0,187.00,0.0,0.0,187.00,"7,000.00",187.00,"1,309,000.00",2,0.00,0.00,0.0,0.0,0.0,187.00,100.00
2021/07/04,53,GRDBLP,49.42,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"3,000.00",100.00,"300,000.00",1,0.0,0.0,0.0,0.0,0.0,100.00,100.00
2021/07/06,53,GRDBLP,54.72,187.0,187.0,187.0,187.0,187.00,0.0,0.0,187.00,"3,000.00",0.00,"561,000.00",1,0.00,0.00,0.0,0.0,0.0,187.00,100.00
2021/03/23,51,GRDBLP,56.97,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"56,000.00",100.00,"5,600,000.00",13,0.00,0.00,0.0,0.0,0.0,100.00,100.00
2021/03/24,51,GRDBLP,53.38,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"10,000.00",100.00,"1,000,000.00",3,0.00,0.00,0.0,0.0,0.0,100.00,100.00
2021/03/25,51,GRDBLP,57.63,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"50,000.00",100.00,"5,000,000.00",6,0.0,0.00,0.0,0.0,0.0,100.00,100.00
2021/03/29,52,GRDBLP,53.11,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"12,000.00",100.00,"1,200,000.00",1,0.0,0.00,0.0,0.0,0.0,100.00,100.00
2020/09/27,47,GRDBLP,49.26,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"3,000.00",100.00,"300,000.00",1,0.00,0.00,0.0,0.0,0.0,100.00,100.00
2020/07/06,44,GRDBLP,38.97,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"19,000.00",100.00,"1,900,000.00",2,0.0,0.0,0.0,0.0,0.0,100.00,100.00
2019/12/11,42,GRDBLP,47.94,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"35,000.00",100.00,"3,500,000.00",1,0.0,0.0,0.0,0.0,0.0,100.00,100.00
2019/11/21,41,GRDBLP,42.47,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"23,750.00",0.00,"2,375,000.00",6,100.0,0.0,0.0,0.0,0.0,100.00,0.00
2019/12/03,43,GRDBLP,43.95,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"36,710.00",100.00,"3,671,000.00",2,0.0,0.0,0.0,0.0,0.0,100.00,100.00
2020/09/16,48,GRDBLP,53.71,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,"25,000.00",100.00,"2,500,000.00",9,0.0,0.0,0.0,0.0,0.0,100.00,100.00
