Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2024/09/09,73,GUFLPO,44.63,474.0,474.0,474.0,474.0,474.00,0.0,0.0,474.00,"5,938.00",474.00,"2,814,612.00",2,0.00,0.0,0.0,0.0,0.0,474.00,355.00
2025/04/21,72,GUFLPO,18.97,331.0,331.0,331.0,331.0,331.00,0.0,0.0,331.00,"5,820.00",331.00,"1,926,420.00",4,0.0,0.0,0.0,0.0,0.0,474.00,331.00
2024/12/19,68,GUFLPO,20.62,385.0,385.0,385.0,385.0,385.00,0.0,0.0,385.00,"5,000.00",385.00,"1,925,000.00",1,0.0,0.0,0.0,0.0,0.0,474.00,355.00
2024/09/16,70,GUFLPO,36.54,474.0,474.0,474.0,474.0,474.00,0.0,0.0,474.00,30.00,474.00,"14,220.00",1,0.0,0.00,0.0,0.0,0.0,474.00,355.00
2024/06/19,69,GUFLPO,50.97,355.0,355.0,355.0,355.0,355.00,0.0,0.0,355.00,"55,000.00",355.00,"19,525,000.00",1,0.0,0.0,0.0,0.0,0.0,432.00,355.00
2024/03/27,72,GUFLPO,38.71,432.0,432.0,432.0,432.0,432.00,0.0,0.0,432.00,"1,587.00",432.00,"685,584.00",1,0.0,0.00,0.0,0.0,0.0,432.00,289.00
2023/05/07,64,GUFLPO,26.37,289.0,289.0,289.0,289.0,289.00,0.0,0.0,289.00,"12,563.00",284.00,"3,630,707.00",3,5.0,0.0,1.76,0.0,0.0,289.00,255.00
2022/12/15,64,GUFLPO,33.61,284.0,284.0,284.0,284.0,284.00,0.0,0.0,284.00,"42,632.00",284.00,"12,107,488.00",22,0.0,0.0,0.0,0.0,0.0,284.00,255.00
2022/08/10,51,GUFLPO,26.64,255.0,255.0,255.0,255.0,255.00,0.0,0.0,255.00,"7,000.00",255.00,"1,785,000.00",4,0.0,0.00,0.0,0.0,0.0,258.00,255.00
2022/07/14,52,GUFLPO,33.98,255.0,255.0,255.0,255.0,255.00,0.0,0.0,255.00,"77,931.00",255.00,"19,872,405.00",19,0.0,0.00,0.0,0.0,0.0,649.00,255.00
2022/05/31,54,GUFLPO,24.14,255.0,255.0,255.0,255.0,255.00,0.0,0.0,255.00,"3,094.00",258.00,"788,970.00",2,-3.0,0.0,-1.16,0.0,0.0,649.00,255.00
2022/04/25,56,GUFLPO,37.78,258.0,258.0,258.0,258.0,258.00,0.0,0.0,258.00,"39,668.00",258.00,"10,234,344.00",12,0.0,0.0,0.0,0.0,0.0,649.00,258.00
2021/07/20,54,GUFLPO,66.39,649.0,649.0,649.0,649.0,649.00,0.0,0.0,649.00,"26,523.00",649.00,"17,213,427.00",42,0.00,0.00,0.0,0.0,0.0,649.00,176.00
2021/08/04,57,GUFLPO,64.42,649.0,649.0,649.0,649.0,649.00,0.0,0.0,649.00,600.00,649.00,"389,400.00",1,0.0,0.0,0.0,0.0,0.0,649.00,176.00
2021/05/09,54,GUFLPO,63.96,259.0,259.0,259.0,259.0,259.00,0.0,0.0,259.00,"9,281.00",259.00,"2,403,779.00",1,0.0,0.0,0.0,0.0,0.0,259.00,176.00
