Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,73,GVL,27.86,550.0,551.6,535.2,542.22,542.00,0.22,0.0,541.90,"44,129.00",540.81,"23,913,462.50",224,1.41,16.4,0.26,3.06,0.06,662.00,424.00,,
2025/08/26,74,GVL,26.77,536.2,550.0,536.2,537.98,537.50,0.48,0.0,539.06,"18,452.00",542.22,"9,946,776.40",123,-4.24,13.8,-0.78,2.57,-0.2,662.00,424.00,,
2025/08/27,76,GVL,39.37,548.0,586.0,535.0,581.47,578.00,3.47,0.01,549.69,"846,623.00",537.98,"465,379,407.40","1,431",43.49,51.0,8.08,9.53,5.47,662.00,424.00,,
2025/08/28,78,GVL,40.09,581.47,584.9,558.0,561.13,569.00,-7.87,-0.01,570.09,"141,033.00",581.47,"80,401,570.90",698,-20.34,26.9,-3.5,4.82,-1.6,662.00,424.00,,
2025/08/31,74,GVL,37.29,572.0,572.0,544.0,544.82,548.00,-3.18,-0.01,549.53,"113,838.00",561.13,"62,557,349.30",464,-16.31,28.0,-2.91,5.15,-0.86,662.00,424.00,,
2025/09/01,76,GVL,36.36,542.0,552.0,539.0,544.19,540.50,3.69,0.01,545.86,"39,847.00",544.82,"21,751,052.40",288,-0.63,13.0,-0.12,2.41,-0.31,662.00,424.00,,
2025/09/02,76,GVL,36.8,541.3,550.0,540.1,541.35,541.00,0.35,0.0,542.31,"30,172.00",544.19,"16,362,618.40",212,-2.84,9.9,-0.52,1.83,-0.18,662.00,424.00,,
2025/09/03,80,GVL,22.21,536.0,545.0,536.0,536.59,537.00,-0.41,0.0,538.86,"29,316.00",541.35,"15,797,153.50",235,-4.76,9.0,-0.88,1.68,-0.42,662.00,424.00,,
2025/09/04,78,GVL,26.38,534.0,545.0,532.1,539.31,540.00,-0.69,0.0,536.69,"64,332.00",536.59,"34,526,488.30",285,2.72,12.9,0.51,2.42,0.49,662.00,424.00,,
2025/09/07,81,GVL,26.5,535.0,543.0,532.1,534.41,533.00,1.41,0.0,537.29,"41,595.00",539.31,"22,348,672.20",216,-4.9,10.9,-0.91,2.05,-0.54,662.00,424.00,,
2025/09/08,76,GVL,21.74,530.0,540.0,525.2,525.73,526.00,-0.27,0.0,528.11,"50,107.00",534.41,"26,462,157.20",266,-8.68,14.8,-1.62,2.82,-0.45,662.00,424.00,,
2025/09/18,61,GVL,18.4,515.3,515.3,473.2,490.0,490.00,0.0,0.0,484.49,"5,977.00",525.73,"2,895,781.00",35,-35.73,42.1,-6.8,8.9,1.13,662.00,424.00,,
2025/09/21,79,GVL,30.89,480.2,529.0,480.2,517.22,516.10,1.12,0.0,513.17,"73,505.00",490.00,"37,720,352.40",429,27.22,48.80,5.56,10.16,0.78,662.00,424.00,,
2025/09/23,77,GVL,37.99,518.0,537.0,518.0,530.0,530.00,0.0,0.0,524.93,"51,225.00",517.22,"26,889,350.90",334,12.78,19.0,2.47,3.67,0.96,662.00,424.00,,
2025/09/24,72,GVL,33.98,520.5,540.6,520.0,526.1,526.10,0.0,0.0,528.54,"49,700.00",530.00,"26,268,298.90",229,-3.90,20.6,-0.74,3.96,-0.46,662.00,424.00,,
2025/09/25,76,GVL,32.57,525.0,535.0,520.1,532.0,532.00,0.0,0.0,527.77,"33,163.00",526.10,"17,502,384.90",170,5.9,14.9,1.12,2.86,0.8,662.00,424.00,490.22,505.50
2025/07/30,74,GVL,46.96,641.0,648.5,590.0,623.56,619.10,4.46,0.01,610.87,"928,024.00",636.57,"566,901,446.10","1,582",-13.01,58.5,-2.04,9.92,2.04,655.00,424.00,,
2025/07/31,74,GVL,39.04,612.2,662.0,606.7,623.14,619.00,4.14,0.01,623.55,"312,192.00",623.56,"194,666,419.20","1,124",-0.42,55.3,-0.07,9.11,-0.07,662.00,424.00,,
2025/08/03,75,GVL,31.97,611.0,617.0,583.2,587.16,583.20,3.96,0.01,596.45,"351,012.00",623.14,"209,360,100.70","1,111",-35.98,33.8,-5.77,5.8,-1.58,662.00,424.00,,
2025/08/04,76,GVL,32.33,578.1,598.0,576.0,579.9,580.00,-0.1,0.0,584.61,"171,364.00",587.16,"100,180,315.60",770,-7.26,22.0,-1.24,3.82,-0.81,662.00,424.00,,
2025/08/05,78,GVL,31.38,584.0,590.0,568.4,570.33,568.50,1.83,0.0,577.79,"191,993.00",579.90,"110,931,553.50",600,-9.57,21.6,-1.65,3.8,-1.31,662.00,424.00,,
2025/08/06,77,GVL,29.6,566.0,580.0,565.0,567.09,566.00,1.09,0.0,570.57,"283,102.00",570.33,"161,528,598.10",639,-3.24,15.00,-0.57,2.65,-0.61,662.00,424.00,,
2025/08/07,75,GVL,25.64,570.1,584.4,557.0,558.94,557.90,1.04,0.0,568.97,"214,560.00",567.09,"122,077,523.10",783,-8.15,27.4,-1.44,4.92,-1.79,662.00,424.00,,
2025/08/11,77,GVL,25.22,570.1,570.1,540.0,543.84,542.20,1.64,0.0,553.53,"167,630.00",558.94,"92,787,926.90",568,-15.1,30.1,-2.7,5.57,-1.78,662.00,424.00,,
2025/08/12,77,GVL,25.51,540.2,567.0,540.2,556.07,557.00,-0.93,0.0,559.88,"171,086.00",543.84,"95,787,513.20",702,12.23,26.8,2.25,4.96,-0.69,662.00,424.00,,
2025/08/13,71,GVL,22.31,566.0,566.0,545.6,549.01,547.00,2.01,0.0,553.25,"60,682.00",556.07,"33,572,425.80",346,-7.06,20.4,-1.27,3.74,-0.77,662.00,424.00,,
2025/08/14,73,GVL,23.84,546.0,555.9,534.1,540.6,540.00,0.6,0.0,543.92,"94,196.00",549.01,"51,234,752.70",400,-8.41,21.8,-1.53,4.08,-0.61,662.00,424.00,,
2025/08/17,71,GVL,26.67,540.6,565.0,533.5,547.58,547.00,0.58,0.0,550.65,"150,363.00",540.60,"82,798,125.80",513,6.98,31.5,1.29,5.9,-0.56,662.00,424.00,,
2025/08/18,78,GVL,31.1,558.1,568.5,542.0,556.55,555.00,1.55,0.0,561.34,"154,685.00",547.58,"86,830,637.50",669,8.97,26.5,1.64,4.89,-0.86,662.00,424.00,,
2025/08/19,73,GVL,24.34,560.0,574.0,548.0,550.58,548.00,2.58,0.0,558.26,"108,801.00",556.55,"60,739,512.70",435,-5.97,26.0,-1.07,4.74,-1.4,662.00,424.00,,
2025/08/20,77,GVL,22.57,561.5,561.5,539.0,542.53,546.10,-3.57,-0.01,546.72,"75,588.00",550.58,"41,325,540.10",364,-8.05,22.5,-1.46,4.17,-0.77,662.00,424.00,,
2025/08/21,73,GVL,24.73,542.0,552.0,541.1,546.75,546.10,0.65,0.0,545.91,"50,010.00",542.53,"27,300,856.60",310,4.22,10.9,0.78,2.01,0.15,662.00,424.00,,
2025/07/07,71,GVL,24.69,465.0,465.0,456.4,458.16,458.90,-0.74,0.0,459.56,"25,158.00",465.34,"11,561,665.90",204,-7.18,8.6,-1.54,1.88,-0.31,699.90,424.00,,
2025/07/08,72,GVL,27.07,458.0,466.9,451.0,464.69,466.00,-1.31,0.0,462.56,"33,166.00",458.16,"15,341,276.00",232,6.53,15.9,1.43,3.53,0.46,699.90,424.00,,
2025/07/09,71,GVL,28.9,464.6,473.9,461.1,465.7,465.10,0.6,0.0,467.90,"41,678.00",464.69,"19,501,090.60",227,1.01,12.8,0.22,2.78,-0.47,699.90,424.00,,
2025/07/10,72,GVL,33.05,465.7,475.1,461.3,469.36,471.00,-1.64,0.0,467.24,"45,792.00",465.70,"21,395,704.40",241,3.66,13.8,0.79,2.99,0.45,699.90,424.00,,
2025/07/13,72,GVL,26.28,478.0,480.0,460.0,462.06,463.10,-1.04,0.0,467.62,"30,020.00",469.36,"14,037,815.20",234,-7.3,20.0,-1.56,4.35,-1.2,699.90,424.00,,
2025/07/14,76,GVL,38.59,465.0,470.0,458.0,462.51,463.50,-0.99,0.0,462.65,"14,375.00",462.06,"6,650,620.20",155,0.45,12.00,0.1,2.62,-0.03,699.90,424.00,,
2025/07/15,73,GVL,41.77,461.3,473.0,461.3,468.32,467.90,0.42,0.0,467.46,"27,083.00",462.51,"12,660,196.20",226,5.81,11.70,1.26,2.54,0.18,699.90,424.00,,
2025/07/16,78,GVL,47.12,477.6,499.0,465.1,482.3,492.00,-9.7,-0.02,477.55,"75,208.00",468.32,"35,915,852.00",429,13.98,33.9,2.99,7.29,0.98,699.90,424.00,,
2025/07/17,71,GVL,47.79,489.9,501.7,487.1,491.81,494.00,-2.19,0.0,492.68,"82,934.00",482.30,"40,860,040.30",462,9.51,14.60,1.97,3.0,-0.18,699.90,424.00,,
2025/07/20,73,GVL,47.56,485.0,501.0,480.0,482.91,485.00,-2.09,0.0,494.60,"101,908.00",491.81,"50,403,475.20",576,-8.9,21.0,-1.81,4.38,-2.42,678.00,424.00,,
2025/07/21,73,GVL,39.99,487.0,490.0,481.0,486.22,489.00,-2.78,-0.01,484.70,"34,128.00",482.91,"16,541,675.30",291,3.31,9.0,0.69,1.87,0.31,678.00,424.00,,
2025/07/22,75,GVL,43.33,481.0,499.9,481.0,494.59,494.10,0.49,0.0,494.59,"66,277.00",486.22,"32,779,671.70",454,8.37,18.9,1.72,3.93,0.0,656.80,424.00,,
2025/07/23,74,GVL,50.57,493.0,544.0,493.0,541.1,544.00,-2.9,-0.01,516.32,"242,045.00",494.59,"124,971,480.20","1,258",46.51,51.00,9.4,10.34,4.58,656.80,424.00,,
2025/07/24,75,GVL,52.8,550.0,595.2,520.0,595.2,595.20,0.0,0.0,556.44,"1,191,263.00",541.10,"662,867,705.90","2,629",54.1,75.2,10.0,14.46,6.51,656.80,424.00,,
2025/07/27,76,GVL,54.34,607.0,643.0,550.0,632.63,628.90,3.73,0.01,575.76,"1,321,127.00",595.20,"760,656,345.90","2,243",37.43,93.0,6.29,16.91,8.99,656.80,424.00,,
2025/07/28,76,GVL,48.6,632.6,632.6,588.0,594.71,602.00,-7.29,-0.01,600.48,"406,177.00",632.63,"243,900,897.20","1,608",-37.92,44.6,-5.99,7.59,-0.97,656.80,424.00,,
2025/06/12,73,GVL,47.53,457.1,469.5,456.3,457.72,456.30,1.42,0.0,463.21,"67,945.00",455.96,"31,472,805.50",451,1.76,13.2,0.39,2.89,-1.2,699.90,424.00,,
2025/06/15,75,GVL,47.32,460.0,472.9,453.0,465.67,466.00,-0.33,0.0,465.33,"63,640.00",457.72,"29,613,329.40",390,7.95,19.9,1.74,4.39,0.07,699.90,424.00,,
2025/06/16,78,GVL,43.51,473.0,478.3,460.3,463.67,464.10,-0.43,0.0,470.28,"74,243.00",465.67,"34,915,327.10",406,-2.0,18.0,-0.43,3.91,-1.43,699.90,424.00,,
2025/06/17,73,GVL,39.76,463.0,463.0,457.2,460.44,460.10,0.34,0.0,459.34,"19,223.00",463.67,"8,829,870.50",164,-3.23,5.8,-0.7,1.27,0.24,699.90,424.00,,
2025/06/18,74,GVL,31.82,460.0,465.0,457.0,457.38,459.90,-2.52,-0.01,459.56,"17,331.00",460.44,"7,964,661.90",160,-3.06,8.0,-0.66,1.75,-0.48,699.90,424.00,,
2025/06/19,78,GVL,30.16,458.0,462.9,445.0,447.36,449.00,-1.64,0.0,453.90,"51,513.00",457.38,"23,382,005.20",284,-10.02,17.90,-2.19,4.02,-1.46,699.90,424.00,,
2025/06/22,75,GVL,24.25,445.0,452.0,441.1,442.39,441.60,0.79,0.0,444.58,"12,482.00",447.36,"5,549,187.90",171,-4.97,10.90,-1.11,2.47,-0.49,699.90,424.00,,
2025/06/23,79,GVL,24.01,442.0,455.0,437.2,446.79,449.90,-3.11,-0.01,446.42,"14,477.00",442.39,"6,462,873.10",139,4.4,17.80,0.99,4.07,0.08,699.90,424.00,,
2025/06/24,78,GVL,24.2,439.0,455.8,439.0,443.15,446.80,-3.65,-0.01,448.80,"19,956.00",446.79,"8,956,326.80",165,-3.64,16.80,-0.81,3.83,-1.28,699.90,424.00,,
2025/06/25,74,GVL,20.81,439.1,449.8,439.1,444.36,444.10,0.26,0.0,444.40,"5,806.00",443.15,"2,580,161.30",87,1.21,10.7,0.27,2.44,-0.01,699.90,424.00,,
2025/06/26,76,GVL,32.57,525.0,535.0,520.1,532.0,532.00,0.0,0.0,527.77,"33,163.00",526.10,"17,502,384.90",170,5.9,14.9,1.12,2.86,0.8,662.00,424.00,490.22,505.50
2025/06/29,78,GVL,45.88,448.0,483.8,442.0,480.07,483.80,-3.73,-0.01,471.33,"175,442.00",448.86,"82,690,292.40",957,31.21,41.8,6.95,9.46,1.82,699.90,424.00,,
2025/06/30,75,GVL,43.79,481.0,485.0,466.5,468.51,472.00,-3.49,-0.01,472.04,"57,570.00",480.07,"27,175,124.00",334,-11.56,18.50,-2.41,3.97,-0.75,699.90,424.00,,
2025/07/01,73,GVL,43.09,468.0,483.0,467.2,478.87,483.00,-4.13,-0.01,475.50,"50,172.00",468.51,"23,856,560.90",292,10.36,15.8,2.21,3.38,0.7,699.90,424.00,,
2025/07/02,74,GVL,45.64,485.0,487.5,475.0,477.24,475.00,2.24,0.0,482.74,"105,722.00",478.87,"51,036,506.30",538,-1.63,12.5,-0.34,2.63,-1.15,699.90,424.00,,
2025/07/03,73,GVL,40.0,485.9,486.7,466.0,469.37,466.90,2.47,0.01,474.82,"59,896.00",477.24,"28,440,082.30",360,-7.87,20.7,-1.65,4.44,-1.16,699.90,424.00,,
2025/05/18,70,GVL,23.45,441.1,446.0,437.0,439.47,440.00,-0.53,0.0,440.20,"14,060.00",441.88,"6,189,142.00",207,-2.41,9.0,-0.55,2.06,-0.16,699.90,424.00,,
2025/05/19,75,GVL,22.23,440.0,448.0,440.0,442.13,443.00,-0.87,0.0,442.47,"8,118.00",439.47,"3,591,993.30",155,2.66,8.00,0.61,1.82,-0.08,699.90,424.00,,
2025/05/20,71,GVL,26.29,440.0,448.6,436.0,448.22,448.10,0.12,0.0,442.13,"17,451.00",442.13,"7,715,635.70",190,6.09,12.6,1.38,2.89,1.36,699.90,424.00,,
