Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2021/12/26,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/02/01,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/02/10,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/02/14,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/02/15,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/02/20,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/03/07,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/03/15,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/05/18,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/05/21,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/05/26,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/06/06,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/06/10,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/06/13,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
2022/06/26,86,HLI,67.07,422.0,438.9,417.2,436.0,430.53,"352,804.00",421.10,"151,893,566.80","1,773",14.90,21.70,3.54,5.2,1.25,395.29,402.12,516.00,364.10
