Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/11/28,73,KBLPO,48.92,149.0,149.0,149.0,149.0,149.00,"238,640.00",155.80,"35,557,360.00",1,-6.8,0.0,-4.36,0.0,0.0,155.80,100.00
2021/11/29,70,KBLPO,50.07,149.0,149.0,149.0,149.0,174.53,"195,000.00",149.00,"34,033,350.00",2,0.0,0.0,0.0,0.0,-17.13,155.80,100.00
2021/12/09,73,KBLPO,41.61,149.0,149.0,149.0,149.0,174.53,"242,000.00",149.00,"42,236,260.00",1,0.0,0.0,0.0,0.0,-17.13,155.80,100.00
2021/12/13,72,KBLPO,34.57,149.0,149.0,149.0,149.0,149.00,"50,000.00",149.00,"7,450,000.00",1,0.00,0.00,0.0,0.0,0.0,155.80,100.00
2021/12/20,71,KBLPO,34.51,149.0,149.0,149.0,149.0,149.00,"68,896.00",149.00,"10,265,504.00",2,0.0,0.0,0.0,0.0,0.0,155.80,100.00
2021/12/27,73,KBLPO,37.85,149.0,149.0,149.0,149.0,149.00,"10,668.00",149.00,"1,589,532.00",4,0.0,0.00,0.0,0.0,0.0,155.80,100.00
2022/01/06,75,KBLPO,43.74,149.0,149.0,149.0,149.0,174.53,"63,000.00",149.00,"10,995,390.00",1,0.00,0.00,0.0,0.0,-17.13,155.80,100.00
2022/01/30,73,KBLPO,43.8,149.0,149.0,149.0,149.0,149.00,"13,318.00",149.00,"1,984,382.00",1,0.0,0.0,0.0,0.0,0.0,155.80,100.00
2022/01/31,73,KBLPO,44.55,149.0,149.0,149.0,149.0,149.00,"7,099.00",149.00,"1,057,751.00",2,0.0,0.0,0.0,0.0,0.0,155.80,100.00
2022/02/06,74,KBLPO,47.36,149.0,149.0,146.1,146.1,148.44,"124,000.00",149.00,"18,406,400.00",2,-2.90,2.9,-1.95,1.98,-1.6,155.80,100.00
2022/02/07,73,KBLPO,41.13,146.1,174.53,146.1,146.1,170.92,"34,360.00",146.10,"5,872,896.00",3,0.0,28.43,0.0,19.46,-16.99,174.53,100.00
2022/02/16,74,KBLPO,31.57,140.4,140.4,140.4,140.4,140.40,"8,309.00",143.20,"1,166,583.60",1,-2.8,0.0,-1.96,0.0,0.0,174.53,100.00
2022/02/17,73,KBLPO,31.96,137.6,137.6,137.6,137.6,137.60,"5,339.00",140.40,"734,646.40",1,-2.8,0.0,-1.99,0.0,0.0,174.53,100.00
2022/02/22,74,KBLPO,35.4,132.3,132.3,132.3,132.3,132.30,"11,572.00",134.90,"1,530,975.60",4,-2.6,0.0,-1.93,0.0,0.0,174.53,100.00
2022/02/23,72,KBLPO,30.11,129.7,129.7,129.7,129.7,129.70,"4,082.00",132.30,"529,435.40",1,-2.6,0.0,-1.97,0.0,0.0,174.53,100.00
2022/03/27,74,KBLPO,42.95,129.7,129.7,129.7,129.7,129.70,"54,000.00",129.70,"7,003,800.00",1,0.0,0.00,0.0,0.0,0.0,174.53,100.00
2022/03/28,74,KBLPO,41.15,129.0,129.0,129.0,129.0,129.00,"12,431.00",129.70,"1,603,599.00",2,-0.7,0.0,-0.54,0.0,0.0,174.53,100.00
2022/03/29,72,KBLPO,43.16,130.0,130.0,130.0,130.0,130.00,"11,684.00",129.00,"1,518,920.00",1,1.0,0.0,0.78,0.0,0.0,174.53,100.00
2022/04/03,73,KBLPO,46.5,130.0,130.0,130.0,130.0,130.00,"70,190.00",130.00,"9,124,700.00",1,0.0,0.0,0.0,0.0,0.0,174.53,100.00
2022/04/18,73,KBLPO,44.44,130.0,130.0,130.0,130.0,130.00,"64,050.00",130.00,"8,326,500.00",2,0.0,0.00,0.0,0.0,0.0,174.53,100.00
2022/04/25,77,KBLPO,39.09,130.0,130.0,130.0,130.0,130.00,"10,796.00",130.00,"1,403,480.00",1,0.0,0.0,0.0,0.0,0.0,174.53,114.00
2022/05/23,70,KBLPO,44.38,130.0,130.0,130.0,130.0,130.00,"50,000.00",130.00,"6,500,000.00",1,0.0,0.0,0.0,0.0,0.0,174.53,116.00
2022/06/14,73,KBLPO,31.86,127.5,127.5,127.5,127.5,127.50,"3,352.00",130.00,"427,380.00",1,-2.5,0.0,-1.92,0.0,0.0,174.53,116.00
2022/06/17,71,KBLPO,39.48,128.0,128.0,128.0,128.0,128.00,"46,001.00",127.50,"5,888,128.00",42,0.5,0.0,0.39,0.0,0.0,174.53,118.00
2022/06/22,73,KBLPO,32.35,128.0,128.0,128.0,128.0,128.00,"15,294.00",128.00,"1,957,632.00",1,0.0,0.0,0.0,0.0,0.0,174.53,127.50
2022/06/23,77,KBLPO,39.65,128.0,128.0,128.0,128.0,128.00,"99,107.00",128.00,"12,685,696.00",11,0.0,0.0,0.0,0.0,0.0,174.53,127.50
2022/07/12,72,KBLPO,36.38,128.0,128.0,128.0,128.0,128.00,813.00,128.00,"104,064.00",1,0.0,0.0,0.0,0.0,0.0,174.53,127.50
2022/07/28,71,KBLPO,50.64,125.5,125.5,125.5,125.5,125.50,"300,000.00",128.00,"37,650,000.00",1,-2.5,0.00,-1.95,0.0,0.0,174.53,125.50
2022/07/31,73,KBLPO,45.62,123.0,123.0,120.6,120.6,121.29,"700,000.00",125.50,"84,900,000.00",2,-4.9,2.4,-3.9,1.99,-0.57,174.53,120.60
2022/08/30,74,KBLPO,29.6,118.2,118.2,118.2,118.2,118.20,"20,000.00",120.60,"2,364,000.00",1,-2.4,0.0,-1.99,0.0,0.0,174.53,118.20
2022/09/14,74,KBLPO,28.34,118.0,118.0,118.0,118.0,118.00,"10,857.00",118.20,"1,281,126.00",1,-0.2,0.0,-0.17,0.0,0.0,174.53,118.00
2022/12/12,83,KBLPO,37.16,102.0,102.0,102.0,102.0,102.00,"1,077,239.00",102.00,"109,878,378.00",7,0.0,0.0,0.0,0.0,0.0,174.53,102.00
2022/12/20,85,KBLPO,28.27,100.0,100.0,100.0,100.0,100.00,"11,221.00",102.00,"1,122,100.00",1,-2.0,0.0,-1.96,0.0,0.0,174.53,100.00
2023/01/24,85,KBLPO,50.42,115.0,115.0,115.0,115.0,115.00,"200,000.00",115.00,"23,000,000.00",1,0.0,0.0,0.0,0.0,0.0,174.53,100.00
2023/01/26,81,KBLPO,48.33,115.0,115.0,115.0,115.0,115.00,"15,601.00",115.00,"1,794,115.00",1,0.0,0.0,0.0,0.0,0.0,174.53,100.00
2023/02/06,85,KBLPO,48.94,115.0,115.0,115.0,115.0,115.00,"4,539.00",115.00,"521,985.00",2,0.0,0.0,0.0,0.0,0.0,174.53,100.00
2023/02/07,87,KBLPO,45.62,115.0,115.0,115.0,115.0,115.00,"25,000.00",115.00,"2,875,000.00",1,0.0,0.0,0.0,0.0,0.0,174.53,100.00
2023/03/02,87,KBLPO,30.88,113.0,113.0,113.0,113.0,113.00,"21,019.00",115.00,"2,375,147.00",5,-2.0,0.0,-1.74,0.0,0.0,130.00,100.00
2023/03/07,85,KBLPO,37.39,113.0,113.0,113.0,113.0,113.00,"75,000.00",113.00,"8,475,000.00",1,0.0,0.0,0.0,0.0,0.0,130.00,100.00
2023/03/16,84,KBLPO,38.23,110.8,110.8,110.8,110.8,110.80,"92,539.00",113.00,"10,253,321.20",2,-2.2,0.0,-1.95,0.0,0.0,130.00,100.00
2023/03/19,85,KBLPO,27.47,110.8,110.8,110.8,110.8,138.00,"2,000.00",110.80,"276,000.00",1,0.0,0.0,0.0,0.0,-24.55,130.00,100.00
2023/03/27,83,KBLPO,35.02,110.0,110.0,110.0,110.0,110.00,"31,531.00",110.80,"3,468,410.00",1,-0.8,0.0,-0.72,0.0,0.0,130.00,100.00
2023/04/02,82,KBLPO,34.92,110.0,110.0,110.0,110.0,110.00,"174,610.00",110.00,"19,207,100.00",1,0.0,0.0,0.0,0.0,0.0,130.00,100.00
2023/04/04,86,KBLPO,40.99,110.0,110.0,110.0,110.0,110.00,"207,010.00",110.00,"22,771,100.00",2,0.0,0.0,0.0,0.0,0.0,130.00,100.00
2023/04/05,84,KBLPO,35.26,110.0,110.0,110.0,110.0,110.00,"50,000.00",110.00,"5,500,000.00",1,0.0,0.0,0.0,0.0,0.0,130.00,100.00
2023/04/10,83,KBLPO,33.1,110.0,110.0,110.0,110.0,110.00,"32,090.00",110.00,"3,529,900.00",1,0.0,0.0,0.0,0.0,0.0,130.00,100.00
2023/04/11,84,KBLPO,41.23,110.0,110.0,110.0,110.0,110.00,"150,000.00",110.00,"16,500,000.00",2,0.00,0.00,0.0,0.0,0.0,130.00,100.00
2023/04/17,81,KBLPO,38.35,110.0,110.0,110.0,110.0,110.00,"111,635.00",110.00,"12,279,850.00",2,0.0,0.0,0.0,0.0,0.0,130.00,100.00
