Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,111,LBBL,36.73,522.0,539.0,511.8,536.14,539.00,-2.86,-0.01,529.36,"203,122.00",522.19,"107,524,591.30",561,13.95,27.2,2.67,5.31,1.26,646.30,376.50,,
2025/08/26,115,LBBL,39.45,533.0,550.0,533.0,548.42,549.90,-1.48,0.0,542.39,"130,093.00",536.14,"70,561,259.40",461,12.28,17.0,2.29,3.19,1.1,646.30,376.50,,
2025/08/27,117,LBBL,42.56,550.0,579.0,550.0,577.1,575.50,1.6,0.0,567.74,"337,230.00",548.42,"191,458,765.60","1,174",28.68,29.0,5.23,5.27,1.62,646.30,376.50,,
2025/08/28,116,LBBL,42.99,572.0,580.0,550.0,552.99,551.00,1.99,0.0,561.53,"309,487.00",577.10,"173,785,033.70","1,045",-24.11,30.0,-4.18,5.45,-1.54,646.30,376.50,,
2025/08/31,110,LBBL,39.38,550.0,554.6,526.5,535.38,537.00,-1.62,0.0,537.54,"203,508.00",552.99,"109,394,371.30",670,-17.61,28.1,-3.18,5.34,-0.4,646.30,376.50,,
2025/09/01,117,LBBL,36.04,544.9,544.9,530.0,540.26,541.10,-0.84,0.0,538.65,"111,120.00",535.38,"59,854,620.00",403,4.88,14.9,0.91,2.81,0.3,646.30,376.50,,
2025/09/02,117,LBBL,27.09,551.0,551.0,533.0,534.4,535.70,-1.3,0.0,538.65,"93,395.00",540.26,"50,306,951.40",291,-5.86,18.0,-1.08,3.38,-0.79,646.30,376.50,,
2025/09/03,120,LBBL,24.82,525.9,540.0,525.9,528.32,526.70,1.62,0.0,530.34,"115,314.00",534.40,"61,155,728.20",369,-6.08,14.1,-1.14,2.68,-0.38,646.30,376.50,,
2025/09/04,116,LBBL,25.98,536.9,536.9,521.0,528.5,530.40,-1.9,0.0,526.08,"109,015.00",528.32,"57,350,363.10",394,0.18,15.9,0.03,3.05,0.46,646.30,376.50,,
2025/09/07,123,LBBL,26.05,536.0,548.0,520.0,529.53,531.00,-1.47,0.0,533.97,"55,765.00",528.50,"29,776,571.20",264,1.03,28.0,0.19,5.38,-0.84,646.30,376.50,,
2025/09/08,115,LBBL,26.91,519.0,534.0,519.0,522.27,521.30,0.97,0.0,525.42,"126,211.00",529.53,"66,314,165.60",375,-7.26,15.0,-1.37,2.89,-0.6,646.30,376.50,,
2025/09/18,92,LBBL,20.49,511.9,511.9,472.0,499.0,499.00,0.0,0.0,482.27,"38,125.00",522.27,"18,386,381.70",94,-23.27,39.9,-4.46,8.45,3.35,646.30,376.50,,
2025/09/21,119,LBBL,31.89,489.1,522.0,482.0,514.71,519.00,-4.29,-0.01,502.77,"344,982.00",499.00,"173,446,697.60",845,15.71,40.00,3.15,8.3,2.32,646.30,376.50,,
2025/09/23,120,LBBL,31.46,512.0,529.0,512.0,519.1,519.10,0.0,0.0,520.87,"119,641.00",514.71,"62,317,373.80",366,4.39,17.0,0.85,3.32,-0.34,646.30,376.50,,
2025/09/24,111,LBBL,22.43,513.0,526.0,501.2,511.0,511.00,0.0,0.0,513.16,"119,181.00",519.10,"61,158,807.90",312,-8.10,24.8,-1.56,4.95,-0.42,646.30,376.50,,
2025/09/25,116,LBBL,36.45,502.7,510.0,495.0,506.0,506.00,0.0,0.0,500.47,"136,389.00",511.00,"68,258,497.50",390,-5.0,15.0,-0.98,3.03,1.09,646.30,376.50,473.86,470.77
2025/07/30,116,LBBL,42.03,635.0,643.0,614.0,616.83,616.40,0.43,0.0,628.78,"521,491.00",635.68,"327,902,614.80","1,522",-18.85,29.0,-2.97,4.72,-1.94,646.30,376.50,,
2025/07/31,113,LBBL,41.98,617.0,628.8,600.0,610.66,610.00,0.66,0.0,613.98,"672,260.00",616.83,"412,750,846.80","1,711",-6.17,28.8,-1.0,4.8,-0.54,646.30,376.50,,
2025/08/03,116,LBBL,38.02,605.0,633.0,605.0,625.93,622.00,3.93,0.01,620.29,"614,665.00",610.66,"381,269,261.40","1,880",15.27,28.0,2.5,4.63,0.9,646.30,376.50,,
2025/08/04,115,LBBL,33.82,613.5,638.0,612.4,614.96,613.00,1.96,0.0,623.80,"457,428.00",625.93,"285,342,037.50","1,259",-10.97,25.6,-1.75,4.18,-1.44,646.30,376.50,,
2025/08/05,118,LBBL,31.86,627.2,627.2,578.1,581.77,580.20,1.57,0.0,595.38,"380,973.00",614.96,"226,821,952.80","1,338",-33.19,49.1,-5.4,8.49,-2.34,646.30,376.50,,
2025/08/06,117,LBBL,28.74,581.0,592.0,565.5,567.87,570.00,-2.13,0.0,578.19,"364,357.00",581.77,"210,668,110.60","1,003",-13.90,26.50,-2.39,4.69,-1.82,646.30,376.50,,
2025/08/07,112,LBBL,25.67,562.1,584.9,562.1,574.56,576.00,-1.44,0.0,577.35,"243,764.00",567.87,"140,738,332.80",706,6.69,22.8,1.18,4.06,-0.49,646.30,376.50,,
2025/08/11,114,LBBL,26.0,576.0,579.8,548.1,551.03,549.00,2.03,0.0,559.17,"310,218.00",574.56,"173,464,495.10",881,-23.53,31.7,-4.1,5.78,-1.48,646.30,376.50,,
2025/08/12,120,LBBL,27.06,560.0,569.0,540.0,559.88,563.50,-3.62,-0.01,556.55,"364,104.00",551.03,"202,642,070.10","1,019",8.85,29.0,1.61,5.37,0.59,646.30,376.50,,
2025/08/13,113,LBBL,25.65,548.7,575.0,548.7,560.08,564.90,-4.82,-0.01,564.99,"167,198.00",559.88,"94,465,568.00",627,0.2,26.3,0.04,4.79,-0.88,646.30,376.50,,
2025/08/14,112,LBBL,25.0,568.2,569.5,549.2,551.56,553.00,-1.44,0.0,556.42,"187,650.00",560.08,"104,411,425.10",574,-8.52,20.3,-1.52,3.7,-0.88,646.30,376.50,,
2025/08/17,111,LBBL,24.5,546.1,561.0,531.0,535.06,535.00,0.06,0.0,544.67,"216,971.00",551.56,"118,178,146.50",651,-16.5,30.0,-2.99,5.65,-1.8,646.30,376.50,,
2025/08/18,121,LBBL,21.88,539.0,548.2,531.0,538.75,535.20,3.55,0.01,539.83,"161,987.00",535.06,"87,444,810.00",528,3.69,17.2,0.69,3.24,-0.2,646.30,376.50,,
2025/08/19,111,LBBL,20.24,548.0,551.8,534.0,535.4,541.90,-6.5,-0.01,541.51,"116,308.00",538.75,"62,981,829.70",425,-3.35,17.8,-0.62,3.33,-1.14,646.30,376.50,,
2025/08/20,116,LBBL,20.53,544.0,546.9,532.1,535.77,532.10,3.67,0.01,539.09,"113,713.00",535.40,"61,301,911.30",343,0.37,14.8,0.07,2.78,-0.62,646.30,376.50,,
2025/08/21,113,LBBL,20.36,531.8,545.0,531.8,535.41,537.90,-2.49,0.0,536.76,"95,376.00",535.77,"51,193,784.70",361,-0.36,13.2,-0.07,2.48,-0.25,646.30,376.50,,
2025/07/07,111,LBBL,37.34,438.5,443.8,431.1,431.65,431.30,0.35,0.0,435.40,"30,807.00",438.32,"13,413,401.30",140,-6.67,12.7,-1.52,2.95,-0.87,560.00,376.50,,
2025/07/08,111,LBBL,23.76,430.0,434.9,427.3,429.47,429.20,0.27,0.0,429.18,"38,815.00",431.65,"16,658,656.70",143,-2.18,7.6,-0.51,1.78,0.07,560.00,376.50,,
2025/07/09,111,LBBL,25.78,438.0,444.0,429.3,431.43,437.40,-5.97,-0.01,432.21,"24,532.00",429.47,"10,603,020.90",124,1.96,14.7,0.46,3.42,-0.18,560.00,376.50,,
2025/07/10,112,LBBL,40.31,440.0,448.8,434.0,442.44,441.00,1.44,0.0,444.26,"86,537.00",431.43,"38,444,970.00",282,11.01,14.8,2.55,3.41,-0.41,560.00,376.50,,
2025/07/13,111,LBBL,48.25,451.2,460.0,444.1,453.0,454.00,-1.0,0.0,453.49,"130,918.00",442.44,"59,369,420.50",383,10.56,15.9,2.39,3.58,-0.11,560.00,376.50,,
2025/07/14,118,LBBL,44.1,447.0,455.0,446.3,447.37,446.60,0.77,0.0,449.71,"68,332.00",453.00,"30,729,281.50",166,-5.63,8.70,-1.24,1.95,-0.52,560.00,376.50,,
2025/07/15,115,LBBL,46.05,455.0,455.0,446.5,452.36,452.00,0.36,0.0,453.02,"77,190.00",447.37,"34,968,989.30",187,4.99,8.50,1.12,1.9,-0.15,560.00,376.50,,
2025/07/16,123,LBBL,50.74,458.0,484.0,456.0,480.69,481.00,-0.31,0.0,473.65,"723,255.00",452.36,"342,570,559.90","1,182",28.33,28.0,6.26,6.14,1.46,560.00,376.50,,
2025/07/17,111,LBBL,49.45,490.3,500.0,475.3,492.67,494.00,-1.33,0.0,489.14,"282,273.00",480.69,"138,070,770.90",940,11.98,24.70,2.49,5.2,0.72,560.00,376.50,,
2025/07/20,114,LBBL,51.67,493.0,517.0,486.1,510.38,510.00,0.38,0.0,509.45,"712,130.00",492.67,"362,797,453.70","1,686",17.71,30.9,3.59,6.36,0.18,560.00,376.50,,
2025/07/21,113,LBBL,49.49,500.2,554.0,500.2,549.69,551.00,-1.31,0.0,540.86,"779,835.00",510.38,"421,784,910.90","2,476",39.31,53.8,7.7,10.76,1.61,560.00,376.50,,
2025/07/22,116,LBBL,47.37,555.0,566.0,546.0,553.02,553.00,0.02,0.0,557.67,"466,880.00",549.69,"260,367,222.80","1,381",3.33,20.0,0.61,3.66,-0.84,566.00,376.50,,
2025/07/23,113,LBBL,45.49,564.0,564.0,542.1,550.55,551.80,-1.25,0.0,547.46,"486,239.00",553.02,"266,196,883.10","1,166",-2.47,21.90,-0.45,4.04,0.56,566.00,376.50,,
2025/07/24,116,LBBL,49.93,558.0,579.0,546.0,572.85,573.00,-0.15,0.0,444.75,"1,228,837.00",550.55,"546,527,742.10","1,644",22.3,33.0,4.05,6.04,22.36,579.00,376.50,,
2025/07/27,115,LBBL,49.16,575.0,627.0,575.0,621.39,625.00,-3.61,-0.01,600.76,"1,256,011.00",572.85,"754,559,279.30","2,890",48.54,52.0,8.47,9.04,3.32,627.00,376.50,,
2025/07/28,114,LBBL,44.05,633.0,645.0,610.0,633.81,637.00,-3.19,-0.01,632.38,"878,200.00",621.39,"555,356,710.80","2,340",12.42,35.0,2.0,5.74,0.23,645.00,376.50,,
2025/06/12,113,LBBL,23.14,447.5,452.8,440.0,443.8,447.00,-3.2,-0.01,444.43,"115,160.00",446.01,"51,180,173.90",321,-2.21,12.8,-0.5,2.91,-0.14,560.00,367.00,,
2025/06/15,114,LBBL,35.1,452.0,452.0,440.4,440.94,440.60,0.34,0.0,443.03,"74,765.00",443.80,"33,123,121.50",236,-2.86,11.6,-0.64,2.63,-0.47,560.00,367.00,,
2025/06/16,120,LBBL,32.9,432.6,449.0,432.6,434.49,435.10,-0.61,0.0,438.07,"128,252.00",440.94,"56,183,556.80",394,-6.45,16.4,-1.46,3.79,-0.82,560.00,367.00,,
2025/06/17,111,LBBL,26.12,432.9,441.9,432.9,435.27,435.20,0.07,0.0,436.49,"35,206.00",434.49,"15,367,194.70",131,0.78,9.0,0.18,2.08,-0.28,560.00,367.00,,
2025/06/18,112,LBBL,29.39,435.0,447.7,432.3,437.38,438.60,-1.22,0.0,438.49,"65,753.00",435.27,"28,831,785.90",241,2.11,15.4,0.48,3.56,-0.25,560.00,367.00,,
2025/06/19,115,LBBL,32.6,437.0,445.0,430.0,433.05,434.00,-0.95,0.0,434.48,"103,606.00",437.38,"45,015,194.00",255,-4.33,15.00,-0.99,3.49,-0.33,560.00,367.00,,
2025/06/22,113,LBBL,27.03,424.4,446.7,418.0,420.2,418.10,2.1,0.01,425.53,"59,673.00",433.05,"25,392,772.80",231,-12.85,28.70,-2.97,6.87,-1.27,560.00,367.00,,
2025/06/23,118,LBBL,28.24,413.0,428.0,413.0,421.61,427.00,-5.39,-0.01,419.39,"25,744.00",420.20,"10,796,765.20",166,1.41,15.00,0.34,3.63,0.53,560.00,367.00,,
2025/06/24,118,LBBL,25.51,422.2,429.0,417.0,418.39,421.00,-2.61,-0.01,420.51,"20,579.00",421.61,"8,653,766.30",121,-3.22,12.00,-0.76,2.88,-0.51,560.00,367.00,,
2025/06/25,114,LBBL,24.16,413.9,426.7,413.9,422.93,424.20,-1.27,0.0,420.11,"29,261.00",418.39,"12,292,699.20",128,4.54,12.8,1.09,3.09,0.67,560.00,367.00,,
2025/06/26,116,LBBL,36.45,502.7,510.0,495.0,506.0,506.00,0.0,0.0,500.47,"136,389.00",511.00,"68,258,497.50",390,-5.0,15.0,-0.98,3.03,1.09,646.30,376.50,473.86,470.77
2025/06/29,119,LBBL,35.51,415.0,426.0,413.2,423.64,426.00,-2.36,-0.01,420.89,"34,232.00",416.70,"14,407,837.80",165,6.94,12.8,1.67,3.1,0.65,560.00,367.00,,
2025/06/30,115,LBBL,41.11,430.0,438.6,425.0,430.48,435.00,-4.52,-0.01,432.57,"62,455.00",423.64,"27,016,298.50",250,6.84,13.60,1.61,3.2,-0.49,560.00,367.00,,
2025/07/01,112,LBBL,38.87,428.5,440.0,428.5,435.95,438.00,-2.05,0.0,433.36,"39,369.00",430.48,"17,060,896.00",140,5.47,11.5,1.27,2.68,0.59,560.00,370.00,,
