Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/09/08,116,LBLD86,41.66,1120.0,1120.0,1120.0,1120.0,"1,120.00",0.0,0.0,"1,120.00",25.00,"1,100.00","28,000.00",1,20.0,0.0,1.82,0.0,0.0,"1,135.00","1,060.00",,
2025/09/21,121,LBLD86,34.28,1120.0,1120.0,1120.0,1142.4,"1,120.00",22.4,0.02,"1,142.40",5.00,"1,120.00","5,712.00",1,22.4,0.00,2.0,0.0,0.0,"1,135.00","1,075.20",,
2025/09/25,117,LBLD86,14.07,1142.4,1142.4,1142.4,1098.0,"1,098.00",0.0,0.0,"1,109.00",2.00,"1,142.40","2,218.00",2,-44.4,0.0,-3.89,0.0,-1.0,"1,142.40","1,075.20","1,049.85",0.00
2025/08/04,117,LBLD86,29.91,1100.0,1100.0,1100.0,1100.0,"1,100.00",0.0,0.0,"1,100.00",20.00,"1,120.00","22,000.00",1,-20.0,0.0,-1.79,0.0,0.0,"1,135.00","1,040.00",,
2025/07/09,112,LBLD86,23.39,1105.4,1105.4,1105.4,1089.0,"1,105.40",-16.4,-0.01,"1,089.00",4.00,"1,105.40","4,356.00",1,-16.4,0.0,-1.48,0.0,0.0,"1,135.00","1,007.10",,
2025/07/14,120,LBLD86,45.76,1110.69,1128.8,1110.69,1120.48,"1,128.80",-8.32,-0.01,"1,120.48",45.00,"1,089.00","50,421.80",4,31.48,18.11,2.89,1.63,0.0,"1,135.00","1,007.10",,
2025/07/15,116,LBLD86,46.94,1120.0,1120.0,1120.0,1120.0,"1,120.00",0.0,0.0,"1,120.00",50.00,"1,120.48","56,000.00",1,-0.48,0.00,-0.04,0.0,0.0,"1,135.00","1,007.10",,
2025/07/16,124,LBLD86,50.74,1122.0,1130.0,1122.0,1140.0,"1,130.00",10.0,0.01,"1,129.48",170.00,"1,120.00","192,011.00",8,20.0,8.0,1.79,0.71,0.92,"1,135.00","1,007.10",,
2025/07/24,118,LBLD86,34.44,1120.0,1120.0,1120.0,1120.0,"1,120.00",0.0,0.0,"1,120.00",50.00,"1,140.00","56,000.00",2,-20.0,0.0,-1.75,0.0,0.0,"1,135.00","1,035.00",,
2025/06/26,117,LBLD86,14.07,1142.4,1142.4,1142.4,1098.0,"1,098.00",0.0,0.0,"1,109.00",2.00,"1,142.40","2,218.00",2,-44.4,0.0,-3.89,0.0,-1.0,"1,142.40","1,075.20","1,049.85",0.00
2025/05/18,111,LBLD86,26.84,1106.7,1106.7,1106.7,1106.7,"1,106.70",0.0,0.0,"1,106.70",25.00,"1,125.00","27,667.50",1,-18.3,0.0,-1.63,0.0,0.0,"1,135.00","1,007.10",,
2025/05/21,117,LBLD86,14.07,1142.4,1142.4,1142.4,1098.0,"1,098.00",0.0,0.0,"1,109.00",2.00,"1,142.40","2,218.00",2,-44.4,0.0,-3.89,0.0,-1.0,"1,142.40","1,075.20","1,049.85",0.00
2025/06/03,116,LBLD86,39.29,1104.9,1104.9,1104.8,1104.8,"1,104.80",0.0,0.0,"1,104.85",50.00,"1,107.00","55,242.50",2,-2.2,0.1,-0.2,0.01,0.0,"1,135.00","1,007.10",,
2025/03/23,120,LBLD86,21.18,1090.0,1090.0,1090.0,1079.6,"1,090.00",-10.4,-0.01,"1,079.60",1.00,"1,090.00","1,079.60",1,-10.4,0.0,-0.95,0.0,0.0,"1,135.00",985.40,,
2025/06/11,113,LBLD86,35.82,1104.8,1104.8,1104.8,1126.8,"1,104.80",22.0,0.02,"1,126.80",1.00,"1,104.80","1,126.80",1,22.0,0.00,1.99,0.0,0.0,"1,135.00","1,007.10",,
2025/07/06,116,LBLD86,28.77,1105.4,1105.4,1105.4,1105.4,"1,105.40",0.0,0.0,"1,105.40",40.00,"1,126.80","44,216.00",2,-21.4,0.0,-1.9,0.0,0.0,"1,135.00","1,007.10",,
2025/04/27,114,LBLD86,38.69,1125.0,1125.0,1125.0,1125.0,"1,125.00",0.0,0.0,"1,125.00",50.00,"1,103.00","56,250.00",1,22.0,0.0,1.99,0.0,0.0,"1,135.00","1,007.10",,
2025/03/24,120,LBLD86,20.08,1079.6,1079.6,1079.6,1076.7,"1,079.60",-2.9,0.0,"1,076.70",1.00,"1,079.60","1,076.70",1,-2.9,0.0,-0.27,0.0,0.0,"1,135.00",985.40,,
2025/03/25,122,LBLD86,17.5,1076.7,1076.7,1076.7,1077.4,"1,076.70",0.7,0.0,"1,077.40",2.00,"1,076.70","2,154.80",1,0.7,0.0,0.07,0.0,0.0,"1,135.00",985.40,,
2025/03/26,117,LBLD86,14.07,1142.4,1142.4,1142.4,1098.0,"1,098.00",0.0,0.0,"1,109.00",2.00,"1,142.40","2,218.00",2,-44.4,0.0,-3.89,0.0,-1.0,"1,142.40","1,075.20","1,049.85",0.00
2025/04/01,120,LBLD86,31.72,1077.4,1077.4,1077.4,1085.0,"1,077.40",7.6,0.01,"1,085.00",2.00,"1,077.40","2,170.00",1,7.60,0.00,0.71,0.0,0.0,"1,135.00",985.40,,
2025/04/08,119,LBLD86,25.74,1085.0,1085.0,1085.0,1087.0,"1,085.00",2.0,0.0,"1,087.00",1.00,"1,085.00","1,087.00",1,2.00,0.00,0.18,0.0,0.0,"1,135.00","1,005.10",,
2025/04/13,119,LBLD86,36.56,1087.0,1087.0,1087.0,1103.0,"1,087.00",16.0,0.01,"1,103.00",1.00,"1,087.00","1,103.00",1,16.0,0.0,1.47,0.0,0.0,"1,135.00","1,005.10",,
2025/02/25,111,LBLD86,44.53,1078.6,1078.6,1075.2,1075.2,"1,075.20",0.0,0.0,"1,076.90",50.00,"1,075.80","53,845.00",2,-0.6,3.40,-0.06,0.32,-0.16,"1,135.00",985.40,,
2025/03/10,113,LBLD86,52.28,1080.1,1080.1,1080.0,1080.0,"1,080.00",0.0,0.0,"1,080.07",75.00,"1,075.20","81,005.00",3,4.8,0.1,0.45,0.01,-0.01,"1,135.00",985.40,,
2025/03/12,117,LBLD86,51.66,1080.6,1080.6,1080.6,1080.6,"1,080.60",0.0,0.0,"1,080.60",92.00,"1,080.00","99,415.20",2,0.6,0.0,0.06,0.0,0.0,"1,135.00",985.40,,
2025/03/17,121,LBLD86,40.16,1102.7,1102.7,1102.7,1102.7,"1,102.70",0.0,0.0,"1,095.50",3.00,"1,080.60","3,286.50",2,22.1,0.0,2.05,0.0,0.65,"1,135.00",985.40,,
