Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/10/28,84,LGIL,59.2,720.0,739.0,710.5,720.0,723.52,"18,162.00",725.00,"13,140,627.50",148,-5.0,28.5,-0.69,4.01,-0.49,975.00,514.00
2021/10/31,86,LGIL,65.06,734.0,771.0,715.0,770.0,743.47,"36,230.00",720.00,"26,935,953.20",220,50.00,56.00,6.94,7.83,3.45,975.00,514.00
2021/11/01,85,LGIL,62.56,780.0,783.0,740.0,754.2,765.40,"29,276.00",770.00,"22,407,814.40",197,-15.8,43.0,-2.05,5.81,-1.48,975.00,514.00
2021/11/02,86,LGIL,58.87,740.0,785.5,740.0,762.0,757.61,"20,796.00",754.20,"15,755,339.10",149,7.8,45.5,1.03,6.15,0.58,975.00,514.00
2021/11/03,87,LGIL,55.65,765.0,770.0,746.9,750.0,756.86,"12,572.00",762.00,"9,515,278.40",97,-12.0,23.1,-1.57,3.09,-0.92,975.00,514.00
2021/11/08,83,LGIL,50.63,765.0,769.0,735.0,745.0,748.08,"13,856.00",750.00,"10,365,385.80",119,-5.0,34.0,-0.67,4.63,-0.41,975.00,514.00
2021/11/09,82,LGIL,46.37,731.0,745.6,708.0,711.0,718.89,"14,708.00",745.00,"10,573,499.90",154,-34.0,37.6,-4.56,5.31,-1.11,975.00,515.00
2021/11/11,83,LGIL,43.21,697.0,710.0,686.0,695.0,699.16,"12,400.00",711.00,"8,669,645.20",135,-16.0,24.0,-2.25,3.5,-0.6,975.00,530.00
2021/11/15,83,LGIL,44.44,730.0,740.0,721.0,729.9,730.28,"14,543.00",717.00,"10,620,503.50",122,12.90,19.00,1.8,2.64,-0.05,975.00,530.00
2021/11/16,83,LGIL,56.99,720.0,758.5,720.0,754.0,745.52,"22,295.00",729.90,"16,621,276.60",159,24.10,38.50,3.3,5.35,1.13,975.00,530.00
2021/11/17,84,LGIL,64.97,765.0,803.0,754.0,789.0,778.54,"66,470.00",754.00,"51,749,248.10",438,35.00,49.00,4.64,6.5,1.33,975.00,530.00
2021/11/18,82,LGIL,54.96,799.0,800.0,754.5,769.0,770.07,"20,230.00",789.00,"15,578,604.80",189,-20.0,45.5,-2.53,6.03,-0.14,975.00,530.00
2021/11/21,83,LGIL,49.88,756.0,780.0,752.7,761.0,757.60,"25,766.00",769.00,"19,520,284.80",109,-8.0,27.3,-1.04,3.63,0.45,975.00,530.00
2021/11/22,85,LGIL,49.86,773.0,783.0,755.0,763.0,766.70,"31,586.00",761.00,"24,216,987.00",156,2.0,28.0,0.26,3.71,-0.48,975.00,530.00
2021/11/23,84,LGIL,42.76,748.0,769.9,735.0,741.0,746.90,"18,822.00",763.00,"14,058,133.20",127,-22.0,34.9,-2.88,4.75,-0.8,975.00,530.00
2021/11/24,83,LGIL,40.63,731.0,746.9,730.0,741.0,735.19,"8,238.00",741.00,"6,056,459.40",95,0.00,16.9,0.0,2.32,0.78,975.00,530.00
2021/11/25,86,LGIL,39.78,755.0,755.0,726.0,728.9,733.01,"7,092.00",741.00,"5,198,488.00",66,-12.1,29.0,-1.63,3.99,-0.56,975.00,530.00
2021/11/28,85,LGIL,41.34,728.9,728.9,695.8,696.0,706.03,"23,107.00",728.90,"16,314,340.90",136,-32.9,33.1,-4.51,4.76,-1.44,975.00,530.00
2021/11/29,82,LGIL,36.54,696.0,737.0,691.0,698.0,701.11,"9,199.00",696.00,"6,449,477.70",71,2.0,46.0,0.29,6.66,-0.45,975.00,530.00
2021/11/30,83,LGIL,34.31,700.0,709.8,685.0,697.0,693.42,"5,397.00",698.00,"3,742,386.30",76,-1.0,24.8,-0.14,3.62,0.51,975.00,530.00
2021/12/01,81,LGIL,40.11,703.0,710.0,685.1,697.0,700.20,"6,701.00",697.00,"4,692,017.70",65,0.0,24.9,0.0,3.63,-0.46,975.00,530.00
2021/12/02,84,LGIL,43.8,684.0,697.0,670.0,673.5,678.82,"10,644.00",697.00,"7,225,383.50",132,-23.5,27.0,-3.37,4.03,-0.79,975.00,530.00
2021/12/05,82,LGIL,41.72,662.0,675.0,645.0,660.0,656.60,"15,917.00",673.50,"10,451,078.70",166,-13.5,30.0,-2.0,4.65,0.52,975.00,530.00
2021/12/06,83,LGIL,41.77,650.0,682.0,636.0,664.0,650.35,"13,072.00",660.00,"8,501,427.70",116,4.0,46.00,0.61,7.23,2.06,975.00,530.00
2021/12/07,83,LGIL,36.36,677.2,690.0,643.0,643.0,660.31,"8,678.00",664.00,"5,730,126.80",92,-21.0,47.00,-3.16,7.31,-2.69,975.00,530.00
2021/12/08,83,LGIL,35.3,650.0,655.0,630.0,630.0,639.92,"9,589.00",643.00,"6,136,199.60",80,-13.0,25.00,-2.02,3.97,-1.57,975.00,530.00
2021/12/09,86,LGIL,35.29,621.0,641.0,621.0,636.9,631.61,"6,154.00",630.00,"3,886,918.00",55,6.9,20.0,1.1,3.22,0.83,975.00,530.00
2021/12/12,83,LGIL,33.87,634.0,634.0,605.0,605.0,613.65,"13,245.00",636.90,"8,127,823.50",103,-31.90,29.00,-5.01,4.79,-1.43,975.00,530.00
2021/12/13,86,LGIL,38.03,600.0,615.0,566.5,572.0,580.88,"24,626.00",605.00,"14,304,810.50",155,-33.00,48.50,-5.45,8.56,-1.55,975.00,530.00
2021/12/14,80,LGIL,40.65,583.0,606.0,583.0,605.0,596.40,"7,928.00",572.00,"4,728,246.50",70,33.00,23.00,5.77,3.95,1.42,975.00,530.00
2021/12/15,83,LGIL,39.94,616.0,628.0,588.0,600.0,608.15,"13,851.00",605.00,"8,423,521.20",132,-5.0,40.0,-0.83,6.8,-1.36,975.00,530.00
2021/12/16,83,LGIL,41.64,611.0,611.0,584.0,594.0,587.89,"7,402.00",600.00,"4,351,545.60",86,-6.0,27.0,-1.0,4.62,1.03,975.00,530.00
2021/12/20,83,LGIL,42.2,604.0,604.0,570.0,588.0,584.10,"6,302.00",594.00,"3,681,012.70",69,-6.0,34.0,-1.01,5.96,0.66,975.00,530.00
2021/12/21,84,LGIL,43.15,595.0,605.0,590.0,599.0,597.74,"5,841.00",588.00,"3,491,414.80",76,11.0,15.00,1.87,2.54,0.21,975.00,530.00
2021/12/22,85,LGIL,54.06,610.0,631.3,600.0,628.0,620.10,"23,523.00",599.00,"14,586,528.00",150,29.0,31.3,4.84,5.22,1.26,975.00,566.50
2021/12/23,83,LGIL,56.49,640.0,658.0,619.0,640.0,642.37,"18,702.00",628.00,"12,013,594.80",192,12.0,39.0,1.91,6.3,-0.37,975.00,566.50
2021/12/27,85,LGIL,58.65,718.0,732.3,656.6,666.0,679.57,"62,113.00",704.00,"42,210,388.90",292,-38.0,75.70,-5.4,11.53,-2.04,975.00,566.50
2021/12/28,82,LGIL,52.2,666.0,670.0,635.0,670.0,653.47,"17,030.00",666.00,"11,128,555.50",153,4.0,35.0,0.6,5.51,2.47,975.00,566.50
2021/12/29,82,LGIL,54.2,670.0,683.0,650.0,680.0,676.08,"20,411.00",670.00,"13,799,383.40",122,10.0,33.00,1.49,5.08,0.58,975.00,566.50
2022/01/02,86,LGIL,49.06,692.9,706.5,679.0,706.0,698.24,"28,433.00",680.00,"19,852,980.90",215,26.00,27.50,3.82,4.05,1.1,975.00,566.50
2022/01/03,82,LGIL,60.13,717.0,717.0,685.0,691.0,699.46,"28,734.00",706.00,"20,098,338.60",229,-15.0,32.00,-2.12,4.67,-1.22,975.00,566.50
2022/01/04,85,LGIL,54.89,700.0,700.0,685.0,699.0,693.75,"13,630.00",691.00,"9,455,805.80",106,8.0,15.00,1.16,2.19,0.75,975.00,566.50
2022/01/05,83,LGIL,48.07,709.0,710.0,675.0,682.0,687.42,"27,457.00",699.00,"18,874,429.40",189,-17.0,35.0,-2.43,5.19,-0.79,975.00,566.50
2022/01/06,88,LGIL,37.74,670.0,695.0,670.0,690.0,684.31,"7,601.00",682.00,"5,201,453.90",89,8.00,25.00,1.17,3.73,0.82,975.00,566.50
2022/01/09,87,LGIL,55.3,691.0,720.0,690.0,716.0,707.17,"61,532.00",690.00,"43,513,574.90",290,26.0,30.00,3.77,4.35,1.23,975.00,566.50
2022/01/10,86,LGIL,55.13,730.0,743.9,710.0,722.9,718.04,"31,671.00",716.00,"22,741,015.70",223,6.9,33.90,0.96,4.77,0.67,975.00,566.50
2022/01/11,83,LGIL,63.45,733.0,770.0,713.0,758.0,751.56,"57,627.00",722.90,"43,310,181.00",426,35.1,57.00,4.86,7.99,0.85,975.00,566.50
2022/01/12,81,LGIL,59.73,766.0,790.0,745.0,747.0,764.21,"75,085.00",758.00,"57,380,632.30",360,-11.0,45.00,-1.45,6.04,-2.3,975.00,566.50
2022/01/13,81,LGIL,60.72,735.0,801.0,735.0,789.0,767.89,"69,241.00",747.00,"53,169,664.70",360,42.0,66.0,5.62,8.98,2.68,975.00,566.50
