Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,118,LVF2,29.28,9.15,9.17,9.15,9.17,9.17,0.0,0.0,9.15,"9,500.00",9.30,"86,927.00",9,-0.13,0.02,-1.4,0.22,0.22,11.45,8.27,,
2025/08/26,123,LVF2,28.05,9.12,9.31,9.12,9.13,9.13,0.0,0.0,9.20,703.00,9.17,"6,469.93",7,-0.04,0.19,-0.44,2.08,-0.8,11.45,8.27,,
2025/08/27,123,LVF2,27.34,9.13,9.3,9.13,9.14,9.14,0.0,0.0,9.16,"1,400.00",9.13,"12,822.00",13,0.01,0.17,0.11,1.86,-0.2,11.45,8.27,,
2025/08/28,122,LVF2,33.55,9.13,9.32,9.07,9.07,9.07,0.0,0.0,9.16,"68,280.00",9.14,"625,284.80",25,-0.07,0.25,-0.77,2.76,-0.97,11.45,8.27,,
2025/08/31,118,LVF2,27.51,9.22,9.25,9.07,9.1,9.10,0.0,0.0,9.11,"8,335.00",9.07,"75,895.50",9,0.03,0.18,0.33,1.98,-0.06,11.45,8.27,,
2025/09/01,124,LVF2,28.68,9.1,9.28,9.1,9.15,9.15,0.0,0.0,9.23,"2,900.00",9.10,"26,765.00",11,0.05,0.18,0.55,1.98,-0.87,11.45,8.27,,
2025/09/02,125,LVF2,31.92,9.1,9.25,9.1,9.25,9.25,0.0,0.0,9.22,"7,303.00",9.15,"67,337.30",13,0.1,0.15,1.09,1.65,0.32,11.45,8.27,,
2025/09/03,126,LVF2,41.33,9.3,9.3,9.12,9.25,9.25,0.0,0.0,9.26,"58,600.00",9.25,"542,537.00",22,0.0,0.18,0.0,1.97,-0.09,11.45,8.27,,
2025/09/04,122,LVF2,34.16,9.2,9.2,9.15,9.18,9.18,0.0,0.0,9.18,"14,660.00",9.25,"134,588.00",13,-0.07,0.05,-0.76,0.55,-0.01,11.45,8.27,,
2025/09/07,129,LVF2,28.5,9.1,9.2,9.1,9.15,9.15,0.0,0.0,9.16,600.00,9.18,"5,495.00",6,-0.03,0.1,-0.33,1.1,-0.09,11.45,8.27,,
2025/09/08,122,LVF2,30.12,9.11,9.12,9.11,9.12,9.12,0.0,0.0,9.12,"1,450.00",9.15,"13,221.00",7,-0.03,0.01,-0.33,0.11,0.02,11.45,8.27,,
2025/09/18,97,LVF2,25.53,9.0,9.0,9.0,9.0,9.00,0.0,0.0,9.00,"7,000.00",9.12,"63,000.00",2,-0.12,0.0,-1.32,0.0,0.0,11.45,8.27,,
2025/09/21,128,LVF2,32.73,9.0,9.36,9.0,9.33,9.36,-0.03,0.0,9.21,"1,420.00",9.00,"13,080.20",10,0.33,0.36,3.67,4.0,1.27,11.45,8.27,,
2025/09/23,127,LVF2,20.79,9.16,9.16,8.98,9.02,9.02,0.0,0.0,9.05,"1,030.00",9.33,"9,317.80",10,-0.31,0.18,-3.32,2.0,-0.29,11.45,8.27,,
2025/09/24,118,LVF2,21.24,8.99,9.02,8.99,9.0,9.00,0.0,0.0,9.00,850.00,9.02,"7,653.00",8,-0.02,0.03,-0.22,0.33,-0.04,11.45,8.27,,
2025/09/25,123,LVF2,32.72,9.0,9.24,9.0,9.24,9.24,0.0,0.0,9.16,"2,700.00",9.00,"24,720.00",9,0.24,0.24,2.67,2.67,0.91,11.45,8.27,9.74,9.54
2025/07/30,123,LVF2,39.48,11.05,11.05,10.85,10.93,10.91,0.02,0.0,10.95,"201,680.00",10.84,"2,208,909.40",46,0.09,0.2,0.83,1.84,-0.21,11.45,8.27,,
