Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,120,MANDU,33.33,849.0,857.0,836.1,850.55,850.00,0.55,0.0,844.90,"3,353.00",849.66,"2,832,954.40",68,0.89,20.9,0.1,2.5,0.66,"1,188.30",805.60,,
2025/08/26,125,MANDU,33.15,860.0,867.5,851.6,854.15,852.00,2.15,0.0,853.70,"2,214.00",850.55,"1,890,089.60",44,3.6,15.9,0.42,1.87,0.05,"1,188.30",805.60,,
2025/08/27,125,MANDU,34.48,869.0,869.0,847.0,861.25,863.00,-1.75,0.0,853.30,"1,942.00",854.15,"1,657,113.60",62,7.10,22.0,0.83,2.6,0.92,"1,188.30",805.60,,
2025/08/28,124,MANDU,38.41,861.0,861.0,850.0,850.69,850.30,0.39,0.0,852.08,"5,276.00",861.25,"4,495,600.20",77,-10.56,11.0,-1.23,1.29,-0.16,"1,132.00",805.60,,
2025/08/31,120,MANDU,33.39,851.5,856.0,845.0,848.7,848.70,0.0,0.0,849.28,"2,263.00",850.69,"1,921,909.90",56,-1.99,11.0,-0.23,1.3,-0.07,"1,125.00",805.60,,
2025/09/01,126,MANDU,37.06,845.0,860.0,845.0,857.1,859.40,-2.3,0.0,850.78,"2,288.00",848.70,"1,946,590.90",64,8.4,15.0,0.99,1.78,0.74,"1,125.00",805.60,,
2025/09/02,127,MANDU,31.38,855.0,855.0,846.0,848.04,849.00,-0.96,0.0,848.91,"1,327.00",857.10,"1,126,504.00",42,-9.06,9.0,-1.06,1.06,-0.1,"1,125.00",805.60,,
2025/09/03,128,MANDU,38.62,840.0,862.0,840.0,860.04,862.00,-1.96,0.0,847.94,"2,878.00",848.04,"2,440,368.50",72,12.0,22.0,1.42,2.62,1.41,"1,125.00",805.60,,
2025/09/04,124,MANDU,33.89,860.0,860.0,846.4,854.9,855.00,-0.1,0.0,852.81,"1,056.00",860.04,"900,572.50",32,-5.14,13.6,-0.6,1.61,0.24,"1,107.00",805.60,,
2025/09/07,131,MANDU,32.95,846.3,850.0,840.0,840.97,841.00,-0.03,0.0,842.89,"2,166.00",854.90,"1,825,700.00",51,-13.93,10.0,-1.63,1.19,-0.23,"1,090.00",805.60,,
2025/09/08,124,MANDU,24.93,831.0,837.4,830.0,830.7,830.70,0.0,0.0,833.39,615.00,840.97,"512,534.50",25,-10.27,7.4,-1.22,0.89,-0.32,"1,090.00",805.60,,
2025/09/18,99,MANDU,18.22,830.1,830.1,782.1,782.1,782.10,0.0,0.0,788.87,260.00,830.70,"205,107.00",7,-48.6,48.0,-5.85,6.14,-0.87,"1,090.00",782.10,,
2025/09/21,130,MANDU,27.46,766.5,818.9,766.5,809.14,812.00,-2.86,0.0,802.86,"6,888.00",782.10,"5,530,095.60",127,27.04,52.40,3.46,6.84,0.78,"1,090.00",766.50,,
