Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2021/12/26,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2022/02/01,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2022/02/10,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2022/02/14,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2022/02/15,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2022/02/20,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2022/03/07,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2022/03/15,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
2022/05/18,128,MBLD87,55.32,965.3,965.3,931.0,948.7,949.81,205.00,985.00,"194,710.50",6,-36.30,34.30,-3.69,3.68,-0.12,0.00,0.00,"1,005.70",895.00
