Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,91,MEN,56.12,1201.0,1244.0,1200.5,1230.0,"1,218.79","1,785.00","1,225.00","2,175,544.00",73,5.0,43.5,0.41,3.62,0.91,"1,530.00",343.00,,
2021/10/31,93,MEN,48.07,1205.4,1278.0,1185.0,1229.9,"1,228.09","4,370.00","1,230.00","5,366,751.00",97,-0.10,93.00,-0.01,7.85,0.15,"1,530.00",343.00,,
2021/11/01,92,MEN,49.45,1220.0,1264.0,1200.5,1228.9,"1,224.21","5,640.00","1,229.90","6,904,522.50",105,-1.0,63.5,-0.08,5.29,0.38,"1,530.00",343.00,,
2021/11/02,94,MEN,57.17,1205.0,1295.0,1200.0,1245.0,"1,231.22","5,545.00","1,228.90","6,827,136.00",79,16.1,95.0,1.31,7.92,1.11,"1,530.00",343.00,,
2021/11/03,94,MEN,48.4,1230.0,1244.0,1210.0,1239.0,"1,226.07","1,091.00","1,245.00","1,337,638.40",59,-6.0,34.0,-0.48,2.81,1.04,"1,530.00",343.00,,
2021/11/08,90,MEN,59.41,1215.0,1265.0,1191.0,1230.0,"1,205.80","17,742.00","1,239.00","21,393,295.50",131,-9.0,74.0,-0.73,6.21,1.97,"1,530.00",343.00,,
2021/11/09,89,MEN,47.26,1250.0,1279.0,1159.0,1180.0,"1,198.24","3,823.00","1,230.00","4,580,872.60",105,-50.0,120.0,-4.07,10.35,-1.55,"1,530.00",343.00,,
2021/11/11,90,MEN,44.3,1157.1,1198.0,1150.0,1172.0,"1,168.86","3,452.00","1,180.00","4,034,892.60",91,-8.0,48.0,-0.68,4.17,0.27,"1,530.00",343.00,,
2021/11/14,133,MEN,63.48,645.0,669.0,640.1,664.0,658.90,"262,631.00",646.00,"173,047,931.30","1,001",18.00,28.90,2.79,4.51,0.77,"1,046.50",429.90,579.15,603.82
2021/11/15,92,MEN,46.2,1175.1,1222.5,1155.0,1165.0,"1,168.62","6,479.00","1,199.00","7,571,485.90",91,-34.00,67.50,-2.84,5.84,-0.31,"1,530.00",343.00,,
2021/11/16,91,MEN,47.62,1150.0,1200.0,1107.0,1178.0,"1,154.27","5,147.00","1,165.00","5,941,039.00",107,13.00,93.00,1.12,8.4,2.01,"1,530.00",343.00,,
2021/11/17,91,MEN,60.25,1180.0,1259.0,1180.0,1225.0,"1,212.56","13,217.00","1,178.00","16,026,397.60",177,47.00,79.00,3.99,6.69,1.02,"1,530.00",343.00,,
2021/11/18,89,MEN,42.78,1200.5,1210.0,1170.0,1170.0,"1,191.63","2,430.00","1,225.00","2,895,657.00",79,-55.0,40.0,-4.49,3.42,-1.85,"1,530.00",343.00,,
2021/11/21,90,MEN,45.37,1151.1,1193.4,1151.1,1190.0,"1,171.58","1,670.00","1,170.00","1,956,534.50",103,20.0,42.3,1.71,3.67,1.55,"1,530.00",343.00,,
2021/11/22,92,MEN,45.52,1169.0,1201.0,1168.0,1196.0,"1,186.24","1,890.00","1,190.00","2,241,999.00",91,6.0,33.0,0.5,2.83,0.82,"1,530.00",343.00,,
2021/11/23,92,MEN,39.24,1173.0,1173.0,1149.0,1168.0,"1,156.36","2,735.00","1,196.00","3,162,639.00",88,-28.0,24.0,-2.34,2.09,1.0,"1,530.00",343.00,,
2021/11/24,91,MEN,49.48,1191.0,1191.0,1123.0,1170.0,"1,138.44","13,985.00","1,168.00","15,921,126.00",81,2.00,68.0,0.17,6.06,2.7,"1,530.00",343.00,,
2021/11/25,93,MEN,47.61,1190.0,1190.0,1150.0,1168.0,"1,174.05","3,546.00","1,170.00","4,163,173.00",102,-2.0,40.0,-0.17,3.48,-0.52,"1,530.00",343.00,,
2021/11/28,93,MEN,42.82,1146.0,1148.0,1087.8,1100.0,"1,123.46","6,141.00","1,168.00","6,899,182.00",80,-68.0,60.2,-5.82,5.53,-2.13,"1,530.00",343.00,,
2021/11/29,90,MEN,39.25,1078.3,1121.7,1078.3,1096.0,"1,101.80","1,420.00","1,100.00","1,564,550.00",59,-4.0,43.4,-0.36,4.02,-0.53,"1,530.00",343.00,,
2021/11/30,90,MEN,41.13,1090.0,1154.0,1070.0,1119.0,"1,101.40","2,427.00","1,096.00","2,673,096.60",77,23.0,84.0,2.1,7.85,1.57,"1,530.00",343.00,,
2021/12/01,88,MEN,38.16,1115.0,1137.0,1100.0,1100.0,"1,119.63","1,610.00","1,119.00","1,802,600.00",59,-19.0,37.0,-1.7,3.36,-1.78,"1,530.00",343.00,,
2021/12/02,91,MEN,51.36,1105.0,1120.0,1075.0,1101.9,"1,097.46","4,405.00","1,100.00","4,834,301.00",90,1.9,45.0,0.17,4.19,0.4,"1,530.00",343.00,,
2021/12/05,89,MEN,45.3,1118.0,1118.0,1033.0,1065.0,"1,052.65","4,860.00","1,101.90","5,115,872.00",113,-36.9,85.0,-3.35,8.23,1.16,"1,530.00",343.00,,
2021/12/06,90,MEN,42.32,1085.9,1085.9,1007.0,1050.0,"1,038.01","4,490.00","1,065.00","4,660,647.00",90,-15.0,78.90,-1.41,7.84,1.14,"1,530.00",343.00,,
2021/12/07,90,MEN,43.77,1071.0,1071.0,1037.7,1055.0,"1,052.70","4,801.00","1,050.00","5,054,035.00",62,5.0,33.30,0.48,3.21,0.22,"1,530.00",343.00,,
2021/12/08,90,MEN,37.78,1035.0,1055.0,1010.9,1053.6,"1,034.46","2,515.00","1,055.00","2,601,669.00",49,-1.4,44.10,-0.13,4.36,1.82,"1,530.00",343.00,,
2021/12/09,94,MEN,38.47,1033.0,1053.6,1000.0,1013.1,"1,010.74","3,074.00","1,053.60","3,107,018.00",74,-40.5,53.6,-3.84,5.36,0.23,"1,530.00",343.00,,
