Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,133,MHCL,29.32,438.8,445.0,436.1,440.67,441.00,-0.33,0.0,441.83,"4,761.00",441.22,"2,103,573.50",81,-0.55,8.9,-0.12,2.04,-0.26,655.00,355.10,,
2025/08/26,137,MHCL,31.41,440.0,449.4,437.0,442.18,443.90,-1.72,0.0,440.81,"6,618.00",440.67,"2,917,292.60",55,1.51,12.4,0.34,2.84,0.31,655.00,355.10,,
2025/08/27,137,MHCL,34.21,435.2,454.0,435.2,450.08,454.00,-3.92,-0.01,446.19,"6,195.00",442.18,"2,764,176.70",102,7.90,18.8,1.79,4.32,0.86,655.00,355.10,,
2025/08/28,136,MHCL,35.08,444.0,472.0,444.0,447.47,448.00,-0.53,0.0,451.03,"6,112.00",450.08,"2,756,723.90",101,-2.61,28.0,-0.58,6.31,-0.8,655.00,355.10,,
2025/08/31,133,MHCL,32.46,438.6,447.3,433.0,433.93,440.00,-6.07,-0.01,436.64,"7,661.00",447.47,"3,345,062.10",103,-13.54,14.3,-3.03,3.3,-0.62,655.00,355.10,,
2025/09/01,139,MHCL,27.87,427.0,438.0,427.0,433.25,436.00,-2.75,-0.01,432.81,"1,525.00",433.93,"660,038.00",90,-0.68,11.0,-0.16,2.58,0.1,655.00,355.10,,
2025/09/02,140,MHCL,29.24,425.1,438.0,425.1,429.94,430.00,-0.06,0.0,433.97,"4,683.00",433.25,"2,032,278.80",62,-3.31,12.9,-0.76,3.03,-0.94,655.00,355.10,,
2025/09/03,140,MHCL,24.41,422.1,434.0,422.1,427.67,425.10,2.57,0.01,428.13,"3,836.00",429.94,"1,642,312.00",77,-2.27,11.9,-0.53,2.82,-0.11,655.00,355.10,,
2025/09/04,136,MHCL,31.22,422.0,428.0,421.1,423.76,422.00,1.76,0.0,422.84,"8,235.00",427.67,"3,482,103.10",89,-3.91,6.9,-0.91,1.64,0.22,655.00,355.10,,
2025/09/07,145,MHCL,30.95,417.1,438.4,417.1,424.74,425.00,-0.26,0.0,422.71,"5,161.00",423.76,"2,181,621.00",103,0.98,21.3,0.23,5.11,0.48,655.00,355.10,,
2025/09/08,137,MHCL,31.37,419.0,424.0,404.9,411.75,419.80,-8.05,-0.02,412.60,"9,216.00",424.74,"3,802,562.50",118,-12.99,19.1,-3.06,4.72,-0.21,655.00,355.10,,
2025/09/21,142,MHCL,41.2,403.6,423.3,400.0,419.76,417.00,2.76,0.01,410.96,"9,478.00",411.75,"3,895,095.50",127,8.01,23.30,1.95,5.83,2.1,655.00,355.10,,
2025/09/23,141,MHCL,37.63,416.0,438.0,415.1,427.0,427.00,0.0,0.0,430.08,"4,734.00",419.76,"2,036,006.90",82,7.24,22.9,1.72,5.52,-0.72,655.00,355.10,,
2025/09/24,132,MHCL,37.8,422.3,444.2,422.3,435.0,435.00,0.0,0.0,435.15,"4,982.00",427.00,"2,167,941.20",66,8.00,21.9,1.87,5.19,-0.04,655.00,355.10,,
2025/09/25,138,MHCL,34.85,443.0,443.0,427.7,435.0,435.00,0.0,0.0,435.45,"5,463.00",435.00,"2,378,854.80",59,0.0,15.3,0.0,3.58,-0.1,655.00,356.90,469.47,505.28
2025/07/30,138,MHCL,36.24,488.0,494.0,478.2,482.08,485.00,-2.92,-0.01,485.46,"20,488.00",484.58,"9,946,006.30",222,-2.5,15.8,-0.52,3.3,-0.7,655.00,355.10,,
2025/07/31,134,MHCL,33.51,472.6,489.0,467.0,471.54,470.00,1.54,0.0,474.14,"18,678.00",482.08,"8,855,971.10",206,-10.54,22.0,-2.19,4.71,-0.55,655.00,355.10,,
2025/08/03,136,MHCL,31.3,465.0,478.0,456.0,457.56,465.00,-7.44,-0.02,463.87,"16,321.00",471.54,"7,570,790.30",230,-13.98,22.0,-2.96,4.82,-1.38,655.00,355.10,,
2025/08/04,138,MHCL,40.94,466.7,485.9,451.0,482.7,475.00,7.7,0.02,475.30,"41,593.00",457.56,"19,769,328.00",196,25.14,34.9,5.49,7.74,1.53,655.00,355.10,,
2025/08/05,138,MHCL,32.81,474.2,480.0,468.0,471.16,469.00,2.16,0.0,472.82,"17,813.00",482.70,"8,422,420.90",185,-11.54,12.0,-2.39,2.56,-0.35,655.00,355.10,,
2025/08/06,137,MHCL,28.57,480.0,488.0,460.1,463.49,461.00,2.49,0.01,471.82,"12,719.00",471.16,"6,001,060.50",159,-7.67,27.90,-1.63,6.06,-1.8,655.00,355.10,,
2025/08/07,133,MHCL,24.39,457.1,466.0,457.1,461.35,460.00,1.35,0.0,462.11,"7,352.00",463.49,"3,397,454.30",134,-2.14,8.9,-0.46,1.95,-0.17,655.00,355.10,,
