Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,134,MHL,29.46,535.0,535.0,525.0,525.88,525.00,0.88,0.0,528.72,"18,619.00",530.90,"9,844,304.40",190,-5.02,10.0,-0.95,1.9,-0.54,"1,088.00",525.00,,
2025/08/26,138,MHL,29.1,528.0,534.0,528.0,532.12,532.00,0.12,0.0,531.99,"9,678.00",525.88,"5,148,576.20",85,6.24,6.0,1.19,1.14,0.02,"1,088.00",525.00,,
2025/08/27,138,MHL,35.31,542.0,542.0,528.0,532.61,534.90,-2.29,0.0,530.98,"52,230.00",532.12,"27,732,948.00",293,0.49,14.0,0.09,2.65,0.31,"1,088.00",525.00,,
2025/08/28,137,MHL,34.7,528.0,535.0,515.5,521.11,522.00,-0.89,0.0,526.33,"50,549.00",532.61,"26,605,391.70",357,-11.5,19.5,-2.16,3.78,-1.0,"1,088.00",515.50,,
2025/08/31,134,MHL,30.1,521.0,522.0,512.1,512.46,512.20,0.26,0.0,516.10,"23,281.00",521.11,"12,015,270.70",203,-8.65,9.9,-1.66,1.93,-0.71,"1,088.00",512.10,,
2025/09/01,140,MHL,29.24,510.1,513.0,506.0,509.08,509.90,-0.82,0.0,508.83,"12,038.00",512.46,"6,125,336.60",136,-3.38,7.0,-0.66,1.38,0.05,"1,088.00",506.00,,
2025/09/02,141,MHL,30.65,511.0,511.0,495.8,497.72,496.00,1.72,0.0,501.66,"28,909.00",509.08,"14,502,357.20",243,-11.36,15.2,-2.23,3.07,-0.79,"1,088.00",495.80,,
2025/09/03,141,MHL,30.74,493.2,497.0,485.1,486.2,488.00,-1.8,0.0,488.87,"25,216.00",497.72,"12,327,272.50",224,-11.52,11.9,-2.31,2.45,-0.55,"1,088.00",485.10,,
2025/09/04,137,MHL,34.9,481.0,507.9,470.0,502.47,507.80,-5.33,-0.01,482.29,"43,469.00",486.20,"20,964,678.20",308,16.27,37.9,3.35,8.06,4.02,"1,088.00",470.00,,
2025/09/07,146,MHL,28.56,505.0,505.0,488.5,493.88,491.00,2.88,0.01,492.37,"14,799.00",502.47,"7,286,604.00",150,-8.59,16.5,-1.71,3.38,0.31,"1,088.00",470.00,,
2025/09/08,138,MHL,29.05,490.0,492.0,476.3,479.7,476.30,3.4,0.01,483.85,"20,421.00",493.88,"9,880,689.80",195,-14.18,15.7,-2.87,3.3,-0.87,"1,088.00",470.00,,
2025/09/18,109,MHL,24.12,479.7,479.7,451.6,451.6,451.60,0.0,0.0,457.50,705.00,479.70,"322,534.00",10,-28.1,28.1,-5.86,6.22,-1.31,"1,088.00",451.60,,
2025/09/21,143,MHL,39.24,450.0,485.0,450.0,483.64,484.00,-0.36,0.0,468.04,"41,577.00",451.60,"19,459,792.50",284,32.04,35.00,7.09,7.78,3.23,"1,088.00",450.00,,
2025/09/23,142,MHL,41.31,489.0,512.0,481.0,508.1,508.10,0.0,0.0,500.82,"30,930.00",483.64,"15,490,408.10",214,24.46,31.0,5.06,6.44,1.43,"1,088.00",450.00,,
2025/09/24,133,MHL,40.86,505.0,515.0,494.9,502.0,502.00,0.0,0.0,502.94,"30,371.00",508.10,"15,274,938.00",136,-6.10,20.1,-1.2,4.06,-0.19,"1,088.00",450.00,,
2025/09/25,139,MHL,36.72,511.9,511.9,496.0,499.9,499.90,0.0,0.0,499.70,"26,108.00",502.00,"13,046,234.80",124,-2.1,15.9,-0.42,3.21,0.04,"1,088.00",450.00,603.66,688.16
2025/07/30,139,MHL,35.59,631.2,631.2,615.0,615.83,615.00,0.83,0.0,620.15,"18,406.00",618.88,"11,414,558.70",226,-3.05,16.2,-0.49,2.63,-0.7,"1,101.00",554.00,,
2025/07/31,135,MHL,34.02,610.2,621.0,610.2,615.53,618.00,-2.47,0.0,616.04,"12,113.00",615.83,"7,462,044.40",165,-0.3,10.8,-0.05,1.77,-0.08,"1,101.00",554.00,,
2025/08/03,137,MHL,37.13,603.3,610.0,554.0,596.74,594.00,2.74,0.0,581.05,"376,140.00",615.53,"218,557,468.00","1,396",-18.79,56.0,-3.05,10.11,2.63,"1,101.00",554.00,,
2025/08/04,139,MHL,31.07,595.0,605.0,580.0,589.17,592.00,-2.83,0.0,586.35,"48,801.00",596.74,"28,614,225.10",344,-7.57,25.0,-1.27,4.31,0.48,"1,101.00",554.00,,
2025/08/05,139,MHL,32.08,600.9,612.0,579.1,579.78,580.00,-0.22,0.0,590.49,"32,508.00",589.17,"19,195,601.00",260,-9.39,32.9,-1.59,5.68,-1.85,"1,101.00",554.00,,
2025/08/06,138,MHL,33.75,577.0,577.5,558.6,565.95,567.00,-1.05,0.0,565.51,"134,515.00",579.78,"76,069,043.90",811,-13.83,18.90,-2.39,3.38,0.08,"1,101.00",554.00,,
