Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,136,MKCL,24.47,1615.0,1638.0,1612.0,1622.5,"1,618.00",4.5,0.0,"1,624.91","4,927.00","1,619.64","8,005,926.70",107,2.86,26.0,0.18,1.61,-0.15,"1,900.00","1,230.10",,
2025/08/26,140,MKCL,25.16,1618.0,1644.0,1600.0,1619.84,"1,620.00",-0.16,0.0,"1,613.06","15,918.00","1,622.50","25,676,702.00",192,-2.66,44.0,-0.16,2.75,0.42,"1,900.00","1,230.10",,
2025/08/27,140,MKCL,36.99,1620.0,1660.0,1615.2,1658.23,"1,660.00",-1.77,0.0,"1,642.97","9,619.00","1,619.84","15,803,772.80",177,38.39,44.8,2.37,2.77,0.92,"1,900.00","1,230.10",,
2025/08/28,139,MKCL,41.62,1650.0,1671.0,1630.0,1650.18,"1,635.10",15.08,0.01,"1,647.93","13,186.00","1,658.23","21,729,599.20",130,-8.05,41.0,-0.49,2.52,0.14,"1,900.00","1,230.10",,
2025/08/31,136,MKCL,36.93,1636.0,1640.1,1618.0,1620.34,"1,620.30",0.04,0.0,"1,625.86","11,861.00","1,650.18","19,284,372.90",160,-29.84,22.1,-1.81,1.37,-0.34,"1,900.00","1,230.10",,
2025/09/01,142,MKCL,36.72,1620.0,1620.0,1596.6,1612.95,"1,617.00",-4.05,0.0,"1,602.51","11,023.00","1,620.34","17,664,471.30",158,-7.39,23.4,-0.46,1.47,0.65,"1,900.00","1,230.10",,
2025/09/02,143,MKCL,33.38,1608.4,1636.7,1595.0,1614.34,"1,622.00",-7.66,0.0,"1,607.95","3,690.00","1,612.95","5,933,352.20",112,1.39,41.7,0.09,2.61,0.4,"1,900.00","1,230.10",,
2025/09/03,143,MKCL,27.65,1595.2,1620.0,1590.0,1597.21,"1,590.00",7.21,0.0,"1,597.29","4,344.00","1,614.34","6,938,606.40",102,-17.13,30.0,-1.06,1.89,0.0,"1,900.00","1,230.10",,
2025/09/04,139,MKCL,26.37,1590.0,1590.3,1555.0,1567.19,"1,562.00",5.19,0.0,"1,570.72","6,270.00","1,597.21","9,848,433.40",132,-30.02,35.3,-1.88,2.27,-0.23,"1,900.00","1,230.10",,
2025/09/07,148,MKCL,26.34,1540.0,1570.8,1530.0,1530.96,"1,530.00",0.96,0.0,"1,545.48","6,828.00","1,567.19","10,552,539.00",129,-36.23,40.8,-2.31,2.67,-0.95,"1,900.00","1,230.10",,
2025/09/08,140,MKCL,28.46,1506.0,1540.2,1491.0,1497.0,"1,494.00",3.0,0.0,"1,513.02","9,452.00","1,530.96","14,301,058.50",161,-33.96,49.2,-2.22,3.3,-1.07,"1,900.00","1,230.10",,
2025/09/18,111,MKCL,22.8,1467.1,1467.1,1435.7,1435.7,"1,435.70",0.0,0.0,"1,447.84",100.00,"1,497.00","144,784.00",4,-61.3,31.4,-4.09,2.19,-0.85,"1,900.00","1,230.10",,
2025/09/21,145,MKCL,39.83,1407.0,1520.9,1378.9,1508.89,"1,510.00",-1.11,0.0,"1,487.40","11,243.00","1,435.70","16,722,886.40",195,73.19,142.00,5.1,10.3,1.42,"1,900.00","1,230.10",,
2025/09/23,144,MKCL,40.41,1500.0,1560.0,1500.0,1555.9,"1,555.90",0.0,0.0,"1,516.06","8,240.00","1,508.89","12,492,348.00",143,47.01,60.0,3.12,4.0,2.56,"1,900.00","1,230.10",,
2025/09/24,135,MKCL,40.28,1530.0,1570.0,1516.0,1522.0,"1,522.00",0.0,0.0,"1,532.73","7,946.00","1,555.90","12,179,044.00",62,-33.90,54.0,-2.18,3.56,-0.7,"1,900.00","1,230.10",,
2025/09/25,141,MKCL,34.09,1505.0,1525.0,1504.0,1522.0,"1,522.00",0.0,0.0,"1,510.86","4,255.00","1,522.00","6,428,728.80",75,0.0,21.0,0.0,1.4,0.73,"1,900.00","1,230.10","1,563.21","1,576.90"
2025/07/30,141,MKCL,49.1,1826.3,1900.0,1755.0,1811.13,"1,830.00",-18.87,-0.01,"1,825.68","58,330.00","1,790.50","106,491,644.50",937,20.63,145.0,1.15,8.26,-0.8,"1,926.00","1,230.10",,
2025/07/31,137,MKCL,47.99,1811.0,1845.0,1785.0,1803.36,"1,787.00",16.36,0.01,"1,814.49","34,232.00","1,811.13","62,113,792.60",502,-7.77,60.0,-0.43,3.36,-0.62,"1,926.00","1,230.10",,
2025/08/03,139,MKCL,45.87,1839.4,1839.4,1702.0,1707.81,"1,705.00",2.81,0.0,"1,744.01","30,515.00","1,803.36","53,218,340.30",455,-95.55,137.4,-5.3,8.07,-2.12,"1,926.00","1,230.10",,
2025/08/04,141,MKCL,41.46,1700.0,1750.0,1685.0,1720.41,"1,729.00",-8.59,0.0,"1,718.07","20,390.00","1,707.81","35,031,371.70",334,12.6,65.0,0.74,3.86,0.14,"1,926.00","1,230.10",,
2025/08/05,141,MKCL,32.79,1702.0,1720.0,1660.0,1671.66,"1,663.00",8.66,0.01,"1,689.92","14,609.00","1,720.41","24,688,066.00",221,-48.75,60.0,-2.83,3.61,-1.09,"1,926.00","1,230.10",,
2025/08/06,140,MKCL,31.37,1638.3,1730.0,1638.3,1681.09,"1,680.00",1.09,0.0,"1,699.68","17,408.00","1,671.66","29,588,057.70",225,9.43,91.70,0.56,5.6,-1.11,"1,926.00","1,230.10",,
2025/08/07,136,MKCL,25.51,1709.0,1714.0,1675.0,1692.56,"1,690.00",2.56,0.0,"1,696.39","8,542.00","1,681.09","14,490,545.80",156,11.47,39.0,0.68,2.33,-0.23,"1,900.00","1,230.10",,
2025/08/11,138,MKCL,28.3,1672.0,1708.0,1650.0,1655.29,"1,655.10",0.19,0.0,"1,673.37","16,422.00","1,692.56","27,480,064.80",161,-37.27,58.0,-2.2,3.52,-1.09,"1,900.00","1,230.10",,
