Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2021/12/26,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/02/01,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/02/10,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/02/14,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/02/15,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/02/20,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/03/07,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/03/15,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/05/18,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/05/21,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
2022/05/26,142,MKHL,56.31,565.0,580.0,555.0,579.0,570.70,"36,600.00",560.10,"20,887,654.50",379,18.90,25.00,3.37,4.5,1.43,430.25,381.98,633.00,224.00
