Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2021/11/18,99,MMF1,52.8,10.0,10.0,9.5,9.66,9.64,"62,154.00",0.00,"599,211.48",114,9.66,0.5,0.0,5.26,0.2,,,10.00,9.50
2021/11/21,101,MMF1,57.48,9.5,9.85,9.34,9.7,9.56,"53,970.00",9.66,"515,826.50",96,0.04,0.51,0.41,5.46,1.47,,,10.00,9.34
2021/11/22,102,MMF1,40.82,9.89,10.28,9.6,9.61,9.77,"39,350.00",9.70,"384,268.00",72,-0.09,0.68,-0.93,7.08,-1.62,,,10.28,9.34
2021/11/23,102,MMF1,56.44,9.61,9.67,9.46,9.67,9.54,"23,150.00",9.61,"220,834.50",63,0.06,0.21,0.62,2.22,1.35,,,10.28,9.34
2021/11/24,102,MMF1,42.36,9.48,9.64,9.45,9.64,9.50,"29,960.00",9.67,"284,481.60",50,-0.03,0.19,-0.31,2.01,1.5,,,10.28,9.34
2021/11/25,103,MMF1,47.99,9.45,9.71,9.3,9.7,9.53,"38,910.00",9.64,"370,871.50",64,0.06,0.41,0.62,4.41,1.74,,,10.28,9.30
2021/11/28,103,MMF1,41.56,9.51,9.55,9.32,9.55,9.39,"22,700.00",9.70,"213,157.00",47,-0.15,0.23,-1.55,2.47,1.67,,,10.28,9.30
2021/11/29,100,MMF1,38.96,9.36,9.5,9.11,9.36,9.31,"27,571.00",9.55,"256,549.40",69,-0.19,0.39,-1.99,4.28,0.59,,,10.28,9.11
2021/11/30,100,MMF1,35.27,9.21,9.48,9.21,9.4,9.32,"11,700.00",9.36,"109,076.00",33,0.04,0.27,0.43,2.93,0.82,,,10.28,9.11
2021/12/01,98,MMF1,39.52,9.4,9.58,9.2,9.3,9.31,"30,549.00",9.40,"284,405.62",55,-0.1,0.38,-1.06,4.13,-0.11,,,10.28,9.11
2021/12/02,101,MMF1,39.43,9.2,9.38,9.2,9.23,9.24,"35,100.00",9.30,"324,414.00",38,-0.07,0.18,-0.75,1.96,-0.14,,,10.28,9.11
2021/12/05,99,MMF1,43.19,9.15,9.25,9.1,9.15,9.14,"45,600.00",9.23,"416,820.00",44,-0.08,0.15,-0.87,1.65,0.1,,,10.28,9.10
2021/12/06,100,MMF1,39.98,9.1,9.2,8.95,9.1,9.12,"32,950.00",9.15,"300,551.30",53,-0.05,0.25,-0.55,2.79,-0.24,,,10.28,8.95
2021/12/07,101,MMF1,43.9,9.0,9.18,9.0,9.15,9.13,"35,030.00",9.10,"319,957.30",40,0.05,0.18,0.55,2.0,0.18,,,10.28,8.95
2021/12/08,100,MMF1,42.61,9.15,9.3,9.0,9.0,9.11,"43,700.00",9.15,"397,932.20",48,-0.15,0.30,-1.64,3.33,-1.18,,,10.28,8.95
2021/12/09,104,MMF1,39.2,8.91,9.3,8.91,9.03,9.10,"9,600.00",9.00,"87,370.00",24,0.03,0.39,0.33,4.38,-0.79,,,10.28,8.91
2021/12/12,100,MMF1,36.76,9.01,9.19,8.9,8.97,9.07,"13,610.00",9.03,"123,408.00",40,-0.06,0.29,-0.66,3.26,-1.09,,,10.28,8.90
2021/12/13,104,MMF1,36.73,8.8,8.9,8.7,8.8,8.77,"24,361.00",8.97,"213,619.90",40,-0.17,0.20,-1.9,2.3,0.35,,,10.28,8.70
2021/12/14,97,MMF1,43.46,8.65,8.97,8.65,8.95,8.84,"17,650.00",8.80,"156,018.50",16,0.15,0.32,1.7,3.7,1.23,,,10.28,8.65
2021/12/15,101,MMF1,43.68,8.8,9.0,8.8,8.96,8.97,"32,200.00",8.95,"288,974.00",35,0.01,0.2,0.11,2.27,-0.16,,,10.28,8.65
2021/12/16,100,MMF1,41.59,9.0,9.07,8.86,8.9,8.94,"19,009.00",8.96,"169,934.53",30,-0.06,0.21,-0.67,2.37,-0.45,,,10.28,8.65
2021/12/20,100,MMF1,37.48,8.73,8.97,8.63,8.72,8.79,"10,550.00",8.90,"92,712.95",43,-0.18,0.34,-2.02,3.94,-0.78,,,10.28,8.63
2021/12/21,102,MMF1,42.39,8.7,9.0,8.58,8.9,8.84,"11,900.00",8.72,"105,172.00",30,0.18,0.42,2.06,4.9,0.7,,,10.28,8.58
2021/12/22,103,MMF1,50.13,8.8,9.25,8.74,9.0,8.93,"34,235.00",8.90,"305,587.85",43,0.1,0.51,1.12,5.84,0.82,,,10.28,8.58
2021/12/23,101,MMF1,46.54,8.88,9.18,8.88,9.0,8.97,"5,950.00",9.00,"53,352.50",29,0.0,0.3,0.0,3.38,0.37,,,10.28,8.58
2021/12/26,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2021/12/27,104,MMF1,55.82,8.87,9.3,8.87,9.25,9.18,"62,440.00",9.05,"573,067.50",70,0.2,0.43,2.21,4.85,0.78,,,10.28,8.58
2021/12/28,100,MMF1,44.74,9.07,9.19,8.96,8.96,9.03,"17,300.00",9.25,"156,248.80",28,-0.29,0.23,-3.14,2.57,-0.8,,,10.28,8.58
2021/12/29,101,MMF1,44.52,9.13,9.13,8.95,8.96,8.99,"10,600.00",8.96,"95,335.00",21,0.0,0.18,0.0,2.01,-0.38,,,10.28,8.58
2022/01/02,106,MMF1,43.9,8.9,9.18,8.82,8.9,8.97,"16,500.00",8.96,"147,937.00",34,-0.06,0.36,-0.67,4.08,-0.74,,,10.28,8.58
2022/01/03,100,MMF1,40.99,8.78,9.0,8.78,8.95,8.95,"23,650.00",8.90,"211,655.80",25,0.05,0.22,0.56,2.51,0.01,,,10.28,8.58
2022/01/04,105,MMF1,58.22,8.78,9.02,8.65,9.0,8.78,"29,449.00",8.95,"258,519.65",44,0.05,0.37,0.56,4.28,2.46,,,10.28,8.58
2022/01/05,102,MMF1,50.61,8.82,9.1,8.82,9.1,9.01,"32,350.00",9.00,"291,312.00",33,0.1,0.28,1.11,3.17,1.04,,,10.28,8.58
2022/01/06,107,MMF1,58.06,9.0,9.28,9.0,9.1,9.06,"25,700.00",9.10,"232,720.00",46,0.00,0.28,0.0,3.11,0.49,,,10.28,8.58
2022/01/09,106,MMF1,59.2,9.0,9.25,9.0,9.13,9.10,"22,215.00",9.10,"202,257.75",36,0.03,0.25,0.33,2.78,0.28,,,10.28,8.58
2022/01/10,106,MMF1,65.47,9.1,9.86,9.1,9.3,9.32,"41,630.00",9.13,"388,148.00",77,0.17,0.76,1.86,8.35,-0.26,,,10.28,8.58
2022/01/11,102,MMF1,59.92,9.4,9.4,9.06,9.25,9.23,"23,500.00",9.30,"216,837.00",39,-0.05,0.34,-0.54,3.75,0.25,,,10.28,8.58
2022/01/12,100,MMF1,53.4,9.1,9.61,9.1,9.16,9.46,"28,430.00",9.25,"268,951.85",49,-0.09,0.51,-0.97,5.6,-3.28,,,10.28,8.58
2022/01/13,100,MMF1,52.21,8.98,9.43,8.82,9.11,9.20,"38,890.00",9.16,"357,691.10",48,-0.05,0.61,-0.55,6.92,-0.96,,,10.28,8.58
2022/01/16,104,MMF1,62.3,8.95,9.48,8.95,9.4,9.30,"78,520.00",9.11,"730,324.70",96,0.29,0.53,3.18,5.92,1.05,,,10.28,8.58
2022/01/17,100,MMF1,57.21,9.4,9.58,9.31,9.31,9.51,"23,761.00",9.40,"225,888.40",47,-0.09,0.27,-0.96,2.9,-2.11,,,10.28,8.58
2022/01/18,103,MMF1,58.26,9.14,9.49,9.12,9.25,9.26,"28,128.00",9.31,"260,589.22",65,-0.06,0.37,-0.64,4.06,-0.16,,,10.28,8.58
2022/01/19,102,MMF1,56.25,9.07,9.35,9.07,9.17,9.22,"20,800.00",9.25,"191,778.00",31,-0.08,0.28,-0.86,3.09,-0.55,,,10.28,8.58
2022/01/20,104,MMF1,48.35,9.0,9.35,9.0,9.3,9.21,"16,520.00",9.17,"152,140.30",46,0.13,0.35,1.42,3.89,0.97,,,10.28,8.58
2022/01/23,104,MMF1,55.74,9.3,9.42,9.3,9.3,9.34,"33,090.00",9.30,"309,066.00",53,0.0,0.12,0.0,1.29,-0.43,,,10.28,8.58
2022/01/24,101,MMF1,49.33,9.4,9.4,9.05,9.14,9.11,"26,700.00",9.30,"243,250.00",43,-0.16,0.35,-1.72,3.87,0.32,,,10.28,8.58
2022/01/25,104,MMF1,63.52,9.0,9.28,9.0,9.28,9.16,"25,450.00",9.14,"233,220.10",64,0.14,0.28,1.53,3.11,1.25,,,10.28,8.58
2022/01/26,104,MMF1,43.74,9.1,9.2,9.05,9.09,9.11,"19,051.00",9.28,"173,645.10",34,-0.19,0.15,-2.05,1.66,-0.27,,,10.28,8.58
2022/01/27,103,MMF1,54.17,9.06,9.35,9.01,9.35,9.16,"48,386.00",9.09,"443,280.32",69,0.26,0.34,2.86,3.77,2.02,,,10.28,8.58
2022/01/30,106,MMF1,54.43,9.2,9.38,9.02,9.17,9.23,"44,130.00",9.35,"407,126.90",64,-0.18,0.36,-1.93,3.99,-0.61,,,10.28,8.58
2022/01/31,103,MMF1,46.46,9.3,9.35,9.12,9.16,9.18,"21,710.00",9.17,"199,226.34",53,-0.01,0.23,-0.11,2.52,-0.18,,,10.28,8.58
2022/02/01,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2022/02/03,103,MMF1,42.83,9.03,9.36,9.03,9.3,9.19,"22,120.00",9.20,"203,309.00",83,0.1,0.33,1.09,3.65,1.17,,,10.28,8.58
2022/02/06,105,MMF1,42.62,9.4,9.4,9.04,9.13,9.15,"21,150.00",9.30,"193,533.50",42,-0.17,0.36,-1.83,3.98,-0.22,,,10.28,8.58
2022/02/07,103,MMF1,41.55,9.3,9.3,9.1,9.12,9.15,"23,321.00",9.13,"213,394.34",42,-0.01,0.2,-0.11,2.2,-0.33,,,10.28,8.58
2022/02/08,103,MMF1,59.05,9.2,9.29,9.12,9.22,9.18,"20,860.00",9.12,"191,574.50",52,0.1,0.17,1.1,1.86,0.39,,,10.28,8.58
2022/02/09,101,MMF1,41.28,9.04,9.2,9.04,9.2,9.12,"10,175.00",9.22,"92,826.00",38,-0.02,0.16,-0.22,1.77,0.84,,,10.28,8.58
2022/02/10,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2022/02/13,102,MMF1,58.96,9.1,9.15,8.85,9.15,9.01,"39,500.00",9.10,"355,775.50",37,0.05,0.3,0.55,3.39,1.56,,,10.28,8.58
2022/02/14,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2022/02/15,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2022/02/16,104,MMF1,46.48,9.0,9.28,9.0,9.0,9.13,"39,650.00",9.01,"362,018.00",42,-0.01,0.28,-0.11,3.11,-1.45,,,10.28,8.58
2022/02/17,103,MMF1,48.79,9.0,9.34,8.91,9.18,9.04,"2,205.00",9.00,"19,941.10",16,0.18,0.43,2.0,4.83,1.49,,,10.28,8.58
2022/02/20,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2022/02/21,102,MMF1,55.04,8.85,9.33,8.85,9.33,9.03,"30,825.00",9.00,"278,225.34",59,0.33,0.48,3.67,5.42,3.26,,,10.28,8.58
2022/02/22,105,MMF1,58.54,9.15,9.19,9.12,9.15,9.15,"34,500.00",9.33,"315,740.00",44,-0.18,0.07,-1.93,0.77,-0.02,,,10.28,8.58
2022/02/23,102,MMF1,43.87,9.06,9.3,9.06,9.18,9.11,"6,800.00",9.15,"61,968.00",30,0.03,0.24,0.33,2.65,0.73,,,10.28,8.58
2022/02/24,101,MMF1,49.82,9.08,9.1,8.8,9.0,8.95,"32,300.00",9.18,"289,133.85",51,-0.18,0.3,-1.96,3.41,0.54,,,10.28,8.58
2022/02/27,101,MMF1,41.16,9.0,9.1,8.95,8.98,8.99,"132,390.00",9.00,"1,190,687.80",54,-0.02,0.15,-0.22,1.68,-0.15,,,10.28,8.58
2022/02/28,104,MMF1,37.69,8.88,9.1,8.88,8.91,8.93,"41,610.00",8.98,"371,431.10",38,-0.07,0.22,-0.78,2.48,-0.19,,,10.28,8.58
2022/03/02,103,MMF1,35.06,8.85,8.93,8.74,8.91,8.81,"24,239.00",8.91,"213,636.57",34,0.0,0.19,0.0,2.17,1.08,,,10.28,8.58
2022/03/06,105,MMF1,37.27,8.74,8.91,8.67,8.7,8.78,"34,794.00",8.91,"305,549.22",39,-0.21,0.24,-2.36,2.77,-0.94,,,10.28,8.58
2022/03/07,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2022/03/09,104,MMF1,34.71,8.72,8.75,8.65,8.7,8.70,"25,330.00",8.87,"220,452.00",31,-0.17,0.1,-1.92,1.16,-0.04,,,10.28,8.58
2022/03/10,105,MMF1,48.45,8.6,9.2,8.58,9.2,8.71,"28,934.00",8.70,"252,101.36",38,0.5,0.62,5.75,7.23,5.29,,,10.28,8.58
2022/03/13,104,MMF1,49.8,9.02,9.2,8.84,8.93,9.00,"21,355.00",9.20,"192,173.10",48,-0.27,0.36,-2.93,4.07,-0.77,,,10.28,8.58
2022/03/14,102,MMF1,39.3,8.76,8.8,8.7,8.78,8.77,"3,800.00",8.93,"33,336.00",16,-0.15,0.1,-1.68,1.15,0.08,,,10.28,8.58
2022/03/15,148,MMF1,66.93,7.84,8.23,7.84,8.16,8.17,"116,864.00",8.00,"954,886.07",100,0.16,0.39,2.0,4.97,-0.13,7.32,7.31,8.29,6.53
2022/03/16,105,MMF1,32.77,9.0,9.0,8.81,8.99,8.91,"18,786.00",8.95,"167,311.97",36,0.04,0.19,0.45,2.16,0.93,,,10.28,8.58
