Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,146,MMKJL,28.72,586.0,586.0,555.2,578.82,576.00,2.82,0.0,572.31,"2,643.00",577.38,"1,512,602.40",68,1.44,30.8,0.25,5.55,1.13,890.40,451.80,,
2025/08/26,149,MMKJL,29.34,586.0,597.0,574.3,575.82,586.00,-10.18,-0.02,576.52,"5,531.00",578.82,"3,188,733.10",67,-3.0,22.7,-0.52,3.95,-0.12,890.40,451.80,,
2025/08/27,149,MMKJL,26.01,576.0,587.5,570.0,577.52,585.00,-7.48,-0.01,579.25,"2,769.00",575.82,"1,603,951.60",67,1.70,17.5,0.3,3.07,-0.3,890.40,451.80,,
2025/08/28,148,MMKJL,31.04,580.0,580.0,561.0,571.5,570.00,1.5,0.0,567.42,"3,292.00",577.52,"1,867,962.00",58,-6.02,19.0,-1.04,3.39,0.71,890.40,451.80,,
2025/08/31,145,MMKJL,30.85,571.0,580.0,560.7,562.38,562.10,0.28,0.0,564.38,"4,347.00",571.50,"2,453,357.40",68,-9.12,19.3,-1.6,3.44,-0.36,890.40,451.80,,
2025/09/01,151,MMKJL,28.66,551.7,572.0,551.7,567.95,571.00,-3.05,-0.01,562.38,"1,586.00",562.38,"891,926.90",66,5.57,20.3,0.99,3.68,0.98,890.40,451.80,,
2025/09/02,152,MMKJL,38.41,579.3,602.6,548.0,574.63,570.00,4.63,0.01,558.25,"5,591.00",567.95,"3,121,179.80",81,6.68,54.6,1.18,9.96,2.85,890.40,451.80,,
2025/09/03,152,MMKJL,30.49,565.0,568.9,560.1,561.38,560.10,1.28,0.0,563.79,"2,189.00",574.63,"1,234,126.70",44,-13.25,8.8,-2.31,1.57,-0.43,890.40,451.80,,
2025/09/04,148,MMKJL,43.78,572.6,617.0,550.5,595.35,599.00,-3.65,-0.01,560.53,"6,438.00",561.38,"3,608,700.00",98,33.97,66.5,6.05,12.08,5.85,890.40,451.80,,
2025/09/07,157,MMKJL,44.05,588.0,588.8,564.5,573.55,575.00,-1.45,0.0,575.25,"9,331.00",595.35,"5,367,666.50",96,-21.8,24.3,-3.66,4.3,-0.3,890.40,451.80,,
2025/09/08,149,MMKJL,39.93,584.0,584.0,556.0,569.47,575.00,-5.53,-0.01,566.56,"4,970.00",573.55,"2,815,808.00",61,-4.08,28.0,-0.71,5.04,0.51,890.40,451.80,,
2025/09/18,118,MMKJL,28.11,565.0,565.0,565.0,565.0,565.00,0.0,0.0,565.00,10.00,569.47,"5,650.00",1,-4.47,0.0,-0.78,0.0,0.0,890.40,451.80,,
2025/09/21,154,MMKJL,38.52,565.0,591.0,543.0,570.36,578.00,-7.64,-0.01,565.80,"5,598.00",565.00,"3,167,364.00",91,5.36,48.00,0.95,8.84,0.8,890.40,451.80,,
2025/09/23,153,MMKJL,44.71,581.7,627.3,559.1,610.0,610.00,0.0,0.0,606.53,"11,830.00",570.36,"7,175,233.50",158,39.64,68.2,6.95,12.2,0.57,890.40,451.80,,
2025/09/24,144,MMKJL,45.94,622.0,671.0,613.0,671.0,671.00,0.0,0.0,658.67,"116,595.00",610.00,"76,797,392.50",453,61.00,58.0,10.0,9.46,1.84,890.40,451.80,,
2025/09/25,150,MMKJL,37.67,684.4,695.0,661.0,675.0,675.00,0.0,0.0,681.28,"19,184.00",671.00,"13,069,735.20",179,4.0,34.0,0.6,5.14,-0.93,890.40,451.80,609.37,654.58
2025/07/30,150,MMKJL,35.94,618.1,655.0,618.1,625.04,620.20,4.84,0.01,627.26,"5,234.00",630.33,"3,283,090.50",105,-5.29,36.9,-0.84,5.97,-0.36,890.40,451.80,,
2025/07/31,146,MMKJL,30.66,612.8,630.0,607.7,610.47,617.50,-7.03,-0.01,612.72,"8,013.00",625.04,"4,909,747.40",112,-14.57,22.3,-2.33,3.67,-0.37,890.40,451.80,,
2025/08/03,148,MMKJL,32.55,602.0,615.0,602.0,605.06,608.00,-2.94,0.0,605.97,"14,118.00",610.47,"8,555,150.50",145,-5.41,13.0,-0.89,2.16,-0.15,890.40,451.80,,
2025/08/04,150,MMKJL,26.41,594.0,607.0,591.1,599.33,600.00,-0.67,0.0,598.12,"4,231.00",605.06,"2,530,632.50",94,-5.73,15.9,-0.95,2.69,0.2,890.40,451.80,,
2025/08/05,150,MMKJL,29.46,588.0,605.0,585.1,590.21,588.00,2.21,0.0,594.00,"5,471.00",599.33,"3,249,774.50",110,-9.12,19.9,-1.52,3.4,-0.64,890.40,451.80,,
2025/08/06,149,MMKJL,27.53,583.0,601.8,580.0,581.86,590.00,-8.14,-0.01,587.02,"6,352.00",590.21,"3,728,742.20",109,-8.35,21.80,-1.41,3.76,-0.89,890.40,451.80,,
2025/08/07,145,MMKJL,28.06,593.4,596.0,575.1,583.28,586.00,-2.72,0.0,584.32,"10,615.00",581.86,"6,202,563.90",126,1.42,20.9,0.24,3.63,-0.18,890.40,451.80,,
