Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025/09/21,156,MNBBLP,23.13,245.9,245.9,245.9,245.9,245.90,0.0,0.0,245.90,"25,000.00",250.90,"6,147,500.00",1,-5.0,0.00,-1.99,0.0,0.0,256.00,206.00
2025/08/13,149,MNBBLP,38.55,256.0,256.0,256.0,256.0,256.00,0.0,0.0,256.00,"5,000.00",256.00,"1,280,000.00",1,0.0,0.0,0.0,0.0,0.0,256.00,206.00
2025/08/20,150,MNBBLP,32.88,250.9,250.9,250.9,250.9,250.90,0.0,0.0,250.90,"164,000.00",256.00,"41,147,600.00",1,-5.1,0.0,-1.99,0.0,0.0,256.00,206.00
2025/04/02,150,MNBBLP,33.56,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"52,809.00",221.00,"11,670,789.00",1,0.00,0.00,0.0,0.0,0.0,221.00,200.00
2025/04/10,155,MNBBLP,37.36,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"70,000.00",221.00,"15,470,000.00",2,0.0,0.0,0.0,0.0,0.0,221.00,200.00
2025/03/16,151,MNBBLP,35.53,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"50,000.00",221.00,"11,050,000.00",1,0.0,0.00,0.0,0.0,0.0,221.00,200.00
2025/03/17,156,MNBBLP,29.07,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"5,000.00",221.00,"1,105,000.00",1,0.0,0.0,0.0,0.0,0.0,221.00,200.00
2025/02/04,143,MNBBLP,31.84,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"5,000.00",221.00,"1,105,000.00",1,0.0,0.00,0.0,0.0,0.0,221.00,200.00
2025/01/05,155,MNBBLP,35.5,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"124,000.00",221.00,"27,404,000.00",1,0.0,0.0,0.0,0.0,0.0,221.00,200.00
2025/01/22,154,MNBBLP,31.91,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"25,000.00",221.00,"5,525,000.00",1,0.0,0.0,0.0,0.0,0.0,221.00,200.00
2024/12/17,147,MNBBLP,25.02,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"2,500.00",221.00,"552,500.00",1,0.0,0.0,0.0,0.0,0.0,221.00,200.00
2024/12/29,145,MNBBLP,23.95,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"8,200.00",221.00,"1,812,200.00",1,0.0,0.0,0.0,0.0,0.0,221.00,200.00
2024/12/01,147,MNBBLP,41.41,221.0,221.0,221.0,221.0,221.00,0.0,0.0,221.00,"25,000.00",206.00,"5,525,000.00",4,15.0,0.0,7.28,0.0,0.0,221.00,200.00
2024/10/02,145,MNBBLP,53.07,206.0,206.0,206.0,206.0,206.00,0.0,0.0,206.00,"20,451.00",200.00,"4,212,906.00",2,6.00,0.0,3.0,0.0,0.0,209.00,200.00
2024/07/28,149,MNBBLP,63.34,200.0,200.0,200.0,200.0,200.00,0.0,0.0,200.00,"30,788.00",200.00,"6,157,600.00",5,0.00,0.00,0.0,0.0,0.0,209.00,200.00
2024/07/10,152,MNBBLP,47.17,200.0,200.0,200.0,200.0,200.00,0.0,0.0,200.00,"8,224.00",200.00,"1,644,800.00",1,0.0,0.0,0.0,0.0,0.0,237.00,200.00
2024/07/11,157,MNBBLP,58.2,200.0,200.0,200.0,200.0,200.00,0.0,0.0,200.00,"100,000.00",200.00,"20,000,000.00",1,0.0,0.00,0.0,0.0,0.0,237.00,200.00
2024/03/19,147,MNBBLP,50.16,200.0,200.0,200.0,200.0,200.00,0.0,0.0,200.00,"10,000.00",209.00,"2,000,000.00",1,-9.0,0.00,-4.31,0.0,0.0,237.00,200.00
2024/01/09,151,MNBBLP,56.79,209.0,209.0,209.0,209.0,209.00,0.0,0.0,209.00,"94,114.00",209.00,"19,669,826.00",2,0.0,0.0,0.0,0.0,0.0,237.00,209.00
2023/11/29,138,MNBBLP,39.41,209.0,209.0,209.0,209.0,209.00,0.0,0.0,209.00,"161,750.00",209.00,"33,805,750.00",4,0.00,0.00,0.0,0.0,0.0,237.00,209.00
2023/12/11,145,MNBBLP,36.94,209.0,209.0,209.0,209.0,209.00,0.0,0.0,209.00,"40,000.00",209.00,"8,360,000.00",1,0.0,0.0,0.0,0.0,0.0,237.00,209.00
2023/12/18,149,MNBBLP,44.54,209.0,209.0,209.0,209.0,209.00,0.0,0.0,209.00,"45,000.00",209.00,"9,405,000.00",1,0.00,0.00,0.0,0.0,0.0,237.00,209.00
2023/11/22,138,MNBBLP,38.16,209.0,209.0,209.0,209.0,209.00,0.0,0.0,209.00,"250,000.00",209.00,"52,250,000.00",2,0.0,0.00,0.0,0.0,0.0,237.00,209.00
2023/07/12,136,MNBBLP,51.34,237.0,237.0,237.0,237.0,237.00,0.0,0.0,237.00,"55,000.00",237.00,"13,035,000.00",1,0.0,0.0,0.0,0.0,0.0,237.00,237.00
2023/07/02,133,MNBBLP,46.07,237.0,237.0,237.0,237.0,237.00,0.0,0.0,237.00,"6,500.00",237.00,"1,540,500.00",2,0.0,0.0,0.0,0.0,0.0,237.00,237.00
2023/04/25,116,MNBBLP,40.02,237.0,237.0,237.0,237.0,237.00,0.0,0.0,237.00,"55,000.00",237.00,"13,035,000.00",2,0.0,0.0,0.0,0.0,0.0,237.00,237.00
2023/03/29,118,MNBBLP,34.48,237.0,237.0,237.0,237.0,237.00,0.0,0.0,237.00,"3,000.00",237.00,"711,000.00",1,0.0,0.0,0.0,0.0,0.0,275.00,237.00
