Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2021/12/26,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/02/01,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/02/10,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/02/14,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/02/15,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/02/20,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/03/07,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/03/15,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/05/18,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/05/21,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/05/26,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/06/06,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/06/10,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
2022/06/13,153,MSHL,65.3,708.0,749.7,702.0,738.0,734.04,"15,755.00",708.00,"11,564,752.00",242,30.00,47.70,4.24,6.79,0.54,656.21,0.00,832.50,294.20
