Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,105,NABBC,56.73,750.0,778.9,735.0,770.0,761.56,"1,806.00",749.80,"1,375,379.60",40,20.2,43.9,2.69,5.97,1.1,"1,251.10",295.00,,
2021/10/31,108,NABBC,65.36,765.0,800.7,750.0,793.0,777.33,"10,710.00",770.00,"8,325,174.50",80,23.00,50.70,2.99,6.76,1.98,"1,251.10",295.00,,
2021/11/01,106,NABBC,66.99,800.0,806.0,754.1,782.0,776.94,"9,270.00",793.00,"7,202,235.30",91,-11.0,51.9,-1.39,6.88,0.65,"1,251.10",295.00,,
2021/11/02,110,NABBC,64.38,766.4,795.0,737.7,794.0,777.96,"2,935.00",782.00,"2,283,326.20",41,12.0,57.3,1.53,7.77,2.02,"1,251.10",295.00,,
2021/11/03,108,NABBC,63.6,782.0,793.0,770.0,784.9,781.15,"3,602.00",794.00,"2,813,692.00",51,-9.1,23.0,-1.15,2.99,0.48,"1,251.10",295.00,,
2021/11/08,104,NABBC,66.3,785.0,816.5,785.0,805.0,806.27,"6,729.00",784.90,"5,425,417.10",65,20.1,31.5,2.56,4.01,-0.16,"1,251.10",295.00,,
2021/11/09,103,NABBC,58.33,802.0,803.9,762.1,791.6,788.24,"8,296.00",805.00,"6,539,279.90",78,-13.4,41.8,-1.66,5.48,0.42,"1,251.10",295.00,,
2021/11/11,106,NABBC,44.33,776.0,786.4,758.0,758.0,767.26,"4,335.00",791.60,"3,326,059.50",58,-33.6,28.4,-4.24,3.75,-1.22,"1,251.10",295.00,,
2021/11/14,155,NABBC,54.14,581.0,592.0,570.3,585.0,586.51,"28,626.00",574.00,"16,789,367.40",224,11.00,21.70,1.92,3.81,-0.26,670.00,342.10,478.31,444.89
2021/11/15,108,NABBC,41.1,765.0,790.0,765.0,772.3,776.68,"1,923.00",750.00,"1,493,565.00",29,22.30,25.00,2.97,3.27,-0.57,"1,251.10",295.00,,
2021/11/16,106,NABBC,41.53,761.8,818.7,761.8,790.0,794.33,870.00,772.30,"691,065.00",33,17.70,56.90,2.29,7.47,-0.55,"1,251.10",295.00,,
2021/11/17,106,NABBC,63.22,805.0,830.0,805.0,813.0,816.89,"17,109.00",790.00,"13,976,159.20",120,23.00,25.00,2.91,3.11,-0.48,"1,251.10",295.00,,
2021/11/18,105,NABBC,65.38,802.0,894.3,802.0,866.0,859.19,"17,235.00",813.00,"14,808,103.40",189,53.0,92.3,6.52,11.51,0.79,"1,251.10",295.00,,
2021/11/21,106,NABBC,55.0,883.0,952.6,883.0,952.6,947.94,"5,088.00",866.00,"4,823,118.80",37,86.6,69.6,10.0,7.88,0.49,"1,251.10",295.00,,
2021/11/22,107,NABBC,60.76,971.6,1031.0,935.0,949.0,965.84,"37,793.00",952.60,"36,501,904.00",466,-3.6,96.0,-0.38,10.27,-1.77,"1,251.10",295.00,,
2021/11/23,107,NABBC,53.7,955.0,955.0,895.0,900.0,917.59,"13,104.00",949.00,"12,024,060.30",187,-49.0,60.0,-5.16,6.7,-1.95,"1,251.10",295.00,,
2021/11/24,107,NABBC,49.12,890.0,895.0,870.0,893.0,879.72,"6,050.00",900.00,"5,322,318.10",105,-7.00,25.0,-0.78,2.87,1.49,"1,251.10",295.00,,
2021/11/25,108,NABBC,44.79,910.8,910.8,850.0,879.0,870.55,"8,818.00",893.00,"7,676,525.20",112,-14.0,60.8,-1.57,7.15,0.96,"1,251.10",295.00,,
2021/11/28,109,NABBC,40.93,862.0,866.0,816.5,848.0,837.59,"7,757.00",879.00,"6,497,195.00",119,-31.0,49.5,-3.53,6.06,1.23,"1,251.10",295.00,,
2021/11/29,106,NABBC,36.49,864.0,864.0,828.0,830.0,839.55,"2,831.00",848.00,"2,376,771.60",49,-18.0,36.0,-2.12,4.35,-1.15,"1,251.10",295.00,,
2021/11/30,106,NABBC,35.28,846.6,863.5,824.0,856.7,837.42,"2,886.00",830.00,"2,416,784.10",64,26.7,39.5,3.22,4.79,2.25,"1,251.10",295.00,,
