Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/11/01,112,NCCD86,60.38,988.0,988.0,988.0,988.0,988.00,30.00,974.10,"29,640.00",1,13.9,0.0,1.43,0.0,0.0,"1,026.00",974.10,,
2021/11/02,116,NCCD86,57.02,978.1,978.1,978.1,978.1,978.10,25.00,988.00,"24,452.50",1,-9.9,0.0,-1.0,0.0,0.0,"1,026.00",974.10,,
2021/11/14,163,NCCD86,66.49,1021.2,1030.9,1017.0,1030.9,"1,025.40",245.00,"1,002.00","251,223.00",10,28.90,13.90,2.88,1.37,0.53,"1,064.00",890.50,956.69,963.84
2021/11/16,113,NCCD86,53.03,975.0,975.0,975.0,975.0,975.00,25.00,972.20,"24,375.00",1,2.80,0.00,0.29,0.0,0.0,"1,026.00",972.20,,
2021/11/22,115,NCCD86,43.47,976.2,976.2,975.0,975.0,975.60,50.00,975.00,"48,780.00",2,0.0,1.2,0.0,0.12,-0.06,"1,026.00",972.20,,
2021/11/25,116,NCCD86,58.63,980.0,980.0,980.0,980.0,980.00,50.00,975.00,"49,000.00",1,5.0,0.0,0.51,0.0,0.0,"1,026.00",972.20,,
2021/11/28,117,NCCD86,51.91,976.0,976.0,976.0,976.0,976.00,25.00,980.00,"24,400.00",1,-4.0,0.0,-0.41,0.0,0.0,"1,026.00",972.20,,
2021/11/29,113,NCCD86,52.58,976.0,976.0,976.0,976.0,976.00,35.00,976.00,"34,160.00",1,0.0,0.0,0.0,0.0,0.0,"1,026.00",972.20,,
2021/12/08,112,NCCD86,43.0,971.1,971.1,971.1,971.1,971.10,25.00,976.00,"24,277.50",1,-4.9,0.00,-0.5,0.0,0.0,"1,026.00",971.10,,
2021/12/12,112,NCCD86,37.17,972.1,972.1,972.1,972.1,972.10,25.00,971.10,"24,302.50",1,1.00,0.00,0.1,0.0,0.0,"1,026.00",971.10,,
2021/12/20,112,NCCD86,39.04,972.7,972.7,972.7,972.7,972.70,20.00,972.10,"19,454.00",1,0.6,0.0,0.06,0.0,0.0,"1,026.00",971.10,,
2021/12/26,163,NCCD86,66.49,1021.2,1030.9,1017.0,1030.9,"1,025.40",245.00,"1,002.00","251,223.00",10,28.90,13.90,2.88,1.37,0.53,"1,064.00",890.50,956.69,963.84
2021/12/27,119,NCCD86,56.11,990.0,990.0,990.0,990.0,990.00,100.00,972.70,"99,000.00",1,17.3,0.00,1.78,0.0,0.0,"1,026.00",971.10,,
2021/12/28,113,NCCD86,45.78,970.2,970.2,970.2,970.2,970.20,25.00,990.00,"24,255.00",1,-19.8,0.0,-2.0,0.0,0.0,"1,026.00",970.20,,
2022/01/02,120,NCCD86,53.64,989.6,1000.0,989.6,1000.0,999.44,"1,115.00",970.20,"1,114,380.00",4,29.80,10.40,3.07,1.05,0.06,"1,026.00",970.20,,
2022/01/05,115,NCCD86,55.05,990.0,990.0,990.0,990.0,990.00,50.00,"1,000.00","49,500.00",1,-10.0,0.0,-1.0,0.0,0.0,"1,026.00",970.20,,
