Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2023/10/18,149,NEF,49.95,9.75,9.92,9.75,9.91,9.91,0.0,0.0,9.80,"23,241.00",9.74,"227,849.03",11,0.17,0.17,1.75,1.74,1.07,10.24,7.75
2023/10/19,147,NEF,49.94,9.91,9.99,9.91,9.95,9.95,0.0,0.0,9.94,"47,050.00",9.91,"467,894.38",12,0.04,0.08,0.4,0.81,0.05,10.24,7.75
2023/10/29,145,NEF,46.09,9.97,9.97,9.82,9.96,9.96,0.0,0.0,9.95,"20,600.00",9.95,"204,968.00",8,0.01,0.15,0.1,1.53,0.1,10.24,7.75
2023/10/30,147,NEF,47.63,9.77,10.0,9.77,10.0,10.00,0.0,0.0,9.93,"25,947.00",9.96,"257,754.07",12,0.04,0.23,0.4,2.35,0.66,10.24,7.75
2023/10/31,150,NEF,35.2,9.99,9.99,9.81,9.88,9.88,0.0,0.0,9.95,"99,619.00",10.00,"991,640.10",16,-0.12,0.18,-1.2,1.83,-0.75,10.24,7.75
2023/11/01,151,NEF,28.63,9.69,9.9,9.35,9.9,9.90,0.0,0.0,9.68,"6,852.00",9.88,"66,337.59",8,0.02,0.55,0.2,5.88,2.21,10.24,7.75
2023/09/21,140,NEF,60.66,9.79,9.9,9.71,9.89,9.89,0.0,0.0,9.80,"66,115.00",9.72,"647,937.40",18,0.17,0.19,1.75,1.96,0.91,10.24,7.75
2023/09/24,146,NEF,48.18,9.9,9.9,9.85,9.85,9.85,0.0,0.0,9.86,"5,628.00",9.89,"55,476.80",6,-0.04,0.05,-0.4,0.51,-0.07,10.24,7.75
2023/09/25,144,NEF,55.63,9.85,9.85,9.8,9.85,9.85,0.0,0.0,9.81,"47,893.00",9.85,"469,915.33",16,0.0,0.05,0.0,0.51,0.39,10.24,7.75
2023/09/26,146,NEF,62.74,9.8,10.04,9.8,9.92,9.92,0.0,0.0,9.95,"78,789.00",9.85,"783,869.20",17,0.07,0.24,0.71,2.45,-0.29,10.24,7.75
2023/09/27,143,NEF,38.56,9.8,9.85,9.8,9.85,9.85,0.0,0.0,9.82,"18,768.00",9.92,"184,288.98",4,-0.07,0.05,-0.71,0.51,0.31,10.24,7.75
2023/10/01,145,NEF,34.61,9.7,9.7,9.56,9.6,9.60,0.0,0.0,9.59,"9,880.00",9.85,"94,727.51",6,-0.25,0.14,-2.54,1.46,0.13,10.24,7.75
2023/10/02,147,NEF,39.57,9.6,9.94,9.6,9.8,9.80,0.0,0.0,9.78,"30,152.00",9.60,"294,762.63",15,0.2,0.34,2.08,3.54,0.25,10.24,7.75
2023/10/03,139,NEF,39.32,9.8,9.86,9.8,9.8,9.80,0.0,0.0,9.83,"32,190.00",9.80,"316,275.12",13,0.0,0.06,0.0,0.61,-0.26,10.24,7.75
2023/10/04,145,NEF,34.38,9.67,9.85,9.67,9.81,9.81,0.0,0.0,9.80,"12,983.00",9.80,"127,222.54",9,0.01,0.18,0.1,1.86,0.11,10.24,7.75
2023/10/05,140,NEF,48.26,9.98,9.98,9.85,9.85,9.85,0.0,0.0,9.88,"10,071.00",9.81,"99,489.05",8,0.04,0.13,0.41,1.32,-0.29,10.24,7.75
2023/10/08,148,NEF,35.88,9.75,9.77,9.6,9.72,9.72,0.0,0.0,9.73,"75,250.00",9.85,"732,067.64",12,-0.13,0.17,-1.32,1.77,-0.09,10.24,7.75
2023/10/09,145,NEF,37.04,9.53,9.75,9.53,9.75,9.75,0.0,0.0,9.68,"43,921.00",9.72,"425,141.99",20,0.03,0.22,0.31,2.31,0.72,10.24,7.75
2023/10/10,143,NEF,29.61,9.94,9.98,9.6,9.61,9.61,0.0,0.0,9.89,"18,447.00",9.75,"182,455.62",7,-0.14,0.38,-1.44,3.96,-2.92,10.24,7.75
2023/10/11,147,NEF,39.31,9.62,9.7,9.61,9.62,9.62,0.0,0.0,9.65,"58,454.00",9.61,"564,366.72",11,0.01,0.09,0.1,0.94,-0.36,10.24,7.75
2023/10/12,149,NEF,30.98,9.68,9.7,9.62,9.66,9.66,0.0,0.0,9.66,"13,760.00",9.62,"132,898.14",7,0.04,0.08,0.42,0.83,0.02,10.24,7.75
2023/10/16,147,NEF,26.05,9.66,9.7,9.66,9.68,9.68,0.0,0.0,9.68,"7,100.00",9.66,"68,694.01",8,0.02,0.04,0.21,0.41,0.05,10.24,7.75
2023/08/23,138,NEF,36.8,9.75,9.75,9.61,9.7,9.70,0.0,0.0,9.70,"48,132.00",9.75,"466,689.65",12,-0.05,0.14,-0.51,1.46,0.04,10.24,7.75
2023/08/24,140,NEF,52.04,9.75,9.8,9.7,9.7,9.70,0.0,0.0,9.74,"57,090.00",9.70,"555,888.54",24,0.0,0.1,0.0,1.03,-0.38,10.24,7.75
2023/08/27,140,NEF,29.48,9.66,9.7,9.65,9.66,9.66,0.0,0.0,9.67,"24,887.00",9.70,"240,574.28",11,-0.04,0.05,-0.41,0.52,-0.07,10.24,7.75
2023/08/28,140,NEF,40.49,9.66,9.85,9.65,9.85,9.85,0.0,0.0,9.72,"25,496.00",9.66,"247,849.63",10,0.19,0.2,1.97,2.07,1.31,10.24,7.75
2023/08/29,143,NEF,29.26,9.75,9.75,9.53,9.66,9.66,0.0,0.0,9.69,"12,128.00",9.85,"117,532.01",9,-0.19,0.22,-1.93,2.31,-0.32,10.24,7.75
2023/08/30,141,NEF,41.53,9.85,9.85,9.67,9.68,9.68,0.0,0.0,9.83,"13,655.00",9.66,"134,160.85",9,0.02,0.18,0.21,1.86,-1.5,10.24,7.75
2023/09/03,140,NEF,36.84,9.51,9.7,9.51,9.62,9.62,0.0,0.0,9.67,"24,781.00",9.68,"239,587.54",8,-0.06,0.19,-0.62,2.0,-0.5,10.24,7.75
2023/09/04,137,NEF,42.86,9.65,9.7,9.65,9.7,9.70,0.0,0.0,9.67,"61,558.00",9.62,"595,190.11",20,0.08,0.05,0.83,0.52,0.32,10.24,7.75
2023/09/05,140,NEF,30.44,9.51,9.61,9.51,9.6,9.60,0.0,0.0,9.58,"28,514.00",9.70,"273,221.14",9,-0.1,0.1,-1.03,1.05,0.19,10.24,7.75
2023/09/07,145,NEF,28.89,9.6,9.65,9.6,9.65,9.65,0.0,0.0,9.62,"15,483.00",9.60,"148,910.95",4,0.05,0.05,0.52,0.52,0.33,10.24,7.75
2023/09/10,141,NEF,32.23,9.46,9.84,9.46,9.65,9.65,0.0,0.0,9.65,"7,664.00",9.65,"73,986.48",13,0.0,0.38,0.0,4.02,-0.04,10.24,7.75
2023/09/11,141,NEF,37.58,9.7,9.74,9.6,9.74,9.74,0.0,0.0,9.68,"18,062.00",9.65,"174,888.52",10,0.09,0.14,0.93,1.46,0.59,10.24,7.75
2023/09/12,142,NEF,42.58,9.74,9.79,9.65,9.65,9.65,0.0,0.0,9.73,"32,159.00",9.74,"312,886.98",16,-0.09,0.14,-0.92,1.45,-0.82,10.24,7.75
2023/09/13,140,NEF,40.96,9.56,9.75,9.56,9.66,9.66,0.0,0.0,9.72,"44,493.00",9.65,"432,329.68",9,0.01,0.19,0.1,1.99,-0.59,10.24,7.75
2023/09/17,143,NEF,27.58,9.6,9.62,9.6,9.62,9.62,0.0,0.0,9.61,"5,795.00",9.66,"55,699.62",4,-0.04,0.02,-0.41,0.21,0.09,10.24,7.75
2023/09/18,139,NEF,29.44,9.62,9.62,9.62,9.62,9.62,0.0,0.0,9.62,"1,341.00",9.62,"12,900.42",4,0.0,0.0,0.0,0.0,0.0,10.24,7.75
2023/07/31,136,NEF,40.12,9.53,9.71,9.33,9.7,9.70,0.0,0.0,9.56,"3,337.00",9.56,"31,898.96",9,0.14,0.38,1.46,4.07,1.45,10.24,7.75
2023/08/01,133,NEF,43.07,9.51,9.85,9.51,9.85,9.85,0.0,0.0,9.66,"63,151.00",9.70,"610,124.56",21,0.15,0.34,1.55,3.58,1.92,10.24,7.75
2023/08/02,135,NEF,48.47,9.8,9.99,9.59,9.75,9.75,0.0,0.0,9.84,"135,905.00",9.85,"1,337,350.54",17,-0.1,0.40,-1.02,4.17,-0.93,10.24,7.75
2023/08/03,131,NEF,41.67,9.6,9.7,9.6,9.7,9.70,0.0,0.0,9.66,"9,726.00",9.75,"93,927.30",7,-0.05,0.1,-0.51,1.04,0.44,10.24,7.75
2023/08/06,134,NEF,37.33,9.6,9.6,9.41,9.45,9.45,0.0,0.0,9.53,"65,265.00",9.70,"622,234.35",21,-0.25,0.19,-2.58,2.02,-0.89,10.24,7.75
2023/08/07,132,NEF,35.21,9.28,9.6,9.28,9.47,9.47,0.0,0.0,9.44,"20,776.00",9.45,"196,161.67",10,0.02,0.32,0.21,3.45,0.3,10.24,7.75
2023/08/08,135,NEF,33.65,9.47,9.47,9.29,9.37,9.37,0.0,0.0,9.37,"42,122.00",9.47,"394,830.79",16,-0.1,0.18,-1.06,1.94,-0.04,10.24,7.75
2023/08/09,135,NEF,38.32,9.45,9.45,9.0,9.0,9.00,0.0,0.0,9.16,"51,569.00",9.37,"472,423.44",23,-0.37,0.45,-3.95,5.0,-1.79,10.24,7.75
2023/08/10,137,NEF,46.92,9.18,9.7,9.18,9.51,9.51,0.0,0.0,9.53,"2,500.00",9.00,"23,828.00",9,0.51,0.52,5.67,5.66,-0.22,10.24,7.75
2023/08/13,133,NEF,42.38,9.51,9.6,9.32,9.32,9.32,0.0,0.0,9.35,"58,070.00",9.51,"542,690.03",26,-0.19,0.28,-2.0,3.0,-0.27,10.24,7.75
2023/08/14,141,NEF,51.75,9.44,9.69,9.44,9.6,9.60,0.0,0.0,9.55,"31,172.00",9.32,"297,567.40",14,0.28,0.25,3.0,2.65,0.56,10.24,7.75
2023/08/15,141,NEF,49.62,9.69,9.7,9.48,9.48,9.48,0.0,0.0,9.62,"42,311.00",9.60,"407,066.50",15,-0.12,0.22,-1.25,2.32,-1.49,10.24,7.75
2023/08/17,137,NEF,53.86,9.6,9.75,9.6,9.75,9.75,0.0,0.0,9.69,"85,441.00",9.48,"827,678.66",25,0.27,0.15,2.85,1.56,0.64,10.24,7.75
2023/08/20,136,NEF,47.0,9.66,9.67,9.66,9.67,9.67,0.0,0.0,9.67,"9,845.00",9.75,"95,196.32",7,-0.08,0.01,-0.82,0.1,0.01,10.24,7.75
2023/08/21,139,NEF,45.63,9.69,9.69,9.69,9.69,9.69,0.0,0.0,9.69,"10,000.00",9.67,"96,900.00",2,0.02,0.0,0.21,0.0,0.0,10.24,7.75
2023/07/09,146,NEF,41.38,9.3,9.38,9.2,9.25,9.25,0.0,0.0,9.36,"56,677.00",9.27,"530,511.90",13,-0.02,0.18,-0.22,1.96,-1.19,10.38,7.75
2023/07/10,149,NEF,40.29,9.3,9.4,9.3,9.4,9.40,0.0,0.0,9.31,"5,834.00",9.25,"54,304.90",8,0.15,0.10,1.62,1.08,0.98,10.38,7.75
2023/07/11,142,NEF,37.66,9.5,9.58,9.4,9.4,9.40,0.0,0.0,9.46,"2,504.00",9.40,"23,694.06",5,0.0,0.18,0.0,1.91,-0.66,10.38,7.75
2023/07/12,147,NEF,43.24,9.58,9.58,9.4,9.4,9.40,0.0,0.0,9.42,"4,977.00",9.40,"46,888.20",6,0.0,0.18,0.0,1.91,-0.22,10.17,7.75
2023/07/13,147,NEF,52.71,9.58,9.74,9.4,9.73,9.73,0.0,0.0,9.44,"18,827.00",9.40,"177,693.66",8,0.33,0.34,3.51,3.62,3.0,10.17,7.75
2023/07/16,147,NEF,52.02,9.72,9.72,9.61,9.61,9.61,0.0,0.0,9.61,"32,484.00",9.73,"312,207.24",11,-0.12,0.11,-1.23,1.14,-0.01,10.08,7.75
2023/07/17,131,NEF,50.72,9.54,9.73,9.54,9.73,9.73,0.0,0.0,9.60,"7,914.00",9.61,"76,008.56",5,0.12,0.19,1.25,1.99,1.29,10.08,7.75
2023/07/18,131,NEF,52.44,9.73,9.81,9.63,9.66,9.66,0.0,0.0,9.69,"11,592.00",9.73,"112,351.68",8,-0.07,0.18,-0.72,1.87,-0.33,10.08,7.75
2023/07/19,133,NEF,36.53,9.58,9.77,9.58,9.62,9.62,0.0,0.0,9.67,"7,480.00",9.66,"72,301.80",7,-0.04,0.19,-0.41,1.98,-0.48,10.08,7.75
2023/07/20,135,NEF,54.07,9.8,9.85,9.71,9.85,9.85,0.0,0.0,9.81,"17,083.00",9.62,"167,608.44",9,0.23,0.14,2.39,1.44,0.39,10.08,7.75
2023/07/23,136,NEF,59.96,10.04,10.24,9.7,9.99,9.99,0.0,0.0,9.94,"199,533.00",9.85,"1,983,488.32",21,0.14,0.54,1.42,5.57,0.49,10.24,7.75
2023/07/24,135,NEF,60.87,9.99,10.1,9.86,10.0,10.00,0.0,0.0,9.92,"215,637.00",9.99,"2,139,611.92",24,0.01,0.24,0.1,2.43,0.78,10.24,7.75
2023/07/25,137,NEF,47.36,9.81,10.0,9.65,9.65,9.65,0.0,0.0,9.81,"32,725.00",10.00,"321,047.95",19,-0.35,0.35,-3.5,3.63,-1.66,10.24,7.75
