Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,175,NICL,37.91,600.0,613.5,600.0,611.25,611.00,0.25,0.0,607.72,"7,592.00",601.55,"4,613,816.70",92,9.7,13.5,1.61,2.25,0.58,"1,162.00",570.00,,
2025/08/26,179,NICL,34.43,605.0,615.0,604.0,608.46,610.00,-1.54,0.0,608.39,"3,682.00",611.25,"2,240,088.00",41,-2.79,11.0,-0.46,1.82,0.01,"1,162.00",570.00,,
2025/08/27,176,NICL,42.6,601.0,620.0,601.0,617.7,617.00,0.7,0.0,614.67,"12,802.00",608.46,"7,869,016.90",101,9.24,19.0,1.52,3.16,0.49,"1,162.00",570.00,,
2025/08/28,176,NICL,39.61,620.1,620.2,606.0,609.88,612.00,-2.12,0.0,613.63,"12,171.00",617.70,"7,468,494.20",92,-7.82,14.2,-1.27,2.34,-0.61,"1,162.00",570.00,,
2025/08/31,177,NICL,34.56,611.1,614.7,600.0,600.29,600.10,0.19,0.0,606.12,"6,767.00",609.88,"4,101,608.90",90,-9.59,14.7,-1.57,2.45,-0.97,"1,162.00",570.00,,
2025/09/01,182,NICL,32.41,600.0,615.0,600.0,601.18,600.10,1.08,0.0,601.53,"6,074.00",600.29,"3,653,667.60",82,0.89,15.0,0.15,2.5,-0.06,"1,162.00",570.00,,
2025/09/02,182,NICL,31.38,600.0,608.0,595.1,603.82,603.10,0.72,0.0,604.06,"2,313.00",601.18,"1,397,196.60",52,2.64,12.9,0.44,2.17,-0.04,"1,162.00",570.00,,
2025/09/03,180,NICL,30.08,603.82,607.0,600.0,600.02,600.00,0.02,0.0,602.17,"4,221.00",603.82,"2,541,743.40",64,-3.8,7.0,-0.63,1.17,-0.36,"1,162.00",570.00,,
2025/09/04,176,NICL,31.15,598.5,603.0,598.0,600.29,600.00,0.29,0.0,600.22,"4,716.00",600.02,"2,830,659.80",55,0.27,5.0,0.04,0.84,0.01,"1,162.00",570.00,,
2025/09/07,186,NICL,32.1,595.0,599.0,585.0,587.93,585.00,2.93,0.01,591.24,"9,643.00",600.29,"5,701,355.30",111,-12.36,14.0,-2.06,2.39,-0.56,"1,090.00",570.00,,
2025/09/08,179,NICL,31.17,584.3,596.5,575.0,583.23,584.00,-0.77,0.0,577.96,"8,637.00",587.93,"4,991,848.10",81,-4.7,21.5,-0.8,3.74,0.9,"1,090.00",570.00,,
2025/09/18,134,NICL,18.32,578.0,578.0,549.0,549.0,549.00,0.0,0.0,568.95,80.00,583.23,"45,516.00",4,-34.23,29.0,-5.87,5.28,-3.63,"1,064.00",549.00,,
2025/09/21,184,NICL,29.71,539.0,545.0,494.9,532.18,530.00,2.18,0.0,517.80,"49,348.00",549.00,"25,552,466.20",441,-16.82,50.10,-3.06,10.12,2.7,"1,064.00",494.90,,
2025/09/23,181,NICL,30.37,523.0,565.0,523.0,561.0,561.00,0.0,0.0,539.59,"17,080.00",532.18,"9,216,128.50",150,28.82,42.0,5.42,8.03,3.82,"1,064.00",494.90,,
2025/09/24,170,NICL,23.62,570.0,570.0,550.0,550.0,550.00,0.0,0.0,555.06,"3,606.00",561.00,"2,001,532.50",65,-11.00,20.0,-1.96,3.64,-0.92,"1,064.00",494.90,,
2025/09/25,179,NICL,31.06,541.0,549.0,532.2,545.1,545.10,0.0,0.0,544.13,"5,810.00",550.00,"3,161,390.40",52,-4.9,16.8,-0.89,3.16,0.18,"1,064.00",494.90,696.35,793.31
2025/07/30,184,NICL,32.59,670.1,674.9,664.0,664.08,664.20,-0.12,0.0,665.29,"26,382.00",671.82,"17,551,691.10",173,-7.74,10.9,-1.15,1.64,-0.18,"1,162.00",570.00,,
2025/07/31,176,NICL,30.85,664.08,664.08,651.2,658.91,660.00,-1.09,0.0,660.49,"19,157.00",664.08,"12,652,979.10",174,-5.17,12.88,-0.78,1.98,-0.24,"1,162.00",570.00,,
2025/08/03,180,NICL,28.19,671.0,671.0,637.0,643.03,637.00,6.03,0.01,646.06,"12,648.00",658.91,"8,171,326.00",188,-15.88,34.0,-2.41,5.34,-0.47,"1,162.00",570.00,,
2025/08/04,179,NICL,30.92,643.03,650.0,625.1,638.83,639.00,-0.17,0.0,635.97,"26,326.00",643.03,"16,742,652.50",167,-4.2,24.9,-0.65,3.98,0.45,"1,162.00",570.00,,
2025/08/05,180,NICL,30.28,647.7,651.6,625.1,626.76,626.00,0.76,0.0,630.86,"15,347.00",638.83,"9,681,811.00",148,-12.07,26.5,-1.89,4.24,-0.65,"1,162.00",570.00,,
2025/08/06,179,NICL,26.85,620.0,625.0,619.0,620.73,624.40,-3.67,-0.01,621.89,"12,463.00",626.76,"7,750,630.20",151,-6.03,6.00,-0.96,0.97,-0.19,"1,162.00",570.00,,
2025/08/07,174,NICL,23.53,633.0,633.0,612.8,623.25,623.50,-0.25,0.0,622.25,"9,837.00",620.73,"6,121,116.00",107,2.52,20.2,0.41,3.3,0.16,"1,162.00",570.00,,
2025/08/11,179,NICL,25.98,625.0,634.0,610.0,611.79,610.10,1.69,0.0,618.08,"14,778.00",623.25,"9,133,998.80",174,-11.46,24.0,-1.84,3.93,-1.03,"1,162.00",570.00,,
2025/08/12,180,NICL,27.28,624.0,624.0,600.0,606.62,605.00,1.62,0.0,608.98,"17,421.00",611.79,"10,609,044.50",131,-5.17,24.0,-0.85,4.0,-0.39,"1,162.00",570.00,,
2025/08/13,178,NICL,28.32,600.0,613.0,600.0,601.02,603.00,-1.98,0.0,603.16,"16,909.00",606.62,"10,198,801.00",160,-5.6,13.0,-0.92,2.17,-0.36,"1,162.00",570.00,,
2025/08/14,176,NICL,24.37,610.0,613.0,599.0,601.01,603.00,-1.99,0.0,602.19,"10,670.00",601.02,"6,425,354.70",130,-0.01,14.0,0.0,2.34,-0.2,"1,162.00",570.00,,
2025/08/17,171,NICL,28.91,604.0,610.0,603.0,603.38,603.50,-0.12,0.0,603.90,"4,744.00",601.01,"2,864,885.50",79,2.37,7.0,0.39,1.16,-0.09,"1,162.00",570.00,,
2025/08/18,179,NICL,30.97,602.0,610.0,601.0,604.03,603.10,0.93,0.0,603.38,"5,583.00",603.38,"3,368,681.00",58,0.65,9.0,0.11,1.5,0.11,"1,162.00",570.00,,
2025/08/19,173,NICL,34.7,601.2,613.9,601.2,603.82,605.00,-1.18,0.0,606.20,"10,214.00",604.03,"6,191,685.80",121,-0.21,12.7,-0.03,2.11,-0.39,"1,162.00",570.00,,
2025/08/20,179,NICL,32.87,601.0,610.0,601.0,604.07,604.00,0.07,0.0,604.50,"3,663.00",603.82,"2,214,271.50",59,0.25,9.0,0.04,1.5,-0.07,"1,162.00",570.00,,
2025/08/21,175,NICL,35.55,604.0,606.9,602.0,605.4,606.00,-0.6,0.0,603.53,"5,445.00",604.07,"3,286,221.80",74,1.33,4.9,0.22,0.81,0.31,"1,162.00",570.00,,
2025/07/07,174,NICL,38.91,655.0,664.9,632.1,640.0,640.00,0.0,0.0,643.55,"19,042.00",653.10,"12,254,444.40",143,-13.1,32.8,-2.01,5.19,-0.55,"1,162.00",570.00,,
2025/07/08,170,NICL,40.69,632.0,640.0,620.0,625.94,634.00,-8.06,-0.01,631.10,"20,596.00",640.00,"12,998,204.40",139,-14.06,20.0,-2.2,3.23,-0.82,"1,162.00",570.00,,
2025/07/09,174,NICL,35.24,638.0,638.0,626.0,634.84,634.00,0.84,0.0,632.79,"7,028.00",625.94,"4,447,220.30",63,8.9,12.0,1.42,1.92,0.32,"1,162.00",570.00,,
2025/07/10,173,NICL,34.24,646.0,664.0,637.0,637.97,638.00,-0.03,0.0,643.68,"29,848.00",634.84,"19,212,611.30",173,3.13,27.0,0.49,4.24,-0.9,"1,162.00",570.00,,
2025/07/13,171,NICL,34.22,650.0,662.0,632.0,634.27,633.40,0.87,0.0,643.87,"19,250.00",637.97,"12,394,485.20",156,-3.7,30.0,-0.58,4.75,-1.51,"1,162.00",570.00,,
2025/07/14,182,NICL,32.11,630.0,633.0,620.1,624.33,626.90,-2.57,0.0,625.42,"17,059.00",634.27,"10,669,078.40",131,-9.94,12.90,-1.57,2.08,-0.17,"1,162.00",570.00,,
2025/07/15,180,NICL,29.49,622.2,630.0,617.0,622.44,627.00,-4.56,-0.01,621.50,"28,091.00",624.33,"17,458,421.30",198,-1.89,13.00,-0.3,2.11,0.15,"1,162.00",570.00,,
2025/07/16,189,NICL,43.13,634.8,654.0,626.0,645.18,640.10,5.08,0.01,638.59,"38,919.00",622.44,"24,853,113.20",285,22.74,28.0,3.65,4.47,1.02,"1,162.00",570.00,,
2025/07/17,171,NICL,43.01,653.8,674.9,653.8,665.23,665.00,0.23,0.0,666.18,"23,931.00",645.18,"15,942,347.60",259,20.05,21.10,3.11,3.23,-0.14,"1,162.00",570.00,,
2025/07/20,175,NICL,49.17,678.5,682.0,665.1,674.69,674.00,0.69,0.0,675.27,"55,377.00",665.23,"37,394,668.40",396,9.46,16.9,1.42,2.54,-0.09,"1,162.00",570.00,,
2025/07/21,172,NICL,44.33,662.0,676.0,662.0,669.89,670.10,-0.21,0.0,669.34,"25,092.00",674.69,"16,795,122.80",241,-4.8,14.0,-0.71,2.11,0.08,"1,162.00",570.00,,
2025/07/22,179,NICL,48.41,683.0,691.9,670.0,690.32,690.90,-0.58,0.0,682.80,"40,689.00",669.89,"27,782,483.40",373,20.43,21.9,3.05,3.27,1.09,"1,162.00",570.00,,
2025/07/23,175,NICL,41.74,690.0,699.9,665.0,681.77,685.00,-3.23,0.0,680.89,"27,394.00",690.32,"18,652,304.70",317,-8.55,34.90,-1.24,5.25,0.13,"1,162.00",570.00,,
2025/07/24,186,NICL,38.94,680.1,685.0,673.3,680.17,681.80,-1.63,0.0,678.33,"25,166.00",681.77,"17,070,778.10",207,-1.6,11.7,-0.23,1.74,0.27,"1,162.00",570.00,,
2025/07/27,182,NICL,39.16,690.0,692.0,672.2,679.22,680.00,-0.78,0.0,677.44,"42,994.00",680.17,"29,125,843.60",290,-0.95,19.8,-0.14,2.95,0.26,"1,162.00",570.00,,
2025/07/28,179,NICL,35.62,672.0,675.0,662.0,667.46,665.00,2.46,0.0,667.84,"28,954.00",679.22,"19,336,616.50",256,-11.76,13.0,-1.73,1.96,-0.06,"1,162.00",570.00,,
2025/06/12,173,NICL,47.53,779.0,790.0,772.0,782.87,785.00,-2.13,0.0,779.79,"68,817.00",771.51,"53,662,971.20",548,11.36,18.0,1.47,2.33,0.39,"1,162.00",749.70,,
2025/06/15,175,NICL,26.63,618.7,624.0,607.0,618.21,619.00,-0.79,0.0,618.06,"17,786.00",606.65,"10,992,757.60",274,11.56,17.0,1.91,2.8,0.02,"1,162.00",607.00,,
2025/06/16,182,NICL,27.2,622.4,624.0,614.0,619.96,620.50,-0.54,0.0,619.03,"14,217.00",618.21,"8,800,756.20",127,1.75,10.0,0.28,1.63,0.15,"1,162.00",607.00,,
2025/06/17,170,NICL,26.49,620.0,620.0,610.0,616.82,617.60,-0.78,0.0,613.82,"4,683.00",619.96,"2,874,522.40",63,-3.14,10.0,-0.51,1.64,0.49,"1,162.00",607.00,,
