Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025/06/24,189,NLO,39.6,288.0,288.0,288.0,288.0,288.00,0.0,0.0,288.00,10.00,282.40,"2,880.00",1,5.60,0.00,1.98,0.0,0.0,288.00,237.42
2025/05/25,185,NLO,26.98,282.4,282.4,282.4,282.4,282.40,0.0,0.0,277.90,1.00,282.40,277.90,1,0.0,0.0,0.0,0.0,1.59,284.90,237.42
2025/07/06,189,NLO,36.6,293.2,293.2,293.2,293.2,293.20,0.0,0.0,293.20,10.00,288.00,"2,932.00",1,5.2,0.0,1.81,0.0,0.0,293.20,237.42
2025/04/22,191,NLO,45.65,282.4,282.4,282.4,282.4,282.40,0.0,0.0,282.40,32.00,276.90,"9,036.80",1,5.5,0.0,1.99,0.0,0.0,284.90,237.42
2025/02/25,186,NLO,47.42,256.8,276.9,256.8,276.9,276.90,0.0,0.0,268.67,60.00,251.80,"16,120.00",5,25.1,20.10,9.97,7.83,2.97,284.90,237.42
2025/03/16,187,NLO,23.66,276.9,276.9,276.9,276.9,276.90,0.0,0.0,272.70,2.00,276.90,545.40,1,0.0,0.00,0.0,0.0,1.52,284.90,237.42
2025/03/20,188,NLO,22.85,276.9,276.9,276.9,276.9,276.90,0.0,0.0,277.30,1.00,276.90,277.30,1,0.0,0.0,0.0,0.0,-0.14,284.90,237.42
2025/02/06,184,NLO,36.47,251.8,251.8,251.8,251.8,251.80,0.0,0.0,256.23,10.00,251.80,"2,562.30",3,0.0,0.0,0.0,0.0,-1.76,284.90,237.42
2025/01/02,189,NLO,32.17,251.8,251.8,251.8,251.8,251.80,0.0,0.0,256.50,3.00,251.80,769.50,3,0.0,0.00,0.0,0.0,-1.87,284.90,230.40
2024/12/17,190,NLO,28.1,242.1,242.1,242.1,242.1,242.10,0.0,0.0,244.20,3.00,242.10,732.60,3,0.0,0.0,0.0,0.0,-0.87,284.90,230.40
2024/12/22,189,NLO,39.56,246.9,246.9,246.9,246.9,246.90,0.0,0.0,246.90,10.00,242.10,"2,469.00",1,4.8,0.0,1.98,0.0,0.0,284.90,230.40
2024/12/31,186,NLO,35.73,251.8,251.8,251.8,251.8,251.80,0.0,0.0,251.80,10.00,246.90,"2,518.00",1,4.90,0.00,1.98,0.0,0.0,284.90,230.40
2024/11/19,183,NLO,34.27,242.1,242.1,242.1,242.1,242.10,0.0,0.0,241.30,36.00,242.10,"8,686.80",3,0.0,0.0,0.0,0.0,0.33,284.90,230.40
2024/11/25,180,NLO,35.21,242.1,242.1,242.1,242.1,242.10,0.0,0.0,242.10,10.00,242.10,"2,421.00",1,0.0,0.00,0.0,0.0,0.0,284.90,230.40
2024/10/20,186,NLO,-,242.1,242.1,242.1,242.1,242.10,0.0,0.0,239.83,19.00,237.42,"4,556.70",2,4.68,0.00,1.97,0.0,0.94,284.90,230.40
2024/10/23,193,NLO,-,242.1,242.1,242.1,242.1,242.10,0.0,0.0,239.67,3.00,242.10,719.00,3,0.0,0.00,0.0,0.0,1.01,284.90,230.40
2024/09/10,197,NLO,62.73,284.9,284.9,284.9,284.9,284.90,0.0,0.0,284.90,117.00,279.40,"33,333.30",2,5.5,0.00,1.97,0.0,0.0,284.90,230.40
2024/10/01,184,NLO,33.06,237.42,237.42,237.42,237.42,237.42,0.0,0.0,242.00,1.00,237.42,242.00,1,0.0,0.00,0.0,0.0,-1.93,284.90,230.40
2024/09/04,193,NLO,56.27,274.0,274.0,274.0,274.0,274.00,0.0,0.0,274.00,10.00,268.70,"2,740.00",1,5.3,0.00,1.97,0.0,0.0,282.40,230.40
2024/09/08,193,NLO,53.83,279.4,279.4,279.4,279.4,279.40,0.0,0.0,279.40,10.00,274.00,"2,794.00",1,5.40,0.00,1.97,0.0,0.0,282.40,230.40
2024/07/18,185,NLO,71.84,258.4,263.5,258.4,263.5,263.50,0.0,0.0,263.14,172.00,253.40,"45,260.80",3,10.10,5.10,3.99,1.97,0.14,282.40,230.40
2024/07/28,193,NLO,67.8,268.7,268.7,268.7,268.7,268.70,0.0,0.0,268.70,10.00,263.50,"2,687.00",1,5.20,0.00,1.97,0.0,0.0,282.40,230.40
2024/03/26,187,NLO,40.99,253.4,253.4,253.4,253.4,253.40,0.0,0.0,252.44,45.00,253.40,"11,359.60",6,0.0,0.00,0.0,0.0,0.38,282.40,230.40
2024/02/15,182,NLO,42.53,248.5,248.5,248.5,248.5,248.50,0.0,0.0,245.47,115.00,248.50,"28,229.40",13,0.0,0.0,0.0,0.0,1.22,282.40,230.40
