Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022/01/03,141,NMFBSP,52.6,1537.0,1537.0,1537.0,1537.0,"1,031.00","2,000.00","1,537.00","2,062,000.00",1,0.0,0.00,0.0,0.0,32.92,"1,537.00",100.00,,
2022/01/04,145,NMFBSP,56.8,1537.0,1537.0,1537.0,1537.0,"1,042.57","39,550.00","1,537.00","41,233,796.00",17,0.0,0.00,0.0,0.0,32.17,"1,537.00",100.00,,
2022/01/05,146,NMFBSP,37.25,1537.0,1537.0,1537.0,1537.0,"1,037.68","3,850.00","1,537.00","3,995,075.00",13,0.0,0.0,0.0,0.0,32.49,"1,537.00",100.00,,
2022/01/10,148,NMFBSP,49.67,1537.0,1537.0,1537.0,1537.0,"1,022.00","36,500.00","1,537.00","37,303,000.00",1,0.0,0.00,0.0,0.0,33.51,"1,537.00",100.00,,
2022/01/20,142,NMFBSP,47.62,1537.0,1537.0,1537.0,1537.0,"1,537.00","3,000.00","1,537.00","4,611,000.00",1,0.0,0.0,0.0,0.0,0.0,"1,537.00",100.00,,
2022/07/24,137,NMFBSP,25.83,1152.0,1152.0,1152.0,1152.0,"1,152.00","6,335.00","1,152.00","7,297,920.00",1,0.0,0.0,0.0,0.0,0.0,"1,537.00","1,152.00",,
2022/09/05,139,NMFBSP,19.21,1152.0,1152.0,1152.0,1152.0,"1,152.00","2,534.00","1,152.00","2,919,168.00",1,0.0,0.0,0.0,0.0,0.0,"1,537.00","1,152.00",,
2022/09/28,139,NMFBSP,28.14,1152.0,1152.0,1152.0,1152.0,768.57,"61,930.00","1,152.00","47,597,845.00",13,0.0,0.0,0.0,0.0,33.28,"1,537.00","1,152.00",,
2023/01/05,160,NMFBSP,34.64,1115.0,1115.0,1115.0,1115.0,"1,115.00","2,027.00","1,115.00","2,260,105.00",1,0.0,0.0,0.0,0.0,0.0,"1,537.00","1,115.00",,
2023/01/25,156,NMFBSP,38.57,1115.0,1115.0,1115.0,1115.0,"1,115.00","2,534.00","1,115.00","2,825,410.00",1,0.0,0.0,0.0,0.0,0.0,"1,152.00","1,115.00",,
2024/06/07,188,NMFBSP,-,745.0,745.0,745.0,745.0,745.00,"2,312.00",745.00,"1,722,440.00",1,0.00,0.00,0.0,0.0,0.0,745.00,631.00,0.00,0.00
2024/07/22,188,NMFBSP,42.73,745.0,745.0,745.0,745.0,745.00,"2,312.00",745.00,"1,722,440.00",1,0.00,0.00,0.0,0.0,0.0,745.00,631.00,,
