Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,193,NMIC,35.26,1390.0,1390.0,1338.4,1380.89,"1,370.00",10.89,0.01,"1,357.38","12,715.00","1,364.30","17,259,058.00",410,16.59,51.6,1.22,3.86,1.7,"2,703.30",302.30,,
2025/08/26,196,NMIC,34.27,1355.0,1379.9,1352.0,1374.83,"1,377.10",-2.27,0.0,"1,362.20","11,015.00","1,380.89","15,004,672.00",266,-6.06,27.9,-0.44,2.06,0.92,"2,703.30",302.30,,
2025/08/27,195,NMIC,43.31,1351.0,1460.0,1351.0,1450.85,"1,448.00",2.85,0.0,"1,429.44","19,628.00","1,374.83","28,057,058.30",598,76.02,109.0,5.53,8.07,1.48,"2,703.30",302.30,,
2025/08/28,194,NMIC,39.26,1422.0,1460.6,1400.0,1403.88,"1,404.20",-0.32,0.0,"1,428.10","13,440.00","1,450.85","19,193,678.00",370,-46.97,60.6,-3.24,4.33,-1.73,"2,703.30",302.30,,
2025/08/31,194,NMIC,37.97,1410.0,1410.0,1360.0,1362.46,"1,366.00",-3.54,0.0,"1,368.66","12,836.00","1,403.88","17,568,161.00",350,-41.42,50.0,-2.95,3.68,-0.46,"2,703.30",302.30,,
2025/09/01,198,NMIC,34.81,1350.0,1380.0,1340.0,1355.93,"1,367.00",-11.07,-0.01,"1,352.36","7,116.00","1,362.46","9,623,360.00",277,-6.53,40.0,-0.48,2.99,0.26,"2,703.30",302.30,,
2025/09/02,199,NMIC,33.17,1355.0,1365.0,1339.0,1340.42,"1,340.10",0.32,0.0,"1,344.89","5,278.00","1,355.93","7,098,350.90",222,-15.51,26.0,-1.14,1.94,-0.33,"2,703.30",302.30,,
2025/09/03,197,NMIC,32.34,1335.1,1350.0,1290.2,1300.85,"1,300.00",0.85,0.0,"1,315.84","12,664.00","1,340.42","16,663,860.90",360,-39.57,59.8,-2.95,4.63,-1.15,"2,703.30",302.30,,
2025/09/04,192,NMIC,29.46,1286.1,1300.0,1277.0,1286.27,"1,285.00",1.27,0.0,"1,287.19","8,463.00","1,300.85","10,893,475.80",327,-14.58,23.0,-1.12,1.8,-0.07,"2,703.30",302.30,,
2025/09/07,204,NMIC,25.71,1285.0,1285.0,1250.0,1255.73,"1,257.00",-1.27,0.0,"1,262.22","8,870.00","1,286.27","11,195,900.20",339,-30.54,35.0,-2.37,2.8,-0.52,"2,703.30",302.30,,
2025/09/08,195,NMIC,28.9,1235.0,1240.0,1190.0,1199.97,"1,191.00",8.97,0.01,"1,207.68","29,023.00","1,255.73","35,050,564.50",607,-55.76,50.0,-4.44,4.2,-0.64,"2,703.30",302.30,,
2025/09/18,146,NMIC,25.6,1180.1,1180.1,1080.0,1080.0,"1,080.00",0.0,0.0,"1,103.14","2,716.00","1,199.97","2,996,134.00",65,-119.97,100.1,-10.0,9.27,-2.14,"2,703.30",302.30,,
2025/09/21,200,NMIC,33.22,1058.4,1140.0,1036.0,1131.0,"1,138.00",-7.0,-0.01,"1,102.65","16,809.00","1,080.00","18,534,522.70",563,51.0,104.00,4.72,10.04,2.51,"2,703.30",302.30,,
2025/09/23,199,NMIC,35.11,1131.0,1191.3,1109.0,1191.3,"1,191.30",0.0,0.0,"1,159.04","10,937.00","1,131.00","12,676,454.70",339,60.30,82.3,5.33,7.42,2.71,"2,703.30",302.30,,
2025/09/24,188,NMIC,30.69,1199.0,1199.0,1150.0,1159.0,"1,159.00",0.0,0.0,"1,160.31","7,365.00","1,191.30","8,545,686.50",216,-32.30,49.0,-2.71,4.26,-0.11,"2,703.30",302.30,,
2025/09/25,196,NMIC,33.93,1141.1,1155.0,1141.1,1146.0,"1,146.00",0.0,0.0,"1,147.20","6,054.00","1,159.00","6,945,147.00",146,-13.0,13.9,-1.12,1.22,-0.1,"2,703.30",302.30,0.00,0.00
2025/07/30,201,NMIC,31.43,1705.0,1720.0,1651.0,1670.64,"1,651.00",19.64,0.01,"1,683.42","14,102.00","1,700.91","23,739,621.40",521,-30.27,69.0,-1.78,4.18,-0.77,"2,703.30",302.30,,
2025/07/31,192,NMIC,31.39,1660.0,1669.0,1640.0,1649.06,"1,642.10",6.96,0.0,"1,653.46","13,709.00","1,670.64","22,667,228.90",568,-21.58,29.0,-1.29,1.77,-0.27,"2,703.30",302.30,,
2025/08/03,197,NMIC,30.84,1625.0,1639.0,1590.0,1593.31,"1,593.00",0.31,0.0,"1,605.97","16,154.00","1,649.06","25,942,779.90",769,-55.75,49.0,-3.38,3.08,-0.79,"2,703.30",302.30,,
2025/08/04,196,NMIC,28.45,1600.0,1625.0,1565.0,1586.95,"1,573.10",13.85,0.01,"1,580.40","10,841.00","1,593.31","17,133,138.90",592,-6.36,60.0,-0.4,3.83,0.41,"2,703.30",302.30,,
2025/08/05,198,NMIC,31.53,1558.1,1589.0,1555.0,1561.61,"1,556.00",5.61,0.0,"1,565.28","13,463.00","1,586.95","21,073,329.20",558,-25.34,34.0,-1.6,2.19,-0.23,"2,703.30",302.30,,
2025/08/06,195,NMIC,26.82,1542.0,1581.0,1541.6,1562.28,"1,558.00",4.28,0.0,"1,562.91","8,557.00","1,561.61","13,373,798.90",412,0.67,39.40,0.04,2.56,-0.04,"2,703.30",302.30,,
2025/08/07,191,NMIC,23.27,1555.0,1589.9,1550.0,1563.64,"1,565.00",-1.36,0.0,"1,565.83","6,140.00","1,562.28","9,614,199.20",367,1.36,39.9,0.09,2.57,-0.14,"2,703.30",302.30,,
2025/08/11,195,NMIC,25.06,1545.0,1570.0,1540.5,1544.21,"1,543.10",1.11,0.0,"1,553.05","8,007.00","1,563.64","12,435,294.10",409,-19.43,29.5,-1.24,1.91,-0.57,"2,703.30",302.30,,
