Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2023/07/09,182,NSLB,31.06,642.6,655.0,642.0,650.0,650.00,0.0,0.0,651.18,217.00,630.00,"141,306.60",8,20.0,13.0,3.17,2.02,-0.18,"1,030.00",526.40
2023/07/10,184,NSLB,36.56,663.0,670.0,660.0,662.1,662.10,0.0,0.0,666.71,662.00,650.00,"441,361.70",18,12.10,10.00,1.86,1.52,-0.7,"1,030.00",526.40
2023/07/11,177,NSLB,52.58,672.0,680.0,649.8,668.0,668.00,0.0,0.0,660.91,"1,444.00",662.10,"954,346.90",32,5.9,30.20,0.89,4.65,1.06,"1,030.00",526.40
2023/07/12,186,NSLB,55.54,657.0,690.0,655.0,689.0,689.00,0.0,0.0,671.06,"3,259.00",668.00,"2,186,991.50",43,21.0,35.0,3.14,5.34,2.6,"1,030.00",526.40
2023/07/13,185,NSLB,50.37,701.9,701.9,677.0,693.5,693.50,0.0,0.0,690.65,588.00,689.00,"406,103.00",19,4.5,24.90,0.65,3.68,0.41,"1,030.00",526.40
2023/06/12,178,NSLB,49.4,635.0,643.0,635.0,642.0,642.00,0.0,0.0,642.90,"1,543.00",639.00,"991,991.00",9,3.00,8.00,0.47,1.26,-0.14,"1,030.00",526.40
2023/06/13,170,NSLB,55.2,640.0,678.3,640.0,678.3,678.30,0.0,0.0,656.35,"1,491.00",642.00,"978,620.70",31,36.30,38.30,5.65,5.98,3.24,"1,030.00",526.40
2023/06/14,173,NSLB,54.19,678.7,692.2,651.9,673.0,673.00,0.0,0.0,686.08,"1,320.00",678.30,"905,627.00",22,-5.30,40.30,-0.78,6.18,-1.94,"1,030.00",526.40
2023/06/15,170,NSLB,46.3,659.6,673.0,647.0,670.0,670.00,0.0,0.0,661.24,219.00,673.00,"144,811.50",9,-3.0,26.00,-0.45,4.02,1.31,"1,030.00",526.40
2023/06/18,178,NSLB,56.58,670.0,708.9,657.0,708.9,708.90,0.0,0.0,663.85,"1,145.00",670.00,"760,109.50",23,38.9,51.90,5.81,7.9,6.35,"1,030.00",526.40
