Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,139,NTC,57.66,1174.0,1232.0,1161.2,1225.0,"1,208.37","79,067.00","1,178.00","95,541,838.40",497,47.0,70.8,3.99,6.1,1.36,"1,500.00",712.00,,
2021/10/31,147,NTC,50.98,1225.0,1244.0,1205.0,1215.0,"1,224.62","26,240.00","1,225.00","32,133,950.30",301,-10.00,39.00,-0.82,3.24,-0.79,"1,500.00",726.00,,
2021/11/01,142,NTC,52.35,1234.0,1235.0,1180.0,1200.0,"1,194.99","21,103.00","1,215.00","25,217,831.00",262,-15.0,55.0,-1.23,4.66,0.42,"1,500.00",726.00,,
2021/11/02,148,NTC,54.18,1178.0,1214.0,1155.2,1200.0,"1,196.34","17,740.00","1,200.00","21,223,106.70",246,0.0,58.8,0.0,5.09,0.3,"1,500.00",726.00,,
2021/11/03,145,NTC,49.77,1224.0,1225.0,1182.0,1199.0,"1,204.28","20,534.00","1,200.00","24,728,699.20",203,-1.0,43.0,-0.08,3.64,-0.44,"1,500.00",726.00,,
2021/11/08,142,NTC,50.83,1202.0,1220.0,1176.0,1200.0,"1,195.10","15,470.00","1,199.00","18,488,253.70",149,1.0,44.0,0.08,3.74,0.41,"1,500.00",751.00,,
2021/11/09,140,NTC,47.34,1200.0,1200.0,1142.8,1157.0,"1,160.29","24,952.00","1,200.00","28,951,572.80",198,-43.0,57.2,-3.58,5.01,-0.28,"1,500.00",760.00,,
2021/11/11,142,NTC,42.28,1156.0,1169.0,1124.0,1124.0,"1,137.75","14,790.00","1,157.00","16,827,338.10",196,-33.0,45.0,-2.85,4.0,-1.22,"1,500.00",866.00,,
2021/11/14,202,NTC,67.89,946.0,946.0,915.0,939.0,933.11,"73,552.00",928.00,"68,632,014.30",751,11.00,31.00,1.19,3.39,0.63,"1,000.00",800.00,846.21,856.76
2021/11/15,144,NTC,44.09,1170.0,1183.2,1157.0,1161.0,"1,169.23","20,746.00","1,160.00","24,256,810.00",132,1.00,26.20,0.09,2.26,-0.71,"1,500.00",909.00,,
2021/11/16,144,NTC,58.28,1184.0,1277.1,1176.5,1277.1,"1,248.33","131,647.00","1,161.00","164,339,249.90","1,190",116.10,100.60,10.0,8.55,2.25,"1,500.00",909.00,,
2021/11/17,142,NTC,64.64,1302.6,1404.8,1302.6,1390.0,"1,377.32","426,090.00","1,277.10","586,862,955.90","2,732",112.90,102.20,8.84,7.85,0.91,"1,500.00",909.00,,
2021/11/18,140,NTC,63.31,1395.0,1457.5,1355.0,1438.0,"1,406.40","429,788.00","1,390.00","604,455,412.90","2,543",48.0,102.5,3.45,7.56,2.2,"1,500.00",909.00,,
2021/11/21,143,NTC,54.8,1438.0,1438.0,1380.0,1395.5,"1,397.37","161,903.00","1,438.00","226,238,338.60",969,-42.5,58.0,-2.96,4.2,-0.13,"1,500.00",922.00,,
2021/11/22,145,NTC,53.14,1411.0,1438.0,1375.0,1420.2,"1,416.47","206,052.00","1,395.50","291,867,406.40","1,206",24.7,63.0,1.77,4.58,0.26,"1,500.00",922.00,,
2021/11/23,146,NTC,51.46,1402.0,1470.0,1402.0,1457.0,"1,448.38","287,027.00","1,420.20","415,724,063.20","1,712",36.8,68.0,2.59,4.85,0.59,"1,500.00",935.00,,
2021/11/24,144,NTC,50.42,1486.1,1486.1,1431.0,1465.0,"1,451.37","180,214.00","1,457.00","261,556,834.80",821,8.00,55.1,0.55,3.85,0.93,"1,500.00",935.00,,
2021/11/25,147,NTC,54.49,1450.0,1495.0,1450.0,1484.0,"1,477.43","179,849.00","1,465.00","265,713,736.30","1,056",19.0,45.0,1.3,3.1,0.44,"1,500.00",972.00,,
2021/11/28,148,NTC,45.25,1454.4,1465.0,1390.0,1409.0,"1,423.84","133,771.00","1,484.00","190,468,569.80",762,-75.0,75.0,-5.05,5.4,-1.05,"1,500.00",972.00,,
2021/11/29,144,NTC,39.56,1408.0,1430.0,1372.0,1380.0,"1,396.40","71,287.00","1,409.00","99,545,445.70",472,-29.0,58.0,-2.06,4.23,-1.19,"1,500.00",972.00,,
2021/11/30,142,NTC,35.96,1400.0,1400.0,1351.0,1393.0,"1,374.42","38,412.00","1,380.00","52,794,220.60",356,13.0,49.0,0.94,3.63,1.33,"1,500.00",972.00,,
2021/12/01,139,NTC,39.49,1393.0,1440.0,1377.0,1426.0,"1,411.28","103,022.00","1,393.00","145,393,099.00",600,33.0,63.0,2.37,4.58,1.03,"1,500.00",972.00,,
2021/12/02,145,NTC,42.62,1439.0,1439.0,1365.6,1384.8,"1,389.43","70,998.00","1,426.00","98,647,044.40",436,-41.2,73.4,-2.89,5.37,-0.33,"1,500.00",972.00,,
2021/12/05,142,NTC,40.75,1385.0,1385.0,1310.0,1329.0,"1,322.34","126,212.00","1,384.80","166,894,915.50",460,-55.8,75.0,-4.03,5.73,0.5,"1,500.00",972.00,,
2021/12/06,142,NTC,41.73,1302.5,1371.0,1302.5,1362.0,"1,331.03","104,627.00","1,329.00","139,261,193.30",491,33.0,68.50,2.48,5.26,2.27,"1,500.00",972.00,,
2021/12/07,143,NTC,37.08,1362.0,1389.2,1320.0,1326.0,"1,352.47","61,755.00","1,362.00","83,521,492.00",389,-36.0,69.20,-2.64,5.24,-2.0,"1,500.00",972.00,,
