Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,205,NYADI,60.12,362.0,380.0,362.0,377.0,372.84,"34,583.00",365.00,"12,894,046.10",377,12.00,18.00,3.29,4.97,1.1,303.34,279.59,381.00,176.40
2021/11/29,146,NYADI,48.77,282.3,310.5,282.3,310.5,297.51,194.00,282.30,"57,717.70",29,28.2,28.2,9.99,9.99,4.18,,,310.50,282.30
2021/11/30,144,NYADI,55.98,316.7,341.5,316.7,341.5,337.79,171.00,310.50,"57,762.70",26,31.0,24.8,9.98,7.83,1.09,,,341.50,282.30
2021/12/01,141,NYADI,55.84,348.3,375.6,348.3,375.6,368.99,150.00,341.50,"55,348.00",17,34.1,27.3,9.99,7.84,1.76,,,375.60,282.30
2021/12/02,147,NYADI,58.18,383.1,413.1,383.1,413.1,409.87,390.00,375.60,"159,850.00",41,37.5,30.0,9.98,7.83,0.78,,,413.10,282.30
2021/12/05,144,NYADI,55.22,421.3,454.4,421.3,454.4,453.43,"1,533.00",413.10,"695,114.20",157,41.3,33.1,10.0,7.86,0.21,,,454.40,282.30
2021/12/06,144,NYADI,56.29,463.4,499.8,409.0,433.0,432.91,"81,212.00",454.40,"35,157,169.30","4,466",-21.4,90.80,-4.71,22.2,0.02,,,499.80,282.30
2021/12/07,145,NYADI,49.96,441.0,459.0,414.0,416.0,431.02,"30,287.00",433.00,"13,054,412.00","1,644",-17.0,45.00,-3.93,10.87,-3.61,,,499.80,282.30
2021/12/08,144,NYADI,38.11,408.0,410.0,400.0,408.0,404.40,"10,795.00",416.00,"4,365,534.00",985,-8.0,10.00,-1.92,2.5,0.88,,,499.80,282.30
2021/12/09,148,NYADI,33.85,399.9,404.0,385.0,393.0,392.88,"12,424.00",408.00,"4,881,113.00",611,-15.0,19.0,-3.68,4.94,0.03,,,499.80,282.30
2021/12/12,145,NYADI,31.71,387.0,391.6,364.0,365.0,383.37,"17,386.00",393.00,"6,665,237.80",468,-28.00,27.60,-7.12,7.58,-5.03,,,499.80,282.30
2021/12/13,149,NYADI,31.32,358.0,386.0,332.0,347.0,346.22,"10,591.00",365.00,"3,666,838.10",462,-18.00,54.00,-4.93,16.27,0.22,,,499.80,282.30
2021/12/14,141,NYADI,30.67,350.0,381.7,350.0,381.7,368.36,"4,849.00",347.00,"1,786,201.50",203,34.70,31.70,10.0,9.06,3.49,,,499.80,282.30
2021/12/15,147,NYADI,33.77,389.3,412.0,363.0,372.0,389.87,"17,495.00",381.70,"6,820,720.50",527,-9.7,49.0,-2.54,13.5,-4.8,,,499.80,282.30
2021/12/16,143,NYADI,33.0,365.0,385.5,360.0,363.0,365.40,"5,854.00",372.00,"2,139,034.10",253,-9.0,25.5,-2.42,7.08,-0.66,,,499.80,282.30
2021/12/20,145,NYADI,30.53,362.0,362.0,343.0,347.0,349.10,"4,850.00",363.00,"1,693,137.50",290,-16.0,19.0,-4.41,5.54,-0.61,,,499.80,282.30
2021/12/21,146,NYADI,30.82,349.0,356.9,344.0,356.9,348.79,"5,216.00",347.00,"1,819,310.00",255,9.9,12.90,2.85,3.75,2.27,,,499.80,282.30
2021/12/22,149,NYADI,37.73,357.0,378.0,357.0,378.0,370.97,"7,385.00",356.90,"2,739,578.50",327,21.1,21.0,5.91,5.88,1.86,,,499.80,282.30
2021/12/23,147,NYADI,41.66,378.1,380.0,365.1,371.0,372.33,"8,049.00",378.00,"2,996,923.70",321,-7.0,14.9,-1.85,4.08,-0.36,,,499.80,282.30
2021/12/26,205,NYADI,60.12,362.0,380.0,362.0,377.0,372.84,"34,583.00",365.00,"12,894,046.10",377,12.00,18.00,3.29,4.97,1.1,303.34,279.59,381.00,176.40
2021/12/27,153,NYADI,42.3,375.0,375.0,358.0,360.0,365.08,"11,881.00",375.00,"4,337,568.60",277,-15.0,17.00,-4.0,4.75,-1.41,,,499.80,282.30
2021/12/28,147,NYADI,31.21,355.0,362.4,351.0,358.0,355.61,"4,065.00",360.00,"1,445,544.00",178,-2.0,11.4,-0.56,3.25,0.67,,,499.80,282.30
2021/12/29,145,NYADI,32.51,351.2,372.0,351.2,364.0,358.99,"4,050.00",358.00,"1,453,923.00",243,6.0,20.80,1.68,5.92,1.38,,,499.80,282.30
2022/01/02,155,NYADI,56.9,356.8,386.1,353.0,383.0,370.99,"11,390.00",364.00,"4,225,588.00",370,19.00,33.10,5.22,9.38,3.14,,,499.80,282.30
2022/01/03,147,NYADI,58.93,375.4,390.0,362.0,379.0,382.56,"13,813.00",383.00,"5,284,335.00",335,-4.0,28.00,-1.04,7.73,-0.94,,,499.80,282.30
2022/01/04,151,NYADI,54.09,371.5,388.0,367.1,384.0,379.18,"7,729.00",379.00,"2,930,709.50",308,5.0,20.90,1.32,5.69,1.25,,,499.80,282.30
2022/01/05,152,NYADI,57.79,384.0,397.8,371.0,382.0,387.60,"14,924.00",384.00,"5,784,544.60",446,-2.0,26.8,-0.52,7.22,-1.47,,,499.80,282.30
2022/01/06,154,NYADI,57.99,375.0,393.0,369.1,393.0,388.56,"11,525.00",382.00,"4,478,146.20",374,11.00,23.90,2.88,6.48,1.13,,,499.80,282.30
2022/01/09,155,NYADI,64.2,390.1,432.3,390.1,430.0,412.10,"24,892.00",393.00,"10,257,910.60",831,37.0,42.20,9.41,10.82,4.16,,,499.80,282.30
2022/01/10,154,NYADI,65.84,430.0,439.9,420.0,439.0,427.83,"20,907.00",430.00,"8,944,679.00",687,9.0,19.90,2.09,4.74,2.54,,,499.80,282.30
2022/01/11,148,NYADI,68.84,431.0,482.0,431.0,482.0,455.19,"31,728.00",439.00,"14,442,356.70",791,43.0,51.00,9.79,11.83,5.56,,,499.80,282.30
2022/01/12,146,NYADI,62.8,482.0,486.0,460.0,482.0,474.08,"25,627.00",482.00,"12,149,344.50",756,0.0,26.00,0.0,5.65,1.64,,,499.80,282.30
