Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2018/08/08,108,ODBL,-,174.0,180.0,173.0,180.0,180.00,0.0,0.0,175.35,"12,966.00",174.00,"2,273,652.00",36,6.0,7.0,3.45,4.05,2.58,433.00,164.00
2018/08/09,107,ODBL,-,178.0,185.0,172.0,178.0,178.00,0.0,0.0,181.90,"16,943.00",180.00,"3,082,001.00",72,-2.0,13.0,-1.11,7.56,-2.19,433.00,164.00
2018/08/12,105,ODBL,-,175.0,182.0,175.0,178.0,178.00,0.0,0.0,180.15,"13,688.00",178.00,"2,465,864.00",48,0.0,7.0,0.0,4.0,-1.21,433.00,164.00
2018/08/13,104,ODBL,-,180.0,187.0,180.0,185.0,185.00,0.0,0.0,184.30,"21,815.00",178.00,"4,020,613.00",67,7.0,7.0,3.93,3.89,0.38,433.00,164.00
2018/08/14,111,ODBL,-,185.0,193.0,185.0,193.0,193.00,0.0,0.0,187.96,"40,623.00",185.00,"7,635,670.00",73,8.0,8.0,4.32,4.32,2.61,430.00,164.00
2018/08/15,111,ODBL,-,190.0,202.0,190.0,202.0,202.00,0.0,0.0,193.67,"23,067.00",193.00,"4,467,438.00",71,9.0,12.0,4.66,6.32,4.12,430.00,164.00
2018/08/16,111,ODBL,-,201.0,205.0,193.0,196.0,196.00,0.0,0.0,197.51,"40,365.00",202.00,"7,972,369.00",101,-6.00,12.0,-2.97,6.22,-0.77,429.00,164.00
2018/08/19,105,ODBL,-,198.0,202.0,189.0,197.0,197.00,0.0,0.0,195.59,"127,384.00",196.00,"24,915,248.00",235,1.0,13.0,0.51,6.88,0.71,428.00,164.00
2018/07/16,105,ODBL,-,172.0,180.0,171.0,180.0,180.00,0.0,0.0,177.66,"3,170.00",170.00,"563,187.00",36,10.0,9.0,5.88,5.26,1.3,478.00,164.00
2018/07/17,103,ODBL,-,177.0,177.0,174.0,177.0,177.00,0.0,0.0,176.64,454.00,180.00,"80,196.00",3,-3.0,3.0,-1.67,1.72,0.2,445.00,164.00
2018/07/18,92,ODBL,-,178.0,178.0,174.0,175.0,175.00,0.0,0.0,176.38,"4,354.00",177.00,"767,970.00",19,-2.0,4.0,-1.13,2.3,-0.79,445.00,164.00
2018/07/19,106,ODBL,-,172.0,174.0,169.0,174.0,174.00,0.0,0.0,171.62,"2,712.00",175.00,"465,428.00",11,-1.0,5.0,-0.57,2.96,1.37,445.00,164.00
2018/07/22,108,ODBL,-,172.0,173.0,170.0,172.0,172.00,0.0,0.0,172.24,"3,700.00",174.00,"637,306.00",18,-2.0,3.0,-1.15,1.76,-0.14,445.00,164.00
2018/07/23,104,ODBL,-,172.0,174.0,172.0,174.0,174.00,0.0,0.0,173.14,"2,259.00",172.00,"391,117.00",14,2.0,2.0,1.16,1.16,0.5,445.00,164.00
2018/07/24,107,ODBL,-,171.0,176.0,166.0,173.0,173.00,0.0,0.0,174.38,"6,487.00",174.00,"1,131,232.00",24,-1.0,10.0,-0.57,6.02,-0.8,445.00,164.00
2018/07/25,115,ODBL,-,174.0,175.0,170.0,170.0,170.00,0.0,0.0,172.62,"3,118.00",173.00,"538,218.00",17,-3.0,5.0,-1.73,2.94,-1.54,445.00,164.00
2018/07/26,108,ODBL,-,173.0,173.0,170.0,171.0,171.00,0.0,0.0,171.15,"8,680.00",170.00,"1,485,610.00",22,1.0,3.0,0.59,1.76,-0.09,445.00,164.00
2018/07/29,100,ODBL,-,172.0,174.0,172.0,172.0,172.00,0.0,0.0,173.56,"5,117.00",171.00,"888,117.00",13,1.0,2.0,0.58,1.16,-0.91,445.00,164.00
2018/07/30,113,ODBL,-,172.0,174.0,171.0,172.0,172.00,0.0,0.0,172.33,"2,489.00",172.00,"428,927.00",13,0.0,3.0,0.0,1.75,-0.19,445.00,164.00
2018/07/31,110,ODBL,-,172.0,172.0,171.0,171.0,171.00,0.0,0.0,171.24,"4,015.00",172.00,"687,521.00",12,-1.0,1.0,-0.58,0.58,-0.14,445.00,164.00
2018/08/01,104,ODBL,-,172.0,176.0,169.0,172.0,172.00,0.0,0.0,171.85,"6,508.00",171.00,"1,118,400.00",25,1.0,7.0,0.58,4.14,0.09,445.00,164.00
2018/08/02,112,ODBL,-,170.0,171.0,169.0,169.0,169.00,0.0,0.0,169.84,"6,567.00",172.00,"1,115,317.00",33,-3.0,2.0,-1.74,1.18,-0.5,445.00,164.00
2018/08/05,109,ODBL,-,170.0,175.0,170.0,173.0,173.00,0.0,0.0,171.48,"8,508.00",169.00,"1,458,950.00",22,4.0,5.0,2.37,2.94,0.88,445.00,164.00
2018/08/06,102,ODBL,-,172.0,173.0,170.0,172.0,172.00,0.0,0.0,170.59,"5,796.00",173.00,"988,754.00",19,-1.0,3.0,-0.58,1.76,0.82,445.00,164.00
2018/06/21,110,ODBL,-,176.0,180.0,176.0,176.0,176.00,0.0,0.0,177.22,"1,827.00",177.00,"323,784.00",20,-1.0,4.0,-0.56,2.27,-0.69,478.00,167.00
2018/06/24,113,ODBL,-,177.0,180.0,174.0,174.0,174.00,0.0,0.0,176.89,"64,938.00",176.00,"11,487,029.00",25,-2.0,6.0,-1.14,3.45,-1.66,478.00,167.00
2018/06/25,107,ODBL,-,176.0,177.0,175.0,177.0,177.00,0.0,0.0,175.11,"5,518.00",174.00,"966,266.00",9,3.0,2.0,1.72,1.14,1.07,478.00,167.00
2018/06/26,108,ODBL,-,177.0,178.0,175.0,175.0,175.00,0.0,0.0,175.74,"1,145.00",177.00,"201,224.00",12,-2.0,3.0,-1.13,1.71,-0.42,478.00,167.00
