Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,141,OHL,57.7,510.0,515.0,505.0,505.3,508.34,"4,521.00",515.00,"2,298,222.30",44,-9.7,10.0,-1.88,1.98,-0.6,761.00,370.00,,
2021/10/31,149,OHL,63.64,515.4,536.2,515.4,525.0,524.28,"11,262.00",505.30,"5,904,418.00",78,19.70,20.80,3.9,4.04,0.14,761.00,370.00,,
2021/11/01,144,OHL,61.91,535.5,548.0,513.0,535.0,533.02,"29,196.00",525.00,"15,561,952.00",214,10.0,35.0,1.9,6.82,0.37,761.00,370.00,,
2021/11/02,150,OHL,66.32,540.0,545.7,525.0,535.0,531.64,"9,543.00",535.00,"5,073,402.40",75,0.0,20.7,0.0,3.94,0.63,761.00,370.00,,
2021/11/03,147,OHL,65.11,545.0,555.0,529.0,535.0,534.72,"7,720.00",535.00,"4,128,048.00",34,0.0,26.0,0.0,4.91,0.05,761.00,370.00,,
2021/11/08,144,OHL,55.29,540.0,540.0,528.0,532.5,530.80,"4,277.00",535.00,"2,270,244.50",43,-2.5,12.0,-0.47,2.27,0.32,761.00,374.00,,
2021/11/09,142,OHL,48.77,532.4,532.4,501.0,501.0,507.36,"9,563.00",532.50,"4,851,892.00",83,-31.5,31.4,-5.92,6.27,-1.27,761.00,380.00,,
2021/11/11,144,OHL,47.68,495.0,500.0,486.0,488.0,492.24,"11,668.00",501.00,"5,743,404.20",109,-13.0,14.0,-2.59,2.88,-0.87,761.00,389.00,,
2021/11/14,206,OHL,68.84,882.2,945.0,882.2,939.7,912.53,"35,334.00",900.00,"32,243,214.30",175,39.70,62.80,4.41,7.12,2.89,945.00,639.50,769.94,764.45
2021/11/15,146,OHL,46.09,494.0,511.0,494.0,511.0,503.45,"10,988.00",492.00,"5,531,932.50",60,19.00,17.00,3.86,3.44,1.48,761.00,389.00,,
2021/11/16,146,OHL,58.67,520.0,520.0,503.0,520.0,511.87,"9,462.00",511.00,"4,843,288.70",52,9.00,17.00,1.76,3.38,1.56,761.00,389.00,,
2021/11/17,144,OHL,61.37,529.0,542.6,512.0,519.0,528.17,"9,813.00",520.00,"5,182,911.90",86,-1.00,30.60,-0.19,5.98,-1.77,761.00,389.00,,
2021/11/18,142,OHL,58.0,515.0,517.0,502.0,502.0,508.06,"8,457.00",519.00,"4,296,640.40",62,-17.0,15.0,-3.28,2.99,-1.21,761.00,389.00,,
2021/11/21,145,OHL,40.53,502.0,517.0,500.0,508.1,509.28,"3,595.00",502.00,"1,830,866.70",33,6.1,17.0,1.22,3.4,-0.23,761.00,389.00,,
2021/11/22,147,OHL,39.41,515.0,527.7,507.0,510.0,514.13,"5,241.00",508.10,"2,694,547.00",51,1.9,20.7,0.37,4.08,-0.81,761.00,389.00,,
2021/11/23,148,OHL,43.54,507.0,515.0,492.0,495.0,503.08,"10,653.00",510.00,"5,359,357.00",62,-15.0,23.0,-2.94,4.67,-1.63,761.00,389.00,,
2021/11/24,146,OHL,51.83,500.0,506.9,490.0,506.9,500.95,"4,576.00",495.00,"2,292,352.90",33,11.90,16.9,2.4,3.45,1.17,761.00,389.00,,
2021/11/25,149,OHL,59.2,500.0,537.5,500.0,523.5,512.99,"6,758.00",506.90,"3,466,804.40",52,16.6,37.5,3.27,7.5,2.01,761.00,389.00,,
2021/11/28,150,OHL,45.21,514.0,514.0,499.0,499.0,502.04,"8,116.00",523.50,"4,074,587.40",65,-24.5,15.0,-4.68,3.01,-0.61,761.00,389.00,,
2021/11/29,147,OHL,50.14,489.1,508.7,489.1,494.8,497.87,"5,520.00",499.00,"2,748,242.00",21,-4.2,19.6,-0.84,4.01,-0.62,761.00,389.00,,
2021/11/30,145,OHL,35.72,490.5,500.0,486.1,499.0,491.76,"3,783.00",494.80,"1,860,334.70",42,4.2,13.9,0.85,2.86,1.45,761.00,389.00,,
2021/12/01,142,OHL,34.6,500.0,500.0,490.0,491.0,493.50,"2,440.00",499.00,"1,204,139.00",29,-8.0,10.0,-1.6,2.04,-0.51,761.00,389.00,,
