Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/11/03,151,PCBLP,50.6,188.0,188.0,188.0,188.0,188.00,"83,322.00",188.00,"15,664,536.00",1,0.0,0.0,0.0,0.0,0.0,188.00,150.00
2021/11/22,150,PCBLP,38.34,188.0,188.0,188.0,188.0,188.00,"7,840.00",188.00,"1,473,920.00",2,0.0,0.0,0.0,0.0,0.0,188.00,154.00
2021/11/23,151,PCBLP,45.84,188.0,188.0,188.0,188.0,188.00,"90,000.00",188.00,"16,920,000.00",4,0.0,0.0,0.0,0.0,0.0,188.00,154.00
2021/11/24,150,PCBLP,44.2,188.0,188.0,188.0,188.0,188.00,"38,540.00",188.00,"7,245,520.00",1,0.00,0.0,0.0,0.0,0.0,188.00,154.00
2021/11/28,154,PCBLP,44.24,188.0,188.0,188.0,188.0,188.00,"75,606.00",188.00,"14,213,928.00",1,0.0,0.0,0.0,0.0,0.0,188.00,154.00
2021/11/30,147,PCBLP,44.47,188.0,188.0,188.0,188.0,210.69,"101,325.00",188.00,"21,347,840.00",10,0.0,0.0,0.0,0.0,-12.07,188.00,154.00
2021/12/06,148,PCBLP,45.8,188.0,195.0,188.0,195.0,194.38,"98,325.00",188.00,"19,112,600.00",6,7.0,7.00,3.72,3.72,0.32,195.00,154.00
2021/12/07,149,PCBLP,39.56,195.0,195.0,195.0,195.0,195.00,"5,000.00",195.00,"975,000.00",1,0.0,0.00,0.0,0.0,0.0,195.00,154.00
2021/12/28,151,PCBLP,43.9,209.0,209.0,209.0,209.0,209.00,"2,000.00",209.00,"418,000.00",1,0.0,0.0,0.0,0.0,0.0,209.00,154.00
2022/01/05,156,PCBLP,58.92,205.0,205.0,205.0,205.0,205.00,"350,000.00",209.00,"71,750,000.00",1,-4.0,0.0,-1.91,0.0,0.0,209.00,169.00
2022/01/12,150,PCBLP,55.45,205.0,205.0,205.0,205.0,205.00,"50,000.00",205.00,"10,250,000.00",1,0.0,0.00,0.0,0.0,0.0,209.00,169.00
2022/01/16,152,PCBLP,56.55,205.0,205.0,205.0,205.0,205.00,"3,816.00",205.00,"782,280.00",1,0.0,0.0,0.0,0.0,0.0,209.00,169.00
2022/02/27,146,PCBLP,34.3,205.0,205.0,205.0,205.0,205.00,"50,000.00",205.00,"10,250,000.00",1,0.0,0.00,0.0,0.0,0.0,209.00,169.00
2022/03/06,153,PCBLP,33.57,205.0,205.0,205.0,205.0,231.67,"6,000.00",205.00,"1,390,000.00",3,0.0,0.0,0.0,0.0,-13.01,209.00,169.00
2022/03/21,152,PCBLP,37.78,205.0,205.0,205.0,205.0,205.00,"14,629.00",205.00,"2,998,945.00",1,0.00,0.0,0.0,0.0,0.0,209.00,169.00
2022/04/05,150,PCBLP,31.78,191.0,202.0,190.05,202.0,190.76,"60,675.00",205.00,"11,574,344.55",5,-3.0,11.95,-1.46,6.29,5.56,209.00,169.00
2022/04/24,159,PCBLP,35.37,205.0,205.0,205.0,205.0,205.00,"135,000.00",202.00,"27,675,000.00",1,3.00,0.00,1.49,0.0,0.0,209.00,169.00
2022/05/04,153,PCBLP,31.11,205.0,205.0,205.0,205.0,205.00,"42,055.00",205.00,"8,621,275.00",1,0.0,0.0,0.0,0.0,0.0,209.00,169.00
2022/07/24,148,PCBLP,25.11,140.0,140.0,140.0,140.0,140.00,"4,500.00",140.00,"630,000.00",2,0.0,0.0,0.0,0.0,0.0,209.00,140.00
2022/08/14,151,PCBLP,31.52,140.0,142.8,140.0,142.8,141.78,"159,249.00",140.00,"22,578,357.20",3,2.8,2.8,2.0,2.0,0.71,209.00,140.00
2022/08/24,146,PCBLP,22.54,142.8,142.8,142.8,142.8,100.00,640.00,142.80,"64,000.00",2,0.0,0.0,0.0,0.0,29.97,209.00,140.00
