Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,209,PFL,34.6,399.0,408.0,399.0,406.25,407.00,-0.75,0.0,405.11,"10,942.00",398.83,"4,432,745.50",119,7.42,9.0,1.86,2.26,0.28,794.90,339.90,,
2025/08/26,212,PFL,30.83,411.9,411.9,401.1,403.57,404.80,-1.23,0.0,404.12,"3,887.00",406.25,"1,570,817.70",47,-2.68,10.8,-0.66,2.69,-0.14,794.90,339.90,,
2025/08/27,213,PFL,40.32,407.0,423.0,404.0,410.56,412.00,-1.44,0.0,409.90,"12,749.00",403.57,"5,225,793.90",134,6.99,19.0,1.73,4.7,0.16,794.90,339.90,,
2025/08/28,212,PFL,37.19,415.9,415.9,400.0,401.55,402.00,-0.45,0.0,404.96,"12,571.00",410.56,"5,090,788.30",128,-9.01,15.9,-2.19,3.98,-0.85,794.90,339.90,,
2025/08/31,212,PFL,36.93,407.0,407.0,400.1,402.53,403.00,-0.47,0.0,401.94,"8,436.00",401.55,"3,390,751.00",97,0.98,6.9,0.24,1.72,0.15,794.90,339.90,,
2025/09/01,215,PFL,31.29,406.0,406.0,400.0,402.05,403.00,-0.95,0.0,401.22,"4,656.00",402.53,"1,868,103.00",57,-0.48,6.0,-0.12,1.5,0.21,794.90,339.90,,
2025/09/02,216,PFL,35.54,408.0,408.0,398.0,398.38,399.00,-0.62,0.0,399.91,"12,430.00",402.05,"4,970,871.10",107,-3.67,10.0,-0.91,2.51,-0.38,794.90,339.90,,
2025/09/03,214,PFL,31.98,403.0,403.0,394.0,394.65,394.00,0.65,0.0,396.20,"10,406.00",398.38,"4,122,870.40",99,-3.73,9.0,-0.94,2.28,-0.39,794.90,339.90,,
2025/09/04,207,PFL,32.16,400.0,400.0,387.0,387.39,387.50,-0.11,0.0,390.47,"12,743.00",394.65,"4,975,722.00",132,-7.26,13.0,-1.84,3.36,-0.79,794.90,339.90,,
2025/09/07,219,PFL,29.32,393.0,393.8,386.1,391.45,393.00,-1.55,0.0,390.61,"8,971.00",387.39,"3,504,192.80",112,4.06,7.7,1.05,1.99,0.21,794.90,339.90,,
2025/09/08,210,PFL,32.41,397.0,397.0,390.0,393.0,393.40,-0.4,0.0,390.63,"11,908.00",391.45,"4,651,671.40",75,1.55,7.0,0.4,1.79,0.6,794.90,339.90,,
2025/09/18,158,PFL,23.97,388.0,388.0,384.0,385.0,385.00,0.0,0.0,385.04,560.00,393.00,"215,624.00",8,-8.0,4.0,-2.04,1.04,-0.01,794.90,339.90,,
2025/09/21,217,PFL,43.51,385.0,410.9,375.0,399.75,403.00,-3.25,-0.01,391.84,"26,605.00",385.00,"10,424,815.80",186,14.75,35.90,3.83,9.57,1.98,794.90,339.90,,
2025/09/23,215,PFL,41.88,400.0,410.0,397.0,405.0,405.00,0.0,0.0,405.19,"14,919.00",399.75,"6,045,095.80",106,5.25,13.0,1.31,3.27,-0.05,794.90,339.90,,
2025/09/24,204,PFL,36.9,406.0,409.0,398.6,400.0,400.00,0.0,0.0,403.33,"4,136.00",405.00,"1,668,175.40",64,-5.00,10.4,-1.23,2.61,-0.83,794.90,339.90,,
2025/09/25,214,PFL,34.94,400.0,408.0,395.1,395.1,395.10,0.0,0.0,402.00,"7,039.00",400.00,"2,829,656.30",62,-4.9,12.9,-1.23,3.26,-1.75,794.90,339.90,413.95,435.91
2025/07/30,216,PFL,29.12,448.0,448.0,430.5,431.48,431.00,0.48,0.0,435.21,"30,426.00",439.86,"13,241,719.60",246,-8.38,17.5,-1.91,4.07,-0.86,794.90,339.90,,
2025/07/31,209,PFL,31.8,431.48,448.6,426.0,431.89,430.00,1.89,0.0,434.98,"53,242.00",431.48,"23,159,231.20",405,0.41,22.6,0.1,5.31,-0.72,794.90,339.90,,
2025/08/03,211,PFL,28.53,438.0,440.5,427.0,428.44,428.00,0.44,0.0,431.09,"33,717.00",431.89,"14,535,011.10",248,-3.45,13.5,-0.8,3.16,-0.62,794.90,339.90,,
2025/08/04,213,PFL,26.42,435.0,435.0,421.0,424.95,427.00,-2.05,0.0,426.36,"20,014.00",428.44,"8,533,169.40",175,-3.49,14.0,-0.81,3.33,-0.33,794.90,339.90,,
2025/08/05,214,PFL,27.41,430.0,430.0,416.5,418.03,418.00,0.03,0.0,420.85,"14,180.00",424.95,"5,967,674.60",185,-6.92,13.5,-1.63,3.24,-0.67,794.90,339.90,,
2025/08/06,211,PFL,24.6,418.0,424.0,417.0,417.27,417.00,0.27,0.0,418.76,"13,365.00",418.03,"5,596,794.20",146,-0.76,7.00,-0.18,1.68,-0.36,794.90,339.90,,
2025/08/07,206,PFL,23.01,422.0,425.0,416.7,419.86,419.50,0.36,0.0,420.39,"15,099.00",417.27,"6,347,519.40",166,2.59,8.3,0.62,1.99,-0.13,794.90,339.90,,
2025/08/11,212,PFL,24.05,420.0,425.0,415.0,415.61,416.00,-0.39,0.0,418.27,"14,172.00",419.86,"5,927,739.70",142,-4.25,10.0,-1.01,2.41,-0.64,794.90,339.90,,
2025/08/12,212,PFL,22.78,410.0,420.0,410.0,412.22,413.00,-0.78,0.0,414.42,"14,307.00",415.61,"5,929,035.80",129,-3.39,10.0,-0.82,2.44,-0.53,794.90,339.90,,
2025/08/13,209,PFL,30.14,418.0,419.2,411.0,413.5,413.80,-0.3,0.0,415.38,"11,173.00",412.22,"4,641,005.10",112,1.28,8.2,0.31,2.0,-0.45,794.90,339.90,,
2025/08/14,208,PFL,21.86,417.0,417.0,410.1,411.14,411.00,0.14,0.0,411.76,"7,895.00",413.50,"3,250,857.00",92,-2.36,6.9,-0.57,1.68,-0.15,794.90,339.90,,
2025/08/17,206,PFL,32.23,417.0,417.0,405.0,407.28,408.00,-0.72,0.0,409.01,"17,457.00",411.14,"7,140,034.00",148,-3.86,12.0,-0.94,2.96,-0.42,794.90,339.90,,
2025/08/18,211,PFL,28.15,412.9,412.9,405.1,407.91,407.70,0.21,0.0,407.54,"6,063.00",407.28,"2,470,930.20",86,0.63,7.8,0.15,1.93,0.09,794.90,339.90,,
2025/08/19,205,PFL,31.24,413.7,413.7,407.0,408.05,407.10,0.95,0.0,410.23,"8,601.00",407.91,"3,528,415.50",97,0.14,6.7,0.03,1.65,-0.54,794.90,339.90,,
2025/08/20,211,PFL,31.56,408.0,411.0,401.0,403.98,404.00,-0.02,0.0,405.56,"14,776.00",408.05,"5,992,530.90",125,-4.07,10.0,-1.0,2.49,-0.39,794.90,339.90,,
2025/08/21,210,PFL,32.29,403.0,405.9,396.0,401.23,401.90,-0.67,0.0,400.62,"27,221.00",403.98,"10,905,333.60",159,-2.75,9.9,-0.68,2.5,0.15,794.90,339.90,,
2025/07/07,206,PFL,43.81,439.0,439.0,417.5,419.73,420.00,-0.27,0.0,424.35,"36,842.00",436.27,"15,634,055.30",342,-16.54,21.5,-3.79,5.15,-1.1,794.90,339.90,,
2025/07/08,199,PFL,48.48,419.0,432.0,417.5,422.97,423.00,-0.03,0.0,424.06,"23,805.00",419.73,"10,094,706.00",178,3.24,14.5,0.77,3.47,-0.26,794.90,339.90,,
2025/07/09,204,PFL,42.81,429.0,429.0,418.0,419.59,420.00,-0.41,0.0,421.38,"18,930.00",422.97,"7,976,699.10",153,-3.38,11.0,-0.8,2.63,-0.43,794.90,339.90,,
2025/07/10,205,PFL,29.9,425.8,427.8,418.0,419.22,421.40,-2.18,-0.01,421.18,"33,468.00",419.59,"14,096,067.10",201,-0.37,9.8,-0.09,2.34,-0.47,794.90,339.90,,
