Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,217,PRSF,35.37,11.16,11.42,11.16,11.18,11.18,0.0,0.0,11.17,"56,708.00",11.16,"633,476.69",19,0.02,0.26,0.18,2.33,0.08,12.05,9.12,,
2025/08/26,220,PRSF,36.41,11.19,11.38,11.18,11.19,11.19,0.0,0.0,11.20,"115,200.00",11.18,"1,290,255.00",24,0.01,0.2,0.09,1.79,-0.09,12.05,9.12,,
2025/08/27,221,PRSF,32.46,11.36,11.49,11.21,11.25,11.49,-0.24,-0.02,11.27,"101,035.00",11.19,"1,139,084.75",26,0.06,0.28,0.54,2.5,-0.21,12.05,9.12,,
2025/08/28,220,PRSF,42.14,11.47,11.65,11.21,11.29,11.30,-0.01,0.0,11.29,"813,300.00",11.25,"9,180,042.47",42,0.04,0.44,0.36,3.93,0.02,12.05,9.12,,
2025/08/31,220,PRSF,18.37,11.07,11.07,10.35,10.4,10.40,0.0,0.0,10.70,"70,030.00",11.29,"749,325.80",29,-0.89,0.72,-7.88,6.96,-2.89,12.05,9.12,,
2025/09/01,223,PRSF,18.08,10.5,10.5,10.2,10.49,10.49,0.0,0.0,10.28,"9,200.00",10.40,"94,554.00",12,0.09,0.3,0.87,2.94,2.02,12.05,9.12,,
2025/09/02,224,PRSF,19.61,10.68,10.68,10.27,10.39,10.39,0.0,0.0,10.36,"72,300.00",10.49,"749,059.00",16,-0.1,0.41,-0.95,3.99,0.28,12.05,9.12,,
2025/09/03,222,PRSF,20.82,10.2,10.51,10.2,10.51,10.51,0.0,0.0,10.38,"1,000.00",10.39,"10,383.00",6,0.12,0.31,1.15,3.04,1.21,12.05,9.12,,
2025/09/04,215,PRSF,25.48,10.32,10.7,10.17,10.39,10.26,0.13,0.01,10.66,"605,300.00",10.51,"6,454,761.00",18,-0.12,0.53,-1.14,5.21,-2.63,12.05,9.12,,
2025/09/07,227,PRSF,28.67,10.58,10.58,10.37,10.37,10.37,0.0,0.0,10.48,215.00,10.39,"2,253.70",2,-0.02,0.21,-0.19,2.03,-1.08,12.05,9.12,,
2025/09/08,218,PRSF,30.71,10.23,10.55,10.23,10.54,10.54,0.0,0.0,10.38,500.00,10.37,"5,192.00",5,0.17,0.32,1.64,3.13,1.48,12.05,9.12,,
2025/09/21,225,PRSF,31.92,10.7,10.7,10.7,10.7,10.70,0.0,0.0,10.70,100.00,10.54,"1,070.00",1,0.16,0.00,1.52,0.0,0.0,12.05,9.12,,
2025/09/23,223,PRSF,27.58,10.49,10.49,10.11,10.24,10.24,0.0,0.0,10.41,"127,600.00",10.70,"1,328,274.00",13,-0.46,0.38,-4.3,3.76,-1.66,12.05,9.12,,
2025/09/24,212,PRSF,27.94,10.43,10.43,10.15,10.18,10.18,0.0,0.0,10.24,"81,680.00",10.24,"836,801.20",27,-0.06,0.28,-0.59,2.76,-0.64,12.05,9.12,,
2025/09/25,222,PRSF,25.42,10.1,10.3,10.1,10.18,10.18,0.0,0.0,10.21,"143,800.00",10.18,"1,467,889.32",52,0.0,0.2,0.0,1.98,-0.27,12.05,9.12,10.92,10.65
2025/07/30,225,PRSF,35.83,11.95,12.05,11.7,11.75,11.75,0.0,0.0,11.84,"267,928.00",11.82,"3,172,702.60",20,-0.07,0.35,-0.59,2.99,-0.78,12.05,9.12,,
2025/07/31,217,PRSF,36.62,11.98,11.98,11.25,11.34,11.80,-0.46,-0.04,11.37,"1,446,030.00",11.75,"16,441,518.50",59,-0.41,0.73,-3.49,6.49,-0.27,12.05,9.12,,
2025/08/03,220,PRSF,35.66,11.56,11.75,11.36,11.42,11.36,0.06,0.01,11.42,"692,405.00",11.34,"7,910,496.40",75,0.08,0.39,0.71,3.43,-0.04,12.05,9.12,,
2025/08/04,221,PRSF,36.58,11.64,11.65,11.4,11.44,11.50,-0.06,-0.01,11.44,"1,340,700.00",11.42,"15,339,385.00",55,0.02,0.25,0.18,2.19,-0.01,12.05,9.12,,
2025/08/05,222,PRSF,31.82,11.66,11.66,11.44,11.44,11.44,0.0,0.0,11.48,"228,175.00",11.44,"2,619,414.00",26,0.0,0.22,0.0,1.92,-0.35,12.05,9.12,,
2025/08/06,219,PRSF,34.26,11.44,11.75,11.4,11.67,11.66,0.01,0.0,11.58,"929,051.00",11.44,"10,758,223.25",38,0.23,0.35,2.01,3.07,0.77,12.05,9.12,,
2025/08/07,215,PRSF,38.7,11.47,11.9,11.47,11.52,11.52,0.0,0.0,11.73,"31,130.00",11.67,"365,290.40",20,-0.15,0.43,-1.29,3.75,-1.86,12.05,9.12,,
2025/08/11,220,PRSF,33.22,11.52,11.75,11.3,11.46,11.46,0.0,0.0,11.46,"305,800.00",11.52,"3,505,609.00",29,-0.06,0.45,-0.52,3.98,-0.03,12.05,9.12,,
2025/08/12,220,PRSF,36.7,11.47,11.65,11.47,11.52,11.63,-0.11,-0.01,11.54,"553,965.00",11.46,"6,394,567.60",51,0.06,0.18,0.52,1.57,-0.2,12.05,9.12,,
2025/08/13,217,PRSF,22.79,11.4,11.72,11.4,11.58,11.55,0.03,0.0,11.65,"109,865.00",11.52,"1,279,735.65",26,0.06,0.32,0.52,2.81,-0.59,12.05,9.12,,
2025/08/14,216,PRSF,37.29,11.7,11.78,11.5,11.6,11.60,0.0,0.0,11.59,"394,700.00",11.58,"4,575,141.50",46,0.02,0.28,0.17,2.43,0.07,12.05,9.12,,
2025/08/17,214,PRSF,32.19,11.63,11.63,10.81,11.03,11.19,-0.16,-0.01,11.15,"726,105.00",11.60,"8,093,448.05",112,-0.57,0.82,-4.91,7.59,-1.06,12.05,9.12,,
2025/08/18,219,PRSF,26.95,11.25,11.25,11.04,11.1,11.10,0.0,0.0,11.16,"217,369.00",11.03,"2,425,885.21",21,0.07,0.21,0.63,1.9,-0.54,12.05,9.12,,
2025/08/19,214,PRSF,24.13,11.27,11.27,11.05,11.1,11.09,0.01,0.0,11.14,"209,400.00",11.10,"2,332,950.40",47,0.0,0.22,0.0,1.99,-0.37,12.05,9.12,,
2025/08/20,219,PRSF,19.72,11.29,11.29,11.12,11.25,11.25,0.0,0.0,11.13,"30,400.00",11.10,"338,461.00",11,0.15,0.17,1.35,1.53,1.03,12.05,9.12,,
2025/08/21,218,PRSF,29.06,11.47,11.48,11.15,11.15,11.15,0.0,0.0,11.37,"1,153,700.00",11.25,"13,113,997.00",43,-0.1,0.33,-0.89,2.96,-1.95,12.05,9.12,,
2025/07/07,214,PRSF,48.91,11.47,11.47,11.2,11.2,11.20,0.0,0.0,11.27,"722,140.00",11.25,"8,136,627.40",29,-0.05,0.27,-0.44,2.41,-0.6,11.87,8.78,,
2025/07/08,207,PRSF,45.92,11.21,11.26,11.15,11.15,11.16,-0.01,0.0,11.21,"280,900.00",11.20,"3,147,532.74",25,-0.05,0.11,-0.45,0.99,-0.49,11.87,8.78,,
2025/07/09,213,PRSF,45.08,11.16,11.23,11.15,11.15,11.15,0.0,0.0,11.17,"106,700.00",11.15,"1,191,626.60",22,0.0,0.08,0.0,0.72,-0.16,11.87,9.08,,
2025/07/10,214,PRSF,51.29,11.18,11.29,11.16,11.2,11.20,0.0,0.0,11.19,"555,964.00",11.15,"6,220,715.80",37,0.05,0.13,0.45,1.16,0.1,11.87,9.08,,
2025/07/13,211,PRSF,45.73,11.42,11.64,11.2,11.53,11.48,0.05,0.0,11.44,"226,611.00",11.20,"2,592,506.80",38,0.33,0.44,2.95,3.93,0.78,11.87,9.12,,
2025/07/14,223,PRSF,43.78,11.3,11.33,11.3,11.31,11.31,0.0,0.0,11.31,"181,790.00",11.53,"2,056,416.70",18,-0.22,0.03,-1.91,0.27,-0.02,11.87,9.12,,
2025/07/15,219,PRSF,47.62,11.53,11.75,11.32,11.42,11.42,0.0,0.0,11.32,"844,500.00",11.31,"9,562,240.40",43,0.11,0.43,0.97,3.8,0.85,11.87,9.12,,
2025/07/16,230,PRSF,50.74,11.52,11.55,11.2,11.47,11.55,-0.08,-0.01,11.37,"1,342,300.00",11.42,"15,263,043.80",70,0.05,0.35,0.44,3.13,0.86,11.87,9.12,,
2025/07/17,212,PRSF,45.65,11.69,11.74,11.25,11.74,11.74,0.0,0.0,11.67,"236,100.00",11.47,"2,755,313.00",35,0.27,0.49,2.35,4.36,0.6,11.87,9.12,,
2025/07/20,216,PRSF,33.05,11.97,11.97,11.51,11.53,11.51,0.02,0.0,11.68,"152,420.00",11.74,"1,780,851.40",27,-0.21,0.46,-1.79,4.0,-1.33,11.97,9.12,,
2025/07/21,211,PRSF,38.66,11.76,11.76,11.5,11.65,11.66,-0.01,0.0,11.62,"40,500.00",11.53,"470,722.00",20,0.12,0.26,1.04,2.26,0.23,11.97,9.12,,
2025/07/22,218,PRSF,38.68,11.65,11.88,11.53,11.8,11.84,-0.04,0.0,11.75,"25,700.00",11.65,"301,933.00",25,0.15,0.35,1.29,3.04,0.44,11.97,9.12,,
2025/07/23,217,PRSF,35.96,11.6,11.8,11.6,11.8,11.80,0.0,0.0,11.78,"40,861.00",11.80,"481,424.80",26,0.00,0.20,0.0,1.72,0.15,11.97,9.12,,
2025/07/24,226,PRSF,34.46,11.8,12.0,11.62,11.71,11.71,0.0,0.0,11.81,"102,900.00",11.80,"1,214,902.00",19,-0.09,0.38,-0.76,3.27,-0.83,12.00,9.12,,
2025/07/27,221,PRSF,38.4,11.6,11.88,11.6,11.78,11.78,0.0,0.0,11.79,"61,950.00",11.71,"730,555.00",27,0.07,0.28,0.6,2.41,-0.11,12.00,9.12,,
2025/07/28,218,PRSF,36.14,11.65,11.93,11.65,11.71,11.88,-0.17,-0.01,11.70,"123,400.00",11.78,"1,443,807.00",32,-0.07,0.28,-0.59,2.4,0.08,12.00,9.12,,
2025/06/12,212,PRSF,18.72,10.81,11.22,10.81,11.22,11.22,0.0,0.0,10.86,"1,900.00",11.00,"20,639.00",6,0.22,0.41,2.0,3.79,3.19,11.87,8.48,,
2025/06/15,214,PRSF,18.51,11.0,11.22,11.0,11.0,11.00,0.0,0.0,11.19,"5,500.00",11.22,"61,567.00",7,-0.22,0.22,-1.96,2.0,-1.76,11.87,8.48,,
2025/06/16,222,PRSF,24.76,11.0,11.06,10.85,11.06,11.06,0.0,0.0,11.05,"5,700.00",11.00,"62,961.00",8,0.06,0.21,0.55,1.94,0.13,11.87,8.48,,
2025/06/17,208,PRSF,34.51,11.06,11.24,11.06,11.2,11.20,0.0,0.0,11.23,"9,300.00",11.06,"104,416.00",15,0.14,0.18,1.27,1.63,-0.25,11.87,8.48,,
2025/06/18,215,PRSF,33.12,10.98,11.2,10.77,11.13,11.13,0.0,0.0,11.12,"8,600.00",11.20,"95,668.00",14,-0.07,0.43,-0.62,3.99,0.05,11.87,8.48,,
2025/06/19,217,PRSF,25.22,11.0,11.09,11.0,11.07,11.07,0.0,0.0,11.05,"32,700.00",11.13,"361,409.00",15,-0.06,0.09,-0.54,0.82,0.16,11.87,8.48,,
2025/06/22,214,PRSF,25.79,11.1,11.24,11.02,11.11,11.11,0.0,0.0,11.12,"1,600.00",11.07,"17,797.00",8,0.04,0.22,0.36,2.0,-0.12,11.87,8.48,,
2025/06/23,224,PRSF,26.42,11.11,11.11,11.0,11.1,11.10,0.0,0.0,11.10,"7,400.00",11.11,"82,139.00",10,-0.01,0.11,-0.09,1.0,0.0,11.87,8.48,,
2025/06/24,216,PRSF,25.85,10.88,11.2,10.88,10.97,10.97,0.0,0.0,11.04,"74,350.00",11.10,"820,610.00",22,-0.13,0.32,-1.17,2.94,-0.61,11.87,8.48,,
2025/06/25,213,PRSF,28.3,10.78,11.0,10.78,11.0,11.00,0.0,0.0,10.89,"91,100.00",10.97,"992,059.00",25,0.03,0.22,0.27,2.04,1.0,11.87,8.54,,
2025/06/26,222,PRSF,25.42,10.1,10.3,10.1,10.18,10.18,0.0,0.0,10.21,"143,800.00",10.18,"1,467,889.32",52,0.0,0.2,0.0,1.98,-0.27,12.05,9.12,10.92,10.65
