Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/10/28,154,PRVUPO,39.53,192.1,192.1,192.1,192.1,192.10,"50,235.00",196.00,"9,650,143.50",1,-3.9,0.0,-1.99,0.0,0.0,296.00,128.00
2021/11/02,163,PRVUPO,42.22,193.0,193.0,193.0,193.0,193.00,"32,096.00",192.10,"6,194,528.00",1,0.9,0.0,0.47,0.0,0.0,296.00,128.00
2021/11/21,159,PRVUPO,45.7,193.0,193.0,193.0,193.0,193.00,"106,226.00",193.00,"20,501,618.00",2,0.0,0.0,0.0,0.0,0.0,296.00,130.00
2021/11/24,161,PRVUPO,44.21,193.0,193.0,193.0,193.0,193.00,"45,401.00",193.00,"8,762,393.00",1,0.00,0.0,0.0,0.0,0.0,296.00,130.00
2021/11/29,160,PRVUPO,49.55,195.0,195.0,195.0,195.0,195.00,"13,847.00",193.00,"2,700,165.00",1,2.0,0.0,1.04,0.0,0.0,296.00,130.00
2021/12/12,160,PRVUPO,40.79,191.1,191.1,191.1,191.1,191.10,"262,001.00",195.00,"50,068,391.10",1,-3.90,0.00,-2.0,0.0,0.0,296.00,168.00
2021/12/16,156,PRVUPO,35.13,191.1,191.1,191.1,191.1,191.10,"6,968.00",191.10,"1,331,584.80",2,0.0,0.0,0.0,0.0,0.0,296.00,168.00
2022/05/19,153,PRVUPO,36.24,141.7,145.0,141.7,145.0,145.00,"884,000.00",139.00,"128,179,962.00",5,6.0,3.3,4.32,2.33,0.0,296.00,141.70
2022/05/27,153,PRVUPO,34.26,145.0,145.0,145.0,145.0,200.00,"880,375.00",145.00,"176,075,000.00",4,0.0,0.0,0.0,0.0,-37.93,296.00,141.70
2022/06/20,157,PRVUPO,31.08,145.0,145.0,145.0,145.0,145.00,"816,000.00",145.00,"118,320,000.00",3,0.0,0.00,0.0,0.0,0.0,296.00,141.70
2022/07/14,155,PRVUPO,30.49,145.0,145.0,145.0,145.0,145.00,"9,568.00",145.00,"1,387,360.00",1,0.0,0.00,0.0,0.0,0.0,296.00,141.70
2022/08/10,153,PRVUPO,43.06,145.0,145.0,145.0,145.0,145.00,"32,000.00",145.00,"4,640,000.00",2,0.0,0.00,0.0,0.0,0.0,296.00,141.70
2022/08/14,158,PRVUPO,39.25,145.0,145.0,145.0,145.0,145.00,"68,039.00",145.00,"9,865,655.00",2,0.0,0.0,0.0,0.0,0.0,296.00,141.70
2022/08/24,153,PRVUPO,36.63,145.0,145.0,145.0,145.0,193.75,"8,000.00",145.00,"1,550,000.00",4,0.0,0.0,0.0,0.0,-33.62,296.00,141.70
2022/09/18,162,PRVUPO,41.13,145.0,147.0,145.0,147.0,145.07,"1,350,000.00",145.00,"195,845,848.00",5,2.0,2.0,1.38,1.38,1.31,296.00,141.70
2022/09/22,160,PRVUPO,34.05,144.1,144.1,141.3,141.3,142.99,"23,993.00",147.00,"3,430,718.50",2,-5.7,2.80,-3.88,1.98,-1.19,296.00,141.30
2023/02/07,180,PRVUPO,39.48,105.0,105.0,105.0,105.0,105.00,"300,000.00",105.00,"31,500,000.00",1,0.0,0.0,0.0,0.0,0.0,147.00,105.00
2023/02/08,178,PRVUPO,44.45,105.0,105.0,105.0,105.0,105.00,"309,310.00",105.00,"32,477,550.00",1,0.0,0.0,0.0,0.0,0.0,147.00,105.00
