Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,228,RHPL,39.15,308.2,309.0,303.0,304.85,305.50,-0.65,0.0,305.07,"68,119.00",309.22,"20,781,250.30",333,-4.37,6.0,-1.41,1.98,-0.07,527.00,298.00,,
2025/08/26,231,RHPL,38.42,310.9,310.9,305.0,308.48,308.10,0.38,0.0,306.70,"26,629.00",304.85,"8,167,246.10",164,3.63,5.9,1.19,1.93,0.58,527.00,298.00,,
2025/08/27,232,RHPL,34.42,307.0,310.0,305.0,308.35,310.00,-1.65,-0.01,307.43,"49,325.00",308.48,"15,163,837.20",307,-0.13,5.0,-0.04,1.64,0.3,527.00,298.00,,
2025/08/28,231,RHPL,29.66,309.0,314.5,302.9,303.3,304.50,-1.2,0.0,304.94,"76,689.00",308.35,"23,385,838.70",365,-5.05,11.6,-1.64,3.83,-0.54,527.00,298.00,,
2025/08/31,231,RHPL,32.99,309.3,309.3,289.1,293.79,295.00,-1.21,0.0,296.78,"117,699.00",303.30,"34,930,892.70",588,-9.51,20.2,-3.14,6.99,-1.02,527.00,289.10,,
2025/09/01,234,RHPL,33.1,293.0,299.6,289.0,294.21,294.50,-0.29,0.0,294.89,"70,467.00",293.79,"20,779,745.60",274,0.42,10.6,0.14,3.67,-0.23,527.00,289.00,,
2025/09/02,235,RHPL,27.26,295.0,295.0,291.3,292.51,292.10,0.41,0.0,292.39,"25,041.00",294.21,"7,321,673.60",187,-1.7,3.7,-0.58,1.27,0.04,527.00,289.00,,
2025/09/03,234,RHPL,30.18,295.0,295.0,286.0,287.46,286.50,0.96,0.0,288.90,"43,562.00",292.51,"12,585,257.30",269,-5.05,9.0,-1.73,3.15,-0.5,527.00,286.00,,
2025/09/04,226,RHPL,29.81,289.0,312.0,281.0,288.04,284.00,4.04,0.01,284.15,"54,615.00",287.46,"15,519,097.60",313,0.58,31.0,0.2,11.03,1.35,527.00,281.00,,
2025/09/07,238,RHPL,29.52,288.0,313.8,286.0,287.04,286.00,1.04,0.0,290.16,"26,840.00",288.04,"7,787,848.90",216,-1.0,27.8,-0.35,9.72,-1.09,527.00,281.00,,
2025/09/08,229,RHPL,28.78,281.3,290.0,281.3,284.14,285.00,-0.86,0.0,284.03,"23,581.00",287.04,"6,697,805.70",164,-2.9,8.7,-1.01,3.09,0.04,527.00,281.00,,
2025/09/18,172,RHPL,23.44,278.5,278.5,278.5,278.5,278.50,0.0,0.0,278.50,110.00,284.14,"30,635.00",2,-5.64,0.0,-1.98,0.0,0.0,527.00,278.50,,
2025/09/21,237,RHPL,37.8,273.0,291.7,263.7,287.02,285.30,1.72,0.01,278.48,"75,381.00",278.50,"20,991,836.00",563,8.52,28.00,3.06,10.62,2.98,527.00,263.70,,
2025/09/23,235,RHPL,37.56,292.7,294.6,282.0,293.0,293.00,0.0,0.0,290.78,"33,433.00",287.02,"9,721,683.00",266,5.98,12.6,2.08,4.47,0.76,527.00,263.70,,
2025/09/24,224,RHPL,34.08,293.0,295.0,287.3,287.5,287.50,0.0,0.0,291.03,"20,820.00",293.00,"6,059,344.30",148,-5.50,7.7,-1.88,2.68,-1.23,527.00,263.70,,
2025/09/25,234,RHPL,32.99,287.0,295.9,282.2,288.0,288.00,0.0,0.0,289.60,"26,050.00",287.50,"7,544,095.30",148,0.5,13.7,0.17,4.85,-0.56,527.00,263.70,359.27,384.35
2025/07/30,236,RHPL,36.24,340.2,345.0,335.1,336.26,336.00,0.26,0.0,338.25,"79,591.00",344.33,"26,922,012.10",596,-8.07,9.9,-2.34,2.95,-0.59,527.00,319.00,,
2025/07/31,229,RHPL,37.5,333.0,369.0,331.1,338.23,337.50,0.73,0.0,335.89,"70,370.00",336.26,"23,636,270.80",462,1.97,37.9,0.59,11.45,0.69,527.00,319.00,,
2025/08/03,231,RHPL,34.35,338.0,342.0,335.0,336.77,336.50,0.27,0.0,339.06,"37,640.00",338.23,"12,762,344.50",372,-1.46,7.0,-0.43,2.09,-0.68,527.00,319.00,,
2025/08/04,232,RHPL,34.61,336.0,340.0,331.0,332.62,331.30,1.32,0.0,333.60,"45,035.00",336.77,"15,023,641.10",291,-4.15,9.0,-1.23,2.72,-0.29,527.00,319.00,,
2025/08/05,235,RHPL,34.74,326.0,337.6,326.0,329.59,328.60,0.99,0.0,330.81,"37,546.00",332.62,"12,420,690.80",305,-3.03,11.6,-0.91,3.56,-0.37,527.00,319.00,,
2025/08/06,230,RHPL,35.5,332.0,333.0,326.4,328.99,328.40,0.59,0.0,329.09,"38,047.00",329.59,"12,520,856.00",279,-0.60,6.60,-0.18,2.02,-0.03,527.00,319.00,,
2025/08/07,226,RHPL,35.27,325.3,331.0,319.7,326.1,326.50,-0.4,0.0,325.76,"105,565.00",328.99,"34,388,545.10",467,-2.89,11.3,-0.88,3.53,0.11,527.00,319.00,,
2025/08/11,231,RHPL,29.44,324.1,328.9,314.0,314.78,314.80,-0.02,0.0,318.06,"120,082.00",326.10,"38,192,828.60",656,-11.32,14.9,-3.47,4.75,-1.04,527.00,314.00,,
2025/08/12,232,RHPL,25.45,315.0,318.0,308.0,309.49,310.00,-0.51,0.0,310.29,"74,327.00",314.78,"23,062,568.40",448,-5.29,10.0,-1.68,3.25,-0.26,527.00,308.00,,
2025/08/13,229,RHPL,22.89,310.0,312.0,307.5,309.61,310.00,-0.39,0.0,309.26,"30,399.00",309.49,"9,401,197.40",252,0.12,4.5,0.04,1.46,0.11,527.00,307.50,,
2025/08/14,228,RHPL,24.59,309.0,310.7,304.2,306.61,307.00,-0.39,0.0,307.16,"43,209.00",309.61,"13,272,174.40",291,-3.0,6.5,-0.97,2.14,-0.18,527.00,304.20,,
2025/08/17,225,RHPL,28.88,308.0,309.5,300.5,300.95,301.60,-0.65,0.0,303.41,"54,635.00",306.61,"16,576,994.70",331,-5.66,9.0,-1.85,3.0,-0.82,527.00,300.50,,
2025/08/18,230,RHPL,31.51,306.9,306.9,298.0,303.63,302.60,1.03,0.0,301.48,"45,508.00",300.95,"13,719,789.90",251,2.68,8.9,0.89,2.99,0.71,527.00,298.00,,
2025/08/19,225,RHPL,31.76,302.9,309.0,302.9,305.09,306.00,-0.91,0.0,306.93,"27,556.00",303.63,"8,457,775.20",213,1.46,6.1,0.48,2.01,-0.6,527.00,298.00,,
2025/08/20,231,RHPL,42.52,308.0,321.3,300.0,312.48,313.00,-0.52,0.0,304.38,"289,894.00",305.09,"88,237,130.80",509,7.39,21.3,2.42,7.1,2.59,527.00,298.00,,
2025/08/21,229,RHPL,47.42,316.0,328.0,315.0,321.43,320.00,1.43,0.0,323.18,"242,616.00",312.48,"78,409,649.20","1,221",8.95,13.0,2.86,4.13,-0.55,527.00,298.00,,
2025/07/07,224,RHPL,39.82,369.1,375.0,365.6,369.41,369.10,0.31,0.0,369.50,"58,426.00",370.17,"21,588,168.10",243,-0.76,9.4,-0.21,2.57,-0.02,527.00,263.20,,
2025/07/08,217,RHPL,27.48,362.1,362.1,345.0,350.65,350.50,0.15,0.0,351.60,"338,492.00",369.41,"119,014,210.10","1,752",-18.76,17.1,-5.08,4.96,-0.27,527.00,263.20,,
2025/07/09,223,RHPL,28.16,343.7,354.0,342.0,346.87,348.00,-1.13,0.0,347.09,"112,633.00",350.65,"39,093,852.90",721,-3.78,12.0,-1.08,3.51,-0.06,527.00,263.20,,
2025/07/10,224,RHPL,29.44,344.0,348.0,333.0,335.14,335.00,0.14,0.0,338.07,"163,896.00",346.87,"55,407,887.40",946,-11.73,15.0,-3.38,4.5,-0.87,527.00,263.20,,
2025/07/13,222,RHPL,31.57,335.0,339.9,319.0,324.26,325.80,-1.54,0.0,326.04,"171,693.00",335.14,"55,979,580.40",936,-10.88,20.9,-3.25,6.55,-0.55,527.00,277.50,,
2025/07/14,233,RHPL,29.38,325.0,339.0,320.0,333.19,333.70,-0.51,0.0,329.88,"118,461.00",324.26,"39,077,425.50",591,8.93,19.00,2.75,5.94,0.99,527.00,277.50,,
2025/07/15,229,RHPL,31.89,331.0,338.0,330.0,336.7,336.00,0.7,0.0,333.71,"33,425.00",333.19,"11,154,238.50",248,3.51,8.00,1.05,2.42,0.89,527.00,284.00,,
2025/07/16,240,RHPL,36.64,337.4,339.6,333.0,336.35,335.30,1.05,0.0,336.08,"100,988.00",336.70,"33,940,252.00",393,-0.35,6.6,-0.1,1.98,0.08,527.00,296.00,,
2025/07/17,222,RHPL,47.89,339.9,367.0,335.0,349.88,349.80,0.08,0.0,343.21,"159,366.00",336.35,"54,696,263.70",728,13.53,32.00,4.02,9.55,1.91,527.00,303.00,,
2025/07/20,226,RHPL,50.16,342.9,369.1,342.9,352.57,352.00,0.57,0.0,357.13,"190,758.00",349.88,"68,125,661.40",861,2.69,26.2,0.77,7.64,-1.29,527.00,303.00,,
2025/07/21,221,RHPL,42.77,349.1,355.0,348.0,349.71,351.00,-1.29,0.0,350.31,"80,973.00",352.57,"28,365,461.20",405,-2.86,7.0,-0.81,2.01,-0.17,527.00,303.00,,
2025/07/22,228,RHPL,46.89,353.9,357.0,347.1,355.24,355.00,0.24,0.0,353.75,"108,005.00",349.71,"38,206,924.40",592,5.53,9.9,1.58,2.85,0.42,527.00,319.00,,
2025/07/23,227,RHPL,46.82,350.0,358.0,347.0,349.96,349.90,0.06,0.0,351.01,"77,387.00",355.24,"27,163,240.40",508,-5.28,11.00,-1.49,3.17,-0.3,527.00,319.00,,
2025/07/24,236,RHPL,47.98,346.2,358.0,346.2,349.21,350.00,-0.79,0.0,351.08,"180,795.00",349.96,"63,473,251.90",657,-0.75,11.8,-0.21,3.41,-0.54,527.00,319.00,,
2025/07/27,232,RHPL,43.94,351.0,353.4,345.0,346.88,346.00,0.88,0.0,349.16,"219,063.00",349.21,"76,488,149.20",752,-2.33,8.4,-0.67,2.43,-0.66,527.00,319.00,,
2025/07/28,228,RHPL,40.21,349.0,349.0,339.0,343.13,344.00,-0.87,0.0,343.39,"110,689.00",346.88,"38,010,020.60",556,-3.75,10.0,-1.08,2.95,-0.08,527.00,319.00,,
2025/06/12,223,RHPL,47.53,388.0,420.0,381.2,406.0,404.00,2.0,0.0,405.14,"284,392.00",383.04,"115,217,625.10","1,043",22.96,38.8,5.99,10.18,0.21,527.00,260.30,,
2025/06/15,224,RHPL,48.15,408.0,423.0,408.0,422.03,423.00,-0.97,0.0,418.46,"206,304.00",406.00,"86,329,975.00",898,16.03,15.0,3.95,3.68,0.85,527.00,260.30,,
2025/06/16,232,RHPL,48.28,422.1,433.0,407.0,408.62,408.00,0.62,0.0,423.66,"216,151.00",422.03,"91,573,759.30",829,-13.41,26.0,-3.18,6.39,-3.68,527.00,260.30,,
2025/06/17,219,RHPL,46.08,415.6,418.0,398.9,416.07,416.80,-0.73,0.0,408.99,"116,714.00",408.62,"47,734,451.60",465,7.45,19.1,1.82,4.79,1.7,527.00,260.30,,
2025/06/18,225,RHPL,49.4,420.0,457.0,409.0,447.2,423.00,24.2,0.06,426.16,"442,441.00",416.07,"188,548,503.40",843,31.13,48.0,7.48,11.74,4.71,527.00,260.30,,
2025/06/19,227,RHPL,33.87,438.3,438.3,402.5,402.5,402.50,0.0,0.0,410.33,"463,525.00",447.20,"190,196,313.30","1,259",-44.7,35.80,-10.0,8.89,-1.94,527.00,260.30,,
2025/06/22,224,RHPL,27.23,402.5,403.0,379.0,380.43,380.00,0.43,0.0,384.85,"162,185.00",402.50,"62,416,862.00",732,-22.07,24.00,-5.48,6.33,-1.16,527.00,260.30,,
2025/06/23,234,RHPL,26.78,387.8,387.8,377.0,380.31,380.10,0.21,0.0,380.54,"113,056.00",380.43,"43,022,588.40",362,-0.12,10.80,-0.03,2.86,-0.06,527.00,260.30,,
2025/06/24,227,RHPL,25.07,387.0,387.9,372.0,373.03,375.00,-1.97,-0.01,377.68,"85,103.00",380.31,"32,142,067.60",401,-7.28,15.90,-1.91,4.27,-1.25,527.00,260.30,,
2025/06/25,223,RHPL,23.91,380.4,384.0,372.8,377.12,377.20,-0.08,0.0,376.49,"34,131.00",373.03,"12,850,133.00",218,4.09,11.2,1.1,3.0,0.17,527.00,260.30,,
2025/06/26,234,RHPL,32.99,287.0,295.9,282.2,288.0,288.00,0.0,0.0,289.60,"26,050.00",287.50,"7,544,095.30",148,0.5,13.7,0.17,4.85,-0.56,527.00,263.70,359.27,384.35
2025/06/29,237,RHPL,22.49,370.0,376.0,363.0,369.45,372.00,-2.55,-0.01,369.53,"87,551.00",370.39,"32,353,056.30",390,-0.94,13.0,-0.25,3.58,-0.02,527.00,260.30,,
2025/06/30,228,RHPL,19.52,376.0,376.0,366.0,369.15,371.00,-1.85,0.0,370.27,"39,605.00",369.45,"14,664,346.50",248,-0.30,10.00,-0.08,2.73,-0.3,527.00,260.30,,
2025/07/01,222,RHPL,38.67,366.3,375.8,366.3,374.58,375.70,-1.12,0.0,372.66,"64,333.00",369.15,"23,974,220.60",310,5.43,9.5,1.47,2.59,0.51,527.00,260.30,,
2025/07/02,229,RHPL,36.25,379.9,380.0,374.0,378.96,379.90,-0.94,0.0,376.91,"36,158.00",374.58,"13,628,451.60",246,4.38,6.0,1.17,1.6,0.54,527.00,263.20,,
2025/07/03,225,RHPL,38.83,380.1,386.0,373.0,374.08,374.00,0.08,0.0,377.43,"61,086.00",378.96,"23,055,670.20",313,-4.88,13.0,-1.29,3.49,-0.9,527.00,263.20,,
2025/05/18,221,RHPL,25.07,389.0,390.0,380.0,380.54,380.00,0.54,0.0,382.09,"52,998.00",383.95,"20,250,129.30",182,-3.41,10.0,-0.89,2.63,-0.41,527.00,260.30,,
2025/05/19,236,RHPL,23.45,380.0,387.0,379.0,380.29,382.50,-2.21,-0.01,381.53,"36,806.00",380.54,"14,042,623.00",201,-0.25,8.00,-0.07,2.11,-0.33,527.00,260.30,,
2025/05/20,223,RHPL,23.6,379.0,393.0,377.0,391.12,393.00,-1.88,0.0,384.04,"40,751.00",380.29,"15,649,821.90",223,10.83,16.0,2.85,4.24,1.81,527.00,260.30,,
2025/05/21,234,RHPL,32.99,287.0,295.9,282.2,288.0,288.00,0.0,0.0,289.60,"26,050.00",287.50,"7,544,095.30",148,0.5,13.7,0.17,4.85,-0.56,527.00,263.70,359.27,384.35
2025/05/22,224,RHPL,33.18,385.8,389.8,379.0,380.59,379.20,1.39,0.0,382.46,"44,904.00",385.80,"17,174,101.20",210,-5.21,10.80,-1.35,2.85,-0.49,527.00,260.30,,
2025/05/25,225,RHPL,32.2,380.5,385.0,376.0,378.92,380.00,-1.08,0.0,379.50,"26,987.00",380.59,"10,241,596.60",175,-1.67,9.0,-0.44,2.39,-0.15,527.00,260.30,,
2025/05/26,246,RHPL,30.63,386.4,386.4,375.0,377.47,377.50,-0.03,0.0,379.47,"17,808.00",378.92,"6,757,589.60",166,-1.45,11.4,-0.38,3.04,-0.53,527.00,260.30,,
2025/05/27,229,RHPL,28.21,377.0,384.0,372.0,376.89,378.00,-1.11,0.0,378.83,"41,395.00",377.47,"15,681,464.90",169,-0.58,12.0,-0.15,3.23,-0.51,527.00,260.30,,
2025/05/28,231,RHPL,26.19,377.0,383.9,376.1,379.61,379.00,0.61,0.0,379.28,"27,455.00",376.89,"10,413,255.60",192,2.72,7.8,0.72,2.07,0.09,527.00,260.30,,
2025/06/02,224,RHPL,39.73,385.0,386.0,375.0,379.08,380.00,-0.92,0.0,379.22,"43,809.00",379.61,"16,613,419.00",249,-0.53,11.00,-0.14,2.93,-0.04,527.00,260.30,,
2025/06/03,227,RHPL,35.43,377.1,384.9,373.0,374.77,374.20,0.57,0.0,375.86,"30,414.00",379.08,"11,431,314.60",179,-4.31,11.9,-1.14,3.19,-0.29,527.00,260.30,,
2025/06/04,226,RHPL,32.13,371.1,376.8,370.0,372.9,374.00,-1.1,0.0,373.39,"28,464.00",374.77,"10,628,280.60",166,-1.87,6.8,-0.5,1.84,-0.13,527.00,260.30,,
2025/06/05,227,RHPL,33.18,369.1,378.0,369.1,370.63,370.90,-0.27,0.0,370.95,"54,208.00",372.90,"20,108,599.60",247,-2.27,8.9,-0.61,2.41,-0.09,527.00,260.30,,
2025/06/08,225,RHPL,46.52,368.1,392.0,368.1,389.77,389.00,0.77,0.0,382.02,"65,412.00",370.63,"24,988,500.20",391,19.14,23.9,5.16,6.49,1.99,527.00,260.30,,
2025/06/09,234,RHPL,42.55,390.0,390.0,378.0,382.34,382.00,0.34,0.0,382.75,"45,826.00",389.77,"17,540,045.60",222,-7.43,12.0,-1.91,3.17,-0.11,527.00,260.30,,
2025/06/10,224,RHPL,43.52,380.0,392.6,380.0,385.47,386.00,-0.53,0.0,388.00,"60,039.00",382.34,"23,295,164.60",241,3.13,12.6,0.82,3.32,-0.66,527.00,260.30,,
2024/08/12,244,RHPL,64.44,465.1,501.6,440.0,501.6,501.60,0.0,0.0,461.71,"525,781.00",456.00,"242,760,509.80","2,142",45.6,61.60,10.0,14.0,7.95,501.60,239.00,,
2024/09/09,238,RHPL,38.62,400.0,405.0,383.0,385.0,385.00,0.0,0.0,390.47,"72,190.00",399.00,"28,188,292.60",486,-14.00,22.0,-3.51,5.74,-1.42,521.00,239.00,,
2024/10/07,219,RHPL,-,394.9,403.5,386.1,386.1,386.10,0.0,0.0,393.98,"77,906.00",388.00,"30,693,021.90",333,-1.90,17.40,-0.49,4.51,-2.04,521.00,239.00,,
2024/11/10,232,RHPL,-,405.0,425.0,402.0,423.0,423.00,0.0,0.0,417.33,"221,593.00",403.00,"92,477,444.00",807,20.0,23.00,4.96,5.72,1.34,521.00,239.00,,
2024/12/04,228,RHPL,38.7,467.0,492.0,467.0,479.8,479.80,0.0,0.0,483.62,"370,559.00",468.00,"179,208,442.90","1,396",11.8,25.0,2.52,5.35,-0.8,521.00,241.60,,
2025/01/01,217,RHPL,35.99,425.0,435.7,425.0,433.9,433.90,0.0,0.0,430.50,"88,300.00",433.00,"38,013,502.00",303,0.9,10.7,0.21,2.52,0.78,527.00,260.30,,
2025/01/27,222,RHPL,26.43,450.0,450.5,441.1,442.0,442.00,0.0,0.0,443.86,"79,585.00",443.10,"35,324,327.10",333,-1.10,9.40,-0.25,2.13,-0.42,527.00,260.30,,
2025/02/24,222,RHPL,35.59,420.2,459.0,418.0,419.9,419.90,0.0,0.0,422.40,"67,409.00",419.60,"28,473,553.30",399,0.30,41.00,0.07,9.81,-0.6,527.00,260.30,,
2025/03/23,229,RHPL,29.77,396.0,397.0,385.0,385.37,385.00,0.37,0.0,389.35,"48,666.00",397.72,"18,948,076.60",292,-12.35,12.0,-3.11,3.12,-1.03,527.00,260.30,,
2025/04/20,235,RHPL,43.55,393.0,403.0,393.0,394.18,395.00,-0.82,0.0,395.97,"43,915.00",400.64,"17,388,997.70",206,-6.46,10.0,-1.61,2.54,-0.45,527.00,260.30,,
2025/05/15,230,RHPL,26.82,382.0,388.0,382.0,383.95,383.00,0.95,0.0,384.40,"62,088.00",384.48,"23,866,727.20",236,-0.53,6.0,-0.14,1.57,-0.12,527.00,260.30,,
2025/06/11,221,RHPL,44.11,380.0,388.0,380.0,383.04,382.50,0.54,0.0,382.01,"63,820.00",385.47,"24,380,108.60",245,-2.43,8.00,-0.63,2.11,0.27,527.00,260.30,,
2025/07/06,229,RHPL,40.62,375.0,375.0,369.2,370.17,370.00,0.17,0.0,371.15,"53,892.00",374.08,"20,002,267.40",377,-3.91,5.8,-1.05,1.57,-0.27,527.00,263.20,,
2025/07/29,232,RHPL,37.82,349.9,349.9,341.0,344.33,344.20,0.13,0.0,343.66,"98,376.00",343.13,"33,808,310.60",556,1.2,8.90,0.35,2.61,0.19,527.00,319.00,,
2025/08/24,234,RHPL,43.47,321.0,350.0,307.0,309.22,308.00,1.22,0.0,313.17,"118,203.00",321.43,"37,017,456.70",540,-12.21,43.0,-3.8,14.01,-1.28,527.00,298.00,,
2025/04/21,227,RHPL,47.31,388.2,409.0,388.2,403.12,402.00,1.12,0.0,404.61,"94,624.00",394.18,"38,285,569.40",402,8.94,20.8,2.27,5.36,-0.37,527.00,260.30,,
