Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2021/12/26,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/02/01,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/02/10,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/02/14,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/02/15,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/02/20,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/03/07,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/03/15,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/05/18,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/05/21,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/05/26,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/06/06,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/06/10,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/06/13,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/06/26,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/06/28,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/07/07,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/08/09,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/08/15,154,RIDI,41.87,694.5,694.5,637.8,637.8,640.87,"9,881.00",0.00,"6,332,414.30",70,637.8,56.7,0.0,8.89,-0.48,,,694.50,637.80
2022/08/16,161,RIDI,32.12,625.1,658.9,580.0,628.0,620.20,"658,249.00",637.80,"408,247,888.90","3,021",-9.80,78.90,-1.54,13.6,1.24,,,694.50,580.00
2022/08/17,159,RIDI,44.22,615.5,659.0,615.5,644.0,642.52,"286,860.00",628.00,"184,311,898.00","1,148",16.0,43.5,2.55,7.07,0.23,,,694.50,580.00
2022/08/18,158,RIDI,27.67,650.0,650.0,629.0,632.0,638.44,"163,459.00",644.00,"104,358,855.60",870,-12.0,21.0,-1.86,3.34,-1.02,,,694.50,580.00
2022/08/21,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/08/22,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/08/23,160,RIDI,26.13,600.0,625.0,600.0,615.0,617.58,"124,029.00",609.80,"76,597,740.40",616,5.2,25.0,0.85,4.17,-0.42,,,694.50,580.00
2022/08/24,160,RIDI,26.18,610.0,630.0,610.0,616.0,619.68,"91,124.00",615.00,"56,467,680.60",487,1.0,20.0,0.16,3.28,-0.6,,,694.50,580.00
2022/08/25,159,RIDI,36.17,616.0,622.0,596.0,600.0,605.25,"155,520.00",616.00,"94,128,992.00",751,-16.0,26.0,-2.6,4.36,-0.88,,,694.50,580.00
2022/08/26,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/08/28,163,RIDI,27.13,588.0,598.0,575.1,575.1,582.57,"102,012.00",591.00,"59,429,134.50",617,-15.9,22.9,-2.69,3.98,-1.3,,,694.50,575.10
2022/08/29,161,RIDI,24.65,563.6,584.0,563.6,578.8,577.39,"61,415.00",575.10,"35,460,656.90",342,3.7,20.4,0.64,3.62,0.24,,,694.50,563.60
2022/08/30,165,RIDI,28.0,567.3,589.5,567.3,575.0,580.83,"51,489.00",578.80,"29,906,610.60",305,-3.8,22.2,-0.66,3.91,-1.01,,,694.50,563.60
2022/08/31,161,RIDI,35.62,572.0,580.0,559.0,579.0,564.24,"113,471.00",575.00,"64,024,318.50",467,4.0,21.0,0.7,3.76,2.55,,,694.50,559.00
2022/09/01,160,RIDI,37.52,570.0,581.0,566.2,579.0,573.53,"72,644.00",579.00,"41,663,797.40",374,0.0,14.8,0.0,2.61,0.94,,,694.50,559.00
2022/09/02,157,RIDI,29.33,570.0,581.0,562.0,564.0,570.62,"39,637.00",579.00,"22,617,714.50",223,-15.0,19.0,-2.59,3.38,-1.17,,,694.50,559.00
2022/09/04,166,RIDI,43.41,574.9,597.9,568.0,588.0,583.37,"152,736.00",564.00,"89,100,864.90",617,24.0,29.9,4.26,5.26,0.79,,,694.50,559.00
2022/09/05,161,RIDI,44.4,591.1,614.0,591.1,607.0,605.64,"164,610.00",588.00,"99,694,721.60",954,19.0,22.9,3.23,3.87,0.22,,,694.50,559.00
2022/09/06,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/09/07,162,RIDI,36.45,595.6,595.6,573.0,573.5,576.90,"52,789.00",584.00,"30,454,236.50",375,-10.5,22.6,-1.8,3.94,-0.59,,,694.50,559.00
2022/09/08,164,RIDI,32.89,581.9,585.4,570.0,576.0,577.73,"76,993.00",573.50,"44,481,419.40",372,2.5,15.4,0.44,2.7,-0.3,,,694.50,559.00
2022/09/11,158,RIDI,22.33,587.5,587.5,563.0,566.0,570.13,"48,347.00",576.00,"27,564,129.00",327,-10.0,24.5,-1.74,4.35,-0.73,,,694.50,559.00
2022/09/12,160,RIDI,29.02,577.3,577.3,558.0,560.4,561.29,"49,812.00",566.00,"27,958,957.50",319,-5.6,19.3,-0.99,3.46,-0.16,,,694.50,558.00
2022/09/13,229,RIDI,62.95,232.8,247.8,230.0,238.0,240.54,"370,531.00",232.80,"89,126,709.40","1,310",5.20,17.80,2.23,7.74,-1.07,189.35,195.76,320.00,154.50
2022/09/14,165,RIDI,38.42,575.2,580.0,566.0,577.0,573.70,"64,873.00",564.00,"37,217,910.80",362,13.0,14.0,2.3,2.47,0.57,,,694.50,558.00
2022/09/15,166,RIDI,37.68,568.0,576.8,544.0,550.0,555.29,"209,781.00",577.00,"116,489,654.60",835,-27.0,32.8,-4.68,6.03,-0.96,,,694.50,544.00
2022/09/16,159,RIDI,33.59,539.0,540.1,522.2,537.0,532.38,"79,516.00",550.00,"42,332,677.00",432,-13.0,17.9,-2.36,3.43,0.86,,,694.50,522.20
2022/09/18,170,RIDI,26.71,531.0,541.0,515.0,516.0,523.80,"70,375.00",537.00,"36,862,359.90",462,-21.0,26.0,-3.91,5.05,-1.51,,,694.50,515.00
