Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,230,RLFL,31.75,465.0,471.3,465.0,470.11,468.50,1.61,0.0,468.82,"12,779.00",470.04,"5,990,999.50",111,0.07,6.3,0.01,1.35,0.28,775.00,453.00,,
2025/08/26,233,RLFL,28.37,475.0,475.0,468.0,471.47,470.50,0.97,0.0,470.65,"3,748.00",470.11,"1,764,006.60",35,1.36,7.0,0.29,1.5,0.17,764.90,453.00,,
2025/08/27,234,RLFL,40.56,480.8,489.0,472.0,485.2,485.10,0.1,0.0,481.62,"17,222.00",471.47,"8,294,429.90",117,13.73,17.0,2.91,3.6,0.74,764.90,453.00,,
2025/08/28,233,RLFL,37.43,491.8,491.8,472.0,472.56,472.00,0.56,0.0,478.79,"20,367.00",485.20,"9,751,488.40",142,-12.64,19.8,-2.61,4.19,-1.32,740.00,453.00,,
2025/08/31,233,RLFL,36.74,479.0,479.0,463.0,464.85,465.10,-0.25,0.0,465.41,"21,556.00",472.56,"10,032,450.60",143,-7.71,16.0,-1.63,3.46,-0.12,740.00,453.00,,
2025/09/01,236,RLFL,33.07,468.0,469.0,459.7,466.64,469.00,-2.36,-0.01,465.60,"7,055.00",464.85,"3,284,843.10",66,1.79,9.3,0.39,2.02,0.22,740.00,453.00,,
2025/09/02,237,RLFL,33.77,474.0,474.0,461.0,461.14,462.00,-0.86,0.0,462.19,"13,650.00",466.64,"6,308,889.90",85,-5.5,13.0,-1.18,2.82,-0.23,740.00,453.00,,
2025/09/03,236,RLFL,30.67,467.9,467.9,460.1,460.23,460.50,-0.27,0.0,461.49,"10,713.00",461.14,"4,943,966.50",70,-0.91,7.8,-0.2,1.7,-0.27,740.00,453.00,,
2025/09/04,228,RLFL,31.95,463.9,464.0,438.9,452.23,455.00,-2.77,-0.01,452.89,"14,794.00",460.23,"6,700,085.70",116,-8.0,25.1,-1.74,5.72,-0.15,740.00,438.90,,
2025/09/07,240,RLFL,31.95,452.5,467.0,449.8,450.32,454.00,-3.68,-0.01,452.35,"12,746.00",452.23,"5,765,627.10",107,-1.91,17.2,-0.42,3.82,-0.45,740.00,438.90,,
2025/09/08,231,RLFL,32.96,456.9,456.9,439.1,445.6,446.50,-0.9,0.0,443.92,"18,095.00",450.32,"8,032,654.70",120,-4.72,17.8,-1.05,4.05,0.38,740.00,438.90,,
2025/09/18,174,RLFL,25.65,445.0,445.0,434.0,434.0,434.00,0.0,0.0,436.55,295.00,445.60,"128,781.00",4,-11.6,11.0,-2.6,2.53,-0.59,740.00,434.00,,
2025/09/21,239,RLFL,43.31,425.4,455.0,420.0,452.41,455.00,-2.59,-0.01,442.12,"25,564.00",434.00,"11,302,322.90",194,18.41,35.00,4.24,8.33,2.27,740.00,420.00,,
2025/09/23,237,RLFL,41.97,453.0,465.0,450.3,457.0,457.00,0.0,0.0,458.36,"18,081.00",452.41,"8,287,574.80",119,4.59,14.7,1.01,3.26,-0.3,740.00,420.00,,
2025/09/24,226,RLFL,38.45,450.0,455.0,449.0,450.0,450.00,0.0,0.0,452.38,"9,385.00",457.00,"4,245,633.00",62,-7.00,6.0,-1.53,1.34,-0.53,740.00,420.00,,
2025/09/25,236,RLFL,34.41,445.2,452.0,445.2,448.0,448.00,0.0,0.0,450.35,"7,695.00",450.00,"3,465,437.10",40,-2.0,6.8,-0.44,1.53,-0.52,740.00,420.00,492.36,517.28
2025/07/30,238,RLFL,33.79,552.0,552.0,522.1,524.65,527.00,-2.35,0.0,531.53,"45,505.00",542.90,"24,187,356.80",322,-18.25,29.9,-3.36,5.73,-1.31,838.00,453.00,,
2025/07/31,231,RLFL,36.09,515.0,548.0,515.0,524.83,522.10,2.73,0.01,530.08,"53,086.00",524.65,"28,139,826.50",373,0.18,33.0,0.03,6.41,-1.0,838.00,453.00,,
2025/08/03,233,RLFL,31.81,525.0,535.0,513.5,515.11,515.00,0.11,0.0,520.29,"37,980.00",524.83,"19,760,704.30",295,-9.72,21.5,-1.85,4.19,-1.01,838.00,453.00,,
2025/08/04,234,RLFL,29.35,525.0,525.0,504.0,513.92,512.00,1.92,0.0,510.49,"34,070.00",515.11,"17,392,549.80",286,-1.19,21.0,-0.23,4.17,0.67,838.00,453.00,,
2025/08/05,237,RLFL,31.21,515.0,522.0,497.0,501.19,503.00,-1.81,0.0,506.77,"34,349.00",513.92,"17,406,934.20",249,-12.73,25.0,-2.48,5.03,-1.11,838.00,453.00,,
2025/08/06,232,RLFL,28.43,511.2,511.2,495.0,496.48,495.00,1.48,0.0,501.37,"33,685.00",501.19,"16,888,487.60",228,-4.71,16.20,-0.94,3.27,-0.98,838.00,453.00,,
2025/08/07,228,RLFL,23.0,506.4,516.5,492.0,503.71,503.00,0.71,0.0,505.35,"15,141.00",496.48,"7,651,495.30",139,7.23,24.5,1.46,4.98,-0.33,838.00,453.00,,
2025/08/11,233,RLFL,25.35,513.0,513.0,493.0,493.72,494.00,-0.28,0.0,497.97,"23,862.00",503.71,"11,882,508.10",177,-9.99,20.0,-1.98,4.06,-0.86,838.00,453.00,,
2025/08/12,234,RLFL,22.14,494.0,500.0,484.1,485.38,486.10,-0.72,0.0,488.98,"15,580.00",493.72,"7,618,333.80",128,-8.34,15.9,-1.69,3.28,-0.74,838.00,453.00,,
2025/08/13,231,RLFL,23.68,495.0,495.0,482.0,484.42,486.80,-2.38,0.0,487.42,"18,815.00",485.38,"9,170,897.90",168,-0.96,13.0,-0.2,2.7,-0.62,838.00,453.00,,
2025/08/14,230,RLFL,23.76,494.0,498.0,481.0,483.56,484.00,-0.44,0.0,483.72,"14,626.00",484.42,"7,074,910.10",106,-0.86,17.0,-0.18,3.53,-0.03,838.00,453.00,,
2025/08/17,227,RLFL,23.52,490.0,493.0,480.0,481.38,482.00,-0.62,0.0,483.63,"11,861.00",483.56,"5,736,283.20",90,-2.18,13.0,-0.45,2.71,-0.47,838.00,453.00,,
2025/08/18,232,RLFL,29.65,491.0,491.0,481.0,482.86,486.00,-3.14,-0.01,483.66,"17,337.00",481.38,"8,385,274.70",100,1.48,10.0,0.31,2.08,-0.17,838.00,453.00,,
2025/08/19,227,RLFL,32.67,492.1,492.1,481.0,482.0,483.00,-1.0,0.0,484.71,"15,404.00",482.86,"7,466,476.40",106,-0.86,11.1,-0.18,2.31,-0.56,838.00,453.00,,
2025/08/20,233,RLFL,31.22,480.0,485.0,479.0,479.75,479.00,0.75,0.0,481.05,"13,824.00",482.00,"6,649,992.10",87,-2.25,6.0,-0.47,1.25,-0.27,838.00,453.00,,
2025/08/21,231,RLFL,28.36,479.75,481.1,475.0,476.24,475.00,1.24,0.0,477.65,"9,522.00",479.75,"4,548,173.50",83,-3.51,6.1,-0.73,1.28,-0.3,838.00,453.00,,
2025/07/07,226,RLFL,48.76,500.0,505.1,485.1,487.07,490.00,-2.93,-0.01,492.15,"32,512.00",505.23,"16,000,879.10",223,-18.16,20.0,-3.59,4.12,-1.04,838.00,441.00,,
