Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/10/28,163,RMDC,64.16,1648.0,1705.4,1622.0,1688.7,"1,670.12","66,268.00","1,617.00","110,675,803.50",546,71.7,83.4,4.43,5.14,1.1,"1,800.00",856.00
2021/10/31,170,RMDC,63.2,1700.0,1709.0,1655.0,1688.0,"1,687.91","48,532.00","1,688.70","81,917,408.50",333,-0.70,54.00,-0.04,3.26,0.01,"1,800.00",856.00
2021/11/01,165,RMDC,66.69,1721.7,1791.2,1635.0,1730.0,"1,708.13","214,069.00","1,688.00","365,658,607.30","1,807",42.0,156.2,2.49,9.55,1.26,"1,800.00",856.00
2021/11/02,172,RMDC,62.7,1764.6,1799.0,1632.0,1683.9,"1,692.08","111,019.00","1,730.00","187,853,369.80","1,180",-46.1,167.0,-2.66,10.23,-0.49,"1,800.00",856.00
2021/11/03,170,RMDC,46.9,1717.0,1751.3,1635.0,1648.0,"1,658.12","32,292.00","1,683.90","53,544,092.60",358,-35.9,116.3,-2.13,7.11,-0.61,"1,800.00",856.00
2021/11/08,166,RMDC,49.35,1650.1,1660.0,1585.0,1600.0,"1,611.75","34,036.00","1,648.00","54,857,626.60",376,-48.0,75.0,-2.91,4.73,-0.73,"1,800.00",856.00
2021/11/09,164,RMDC,47.24,1632.0,1632.0,1515.0,1515.0,"1,543.43","45,243.00","1,600.00","69,829,184.40",524,-85.0,117.0,-5.31,7.72,-1.88,"1,800.00",856.00
2021/11/11,165,RMDC,43.82,1486.0,1525.0,1460.0,1476.0,"1,489.71","26,762.00","1,515.00","39,867,676.30",316,-39.0,65.0,-2.57,4.45,-0.93,"1,800.00",856.00
2021/11/15,167,RMDC,42.79,1505.0,1520.0,1461.0,1489.8,"1,481.33","28,688.00","1,480.00","42,496,498.30",250,9.80,59.00,0.66,4.04,0.57,"1,800.00",856.00
2021/11/16,167,RMDC,43.55,1499.0,1509.0,1471.2,1490.0,"1,493.41","38,138.00","1,489.80","56,955,582.20",266,0.20,37.80,0.01,2.57,-0.23,"1,800.00",856.00
2021/11/17,164,RMDC,58.7,1515.0,1565.0,1500.0,1516.0,"1,533.73","27,604.00","1,490.00","42,336,977.70",276,26.00,65.00,1.74,4.33,-1.17,"1,800.00",856.00
2021/11/18,162,RMDC,52.59,1516.0,1545.0,1500.0,1517.0,"1,517.62","18,214.00","1,516.00","27,641,971.00",228,1.0,45.0,0.07,3.0,-0.04,"1,800.00",856.00
2021/11/21,167,RMDC,42.74,1540.0,1544.0,1501.6,1507.0,"1,518.69","13,045.00","1,517.00","19,811,333.40",144,-10.0,42.4,-0.66,2.82,-0.78,"1,800.00",856.00
2021/11/22,169,RMDC,43.74,1535.0,1535.0,1485.0,1496.0,"1,500.75","18,093.00","1,507.00","27,153,124.60",197,-11.0,50.0,-0.73,3.37,-0.32,"1,800.00",856.00
2021/11/23,169,RMDC,38.22,1490.0,1509.0,1465.0,1468.2,"1,479.30","14,914.00","1,496.00","22,062,308.60",187,-27.8,44.0,-1.86,3.0,-0.76,"1,800.00",856.00
2021/11/24,169,RMDC,38.72,1453.0,1486.0,1453.0,1463.0,"1,463.55","10,701.00","1,468.20","15,661,487.60",139,-5.20,33.0,-0.35,2.27,-0.04,"1,800.00",856.00
2021/11/25,169,RMDC,42.5,1492.2,1492.2,1445.0,1449.0,"1,456.90","14,001.00","1,463.00","20,398,026.40",180,-14.0,47.2,-0.96,3.27,-0.55,"1,800.00",856.00
2021/11/28,173,RMDC,41.53,1445.0,1450.0,1410.0,1413.9,"1,422.80","16,363.00","1,449.00","23,281,343.80",170,-35.1,40.0,-2.42,2.84,-0.63,"1,800.00",856.00
2021/11/29,168,RMDC,44.82,1413.0,1440.0,1390.0,1399.0,"1,403.48","18,368.00","1,413.90","25,779,042.80",171,-14.9,50.0,-1.05,3.6,-0.32,"1,800.00",856.00
2021/11/30,166,RMDC,43.22,1423.9,1447.9,1390.0,1403.0,"1,407.29","10,677.00","1,399.00","15,025,679.40",148,4.0,57.9,0.29,4.17,-0.31,"1,800.00",871.00
2021/12/01,164,RMDC,48.06,1430.0,1458.0,1408.0,1424.0,"1,432.45","17,516.00","1,403.00","25,090,863.60",252,21.0,50.0,1.5,3.55,-0.59,"1,800.00",871.00
2021/12/02,168,RMDC,47.86,1440.0,1451.0,1388.2,1398.0,"1,405.68","18,037.00","1,424.00","25,354,206.90",223,-26.0,62.8,-1.83,4.52,-0.55,"1,800.00",882.00
2021/12/05,165,RMDC,42.4,1400.0,1400.0,1345.0,1354.0,"1,358.05","13,044.00","1,398.00","17,714,433.30",175,-44.0,55.0,-3.15,4.09,-0.3,"1,800.00",882.00
2021/12/06,166,RMDC,45.2,1335.0,1380.0,1315.0,1378.0,"1,339.02","12,862.00","1,354.00","17,222,471.60",188,24.0,65.00,1.77,4.94,2.83,"1,800.00",882.00
2021/12/07,167,RMDC,37.84,1390.0,1398.9,1340.0,1342.0,"1,364.44","5,427.00","1,378.00","7,404,794.30",109,-36.0,58.90,-2.61,4.4,-1.67,"1,800.00",882.00
2021/12/08,165,RMDC,36.24,1330.0,1356.0,1291.0,1299.0,"1,308.02","10,032.00","1,342.00","13,122,087.40",158,-43.0,65.00,-3.2,5.03,-0.69,"1,800.00",903.00
