Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2021/12/26,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/02/01,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/02/10,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/02/14,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/02/15,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/02/20,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/03/07,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/03/15,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/05/18,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/05/21,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/05/26,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/06/06,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/06/10,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/06/13,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/06/26,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/06/28,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
2022/07/07,233,RNLI,66.78,508.0,532.0,498.0,527.0,517.26,"181,734.00",506.00,"94,003,668.10","2,296",21.00,34.00,4.15,6.83,1.85,445.26,461.22,612.00,390.00
