Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,166,RSDC,60.2,866.0,890.0,861.0,890.0,876.42,"9,245.00",875.00,"8,102,475.00",101,15.0,29.0,1.71,3.37,1.53,"1,194.40",540.00,,
2021/10/31,173,RSDC,63.07,900.0,928.0,871.0,928.0,905.37,"10,669.00",890.00,"9,659,339.80",139,38.00,57.00,4.27,6.54,2.44,"1,194.40",545.00,,
2021/11/01,168,RSDC,59.87,928.0,940.0,888.0,899.5,910.80,"13,179.00",928.00,"12,003,438.90",184,-28.5,52.0,-3.07,5.86,-1.26,"1,194.40",545.00,,
2021/11/02,175,RSDC,59.82,917.4,917.4,877.0,890.0,891.73,"4,501.00",899.50,"4,013,665.00",72,-9.5,40.4,-1.06,4.61,-0.19,"1,194.40",560.00,,
2021/11/03,173,RSDC,55.09,886.0,924.0,885.0,899.8,891.58,"7,062.00",890.00,"6,296,323.50",89,9.8,39.0,1.1,4.41,0.91,"1,194.40",562.00,,
2021/11/08,168,RSDC,49.46,917.7,917.7,886.0,900.0,897.47,"6,226.00",899.80,"5,587,656.80",66,0.2,31.7,0.02,3.58,0.28,"1,194.40",562.00,,
2021/11/09,166,RSDC,50.8,918.0,918.0,850.0,880.0,869.26,"12,623.00",900.00,"10,972,636.10",171,-20.0,68.0,-2.22,8.0,1.22,"1,194.40",562.00,,
2021/11/11,167,RSDC,43.07,879.0,879.0,850.0,860.0,856.14,"4,852.00",880.00,"4,153,997.10",91,-20.0,29.0,-2.27,3.41,0.45,"1,194.40",562.00,,
2021/11/14,234,RSDC,67.88,773.2,790.0,773.0,788.1,783.39,"42,967.00",777.50,"33,660,115.70",366,10.60,17.00,1.36,2.2,0.6,813.50,482.00,629.20,599.79
2021/11/15,169,RSDC,49.19,885.0,885.0,841.0,872.0,859.60,"20,777.00",868.00,"17,859,873.70",250,4.00,44.00,0.46,5.23,1.42,"1,194.40",562.00,,
2021/11/16,169,RSDC,47.24,808.5,819.0,798.7,814.9,811.80,"13,492.00",792.73,"10,952,839.70",210,22.17,20.30,2.8,2.54,0.38,"1,194.40",562.00,,
2021/11/17,166,RSDC,44.77,831.1,831.1,806.0,820.0,818.37,"8,758.00",814.90,"7,167,272.20",106,5.10,25.10,0.63,3.11,0.2,"1,194.40",562.00,,
2021/11/18,164,RSDC,44.06,836.4,836.4,800.0,805.0,806.37,"6,545.00",820.00,"5,277,669.50",92,-15.0,36.4,-1.83,4.55,-0.17,"1,194.40",562.00,,
2021/11/21,169,RSDC,39.7,821.1,821.1,790.2,800.0,798.64,"4,798.00",805.00,"3,831,886.80",86,-5.0,30.9,-0.62,3.91,0.17,"1,194.40",562.00,,
2021/11/22,171,RSDC,43.34,801.0,815.0,791.0,796.0,797.84,"2,950.00",800.00,"2,353,637.00",59,-4.0,24.0,-0.5,3.03,-0.23,"1,194.40",562.00,,
2021/11/23,171,RSDC,38.31,799.9,799.9,780.0,786.0,785.51,"3,222.00",796.00,"2,530,900.00",64,-10.0,19.9,-1.26,2.55,0.06,"1,194.40",562.00,,
2021/11/24,171,RSDC,40.85,801.7,801.7,763.0,773.0,773.76,"3,955.00",786.00,"3,060,211.20",75,-13.00,38.7,-1.65,5.07,-0.1,"1,194.40",562.00,,
2021/11/25,171,RSDC,50.06,788.4,788.4,765.0,775.0,768.79,"6,506.00",773.00,"5,001,776.40",83,2.0,23.4,0.26,3.06,0.8,"1,194.40",562.00,,
2021/11/28,175,RSDC,45.76,790.0,805.0,745.0,754.0,753.54,"5,430.00",775.00,"4,091,742.40",108,-21.0,60.0,-2.71,8.05,0.06,"1,194.40",562.00,,
2021/11/29,170,RSDC,47.07,750.0,755.5,740.0,753.0,746.48,"6,122.00",754.00,"4,569,971.10",103,-1.0,15.5,-0.13,2.09,0.87,"1,194.40",562.00,,
2021/11/30,168,RSDC,46.47,768.0,768.0,731.0,759.0,741.20,"3,471.00",753.00,"2,572,706.50",67,6.0,37.0,0.8,5.06,2.35,"1,194.40",562.00,,
2021/12/01,166,RSDC,47.79,774.1,789.4,744.8,759.0,754.01,"4,233.00",759.00,"3,191,709.50",62,0.0,44.6,0.0,5.99,0.66,"1,194.40",562.00,,
2021/12/02,170,RSDC,47.84,771.0,771.0,728.0,737.0,738.27,"5,299.00",759.00,"3,912,079.00",82,-22.0,43.0,-2.9,5.91,-0.17,"1,194.40",562.00,,
2021/12/05,167,RSDC,43.92,751.7,751.7,694.0,695.0,702.96,"8,096.00",737.00,"5,691,190.40",145,-42.0,57.7,-5.7,8.31,-1.15,"1,194.40",562.00,,
2021/12/06,168,RSDC,45.01,708.9,723.0,658.0,720.0,686.91,"6,592.00",695.00,"4,528,078.70",101,25.0,65.00,3.6,9.88,4.6,"1,194.40",562.00,,
2021/12/07,169,RSDC,40.96,734.4,749.0,695.0,695.0,717.71,"4,842.00",720.00,"3,475,128.60",87,-25.0,54.00,-3.47,7.77,-3.27,"1,194.40",562.00,,
