Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2024/08/12,253,SAEF,58.77,12.16,12.2,11.9,11.9,11.90,0.0,0.0,12.08,"222,650.00",11.95,"2,689,425.60",41,-0.05,0.30,-0.42,2.52,-1.51,12.24,8.85
2024/09/09,247,SAEF,41.22,12.55,12.64,12.4,12.4,12.40,0.0,0.0,12.46,"49,100.00",12.65,"611,861.68",38,-0.25,0.24,-1.98,1.94,-0.5,13.01,8.85
2024/10/07,228,SAEF,-,11.2,11.2,11.0,11.0,11.00,0.0,0.0,11.00,"79,746.00",11.10,"877,329.20",4,-0.10,0.20,-0.9,1.82,-0.01,13.01,8.85
2024/11/10,241,SAEF,-,10.83,11.3,10.82,11.3,11.30,0.0,0.0,11.26,"107,202.00",11.04,"1,206,597.40",16,0.26,0.48,2.36,4.44,0.4,13.01,9.11
2024/12/04,237,SAEF,40.08,11.21,11.37,11.21,11.27,11.27,0.0,0.0,11.30,"231,858.00",11.26,"2,620,239.36",38,0.01,0.16,0.09,1.43,-0.28,13.01,9.11
2024/12/05,226,SAEF,43.59,11.39,11.39,11.24,11.24,11.24,0.0,0.0,11.29,"398,455.00",11.27,"4,497,318.85",25,-0.03,0.15,-0.27,1.33,-0.42,13.01,9.21
2024/12/08,239,SAEF,31.12,11.2,11.25,11.18,11.19,11.19,0.0,0.0,11.22,"148,915.00",11.24,"1,670,277.65",23,-0.05,0.07,-0.44,0.63,-0.24,13.01,9.30
2024/12/09,237,SAEF,30.94,11.17,11.2,11.17,11.18,11.18,0.0,0.0,11.18,"76,810.00",11.19,"858,697.70",19,-0.01,0.03,-0.09,0.27,0.0,13.01,9.30
2024/12/10,221,SAEF,33.24,11.25,11.25,11.18,11.23,11.23,0.0,0.0,11.23,"20,064.00",11.18,"225,287.02",9,0.05,0.07,0.45,0.63,0.01,13.01,9.30
2024/12/11,228,SAEF,26.8,11.17,11.23,11.17,11.21,11.21,0.0,0.0,11.21,"21,500.00",11.23,"241,076.00",10,-0.02,0.06,-0.18,0.54,-0.03,13.01,9.30
2024/12/12,224,SAEF,42.53,11.2,11.32,11.2,11.32,11.32,0.0,0.0,11.21,"64,160.00",11.21,"719,088.95",15,0.11,0.12,0.98,1.07,0.99,13.01,9.37
2024/12/16,221,SAEF,33.76,11.32,11.32,11.11,11.2,11.20,0.0,0.0,11.16,"32,050.00",11.32,"357,831.00",10,-0.12,0.21,-1.06,1.89,0.31,13.01,9.37
2024/12/17,236,SAEF,39.39,11.4,11.4,11.12,11.24,11.24,0.0,0.0,11.22,"90,309.00",11.20,"1,013,320.72",16,0.04,0.28,0.36,2.52,0.17,13.01,9.37
2024/12/18,235,SAEF,46.22,11.3,11.32,11.26,11.32,11.32,0.0,0.0,11.32,"116,400.00",11.24,"1,317,177.00",24,0.08,0.06,0.71,0.53,0.04,13.01,9.45
2024/12/19,230,SAEF,22.11,11.2,11.33,11.2,11.2,11.20,0.0,0.0,11.22,"21,635.00",11.32,"242,746.50",12,-0.12,0.13,-1.06,1.16,-0.18,13.01,9.45
2024/12/22,236,SAEF,27.2,11.07,11.31,11.07,11.25,11.25,0.0,0.0,11.23,"81,230.00",11.20,"912,238.00",29,0.05,0.24,0.45,2.17,0.18,13.01,9.52
2024/11/11,224,SAEF,-,11.1,11.44,11.1,11.24,11.24,0.0,0.0,11.19,"78,124.00",11.30,"874,472.99",36,-0.06,0.34,-0.53,3.06,0.41,13.01,9.11
2024/11/12,228,SAEF,-,11.44,11.44,11.25,11.3,11.30,0.0,0.0,11.41,"1,292.00",11.24,"14,747.48",3,0.06,0.19,0.53,1.69,-1.01,13.01,9.11
2024/11/13,228,SAEF,43.97,11.42,11.42,10.97,11.18,11.18,0.0,0.0,11.10,"30,430.00",11.30,"337,842.40",21,-0.12,0.45,-1.06,4.1,0.7,13.01,9.11
2024/11/14,236,SAEF,44.09,11.4,11.74,11.0,11.15,11.15,0.0,0.0,11.15,"28,295.00",11.18,"315,507.30",14,-0.03,0.74,-0.27,6.73,-0.01,13.01,9.11
2024/11/17,244,SAEF,44.06,11.17,11.35,11.17,11.22,11.22,0.0,0.0,11.22,"138,455.00",11.15,"1,553,270.10",27,0.07,0.18,0.63,1.61,0.01,13.01,9.11
2024/11/19,230,SAEF,35.98,11.35,11.47,11.1,11.23,11.23,0.0,0.0,11.32,"475,261.00",11.22,"5,381,944.55",30,0.01,0.37,0.09,3.33,-0.84,13.01,9.11
2024/11/20,242,SAEF,49.54,11.2,11.25,11.2,11.21,11.21,0.0,0.0,11.21,"155,560.00",11.23,"1,743,970.50",22,-0.02,0.05,-0.18,0.45,-0.01,13.01,9.11
2024/11/21,232,SAEF,39.29,11.1,11.3,11.1,11.24,11.24,0.0,0.0,11.23,"48,220.00",11.21,"541,546.71",27,0.03,0.2,0.27,1.8,0.08,13.01,9.11
2024/11/24,238,SAEF,34.52,11.39,11.39,11.11,11.15,11.15,0.0,0.0,11.19,"60,680.00",11.24,"679,128.20",22,-0.09,0.28,-0.8,2.52,-0.38,13.01,9.11
2024/11/25,228,SAEF,36.02,11.36,11.36,11.0,11.05,11.05,0.0,0.0,11.10,"242,292.00",11.15,"2,690,333.10",52,-0.1,0.36,-0.9,3.27,-0.49,13.01,9.11
2024/11/26,230,SAEF,28.96,11.27,11.27,11.1,11.15,11.15,0.0,0.0,11.18,"10,620.00",11.05,"118,749.50",10,0.1,0.17,0.9,1.53,-0.28,13.01,9.11
2024/11/27,234,SAEF,31.48,11.25,11.3,11.15,11.26,11.26,0.0,0.0,11.21,"10,400.00",11.15,"116,620.00",9,0.11,0.15,0.99,1.35,0.41,13.01,9.11
2024/11/28,228,SAEF,30.32,11.18,11.21,11.15,11.15,11.15,0.0,0.0,11.17,"108,797.00",11.26,"1,215,750.95",16,-0.11,0.06,-0.98,0.54,-0.22,13.01,9.11
2024/12/01,232,SAEF,34.63,11.15,11.25,11.11,11.25,11.25,0.0,0.0,11.20,"46,400.00",11.15,"519,552.00",12,0.1,0.14,0.9,1.26,0.47,13.01,9.11
2024/12/02,232,SAEF,39.36,11.39,11.39,11.17,11.21,11.21,0.0,0.0,11.22,"49,870.00",11.25,"559,479.50",21,-0.04,0.22,-0.36,1.97,-0.08,13.01,9.11
2024/12/03,227,SAEF,40.48,11.21,11.3,11.15,11.26,11.26,0.0,0.0,11.29,"90,832.00",11.21,"1,025,188.65",25,0.05,0.15,0.45,1.35,-0.24,13.01,9.11
2024/10/09,217,SAEF,-,10.8,11.22,10.75,11.22,11.22,0.0,0.0,10.80,"12,400.00",10.79,"133,893.00",7,0.43,0.47,3.99,4.37,3.76,13.01,8.85
2024/10/15,224,SAEF,-,11.0,11.32,11.0,11.32,11.32,0.0,0.0,11.30,"2,500.00",11.22,"28,248.00",3,0.10,0.32,0.89,2.91,0.18,13.01,8.91
2024/10/16,238,SAEF,-,11.29,11.3,11.0,11.0,11.00,0.0,0.0,11.10,"26,000.00",11.32,"288,577.00",9,-0.32,0.30,-2.83,2.73,-0.9,13.01,8.91
