Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/11/08,174,SAND2085,52.91,1021.0,1021.0,1005.1,1005.1,"1,013.05",50.00,"1,020.00","50,652.50",2,-14.9,15.9,-1.46,1.58,-0.79,"1,111.00","1,000.00"
2021/11/09,172,SAND2085,53.76,1005.0,1006.0,1000.1,1006.0,"1,005.14",200.00,"1,005.10","201,027.50",3,0.9,5.9,0.09,0.59,0.09,"1,111.00","1,000.00"
2021/11/11,173,SAND2085,53.09,1006.0,1006.0,1006.0,1006.0,"1,006.00",25.00,"1,006.00","25,150.00",1,0.0,0.0,0.0,0.0,0.0,"1,111.00","1,000.00"
2021/11/15,175,SAND2085,49.25,1001.0,1001.0,1001.0,1001.0,"1,001.00",25.00,"1,005.00","25,025.00",1,-4.00,0.00,-0.4,0.0,0.0,"1,111.00","1,000.00"
2021/11/16,175,SAND2085,47.73,999.6,999.6,999.6,999.6,999.60,25.00,"1,001.00","24,990.00",1,-1.40,0.00,-0.14,0.0,0.0,"1,111.00",999.60
2021/11/17,172,SAND2085,60.24,1019.5,1019.5,1019.5,1019.5,"1,019.50",175.00,999.60,"178,412.50",1,19.90,0.00,1.99,0.0,0.0,"1,111.00",999.60
2021/11/25,177,SAND2085,54.37,1019.5,1019.5,1019.5,1019.5,"1,019.50",25.00,"1,019.50","25,487.50",1,0.0,0.0,0.0,0.0,0.0,"1,111.00",999.60
2021/12/07,175,SAND2085,53.85,1019.5,1019.5,1019.5,1019.5,"1,019.50",200.00,"1,019.50","203,900.00",5,0.0,0.00,0.0,0.0,0.0,"1,111.00",999.60
2021/12/08,173,SAND2085,49.82,1019.0,1019.0,1019.0,1019.0,"1,019.00",100.00,"1,019.50","101,900.00",1,-0.5,0.00,-0.05,0.0,0.0,"1,111.00",999.60
2021/12/20,175,SAND2085,36.93,1019.0,1019.0,1019.0,1019.0,"1,019.00",25.00,"1,019.00","25,475.00",1,0.0,0.0,0.0,0.0,0.0,"1,111.00",999.60
2021/12/23,175,SAND2085,46.82,1019.0,1019.0,1019.0,1019.0,"1,019.00",75.00,"1,019.00","76,425.00",3,0.0,0.0,0.0,0.0,0.0,"1,111.00",999.60
2021/12/27,182,SAND2085,51.77,1020.0,1020.0,1019.0,1019.0,"1,019.20",250.00,"1,019.00","254,800.00",5,0.0,1.00,0.0,0.1,-0.02,"1,111.00",999.60
2022/01/05,182,SAND2085,39.6,1005.0,1005.0,1005.0,1005.0,"1,005.00",25.00,"1,019.00","25,125.00",1,-14.0,0.0,-1.37,0.0,0.0,"1,111.00",999.60
2022/01/12,176,SAND2085,60.52,1025.1,1025.1,1025.1,1025.1,"1,025.10",50.00,"1,005.00","51,255.00",1,20.1,0.00,2.0,0.0,0.0,"1,111.00",999.60
2022/04/25,184,SAND2085,34.16,1004.6,1004.6,1004.6,1004.6,"1,004.60",150.00,"1,025.10","150,690.00",2,-20.5,0.0,-2.0,0.0,0.0,"1,111.00",999.60
2022/04/27,176,SAND2085,27.93,985.0,985.0,985.0,985.0,985.00,50.00,"1,004.60","49,250.00",2,-19.6,0.0,-1.95,0.0,0.0,"1,111.00",985.00
2022/05/08,180,SAND2085,31.39,985.0,985.0,985.0,985.0,985.00,75.00,985.00,"73,875.00",3,0.0,0.0,0.0,0.0,0.0,"1,111.00",985.00
2022/05/25,173,SAND2085,25.5,965.3,965.3,965.3,965.3,965.30,25.00,985.00,"24,132.50",1,-19.7,0.0,-2.0,0.0,0.0,"1,111.00",965.30
2022/05/27,170,SAND2085,24.26,946.0,946.0,946.0,946.0,946.00,25.00,965.30,"23,650.00",1,-19.3,0.0,-2.0,0.0,0.0,"1,111.00",946.00
2022/06/01,173,SAND2085,24.58,930.1,930.1,930.1,930.1,930.10,25.00,946.00,"23,252.50",1,-15.9,0.0,-1.68,0.0,0.0,"1,111.00",930.10
2022/06/07,180,SAND2085,30.89,950.0,950.0,950.0,950.0,950.00,25.00,948.70,"23,750.00",1,1.3,0.0,0.14,0.0,0.0,"1,111.00",930.10
2022/06/19,170,SAND2085,43.22,945.0,950.0,945.0,950.0,948.33,75.00,950.00,"71,125.00",3,0.0,5.00,0.0,0.53,0.18,"1,111.00",930.10
2022/07/11,173,SAND2085,35.46,932.0,932.0,932.0,932.0,932.00,30.00,931.00,"27,960.00",1,1.0,0.0,0.11,0.0,0.0,"1,111.00",930.10
2022/07/15,178,SAND2085,50.49,950.6,1025.0,950.6,1025.0,"1,003.27",110.00,932.00,"110,360.00",6,93.0,74.4,9.98,7.83,2.12,"1,088.80",930.10
2022/07/27,172,SAND2085,49.25,1004.5,1004.5,1004.5,1004.5,"1,004.50",25.00,"1,025.00","25,112.50",1,-20.5,0.0,-2.0,0.0,0.0,"1,070.00",930.10
2023/03/22,202,SAND2085,48.67,984.5,984.5,984.5,984.5,984.50,155.00,"1,004.50","152,597.50",2,-20.0,0.0,-1.99,0.0,0.0,"1,025.00",930.10
