Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,243,SANVI,32.02,705.0,710.0,690.1,704.65,709.90,-5.25,-0.01,702.13,"15,757.00",700.60,"11,063,441.00",722,4.05,19.9,0.58,2.88,0.36,930.40,359.00,,
2025/08/26,247,SANVI,28.83,705.0,726.2,696.0,711.06,710.40,0.66,0.0,715.06,"21,854.00",704.65,"15,626,912.00",676,6.41,30.2,0.91,4.34,-0.56,930.40,359.00,,
2025/08/27,247,SANVI,22.91,725.1,725.1,701.0,711.02,712.00,-0.98,0.0,711.35,"18,576.00",711.06,"13,214,000.50",786,-0.04,24.1,-0.01,3.44,-0.05,930.40,359.00,,
2025/08/28,246,SANVI,22.97,710.0,720.0,695.1,696.08,696.00,0.08,0.0,702.64,"27,352.00",711.02,"19,218,534.20",735,-14.94,24.9,-2.1,3.58,-0.94,930.40,359.00,,
2025/08/31,246,SANVI,32.39,700.0,700.0,678.1,680.78,680.30,0.48,0.0,682.95,"23,562.00",696.08,"16,091,696.40",902,-15.3,21.9,-2.2,3.23,-0.32,930.40,359.00,,
2025/09/01,249,SANVI,27.25,670.0,680.0,670.0,674.65,675.00,-0.35,0.0,673.34,"18,680.00",680.78,"12,578,017.80",788,-6.13,10.0,-0.9,1.49,0.19,930.40,359.00,,
2025/09/02,250,SANVI,29.64,669.0,673.0,661.0,663.41,664.00,-0.59,0.0,667.06,"15,907.00",674.65,"10,610,937.00",688,-11.24,12.0,-1.67,1.82,-0.55,930.40,359.00,,
2025/09/03,251,SANVI,31.96,670.0,675.0,650.0,650.32,651.50,-1.18,0.0,654.32,"24,222.00",663.41,"15,848,943.00",637,-13.09,25.0,-1.97,3.85,-0.62,930.40,359.00,,
2025/09/04,241,SANVI,29.87,645.0,645.0,630.0,634.25,637.00,-2.75,0.0,634.14,"28,262.00",650.32,"17,922,049.40",740,-16.07,15.0,-2.47,2.38,0.02,930.40,359.00,,
2025/09/07,255,SANVI,27.89,637.0,652.0,618.4,619.93,620.00,-0.07,0.0,625.75,"20,187.00",634.25,"12,631,988.30",668,-14.32,33.6,-2.26,5.43,-0.94,930.40,359.00,,
2025/09/08,244,SANVI,28.7,620.0,620.0,595.3,599.19,599.00,0.19,0.0,604.82,"23,406.00",619.93,"14,156,469.20",615,-20.74,24.7,-3.35,4.15,-0.94,930.40,359.00,,
2025/09/18,182,SANVI,22.1,590.0,590.0,544.0,544.0,544.00,0.0,0.0,576.62,"2,090.00",599.19,"1,205,145.00",32,-55.19,46.0,-9.21,8.46,-6.0,930.40,359.00,,
2025/09/21,253,SANVI,36.49,545.0,593.0,536.0,588.71,590.00,-1.29,0.0,575.67,"33,380.00",544.00,"19,215,782.60",819,44.71,57.00,8.22,10.63,2.22,930.40,359.00,,
2025/09/23,250,SANVI,37.93,600.0,627.0,590.0,615.7,615.70,0.0,0.0,617.15,"20,026.00",588.71,"12,359,080.20",551,26.99,37.0,4.58,6.27,-0.24,930.40,359.00,,
2025/09/24,240,SANVI,35.25,617.0,618.0,605.1,609.9,609.90,0.0,0.0,611.06,"12,338.00",615.70,"7,539,306.50",402,-5.80,12.9,-0.94,2.13,-0.19,930.40,359.00,,
2025/09/25,249,SANVI,33.95,609.0,618.0,600.0,613.0,613.00,0.0,0.0,607.32,"12,111.00",609.90,"7,355,201.40",398,3.1,18.0,0.51,3.0,0.93,930.40,359.00,0.00,0.00
2025/07/30,251,SANVI,38.22,784.3,845.9,784.3,845.9,845.90,0.0,0.0,844.51,"4,200.00",769.00,"3,546,923.50",421,76.9,61.6,10.0,7.85,0.16,845.90,359.00,,
2025/07/31,244,SANVI,38.47,862.8,930.4,845.9,891.5,891.10,0.4,0.0,892.34,"279,583.00",845.90,"249,481,931.40","27,487",45.6,84.5,5.39,9.99,-0.09,930.40,359.00,,
2025/08/03,246,SANVI,37.13,900.0,900.0,802.4,802.4,802.40,0.0,0.0,820.99,"216,419.00",891.50,"177,676,816.90","21,171",-89.1,97.6,-9.99,12.16,-2.32,930.40,359.00,,
2025/08/04,247,SANVI,35.73,787.0,830.0,729.0,778.73,781.00,-2.27,0.0,757.21,"185,618.00",802.40,"140,552,114.60","15,636",-23.67,101.0,-2.95,13.85,2.76,930.40,359.00,,
2025/08/05,250,SANVI,32.03,770.0,800.0,753.0,760.53,761.30,-0.77,0.0,766.82,"47,554.00",778.73,"36,465,315.20","4,310",-18.2,47.0,-2.34,6.24,-0.83,930.40,359.00,,
2025/08/06,245,SANVI,29.49,775.0,812.0,751.0,794.65,795.60,-0.95,0.0,786.13,"54,477.00",760.53,"42,826,017.80","3,260",34.12,61.00,4.49,8.12,1.07,930.40,359.00,,
2025/08/07,241,SANVI,27.81,790.0,800.0,770.0,773.14,773.50,-0.36,0.0,779.95,"54,284.00",794.65,"42,338,593.30","2,219",-21.51,30.0,-2.71,3.9,-0.88,930.40,359.00,,
2025/08/11,246,SANVI,29.65,773.7,773.7,741.9,747.32,746.10,1.22,0.0,754.38,"56,104.00",773.14,"42,323,797.00","2,368",-25.82,31.8,-3.34,4.29,-0.94,930.40,359.00,,
2025/08/12,247,SANVI,29.25,745.0,748.0,721.0,723.42,725.00,-1.58,0.0,730.80,"48,465.00",747.32,"35,418,004.70","2,017",-23.9,27.0,-3.2,3.74,-1.02,930.40,359.00,,
2025/08/13,244,SANVI,27.86,715.4,729.0,710.2,713.54,714.00,-0.46,0.0,718.18,"28,119.00",723.42,"20,194,429.10","1,498",-9.88,18.8,-1.37,2.65,-0.65,930.40,359.00,,
2025/08/14,243,SANVI,29.54,713.0,719.0,703.0,704.89,706.00,-1.11,0.0,707.34,"33,064.00",713.54,"23,387,648.80","1,446",-8.65,16.0,-1.21,2.28,-0.35,930.40,359.00,,
2025/08/17,240,SANVI,32.03,700.0,705.0,670.2,673.74,674.00,-0.26,0.0,683.25,"52,306.00",704.89,"35,738,071.10","2,045",-31.15,34.8,-4.42,5.19,-1.41,930.40,359.00,,
2025/08/18,245,SANVI,27.22,670.0,690.0,661.0,680.44,685.00,-4.56,-0.01,679.69,"25,769.00",673.74,"17,514,847.80","1,195",6.7,29.0,0.99,4.39,0.11,930.40,359.00,,
2025/08/19,240,SANVI,29.9,675.0,741.0,675.0,727.93,730.00,-2.07,0.0,717.37,"50,197.00",680.44,"36,009,988.50","1,663",47.49,66.0,6.98,9.78,1.45,930.40,359.00,,
2025/08/20,247,SANVI,32.07,730.0,748.9,715.5,722.74,725.00,-2.26,0.0,733.87,"35,038.00",727.93,"25,713,375.40","1,101",-5.19,33.4,-0.71,4.67,-1.54,930.40,359.00,,
2025/08/21,244,SANVI,30.8,720.0,731.5,716.1,729.67,731.00,-1.33,0.0,722.99,"21,206.00",722.74,"15,331,724.40","1,142",6.93,15.4,0.96,2.15,0.92,930.40,359.00,,
2025/07/20,241,SANVI,27.35,359.0,394.9,359.0,394.9,394.90,0.0,0.0,389.80,350.00,359.00,"136,429.00",35,35.9,35.9,10.0,10.0,1.29,394.90,359.00,,
2025/07/21,236,SANVI,24.49,388.7,434.3,388.7,434.3,434.30,0.0,0.0,430.02,450.00,394.90,"193,508.00",46,39.4,45.6,9.98,11.73,0.99,434.30,359.00,,
2025/07/22,243,SANVI,27.1,442.9,477.7,442.9,477.7,477.70,0.0,0.0,475.99,500.00,434.30,"237,994.00",50,43.4,34.8,9.99,7.86,0.36,477.70,359.00,,
2025/07/23,243,SANVI,28.45,487.2,525.4,487.2,525.4,525.40,0.0,0.0,524.08,710.00,477.70,"372,096.00",71,47.70,38.20,9.99,7.84,0.25,525.40,359.00,,
2025/07/24,252,SANVI,37.19,535.9,577.9,535.9,577.9,577.90,0.0,0.0,576.41,690.00,525.40,"397,721.00",70,52.5,42.0,9.99,7.84,0.26,577.90,359.00,,
2025/07/27,247,SANVI,37.67,589.4,635.6,589.4,635.6,635.60,0.0,0.0,634.63,"1,170.00",577.90,"742,517.00",117,57.7,46.2,9.98,7.84,0.15,635.60,359.00,,
